Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,1.9e-05,0.0007195,273,5
200.0,1.63e-05,0.0006662,273,5
500.0,5.99e-05,0.0012746,273,5
1000.0,0.000185,0.0022357,273,5
2000.0,0.0003047,0.0028629,273,5
5000.0,0.0008733,0.004826,273,5
10000.0,0.0016976,0.0067797,273,5
20000.0,0.003153,0.0092843,273,5
50000.0,0.007818699999999998,0.0127602,273,5
100000.0,0.0158495,0.0176936,273,5
100.0,1.09e-05,0.000544,298,5
200.0,1.9e-05,0.0007195,298,5
500.0,3.81e-05,0.0010172,298,5
1000.0,8.43e-05,0.0015123,298,5
2000.0,0.0001551,0.0020481,298,5
5000.0,0.0004815,0.0036486,298,5
10000.0,0.0008432999999999998,0.0047929,298,5
20000.0,0.001586,0.0065349,298,5
50000.0,0.0042303,0.0107835,298,5
100000.0,0.0085994,0.0131833,298,5
100.0,6.1e-06,0.0003533,323,5
200.0,1.43e-05,0.0005396,323,5
500.0,3.26e-05,0.0008155,323,5
1000.0,3.67e-05,0.0008649,323,5
2000.0,0.0001143,0.001523,323,5
5000.0,0.0002591,0.0023387,323,5
10000.0,0.000504,0.003193,323,5
20000.0,0.0009937,0.0045408,323,5
50000.0,0.0025423,0.007210099999999999,323,5
100000.0,0.004952,0.0101074,323,5
100.0,0.0001061,0.0016956,273,1
200.0,0.000234,0.002512,273,1
500.0,0.0005332,0.0037907,273,1
1000.0,0.0012133,0.0057202,273,1
2000.0,0.0024267,0.008145299999999998,273,1
5000.0,0.0052206,0.0118481,273,1
10000.0,0.0118776,0.0157502,273,1
20000.0,0.0239321,0.0220009,273,1
50000.0,0.0585121,0.0345775,273,1
100000.0,0.1047874,0.041776,273,1
100.0,4.35e-05,0.0010873,298,1
200.0,0.0001061,0.0016956,298,1
500.0,0.0003265,0.0029622,298,1
1000.0,0.000555,0.003922,298,1
2000.0,0.0010936,0.0054126,298,1
5000.0,0.0025681,0.0083536,298,1
10000.0,0.0052532,0.0118836,298,1
20000.0,0.0103378,0.0145793,298,1
50000.0,0.0253277,0.0230744,298,1
100000.0,0.0523774,0.0320846,298,1
100.0,2.04e-05,0.0006449,323,1
200.0,4.49e-05,0.000956,323,1
500.0,0.000153,0.0017839,323,1
1000.0,0.0002959,0.002439,323,1
2000.0,0.0005264,0.0032604,323,1
5000.0,0.0013426,0.0052762,323,1
10000.0,0.002732,0.007473699999999998,323,1
20000.0,0.005411,0.0104172,323,1
50000.0,0.013193,0.014892,323,1
100000.0,0.0265043,0.0199789,323,1
100.0,2.18e-05,0.0007692,273,6
200.0,3.54e-05,0.0009802,273,6
500.0,6.53e-05,0.0013312,273,6
1000.0,0.000136,0.0019189,273,6
2000.0,0.000321,0.0029628,273,6
5000.0,0.0006584,0.0041806,273,6
10000.0,0.0014745,0.0063488,273,6
20000.0,0.0026797,0.0085424,273,6
50000.0,0.0073072,0.0118974,273,6
100000.0,0.0147396,0.0165808,273,6
100.0,8.199999999999998e-06,0.0004711,298,6
200.0,2.18e-05,0.0007692,298,6
500.0,4.62e-05,0.0011207,298,6
1000.0,0.0001034,0.0016738,298,6
2000.0,0.0001115,0.0017384,298,6
5000.0,0.0004108,0.0033399,298,6
10000.0,0.0007917,0.0046371,298,6
20000.0,0.0016323,0.0066638,298,6
50000.0,0.0038359,0.0100885,298,6
100000.0,0.0078159,0.0124492,298,6
100.0,8.199999999999998e-06,0.0004711,323,6
200.0,8.199999999999998e-06,0.0004711,323,6
500.0,1.9e-05,0.0007195,323,6
1000.0,7.07e-05,0.0013854,323,6
2000.0,0.0001061,0.0016956,323,6
5000.0,0.0002476,0.0025833,323,6
10000.0,0.0004298,0.0033925,323,6
20000.0,0.0010566,0.0053402,323,6
50000.0,0.002239,0.0077868,323,6
100000.0,0.0046983,0.0112456,323,6
100.0,0.0001279,0.0018607,273,2
200.0,0.0002068,0.0023626,273,2
500.0,0.0006097,0.0040816,273,2
1000.0,0.0011399,0.0055316,273,2
2000.0,0.0021247,0.0076658,273,2
5000.0,0.0053729,0.0122056,273,2
10000.0,0.0113118,0.0151399,273,2
20000.0,0.0210565,0.02071,273,2
50000.0,0.0530296,0.03136,273,2
100000.0,0.0962125,0.0421997,273,2
100.0,3.26e-05,0.0009418,298,2
200.0,0.0001088,0.0017597,298,2
500.0,0.0002584,0.002639,298,2
1000.0,0.0005008,0.0036772,298,2
2000.0,0.0009467,0.0050742,298,2
5000.0,0.002466,0.0082172,298,2
10000.0,0.0050057,0.0116931,298,2
