Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0325664,0.0424483,273,5
200.0,0.064936,0.0609647,273,5
500.0,0.1575843,0.0839974,273,5
1000.0,0.316766,0.1161316,273,5
2000.0,0.6383887,0.1649086,273,5
5000.0,1.4860761,0.2311205,273,5
10000.0,2.6703041,0.2857599,273,5
20000.0,4.0507056,0.2881093,273,5
50000.0,5.463716,0.2209415,273,5
100000.0,6.3142883,0.1889048,273,5
1000000.0,8.8917896,0.2281673,273,5
100.0,0.0119916,0.0260405,298,5
200.0,0.0226559,0.0363452,298,5
500.0,0.0587208,0.057708,298,5
1000.0,0.1175991,0.0690075,298,5
2000.0,0.2345569,0.1004766,298,5
5000.0,0.5867137,0.1557283,298,5
10000.0,1.1025894,0.1985504,298,5
20000.0,2.0113823,0.2672184,298,5
50000.0,3.7635812,0.2699762,298,5
100000.0,4.9209603,0.2516199,298,5
1000000.0,7.522788099999999,0.2082383,298,5
100.0,0.0053771,0.0141815,323,5
200.0,0.0101543,0.0194722,323,5
500.0,0.0258319,0.031634,323,5
1000.0,0.0499952,0.0437613,323,5
2000.0,0.1022851,0.0543828,323,5
5000.0,0.2577752,0.083202,323,5
10000.0,0.4992449,0.1144005,323,5
20000.0,0.9429671,0.1606125,323,5
50000.0,2.096255,0.2203015,323,5
100000.0,3.3466736,0.2248165,323,5
1000000.0,6.5558528,0.1640532,323,5
100.0,0.0735247,0.0648764,273,1
200.0,0.1499236,0.0824892,273,1
500.0,0.3679217,0.12225,273,1
1000.0,0.7369966999999998,0.1732248,273,1
2000.0,1.4154387,0.2317563,273,1
5000.0,3.1420914,0.3079647,273,1
10000.0,4.5976621,0.2717733,273,1
20000.0,5.7325041,0.2384428,273,1
50000.0,7.0662083,0.2302625,273,1
100000.0,7.9626438,0.2285994,273,1
1000000.0,11.0658452,0.1989078,273,1
100.0,0.0262556,0.0383092,298,1
200.0,0.0516788,0.0539084,298,1
500.0,0.1298607,0.07467039999999998,298,1
1000.0,0.2530337,0.1030357,298,1
2000.0,0.508559,0.149069,298,1
5000.0,1.2241753,0.2090578,298,1
10000.0,2.2163046,0.2889704,298,1
20000.0,3.5984066,0.2891979,298,1
50000.0,5.3448372,0.2584426,298,1
100000.0,6.3600103,0.2210217,298,1
1000000.0,9.4035771,0.2080994,298,1
100.0,0.010698,0.0200288,323,1
200.0,0.0206498,0.0279758,323,1
500.0,0.05253,0.0438154,323,1
1000.0,0.1048125,0.0549071,323,1
2000.0,0.2096549,0.0774408,323,1
5000.0,0.5135236,0.1213993,323,1
10000.0,0.9765138,0.1556947,323,1
20000.0,1.8169676,0.2157295,323,1
50000.0,3.5708471,0.2348868,323,1
100000.0,4.8502863,0.2234059,323,1
1000000.0,8.038662999999998,0.1842241,323,1
100.0,0.0324202,0.0428712,273,6
200.0,0.0652003,0.0600978,273,6
500.0,0.1660831,0.08746149999999998,273,6
1000.0,0.3365528,0.1142144,273,6
2000.0,0.6575233,0.1706398,273,6
5000.0,1.5520554,0.2356796,273,6
10000.0,2.7552401,0.2818904,273,6
20000.0,4.1479969,0.284606,273,6
50000.0,5.6649006,0.2231786,273,6
100000.0,6.5686714,0.2078508,273,6
