Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001931,0.0033052,273,5
200.0,0.0003691,0.0045629,273,5
500.0,0.0009142000000000002,0.0073247,273,5
1000.0,0.0018624,0.0102086,273,5
2000.0,0.0033728,0.0140091,273,5
5000.0,0.008477399999999998,0.0219184,273,5
10000.0,0.0169661,0.0308357,273,5
20000.0,0.0336311,0.043705,273,5
50000.0,0.08563129999999998,0.0688931,273,5
100000.0,0.1710298,0.098015,273,5
100.0,6.81e-05,0.0019658,298,5
200.0,0.0002442,0.0037154,298,5
500.0,0.0005962,0.0057877,298,5
1000.0,0.0011754,0.0081241,298,5
2000.0,0.0022508,0.0113092,298,5
5000.0,0.0057405,0.01823,298,5
10000.0,0.0121568,0.0264541,298,5
20000.0,0.0240126,0.0370539,298,5
50000.0,0.059495,0.0572366,298,5
100000.0,0.1176727,0.08122559999999998,298,5
100.0,9.84e-05,0.0019277,323,5
200.0,0.0001363,0.0022671,323,5
500.0,0.0004164,0.0039483,323,5
1000.0,0.0009615,0.0060513,323,5
2000.0,0.0016883,0.0079952,323,5
5000.0,0.0045122,0.0130797,323,5
10000.0,0.0087789,0.0181682,323,5
20000.0,0.0174632,0.0257076,323,5
50000.0,0.0436683,0.0407666,323,5
100000.0,0.08787639999999998,0.0570044,323,5
100.0,0.0002669,0.0038835,273,1
200.0,0.0005678,0.0057064,273,1
500.0,0.0015403,0.009294,273,1
1000.0,0.0028447,0.0126444,273,1
2000.0,0.00582,0.0182931,273,1
5000.0,0.0152419,0.0292083,273,1
10000.0,0.0300748,0.0412536,273,1
20000.0,0.0592509,0.0573574,273,1
50000.0,0.1487205,0.092118,273,1
100000.0,0.2924841,0.1115571,273,1
100.0,0.0002101,0.0034475,298,1
200.0,0.0003861,0.0046663,298,1
500.0,0.001005,0.00753,298,1
1000.0,0.0020157,0.0109867,298,1
2000.0,0.0039463,0.0150517,298,1
5000.0,0.0097039,0.0234315,298,1
10000.0,0.018874,0.0326434,298,1
20000.0,0.0382476,0.0463474,298,1
50000.0,0.0956701,0.07383729999999998,298,1
100000.0,0.1893984,0.1023754,298,1
100.0,0.0001476,0.0023594,323,1
200.0,0.0002385,0.0029951,323,1
500.0,0.0006549,0.0049934,323,1
1000.0,0.0013142,0.0071134,323,1
2000.0,0.002945,0.0105955,323,1
5000.0,0.0066509,0.0156731,323,1
10000.0,0.013582,0.022815,323,1
20000.0,0.0266151,0.0321101,323,1
50000.0,0.0669592,0.0498334,323,1
100000.0,0.1311109,0.0694047,323,1
100.0,0.0001363,0.0027783,273,6
200.0,0.0003861,0.0047349,273,6
500.0,0.0010277,0.0076543,273,6
1000.0,0.0018113,0.0100748,273,6
2000.0,0.003668,0.0142096,273,6
5000.0,0.0096982,0.0235094,273,6
10000.0,0.0188626,0.0323424,273,6
20000.0,0.0390109,0.046638,273,6
50000.0,0.0967036,0.0736304,273,6
100000.0,0.19071,0.0885779,273,6
100.0,9.08e-05,0.0022694,298,6
200.0,0.0002214,0.003539,298,6
500.0,0.0005848,0.0057888,298,6
1000.0,0.0013173,0.0085477,298,6
2000.0,0.0027084,0.0123913,298,6
5000.0,0.006632,0.0195014,298,6
10000.0,0.0130085,0.0268984,298,6
20000.0,0.0265583,0.0386305,298,6
50000.0,0.0646848,0.0603061,298,6
100000.0,0.1292958,0.086021,298,6
100.0,0.0001192,0.0025993,323,6
200.0,0.0001931,0.0033052,323,6
500.0,0.0004713,0.0051515,323,6
1000.0,0.0009482,0.0073643,323,6
2000.0,0.0018567,0.0101938,323,6
5000.0,0.0046958,0.0163644,323,6
10000.0,0.0096811,0.0232753,323,6
20000.0,0.0196803,0.0335953,323,6
50000.0,0.0480379,0.0512606,323,6
100000.0,0.0949093,0.07258159999999998,323,6
100.0,0.0006303,0.0060029,273,2
200.0,0.0011186,0.007972,273,2
500.0,0.0027936,0.012592,273,2
1000.0,0.005979,0.0182771,273,2
2000.0,0.0115322,0.0256993,273,2
5000.0,0.0285097,0.0400616,273,2
10000.0,0.0608748,0.0499656,273,2
20000.0,0.1176387,0.0652572,273,2
50000.0,0.2873568,0.0992604,273,2
100000.0,0.5411485,0.1319692,273,2
100.0,0.0001931,0.0033052,298,2
200.0,0.0005735,0.005734,298,2
500.0,0.0017432,0.0098605,298,2
1000.0,0.0032763,0.0134573,298,2
2000.0,0.0068194,0.0195277,298,2
5000.0,0.0157453,0.0298521,298,2
10000.0,0.0326206,0.0431703,298,2
20000.0,0.0628337,0.0499458,298,2
50000.0,0.1555399,0.07475919999999998,298,2
100000.0,0.3071336,0.1085151,298,2
100.0,0.0001817,0.0032069,323,2
200.0,0.0003691,0.0045629,323,2
500.0,0.0010448,0.0076731,323,2
1000.0,0.0021179,0.0110553,323,2
2000.0,0.0041677,0.0153846,323,2
5000.0,0.0096925,0.0234912,323,2
10000.0,0.0198279,0.0338911,323,2
20000.0,0.0413024,0.0483968,323,2
50000.0,0.0991735,0.0628113,323,2
100000.0,0.194168,0.0857304,323,2
100.0,0.0001552,0.0024774,273,8
200.0,0.0004088,0.003949,273,8
500.0,0.0007798,0.0054562,273,8
1000.0,0.0018018,0.008305,273,8
2000.0,0.0032857,0.0112079,273,8
5000.0,0.0083809,0.0175187,273,8
10000.0,0.0168694,0.0252813,273,8
20000.0,0.0335802,0.0357265,273,8
50000.0,0.0850313,0.0563838,273,8
100000.0,0.1664286,0.0778238,273,8
100.0,0.000106,0.0020002,298,8
200.0,0.0002271,0.0029233,298,8
500.0,0.0005565,0.0045557,298,8
1000.0,0.0012038,0.0067065,298,8
2000.0,0.0025589,0.0098878,298,8
5000.0,0.0058863,0.0149281,298,8
10000.0,0.0118407,0.0213852,298,8
20000.0,0.0237539,0.0299103,298,8
50000.0,0.0603997,0.0482227,298,8
100000.0,0.1171882,0.067022,298,8
100.0,9.46e-05,0.0018903,323,8
200.0,0.0002082,0.0027996,323,8
500.0,0.0004015,0.0039143,323,8
1000.0,0.0009463,0.0059341,323,8
2000.0,0.0017905,0.008316,323,8
5000.0,0.0046712,0.0132095,323,8
10000.0,0.0087329,0.0181018,323,8
20000.0,0.0176513,0.0259421,323,8
50000.0,0.0437954,0.0408955,323,8
100000.0,0.08809989999999998,0.0573413,323,8
100.0,0.0001931,0.0026964,273,4
200.0,0.0005413,0.004526,273,4
500.0,0.0014801,0.0076058,273,4
1000.0,0.0030964,0.0108865,273,4
2000.0,0.0060604,0.0150689,273,4
5000.0,0.0149788,0.0237644,273,4
10000.0,0.0301809,0.033556,273,4
20000.0,0.0599341,0.047077,273,4
50000.0,0.1464696,0.0635281,273,4
100000.0,0.2914602,0.0889139,273,4
100.0,0.0001893,0.00267,298,4
200.0,0.0004467,0.0040877,298,4
500.0,0.0009426,0.0059468,298,4
1000.0,0.0020328,0.0086665,298,4
2000.0,0.0038232,0.0120301,298,4
5000.0,0.0094256,0.0190025,298,4
10000.0,0.0192941,0.0266247,298,4
20000.0,0.039016,0.0384317,298,4
50000.0,0.0951724,0.05979,298,4
100000.0,0.1898754,0.0741748,298,4
100.0,9.46e-05,0.0018903,323,4
200.0,0.0002574,0.0031566,323,4
500.0,0.0006208,0.004867,323,4
1000.0,0.0013634,0.007253899999999998,323,4
2000.0,0.0024832,0.009672900000000002,323,4
5000.0,0.0069462,0.0162034,323,4
10000.0,0.0133738,0.0225248,323,4
20000.0,0.0270163,0.0320472,323,4
50000.0,0.0680841,0.0502081,323,4
100000.0,0.1336698,0.070215,323,4
100.0,0.0001628,0.0025341,273,7
200.0,0.0003975,0.0038954,273,7
500.0,0.0009728,0.0060849,273,7
1000.0,0.0018094,0.0081816,273,7
2000.0,0.0035393,0.0117382,273,7
5000.0,0.008566799999999998,0.0178645,273,7
10000.0,0.0171375,0.0252365,273,7
20000.0,0.034466,0.0359571,273,7
50000.0,0.0864448,0.0573013,273,7
100000.0,0.1709181,0.0707734,273,7
100.0,0.0001363,0.0022671,298,7
200.0,0.0002801,0.0032442,298,7
500.0,0.000583,0.0046919,298,7
1000.0,0.0010713,0.0063904,298,7
2000.0,0.0023848,0.0095036,298,7
5000.0,0.0057992,0.0146378,298,7
10000.0,0.0119391,0.0212361,298,7
20000.0,0.0237544,0.0299196,298,7
50000.0,0.0596389,0.0475982,298,7
100000.0,0.1198796,0.0667115,298,7
100.0,5.68e-05,0.001465,323,7
200.0,0.0002233,0.002948,323,7
500.0,0.0003937,0.0038402,323,7
1000.0,0.0008440999999999999,0.005615,323,7
2000.0,0.0018813,0.008432999999999998,323,7
5000.0,0.0043532,0.0129245,323,7
10000.0,0.0086458,0.017957,323,7
20000.0,0.0176664,0.025987,323,7
50000.0,0.0437326,0.0412553,323,7
100000.0,0.0874598,0.0573748,323,7
100.0,0.0002385,0.0029951,273,3
200.0,0.0005981,0.0047807,273,3
500.0,0.0014763,0.007616,273,3
1000.0,0.0031797,0.0109151,273,3
2000.0,0.00628,0.0153846,273,3
5000.0,0.0150696,0.0240965,273,3
10000.0,0.0306011,0.0340578,273,3
20000.0,0.0603581,0.0475225,273,3
50000.0,0.1509726,0.0656754,273,3
100000.0,0.3000682,0.0909688,273,3
100.0,0.0002385,0.0029951,298,3
200.0,0.0004204,0.0039669,298,3
500.0,0.0009463,0.0059822,298,3
1000.0,0.002082,0.008907699999999998,298,3
2000.0,0.0039179,0.0120888,298,3
5000.0,0.0101146,0.0195307,298,3
10000.0,0.0202771,0.0277,298,3
20000.0,0.0388873,0.0386213,298,3
50000.0,0.0982915,0.0621297,298,3
100000.0,0.1928242,0.0743686,298,3
