Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001587,0.0028009,273,5
200.0,0.0003124,0.0039239,273,5
500.0,0.0007785999999999998,0.0062443,273,5
1000.0,0.0013192,0.008071999999999998,273,5
2000.0,0.0028119,0.0117028,273,5
5000.0,0.0071265,0.0190304,273,5
10000.0,0.0144415,0.0268628,273,5
20000.0,0.0289722,0.0376159,273,5
50000.0,0.0701938,0.0595826,273,5
100000.0,0.1413064,0.08394169999999998,273,5
100.0,8.43e-05,0.002043,298,5
200.0,0.0001637,0.0028442,298,5
500.0,0.0005158,0.0051757,298,5
1000.0,0.0009571,0.0070008,298,5
2000.0,0.0020482,0.0100656,298,5
5000.0,0.0050634,0.0157979,298,5
10000.0,0.009507,0.0220313,298,5
20000.0,0.0201546,0.0315233,298,5
50000.0,0.049092,0.0485149,298,5
100000.0,0.0998058,0.0712301,298,5
100.0,8.27e-05,0.001651,323,5
200.0,0.000162,0.0023555,323,5
500.0,0.0003405,0.0033707,323,5
1000.0,0.0006183,0.0045272,323,5
2000.0,0.0014878,0.0069803,323,5
5000.0,0.0036883,0.011021,323,5
10000.0,0.0072075,0.0154182,323,5
20000.0,0.0142342,0.0217698,323,5
50000.0,0.0361762,0.0344022,323,5
100000.0,0.0716089,0.0487345,323,5
100.0,0.0002182,0.0032824,273,1
200.0,0.0003422,0.0041053,273,1
500.0,0.0009125,0.0067383,273,1
1000.0,0.0017605,0.0093624,273,1
2000.0,0.0034765,0.0131197,273,1
5000.0,0.008763099999999998,0.0207152,273,1
10000.0,0.0173129,0.0291474,273,1
20000.0,0.0342985,0.0412811,273,1
50000.0,0.0871249,0.065954,273,1
100000.0,0.1759892,0.0803576,273,1
100.0,8.43e-05,0.002043,298,1
200.0,0.0002033,0.003169,298,1
500.0,0.0007244,0.0059911,298,1
1000.0,0.0011109,0.007372199999999998,298,1
2000.0,0.0022813,0.0105301,298,1
5000.0,0.0057925,0.0168293,298,1
10000.0,0.0118527,0.0241777,298,1
20000.0,0.0237401,0.0341416,298,1
50000.0,0.0580981,0.0533968,298,1
100000.0,0.115783,0.07615919999999998,298,1
100.0,9.26e-05,0.001747,323,1
200.0,0.0001587,0.0022851,323,1
500.0,0.0003802,0.0035251,323,1
1000.0,0.0009654,0.0056251,323,1
2000.0,0.0017424,0.0074754,323,1
5000.0,0.0042452,0.0119167,323,1
10000.0,0.0088077,0.0172186,323,1
20000.0,0.0170784,0.0235287,323,1
50000.0,0.0417209,0.0367525,323,1
100000.0,0.08477419999999998,0.0532112,323,1
100.0,9.92e-05,0.0022156,273,6
200.0,0.0002827,0.0037335,273,6
500.0,0.0006645,0.0057022,273,6
1000.0,0.0013291,0.0080704,273,6
2000.0,0.0027524,0.0116959,273,6
5000.0,0.0069182,0.0185321,273,6
10000.0,0.0133157,0.0256644,273,6
20000.0,0.0262099,0.036233,273,6
50000.0,0.0657503,0.0565023,273,6
100000.0,0.1311397,0.0792515,273,6
100.0,7.93e-05,0.0019821,298,6
200.0,0.0001438,0.0026668,298,6
500.0,0.0004166,0.0045261,298,6
1000.0,0.0010916,0.007377,298,6
2000.0,0.0018052,0.0094194,298,6
5000.0,0.0045625,0.0151511,298,6
10000.0,0.0091846,0.0212441,298,6
20000.0,0.0182593,0.0302921,298,6
50000.0,0.0457544,0.0469959,298,6
100000.0,0.090279,0.0667415,298,6
100.0,4.96e-05,0.0015675,323,6
200.0,0.0001289,0.0025255,323,6
500.0,0.0003571,0.0043086,323,6
1000.0,0.000605,0.0054442,323,6
2000.0,0.0012795,0.008017299999999998,323,6
5000.0,0.0034368,0.013055,323,6
10000.0,0.0066454,0.0180755,323,6
20000.0,0.0133256,0.0256497,323,6
50000.0,0.0346506,0.0419322,323,6
100000.0,0.0682795,0.0582252,323,6
100.0,0.0001587,0.0028009,273,2
200.0,0.0003025,0.0038615,273,2
500.0,0.0008679,0.0065406,273,2
1000.0,0.0015225,0.0086692,273,2
2000.0,0.0031392,0.012516,273,2
5000.0,0.0081878,0.0201473,273,2
10000.0,0.0161772,0.0282111,273,2
20000.0,0.0329247,0.0404399,273,2
50000.0,0.080891,0.0621796,273,2
100000.0,0.1613952,0.0897684,273,2
100.0,0.0001141,0.0023757,298,2
200.0,0.0002529,0.0035326,298,2
500.0,0.0004811,0.0048606,298,2
1000.0,0.0010315,0.0072153,298,2
