Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003952,0.0051735,273,5
200.0,0.0005519,0.0061068,273,5
500.0,0.0014648,0.0099287,273,5
1000.0,0.0036381,0.0157066,273,5
2000.0,0.0071945,0.0219552,273,5
5000.0,0.0174889,0.0343908,273,5
10000.0,0.0362587,0.0495133,273,5
20000.0,0.0723676,0.070274,273,5
50000.0,0.1803823,0.1108868,273,5
100000.0,0.3556312,0.1354636,273,5
100.0,0.0001771,0.0034694,298,5
200.0,0.0004497,0.0056001,298,5
500.0,0.0011582,0.008859799999999998,298,5
1000.0,0.0022074,0.012254,298,5
2000.0,0.0048713,0.0183556,298,5
5000.0,0.0121271,0.028624,298,5
10000.0,0.0231574,0.0392068,298,5
20000.0,0.0471527,0.0566625,298,5
50000.0,0.117817,0.09027710000000001,298,5
100000.0,0.2332154,0.1241028,298,5
100.0,0.0002078,0.0026958,323,5
200.0,0.0003475,0.003523,323,5
500.0,0.0008584,0.0053824,323,5
1000.0,0.0015329,0.007272299999999998,323,5
2000.0,0.0034474,0.0107593,323,5
5000.0,0.008294799999999998,0.0166747,323,5
10000.0,0.0165249,0.0242072,323,5
20000.0,0.0335982,0.0337898,323,5
50000.0,0.0836669,0.0533383,323,5
100000.0,0.1646154,0.0648811,323,5
100.0,0.0002657,0.0042464,273,1
200.0,0.0005859,0.0062909,273,1
500.0,0.0016487,0.0106017,273,1
1000.0,0.0029909,0.0142215,273,1
2000.0,0.0061385,0.0203687,273,1
5000.0,0.0161332,0.0324262,273,1
10000.0,0.0308492,0.0456304,273,1
20000.0,0.0635924,0.0653324,273,1
50000.0,0.1584837,0.1034766,273,1
100000.0,0.3102158,0.1273356,273,1
100.0,0.0001908,0.0036,298,1
200.0,0.0003679,0.004993,298,1
500.0,0.0010628,0.0084976,298,1
1000.0,0.0021188,0.0119825,298,1
2000.0,0.0038562,0.0162081,298,1
5000.0,0.0103489,0.0266863,298,1
10000.0,0.021386,0.0385501,298,1
20000.0,0.0408916,0.0525864,298,1
50000.0,0.1042864,0.08339879999999998,298,1
100000.0,0.2045532,0.1167944,298,1
100.0,0.0001908,0.002542,323,1
200.0,0.0002657,0.0029968,323,1
500.0,0.0007665,0.005143,323,1
1000.0,0.0015984,0.007363299999999998,323,1
2000.0,0.0029705,0.0100359,323,1
5000.0,0.0071162,0.0154559,323,1
10000.0,0.0144469,0.0221301,323,1
20000.0,0.0292141,0.0312604,323,1
50000.0,0.0727014,0.0491951,323,1
100000.0,0.1433691,0.0597264,323,1
100.0,0.0003679,0.004993,273,6
200.0,0.0007086,0.0069117,273,6
500.0,0.0019213,0.0114013,273,6
1000.0,0.0038221,0.0161157,273,6
2000.0,0.0074807,0.0226109,273,6
5000.0,0.0190014,0.0359035,273,6
10000.0,0.0390725,0.0520736,273,6
20000.0,0.07764079999999998,0.0724907,273,6
50000.0,0.1907432,0.1140149,273,6
100000.0,0.3772692,0.1399343,273,6
100.0,0.0002521,0.0041365,298,6
200.0,0.0005587,0.0061441,298,6
500.0,0.0013081,0.0094971,298,6
1000.0,0.002597,0.0132226,298,6
2000.0,0.0051736,0.01858,298,6
5000.0,0.0131491,0.0299734,298,6
10000.0,0.0246766,0.0408559,298,6
20000.0,0.0509543,0.0590079,298,6
50000.0,0.1238669,0.09105,298,6
100000.0,0.2469776,0.1270207,298,6
100.0,0.0001567,0.0032636,323,6
200.0,0.0003202,0.0046598,323,6
500.0,0.0007426,0.0070741,323,6
1000.0,0.0017169,0.0108933,323,6
