Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004633,0.005599,273,5
200.0,0.0007358,0.0070419,273,5
500.0,0.0016624,0.0105557,273,5
1000.0,0.0038016,0.0158446,273,5
2000.0,0.0073989,0.0228419,273,5
5000.0,0.0187017,0.0355159,273,5
10000.0,0.0371444,0.0503865,273,5
20000.0,0.07438419999999998,0.0712722,273,5
50000.0,0.1870915,0.1108244,273,5
100000.0,0.3712329,0.1363456,273,5
100.0,0.0002521,0.0041365,298,5
200.0,0.0004905,0.0058402,298,5
500.0,0.0013974,0.0097045,298,5
1000.0,0.0024459,0.0127843,298,5
2000.0,0.0049258,0.0182904,298,5
5000.0,0.0119568,0.0282965,298,5
10000.0,0.024445,0.0406652,298,5
20000.0,0.04827,0.057145,298,5
50000.0,0.1216313,0.0901066,298,5
100000.0,0.2423789,0.1276828,298,5
100.0,0.0001771,0.002497,323,5
200.0,0.0003134,0.0032523,323,5
500.0,0.0008549999999999999,0.0054365,323,5
1000.0,0.0017169,0.007560599999999998,323,5
2000.0,0.0035684,0.0109424,323,5
5000.0,0.00838,0.0168573,323,5
10000.0,0.0171858,0.0237816,323,5
20000.0,0.0346202,0.0346933,323,5
50000.0,0.0854655,0.0540799,323,5
100000.0,0.1694458,0.0670217,323,5
100.0,0.0003202,0.0046598,273,1
200.0,0.0005655,0.0063295,273,1
500.0,0.0017782,0.0110737,273,1
1000.0,0.0033792,0.0152556,273,1
2000.0,0.0067517,0.0214018,273,1
5000.0,0.0169933,0.0344475,273,1
10000.0,0.0332201,0.0478874,273,1
20000.0,0.0676121,0.0688598,273,1
50000.0,0.1655079,0.1040136,273,1
100000.0,0.329844,0.1328279,273,1
100.0,0.0002453,0.0040804,298,1
200.0,0.0004905,0.0058402,298,1
500.0,0.0011923,0.0089853,298,1
1000.0,0.0022619,0.012244,298,1
2000.0,0.0043126,0.0171131,298,1
5000.0,0.0103421,0.0265931,298,1
10000.0,0.0218152,0.0389279,298,1
20000.0,0.0435623,0.0542635,298,1
50000.0,0.1063167,0.0843309,298,1
100000.0,0.2107734,0.1179635,298,1
100.0,0.0001124,0.0019536,323,1
200.0,0.00031,0.0032348,323,1
500.0,0.0007391999999999999,0.0050099,323,1
1000.0,0.0015806,0.007357299999999998,323,1
2000.0,0.0029466,0.0099792,323,1
5000.0,0.0073921,0.015931,323,1
10000.0,0.0148727,0.0223581,323,1
20000.0,0.0301421,0.0317459,323,1
50000.0,0.075338,0.0501996,323,1
100000.0,0.1486036,0.0617263,323,1
100.0,0.0004497,0.0056001,273,6
200.0,0.0008857,0.0077773,273,6
500.0,0.0019621,0.0115159,273,6
1000.0,0.0041219,0.0168047,273,6
2000.0,0.0078826,0.0230551,273,6
5000.0,0.0194783,0.0364709,273,6
10000.0,0.0392019,0.0510072,273,6
20000.0,0.0778569,0.07275869999999998,273,6
50000.0,0.1966705,0.1139759,273,6
100000.0,0.3879075,0.1407972,273,6
100.0,0.0002316,0.0039659,298,6
200.0,0.0004088,0.005349,298,6
500.0,0.0012263,0.0092607,298,6
1000.0,0.0025481,0.0131053,298,6
2000.0,0.0050893,0.0186482,298,6
5000.0,0.0124473,0.0293924,298,6
10000.0,0.0251876,0.0413084,298,6
20000.0,0.0497893,0.0577672,298,6
50000.0,0.1270009,0.0919332,298,6
100000.0,0.249989,0.1276801,298,6
100.0,0.000184,0.0035354,323,6
200.0,0.0003952,0.0051735,323,6
500.0,0.0008924999999999998,0.0077466,323,6
1000.0,0.001855,0.0112128,323,6
2000.0,0.0035359,0.0156856,323,6
5000.0,0.0090204,0.0247781,323,6
10000.0,0.0177342,0.0351212,323,6
20000.0,0.0350976,0.0483337,323,6
50000.0,0.0882691,0.07864269999999998,323,6
100000.0,0.1733292,0.107197,323,6
100.0,0.0003543,0.0049001,273,2
