Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009412,0.0112105,273,5
200.0,0.002435,0.0183291,273,5
500.0,0.0054457,0.0269125,273,5
1000.0,0.011241,0.0390198,273,5
2000.0,0.0217694,0.0545341,273,5
5000.0,0.0563666,0.0882825,273,5
10000.0,0.1060638,0.1202211,273,5
20000.0,0.2242561,0.1488736,273,5
50000.0,0.5573861,0.2343045,273,5
100000.0,1.1484281,0.3465974,273,5
1000000.0,10.5483197,0.9331536,273,5
100.0,0.0006454,0.0092934,298,5
200.0,0.0011026,0.012126,298,5
500.0,0.0030792,0.0204699,298,5
1000.0,0.0061987,0.0290185,298,5
2000.0,0.0125722,0.0414784,298,5
5000.0,0.030886,0.0645892,298,5
10000.0,0.0628073,0.0919389,298,5
20000.0,0.123517,0.1284641,298,5
50000.0,0.3061973,0.1730524,298,5
100000.0,0.6253064,0.2445238,298,5
1000000.0,5.9967704,0.7260634999999999,298,5
100.0,0.0003597,0.0024783,323,5
200.0,0.0008017,0.0036448,323,5
500.0,0.0019195,0.0056839,323,5
1000.0,0.0039145,0.0081211,323,5
2000.0,0.0077803,0.0114592,323,5
5000.0,0.0193289,0.0181578,323,5
10000.0,0.0373401,0.0250796,323,5
20000.0,0.07548199999999998,0.0304177,323,5
50000.0,0.1909111,0.0482436,323,5
100000.0,0.3716991,0.068409,323,5
1000000.0,3.7597733,0.2193284,323,5
100.0,0.0025144,0.0183137,273,1
200.0,0.0047734,0.0250258,273,1
500.0,0.0112276,0.0387213,273,1
1000.0,0.0217156,0.0549188,273,1
2000.0,0.0452196,0.0794355,273,1
5000.0,0.1155837,0.1237116,273,1
10000.0,0.2302127,0.1550089,273,1
20000.0,0.4574404,0.2196519,273,1
50000.0,1.1751874,0.3253406,273,1
100000.0,2.3624584,0.4700582,273,1
1000000.0,13.494319,0.8807606,273,1
100.0,0.0012774,0.0130434,298,1
200.0,0.0020304,0.0165077,298,1
500.0,0.0059567,0.0283768,298,1
1000.0,0.0110125,0.0382195,298,1
2000.0,0.0230468,0.0554438,298,1
5000.0,0.0583028,0.08763709999999998,298,1
10000.0,0.1148711,0.1250767,298,1
20000.0,0.2262864,0.1482684,298,1
50000.0,0.578537,0.2429685,298,1
100000.0,1.1750651,0.3459179,298,1
1000000.0,8.7096383,0.7694431,298,1
100.0,0.0007177,0.0034722,323,1
200.0,0.0013413,0.0047311,323,1
500.0,0.0033868,0.007461899999999999,323,1
1000.0,0.0065735,0.0105037,323,1
2000.0,0.0132916,0.014774,323,1
5000.0,0.0332743,0.0201479,323,1
10000.0,0.0660943,0.0275094,323,1
20000.0,0.1303527,0.0395215,323,1
50000.0,0.3249324,0.0604521,323,1
100000.0,0.649839,0.0903907,323,1
1000000.0,5.7735541,0.236124,323,1
100.0,0.0010891,0.0120525,273,6
200.0,0.0023531,0.0176313,273,6
500.0,0.0059836,0.0283073,273,6
1000.0,0.0107435,0.0380592,273,6
2000.0,0.0230872,0.0558333,273,6
5000.0,0.0557615,0.0858585,273,6
10000.0,0.1125718,0.1221681,273,6
20000.0,0.2190524,0.1471844,273,6
50000.0,0.5641496,0.2377649,273,6
100000.0,1.1317145,0.3300652,273,6
1000000.0,10.7568265,0.9898311,273,6
100.0,0.0006051,0.008999699999999998,298,6
200.0,0.0012236,0.0127684,298,6
500.0,0.0029985,0.0201257,298,6
1000.0,0.0067298,0.0301711,298,6
2000.0,0.0119806,0.0398791,298,6
5000.0,0.0313028,0.0650169,298,6
10000.0,0.0640981,0.0932219,298,6
20000.0,0.1207739,0.1267399,298,6
50000.0,0.3090748,0.1734791,298,6
100000.0,0.640551,0.2571765,298,6
1000000.0,6.2101593,0.7171799,298,6
100.0,0.0003899,0.0072305,323,6
200.0,0.0008606,0.0107225,323,6
500.0,0.0019497,0.0160736,323,6
1000.0,0.0041549,0.0239574,323,6
2000.0,0.007745,0.0318996,323,6
5000.0,0.0187171,0.0504589,323,6
10000.0,0.0396798,0.07231219999999998,323,6
20000.0,0.0778267,0.1030186,323,6
50000.0,0.1965434,0.163952,323,6
100000.0,0.3876411,0.1965512,323,6
1000000.0,3.707159,0.5957327,323,6
100.0,0.0025548,0.0186505,273,2
200.0,0.0039935,0.0232187,273,2
500.0,0.011873,0.0396841,273,2
1000.0,0.0234737,0.057037,273,2
2000.0,0.0478148,0.0808283,273,2
5000.0,0.1164712,0.1227293,273,2
10000.0,0.2412924,0.152104,273,2
20000.0,0.4738582,0.2155884,273,2
50000.0,1.2084773,0.337635,273,2
100000.0,2.4733648,0.4807986,273,2
1000000.0,13.8174322,0.9469589,273,2
100.0,0.0010354,0.0120572,298,2
200.0,0.0025279,0.0183611,298,2
500.0,0.0058894,0.028167,298,2
1000.0,0.0113217,0.0385769,298,2
2000.0,0.0220518,0.0551302,298,2
5000.0,0.0599298,0.0901651,298,2
10000.0,0.1151534,0.1264788,298,2
20000.0,0.2290026,0.1489074,298,2
50000.0,0.5858249,0.2383628,298,2
100000.0,1.1511551,0.3497764,298,2
1000000.0,8.9794554,0.8081177,298,2
100.0,0.0006858,0.009764900000000002,323,2
200.0,0.0012639,0.0132509,323,2
500.0,0.003375,0.021205,323,2
1000.0,0.0064811,0.0302097,323,2
2000.0,0.0136748,0.0428082,323,2
5000.0,0.0330643,0.067074,323,2
10000.0,0.0673656,0.0949458,323,2
20000.0,0.1358068,0.1364709,323,2
50000.0,0.3396381,0.1855519,323,2
100000.0,0.6674434,0.2584317,323,2
1000000.0,5.836565,0.6572085,323,2
100.0,0.0007127,0.0034935,273,8
200.0,0.0015127,0.0050619,273,8
500.0,0.0037818,0.008074299999999998,273,8
1000.0,0.0073568,0.0111632,273,8
2000.0,0.0149455,0.016091,273,8
5000.0,0.0376141,0.0254941,273,8
10000.0,0.07422479999999998,0.0311634,273,8
20000.0,0.1512784,0.0444226,273,8
50000.0,0.3700384,0.0705105,273,8
100000.0,0.7677596,0.1017023,273,8
1000000.0,9.080219,0.3270056,273,8
100.0,0.0004857,0.0028556,298,8
200.0,0.0008723,0.0038697,298,8
500.0,0.00238,0.0064035,298,8
1000.0,0.0047616,0.0090457,298,8
2000.0,0.009404,0.0126322,298,8
5000.0,0.0228283,0.0195498,298,8
10000.0,0.0472231,0.0283606,298,8
20000.0,0.092873,0.0362442,298,8
50000.0,0.2351894,0.0544047,298,8
100000.0,0.4502011,0.0782332,298,8
1000000.0,5.0357596,0.2706978,298,8
100.0,0.0002992,0.0022477,323,8
200.0,0.0006236,0.0032384,323,8
500.0,0.0015488,0.0050775,323,8
1000.0,0.0030069,0.0071763,323,8
2000.0,0.0062912,0.0101461,323,8
5000.0,0.015564,0.0161802,323,8
10000.0,0.0311465,0.0229149,323,8
20000.0,0.061624,0.0322215,323,8
50000.0,0.1545273,0.0519054,323,8
100000.0,0.3053903,0.07001,323,8
1000000.0,3.1508873,0.2467533,323,8
100.0,0.0013816,0.004861,273,4
200.0,0.0026876,0.0066838,273,4
500.0,0.0070458,0.0108468,273,4
1000.0,0.0141521,0.0151925,273,4
2000.0,0.0274387,0.0212274,273,4
5000.0,0.0700128,0.0310997,273,4
10000.0,0.140849,0.0432861,273,4
20000.0,0.2805907,0.0591494,273,4
50000.0,0.7046091,0.0997434,273,4
100000.0,1.4658468,0.1452154,273,4
1000000.0,12.560357,0.3385042,273,4
100.0,0.0008352999999999999,0.003767,298,4
200.0,0.0015312,0.0051091,298,4
500.0,0.003896,0.0080409,298,4
1000.0,0.007823999999999998,0.0113376,298,4
2000.0,0.015885,0.0162165,298,4
5000.0,0.0391323,0.0253466,298,4
10000.0,0.0805479,0.0325538,298,4
