Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0011599,0.0082182,273,5
200.0,0.0026753,0.0123912,273,5
500.0,0.0063079,0.0190028,273,5
1000.0,0.0129187,0.0274601,273,5
2000.0,0.0257516,0.0379937,273,5
5000.0,0.0641362,0.05995,273,5
10000.0,0.1262669,0.0711118,273,5
20000.0,0.2414949,0.0984197,273,5
50000.0,0.5328626,0.1382649,273,5
100000.0,0.9398709,0.1652685,273,5
100.0,0.0006171,0.0059057,298,5
200.0,0.0012399,0.008325,298,5
500.0,0.0031997,0.0134562,298,5
1000.0,0.0060051,0.0184132,298,5
2000.0,0.0127422,0.0270725,298,5
5000.0,0.0322424,0.042461,298,5
10000.0,0.0625592,0.0589617,298,5
20000.0,0.1221987,0.0809262,298,5
50000.0,0.286302,0.1056504,298,5
100000.0,0.5289353,0.1394034,298,5
100.0,0.0003642,0.003934,323,5
200.0,0.0007156,0.0055247,323,5
500.0,0.001757,0.0087107,323,5
1000.0,0.0033656,0.0119507,323,5
2000.0,0.0069764,0.0173697,323,5
5000.0,0.0170639,0.0267078,323,5
10000.0,0.0342993,0.0380225,323,5
20000.0,0.067253,0.0523537,323,5
50000.0,0.1628188,0.07420509999999998,323,5
100000.0,0.3106435,0.0969851,323,5
100.0,0.0015198,0.0092647,273,1
200.0,0.0032511,0.0136487,273,1
500.0,0.0077935,0.0209463,273,1
1000.0,0.0156441,0.0294925,273,1
2000.0,0.0319338,0.0430515,273,1
5000.0,0.07747769999999998,0.0655225,273,1
10000.0,0.1510757,0.0797052,273,1
20000.0,0.2906809,0.1083965,273,1
50000.0,0.6445159,0.1508615,273,1
100000.0,1.051125,0.1753621,273,1
100.0,0.0007885,0.0067144,298,1
200.0,0.0014741,0.0091659,298,1
500.0,0.0038625,0.0148589,298,1
1000.0,0.0079363,0.0214402,298,1
2000.0,0.0155527,0.029936,298,1
5000.0,0.0381332,0.0464947,298,1
10000.0,0.07356949999999998,0.0642145,298,1
20000.0,0.1467619,0.077964,298,1
50000.0,0.3394276,0.1199821,298,1
100000.0,0.6130963,0.1448536,298,1
100.0,0.0003857,0.004047,323,1
200.0,0.0007328,0.0055556,323,1
500.0,0.0020526,0.0093302,323,1
1000.0,0.0041439,0.0133153,323,1
2000.0,0.0083948,0.0187538,323,1
5000.0,0.0200951,0.0292701,323,1
10000.0,0.0407047,0.0419008,323,1
20000.0,0.0787298,0.0569909,323,1
50000.0,0.1919715,0.0809359,323,1
100000.0,0.3595941,0.0998703,323,1
100.0,0.0010456,0.0077008,273,6
200.0,0.0024969,0.0118468,273,6
500.0,0.0064908,0.0193166,273,6
1000.0,0.0131586,0.0275007,273,6
2000.0,0.0254888,0.0379904,273,6
5000.0,0.0640448,0.0594851,273,6
10000.0,0.1263297,0.0718195,273,6
20000.0,0.2420398,0.1037274,273,6
50000.0,0.5467929,0.1423074,273,6
100000.0,0.9318892,0.1713764,273,6
100.0,0.0006456,0.0060393,298,6
200.0,0.0013999,0.0089797,298,6
500.0,0.002994,0.0130109,298,6
1000.0,0.0062965,0.0190066,298,6
2000.0,0.0132786,0.0273775,298,6
5000.0,0.0311838,0.0416059,298,6
10000.0,0.0622964,0.058003,298,6
20000.0,0.120896,0.0804894,298,6
50000.0,0.2889945,0.1112461,298,6
100000.0,0.5380132,0.1437937,298,6
100.0,0.00028,0.0039898,323,6
200.0,0.0007255999999999999,0.006398,323,6
500.0,0.0015198,0.0092647,323,6
1000.0,0.0035482,0.0142778,323,6
2000.0,0.007290699999999998,0.0203233,323,6
5000.0,0.0170039,0.0309824,323,6
10000.0,0.0337222,0.0432532,323,6
20000.0,0.0688785,0.0619631,323,6
50000.0,0.1615432,0.0813339,323,6
100000.0,0.311002,0.1127344,323,6
100.0,0.0015027,0.0092499,273,2
200.0,0.003154,0.0132716,273,2
500.0,0.0078163,0.0213394,273,2
1000.0,0.0154841,0.0298186,273,2
2000.0,0.0322766,0.042304,273,2
5000.0,0.0768091,0.0648739,273,2
10000.0,0.1531898,0.0789349,273,2
20000.0,0.2881358,0.1045794,273,2
50000.0,0.6400937,0.151672,273,2
100000.0,1.0647162,0.1785441,273,2
100.0,0.0009313,0.0072351,298,2
200.0,0.0013541,0.0087661,298,2
500.0,0.003651,0.0146137,298,2
1000.0,0.007633499999999999,0.0207393,298,2
2000.0,0.0155298,0.0294975,298,2
5000.0,0.0372475,0.0459633,298,2
10000.0,0.07389519999999998,0.063842,298,2
20000.0,0.1480475,0.0781513,298,2
50000.0,0.3402161,0.1131066,298,2
100000.0,0.6271063,0.1478514,298,2
100.0,0.0003371,0.0043758,323,2
200.0,0.0008285,0.0068301,323,2
500.0,0.0018969,0.0103318,323,2
1000.0,0.004131,0.0152966,323,2
2000.0,0.007827799999999998,0.0212278,323,2
5000.0,0.0210321,0.0343679,323,2
10000.0,0.0399901,0.0471731,323,2
20000.0,0.0820657,0.0675073,323,2
50000.0,0.1944198,0.08974469999999998,323,2
100000.0,0.361951,0.1222827,323,2
100.0,0.0012727,0.0073997,273,8
200.0,0.0025026,0.0103015,273,8
500.0,0.0066079,0.0170671,273,8
1000.0,0.0127187,0.0234209,273,8
2000.0,0.0257459,0.0330838,273,8
5000.0,0.0644462,0.0518533,273,8
10000.0,0.1247485,0.0617354,273,8
20000.0,0.2379696,0.09004969999999998,273,8
50000.0,0.5353498,0.1208542,273,8
100000.0,0.902421,0.146104,273,8
100.0,0.0006214,0.0051938,298,8
200.0,0.0013934,0.0076248,298,8
500.0,0.0031154,0.0115952,298,8
1000.0,0.0064097,0.0164865,298,8
2000.0,0.0125516,0.0230095,298,8
5000.0,0.0313425,0.0362214,298,8
10000.0,0.061755,0.0510816,298,8
20000.0,0.1217017,0.0620965,298,8
50000.0,0.2878587,0.0946379,298,8
100000.0,0.52234,0.1227574,298,8
100.0,0.0003857,0.0040922,323,8
200.0,0.0007885,0.0057909,323,8
500.0,0.0016927,0.0084779,323,8
1000.0,0.0032482,0.0117712,323,8
2000.0,0.0071093,0.0174056,323,8
5000.0,0.0168708,0.0269753,323,8
10000.0,0.0335272,0.0382588,323,8
20000.0,0.0674844,0.0526863,323,8
50000.0,0.1606762,0.08048719999999998,323,8
100000.0,0.3081366,0.1102478,323,8
100.0,0.0015684,0.0081601,273,4
200.0,0.0031625,0.0115427,273,4
500.0,0.0078378,0.0183541,273,4
1000.0,0.0156155,0.0255329,273,4
2000.0,0.0316296,0.0369903,273,4
5000.0,0.0767106,0.0560608,273,4
10000.0,0.1496459,0.0706977,273,4
20000.0,0.2854817,0.0960658,273,4
50000.0,0.6375657,0.1263317,273,4
100000.0,1.0284775,0.1579625,273,4
100.0,0.0006599,0.0053115,298,4
200.0,0.0016113,0.0083079,298,4
500.0,0.0040582,0.0131894,298,4
1000.0,0.0077863,0.0182456,298,4
2000.0,0.0151656,0.0254696,298,4
5000.0,0.0381089,0.0399116,298,4
10000.0,0.071714,0.0549434,298,4
20000.0,0.1462006,0.067815,298,4
50000.0,0.34388,0.099344,298,4
100000.0,0.6141676,0.1220917,298,4
100.0,0.0004588,0.0044515,323,4
200.0,0.0008656,0.0060287,323,4
500.0,0.0020912,0.0094683,323,4
1000.0,0.004311,0.0136376,323,4
2000.0,0.0084034,0.0189739,323,4
5000.0,0.0200722,0.0289946,323,4
10000.0,0.0411643,0.0415262,323,4
20000.0,0.08127439999999998,0.058379,323,4
50000.0,0.1917058,0.08958679999999998,323,4
100000.0,0.369262,0.1189843,323,4
100.0,0.0012862,0.0074117,273,7
200.0,0.0026496,0.0106539,273,7
500.0,0.0063968,0.0164859,273,7
1000.0,0.0127915,0.0233379,273,7
2000.0,0.0248974,0.0327603,273,7
5000.0,0.0631922,0.051782,273,7
10000.0,0.1228373,0.0625742,273,7
20000.0,0.2358184,0.0871865,273,7
50000.0,0.5294474,0.1213039,273,7
100000.0,0.9202133,0.1377958,273,7
100.0,0.0006856,0.005411,298,7
200.0,0.0012813,0.007423,298,7
500.0,0.0029526,0.0112689,298,7
1000.0,0.0061494,0.0160859,298,7
2000.0,0.0123416,0.0229434,298,7
5000.0,0.0309868,0.0367642,298,7
10000.0,0.0597838,0.0494015,298,7
20000.0,0.1187191,0.0618533,298,7
50000.0,0.2766613,0.08934449999999998,298,7
100000.0,0.5165892,0.1186712,298,7
100.0,0.00033,0.0037458,323,7
200.0,0.0006603,0.0053472,323,7
500.0,0.0017912,0.008724799999999998,323,7
1000.0,0.0032868,0.0120459,323,7
2000.0,0.0064793,0.0166927,323,7
5000.0,0.016314,0.0259238,323,7
10000.0,0.0328809,0.0373471,323,7
20000.0,0.0647828,0.0523274,323,7
