Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0010316,0.0065609,273,5
200.0,0.0022496,0.0095151,273,5
500.0,0.0053733,0.0148957,273,5
1000.0,0.0103571,0.0206935,273,5
2000.0,0.0206521,0.0294695,273,5
5000.0,0.0512635,0.0394276,273,5
10000.0,0.1036331,0.0577573,273,5
20000.0,0.2022907,0.0789985,273,5
50000.0,0.4650751,0.107912,273,5
100000.0,0.7730652999999998,0.1280089,273,5
100.0,0.0004391,0.0042829,298,5
200.0,0.0010191,0.0065235,298,5
500.0,0.002523,0.0102145,298,5
1000.0,0.0048596,0.0142997,298,5
2000.0,0.0098931,0.0202014,298,5
5000.0,0.0240699,0.031552,298,5
10000.0,0.0478581,0.0441385,298,5
20000.0,0.0946473,0.0562863,298,5
50000.0,0.2280633,0.0806292,298,5
100000.0,0.4180391,0.1052637,298,5
100.0,0.000203,0.0028929,323,5
200.0,0.000522,0.0046946,323,5
500.0,0.0013133,0.0073755,323,5
1000.0,0.0025851,0.0102744,323,5
2000.0,0.0052655,0.0147258,323,5
5000.0,0.0128759,0.0229097,323,5
10000.0,0.025727,0.0330639,323,5
20000.0,0.0519554,0.0458403,323,5
50000.0,0.126021,0.0611853,323,5
100000.0,0.2364423,0.0840823,323,5
100.0,0.0008576,0.0059564,273,1
200.0,0.0016903,0.0083203,273,1
500.0,0.0039026,0.0127372,273,1
1000.0,0.008654399999999998,0.0187603,273,1
2000.0,0.0156351,0.0258312,273,1
5000.0,0.0406785,0.0408899,273,1
10000.0,0.08073149999999998,0.0498437,273,1
20000.0,0.1561394,0.0673669,273,1
50000.0,0.3692535,0.103155,273,1
100000.0,0.6538929,0.1191844,273,1
100.0,0.0003604,0.0038917,298,1
200.0,0.0007954,0.0057452,298,1
500.0,0.0019181,0.008823,298,1
1000.0,0.0036913,0.0123009,298,1
2000.0,0.0079085,0.0183353,298,1
5000.0,0.0198069,0.0285622,298,1
10000.0,0.0391581,0.0403283,298,1
20000.0,0.07665189999999998,0.0486273,298,1
50000.0,0.1794802,0.0714084,298,1
100000.0,0.3505476,0.09651630000000001,298,1
100.0,0.000261,0.0032779,323,1
200.0,0.0004309,0.0042029,323,1
500.0,0.0010233,0.0064567,323,1
1000.0,0.0018436,0.008877599999999998,323,1
