Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1023232,0.0626471,273,5
200.0,0.2112495,0.0925772,273,5
500.0,0.502081,0.1419545,273,5
1000.0,0.9940937,0.1928071,273,5
2000.0,1.7222548,0.2405386,273,5
5000.0,3.249772,0.2684903,273,5
10000.0,4.4395623,0.2407912,273,5
20000.0,5.4726003,0.2222337,273,5
50000.0,6.3645051,0.1838703,273,5
100000.0,7.0658113,0.1516834,273,5
1000000.0,8.3416823,0.1152035,273,5
100.0,0.0311201,0.0419367,298,5
200.0,0.0639744,0.0525448,298,5
500.0,0.1585648,0.0795967,298,5
1000.0,0.3056253,0.1105466,298,5
2000.0,0.6224205,0.1604006,298,5
5000.0,1.370448,0.2110062,298,5
10000.0,2.3262909,0.2629162,298,5
20000.0,3.5201048,0.258656,298,5
50000.0,4.9169622,0.2327328,298,5
100000.0,5.7527951,0.2108951,298,5
1000000.0,7.635003799999998,0.1816486,298,5
100.0,0.0120482,0.0219651,323,5
200.0,0.0244054,0.0307438,323,5
500.0,0.0595325,0.0417289,323,5
1000.0,0.1204736,0.0582807,323,5
2000.0,0.2395229,0.0799997,323,5
5000.0,0.5744755,0.1203928,323,5
10000.0,1.0290616,0.1538117,323,5
20000.0,1.8504005,0.1983597,323,5
50000.0,3.3366834,0.2250197,323,5
100000.0,4.4179837,0.1999946,323,5
1000000.0,6.8537071,0.1432919,323,5
100.0,0.1184702,0.0699362,273,1
200.0,0.2446461,0.0995327,273,1
500.0,0.585507,0.156,273,1
1000.0,1.1564313,0.2103346,273,1
2000.0,2.1731585,0.2704693,273,1
5000.0,3.9666336,0.2796144,273,1
10000.0,5.1826852,0.237005,273,1
20000.0,6.0258919,0.2038265,273,1
50000.0,6.9319194,0.1906814,273,1
100000.0,7.4709541,0.1566606,273,1
1000000.0,8.784023899999998,0.12722,273,1
100.0,0.0369016,0.0464855,298,1
200.0,0.0734452,0.0578466,298,1
500.0,0.1774177,0.0841644,298,1
1000.0,0.3507142,0.1229507,298,1
2000.0,0.6928016,0.1681899,298,1
5000.0,1.6605996,0.2413495,298,1
10000.0,2.9014645,0.2987657,298,1
20000.0,4.1846689,0.249345,298,1
50000.0,5.557331,0.2175083,298,1
100000.0,6.3063487,0.1972312,298,1
1000000.0,8.1484464,0.1354779,298,1
100.0,0.013942,0.0234111,323,1
200.0,0.0273324,0.0331013,323,1
500.0,0.067472,0.0467099,323,1
1000.0,0.1371235,0.0628425,323,1
2000.0,0.272263,0.0864853,323,1
5000.0,0.6622978,0.1354023,323,1
10000.0,1.2519467,0.1772772,323,1
20000.0,2.2272225,0.2130111,323,1
50000.0,3.8939315,0.2147331,323,1
100000.0,5.033925,0.1854993,323,1
1000000.0,7.328819799999998,0.1565637,323,1
100.0,0.1000106,0.0626787,273,6
200.0,0.1974151,0.0900829,273,6
500.0,0.489699,0.1330267,273,6
1000.0,0.9242861000000001,0.1889917,273,6
2000.0,1.7186475,0.255424,273,6
5000.0,3.5365953,0.2847355,273,6
10000.0,4.7510969,0.2648132,273,6
20000.0,5.7980632,0.2074024,273,6
50000.0,6.8240898,0.1933409,273,6
100000.0,7.4150753,0.1570013,273,6
1000000.0,8.7793585,0.1069123,273,6
100.0,0.032206,0.0429489,298,6
200.0,0.0605088,0.0501283,298,6
500.0,0.1554671,0.0813466,298,6
1000.0,0.3162315,0.110554,298,6
2000.0,0.5990303,0.1546766,298,6
5000.0,1.3693503,0.2099885,298,6
10000.0,2.4368416,0.2682989,298,6
20000.0,3.782221,0.2712432,298,6
50000.0,5.279307,0.2231251,298,6
100000.0,6.2091861,0.2232679,298,6
1000000.0,7.9634003,0.1706305,298,6
100.0,0.0115042,0.0261166,323,6
200.0,0.0238185,0.0376897,323,6
500.0,0.0593055,0.0592702,323,6
1000.0,0.1157115,0.07283349999999998,323,6
2000.0,0.2348861,0.0974259,323,6
5000.0,0.5719922,0.1467866,323,6
10000.0,1.0483254,0.1973041,323,6
20000.0,1.9163756,0.2434169,323,6
50000.0,3.5311013,0.2701744,323,6
100000.0,4.6936438,0.2567716,323,6
1000000.0,7.1453489,0.1797085,323,6
100.0,0.4503605,0.125609,273,2
200.0,0.8599417,0.1633202,273,2
500.0,1.7754364,0.2162085,273,2
1000.0,2.7908587,0.2598209,273,2
2000.0,3.9014373,0.2498256,273,2
5000.0,5.1451691,0.2351793,273,2
10000.0,5.9909358,0.1987161,273,2
20000.0,6.6442547,0.1908621,273,2
50000.0,7.4572833,0.1711244,273,2
100000.0,7.884286099999998,0.1400819,273,2
1000000.0,9.007080999999998,0.171945,273,2
100.0,0.1150177,0.0675912,298,2
200.0,0.2303841,0.0964443,298,2
500.0,0.5174921,0.1360672,298,2
1000.0,0.9612892,0.1726317,298,2
2000.0,1.7386016,0.2204115,298,2
5000.0,3.1430103,0.2628664,298,2
10000.0,4.3150481,0.2310792,298,2
20000.0,5.1620218,0.209921,298,2
50000.0,6.2055221,0.1911804,298,2
100000.0,6.8282995,0.1590103,298,2
1000000.0,8.333057399999998,0.1655329,298,2
100.0,0.0356573,0.0369972,323,2
200.0,0.0705104,0.0537327,323,2
500.0,0.1770366,0.0837741,323,2
1000.0,0.3454759,0.1145201,323,2
2000.0,0.6565394,0.1486512,323,2
5000.0,1.4615195,0.2089152,323,2
10000.0,2.3722214,0.2446322,323,2
20000.0,3.5548862,0.2481241,323,2
50000.0,4.8981125,0.2390516,323,2
100000.0,5.6870697,0.2104668,323,2
1000000.0,7.6981687,0.1740356,323,2
100.0,0.0191072,0.0272752,273,8
200.0,0.039044,0.0392706,273,8
500.0,0.0954695,0.0613503,273,8
1000.0,0.1940882,0.0777597,273,8
2000.0,0.3813723,0.1072812,273,8
5000.0,0.8970091,0.1575057,273,8
10000.0,1.6887108,0.205109,273,8
20000.0,2.8202941,0.2310679,273,8
50000.0,4.4932488,0.2055025,273,8
100000.0,5.412028,0.1794327,273,8
1000000.0,7.4617209,0.128628,273,8
100.0,0.0075443,0.0170577,298,8
200.0,0.0157968,0.0245906,298,8
500.0,0.0375453,0.038048,298,8
1000.0,0.0771723,0.0549388,298,8
2000.0,0.1539533,0.0683556,298,8
5000.0,0.3761221,0.1064991,298,8
10000.0,0.7262750999999998,0.1420686,298,8
20000.0,1.3280092,0.1847532,298,8
50000.0,2.7026455,0.2258431,298,8
100000.0,3.8700823,0.2163956,298,8
1000000.0,6.5335214,0.1330603,298,8
100.0,0.0035491,0.0118477,323,8
200.0,0.007106,0.0164543,323,8
500.0,0.0174677,0.0260715,323,8
1000.0,0.0351427,0.0365969,323,8
2000.0,0.0702305,0.0523599,323,8
5000.0,0.1720352,0.0811656,323,8
10000.0,0.3468723,0.1140604,323,8
20000.0,0.6602885,0.1518951,323,8
50000.0,1.468906,0.2093164,323,8
100000.0,2.4762809,0.2566707,323,8
1000000.0,5.657525,0.2012327,323,8
100.0,0.0137581,0.0234251,273,4
200.0,0.0267337,0.0319968,273,4
500.0,0.0693972,0.0518587,273,4
1000.0,0.1372604,0.064356,273,4
2000.0,0.2697039,0.08921179999999998,273,4
5000.0,0.6618738,0.1367199,273,4
10000.0,1.2428325,0.1902416,273,4
20000.0,2.272865,0.2264691,273,4
50000.0,4.0243062,0.2279886,273,4
100000.0,5.1233336,0.1961572,273,4
1000000.0,7.322388499999998,0.1244925,273,4
100.0,0.0057052,0.0148973,298,4
200.0,0.0115669,0.0213616,298,4
500.0,0.0280093,0.0333555,298,4
1000.0,0.0555569,0.0467955,298,4
2000.0,0.1117907,0.0664937,298,4
5000.0,0.2808325,0.0910008,298,4
10000.0,0.5353721,0.1284893,298,4
20000.0,1.0202056,0.1660486,298,4
50000.0,2.2382668,0.228274,298,4
100000.0,3.4798256,0.2373812,298,4
1000000.0,6.4714977,0.162749,298,4
100.0,0.0026178,0.0101304,323,4
200.0,0.0054313,0.0143632,323,4
500.0,0.0135351,0.023052,323,4
1000.0,0.0264324,0.0323906,323,4
2000.0,0.0538117,0.0459845,323,4
5000.0,0.1355778,0.07385079999999998,323,4
10000.0,0.2632539,0.1008417,323,4
20000.0,0.5136368,0.1417028,323,4
50000.0,1.1697715,0.2073546,323,4
100000.0,2.090289,0.2442493,323,4
1000000.0,5.5689399,0.2097548,323,4
100.0,0.0937321,0.0498508,273,7
200.0,0.1895469,0.0699103,273,7
500.0,0.4519081,0.1157545,273,7
1000.0,0.8640854,0.1464245,273,7
2000.0,1.5429308,0.1757567,273,7
5000.0,2.8417084,0.199809,273,7
10000.0,4.0164287,0.2028557,273,7
20000.0,5.0727469,0.1861088,273,7
50000.0,6.1013477,0.1491443,273,7
100000.0,6.6200376,0.1167594,273,7
1000000.0,7.7294562,0.129798,273,7
100.0,0.0280641,0.0284824,298,7
200.0,0.0562025,0.0390208,298,7
500.0,0.1489762,0.0652334,298,7
1000.0,0.2772521,0.0835222,298,7
