Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0147149,0.0278584,273,5
200.0,0.0282871,0.0388668,273,5
500.0,0.0717696,0.0624693,273,5
1000.0,0.1472607,0.0900537,273,5
2000.0,0.2978957,0.1152724,273,5
5000.0,0.7972055999999998,0.1850078,273,5
10000.0,1.7130761,0.2831423,273,5
20000.0,3.8774851,0.4163016,273,5
50000.0,7.4753396,0.3252525,273,5
100000.0,9.120714,0.2578932,273,5
1000000.0,12.0247813,0.1931707,273,5
100.0,0.0062415,0.0182656,298,5
200.0,0.01275,0.0257931,298,5
500.0,0.0316935,0.0414482,298,5
1000.0,0.062378,0.057806,298,5
2000.0,0.1282264,0.08305369999999998,298,5
5000.0,0.3216819,0.1230502,298,5
10000.0,0.6747379,0.1759271,298,5
20000.0,1.3820003,0.2599788,298,5
50000.0,3.6655434,0.3815801,298,5
100000.0,6.1551812,0.366468,298,5
1000000.0,10.67761,0.2097175,298,5
100.0,0.0031138,0.0099851,323,5
200.0,0.0065993,0.0143896,323,5
500.0,0.0160593,0.0224749,323,5
1000.0,0.0320224,0.0321248,323,5
2000.0,0.0634714,0.0453901,323,5
5000.0,0.1631491,0.0645531,323,5
10000.0,0.3320357,0.0915441,323,5
20000.0,0.6481952,0.1268991,323,5
50000.0,1.6880214,0.2078242,323,5
100000.0,3.309951,0.2685282,323,5
1000000.0,9.2524063,0.1874503,323,5
100.0,0.0294498,0.040172,273,1
200.0,0.0596977,0.0573002,273,1
500.0,0.1508539,0.0755722,273,1
1000.0,0.3019482,0.1109103,273,1
2000.0,0.6364495,0.1631128,273,1
5000.0,1.7797249,0.3035446,273,1
10000.0,4.1461397,0.3966585,273,1
20000.0,7.0478442,0.3721299,273,1
50000.0,9.5553503,0.2632138,273,1
100000.0,10.592814,0.2210837,273,1
1000000.0,12.7576532,0.1877974,273,1
100.0,0.0120666,0.0253331,298,1
200.0,0.0243094,0.0361887,298,1
500.0,0.0607709,0.0573387,298,1
1000.0,0.1219208,0.0811757,298,1
2000.0,0.2474358,0.1021409,298,1
5000.0,0.6334826,0.1662441,298,1
10000.0,1.3149566,0.2398413,298,1
20000.0,2.875219,0.3606267,298,1
50000.0,6.3119867,0.3648498,298,1
100000.0,8.370211599999998,0.3001627,298,1
1000000.0,11.6901129,0.1685834,298,1
100.0,0.0057695,0.013639,323,1
200.0,0.0116763,0.0193939,323,1
500.0,0.0286779,0.0303003,323,1
1000.0,0.0576506,0.0429229,323,1
2000.0,0.1159868,0.0534274,323,1
5000.0,0.2950511,0.08909989999999998,323,1
10000.0,0.5836638,0.1156404,323,1
20000.0,1.2079114,0.171694,323,1
50000.0,3.088194,0.2607916,323,1
100000.0,5.4128461,0.2825951,323,1
1000000.0,10.5442082,0.1601211,323,1
100.0,0.0143411,0.0275606,273,6
200.0,0.0284046,0.0389717,273,6
500.0,0.0702533,0.0617705,273,6
1000.0,0.1435339,0.08934749999999998,273,6
2000.0,0.3013128,0.1137891,273,6
5000.0,0.7815647999999998,0.1844086,273,6
10000.0,1.675122,0.2927646,273,6
20000.0,3.8436666,0.3945849,273,6
50000.0,7.486316399999998,0.3460807,273,6
100000.0,9.1468439,0.2719806,273,6
1000000.0,11.875828,0.188478,273,6
100.0,0.0061454,0.0177606,298,6
200.0,0.0122962,0.0258641,298,6
500.0,0.0305189,0.040475,298,6
1000.0,0.0631094,0.0582653,298,6
2000.0,0.1252791,0.0817336,298,6
5000.0,0.3209717,0.1201578,298,6
10000.0,0.6633751,0.1715773,298,6
20000.0,1.384451,0.2371658,298,6
50000.0,3.6656354,0.355505,298,6
100000.0,6.1850484,0.3565635,298,6
1000000.0,10.6186639,0.1824127,298,6
100.0,0.0032035,0.0130783,323,6
200.0,0.0061454,0.0181731,323,6
500.0,0.0161297,0.0297771,323,6
1000.0,0.0309033,0.0413432,323,6
2000.0,0.0635739,0.0586471,323,6
5000.0,0.1589482,0.0912625,323,6
10000.0,0.3225693,0.1198973,323,6
20000.0,0.6605186,0.1668685,323,6
50000.0,1.6299794,0.2650406,323,6
100000.0,3.2961971,0.3308581,323,6
1000000.0,9.2849505,0.2428926,323,6
100.0,0.02914,0.0389157,273,2
200.0,0.0585658,0.0565127,273,2
500.0,0.1490546,0.078696,273,2
1000.0,0.3104215,0.1157588,273,2
2000.0,0.6466794,0.1615325,273,2
5000.0,1.7670952,0.2944682,273,2
10000.0,4.1105582,0.4190198,273,2
20000.0,7.0481869,0.3574371,273,2
50000.0,9.5029419,0.2426699,273,2
100000.0,10.6655866,0.2074745,273,2
1000000.0,12.7167034,0.1951465,273,2
100.0,0.0122642,0.0258573,298,2
200.0,0.0239303,0.0360749,298,2
500.0,0.059388,0.0564162,298,2
1000.0,0.1205112,0.08005959999999998,298,2
2000.0,0.2480809,0.1029231,298,2
5000.0,0.6235894,0.1626636,298,2
10000.0,1.321824,0.2364855,298,2
20000.0,2.8545533,0.3549735,298,2
50000.0,6.2991019,0.3841313,298,2
100000.0,8.3329809,0.2866746,298,2
1000000.0,11.6958291,0.1991946,298,2
100.0,0.0058013,0.0175995,323,2
200.0,0.0110523,0.0243374,323,2
500.0,0.0284402,0.0389533,323,2
1000.0,0.0568946,0.0551852,323,2
2000.0,0.1151655,0.0782689,323,2
5000.0,0.2925512,0.1121961,323,2
10000.0,0.5843907,0.1526142,323,2
20000.0,1.1869225,0.22161,323,2
50000.0,3.0526514,0.3356665,323,2
100000.0,5.3894692,0.3754454,323,2
1000000.0,10.4370259,0.2163342,323,2
100.0,0.0120965,0.0198623,273,8
200.0,0.0235875,0.0275571,273,8
500.0,0.0593933,0.0439699,273,8
1000.0,0.1217531,0.0549415,273,8
2000.0,0.2464759,0.0788909,273,8
5000.0,0.6404132,0.1319181,273,8
10000.0,1.388136,0.2027184,273,8
20000.0,3.2167979,0.2874911,273,8
50000.0,6.9052966,0.2858853,273,8
100000.0,8.8144779,0.2133602,273,8
1000000.0,11.9074842,0.1230134,273,8
100.0,0.0056766,0.0133706,298,8
200.0,0.011081,0.0190509,298,8
500.0,0.026695,0.0293208,298,8
1000.0,0.0557701,0.0421086,298,8
2000.0,0.1109637,0.0606447,298,8
5000.0,0.284348,0.0864313,298,8
10000.0,0.5665721,0.1192978,298,8
20000.0,1.172163,0.1785773,298,8
50000.0,3.1882499,0.2838094,298,8
100000.0,5.6210634,0.2843639,298,8
1000000.0,10.5703279,0.1642873,298,8
100.0,0.0028383,0.009468,323,8
200.0,0.0053226,0.0128851,323,8
500.0,0.0141634,0.0212291,323,8
1000.0,0.0279539,0.030017,323,8
2000.0,0.0575289,0.0430883,323,8
5000.0,0.1433705,0.06943,323,8
10000.0,0.2906269,0.096558,323,8
20000.0,0.5837625,0.1340822,323,8
50000.0,1.4790666,0.2162908,323,8
100000.0,2.9482271,0.3057017,323,8
1000000.0,9.0758889,0.2430785,323,8
100.0,0.0240809,0.0277294,273,4
200.0,0.0492253,0.0398483,273,4
500.0,0.1252866,0.0548141,273,4
1000.0,0.2514574,0.0803133,273,4
2000.0,0.52516,0.1169125,273,4
5000.0,1.4478871,0.2080089,273,4
10000.0,3.390805,0.3028332,273,4
20000.0,6.3882669,0.3209598,273,4
50000.0,9.230395,0.2179157,273,4
100000.0,10.4418256,0.1860256,273,4
1000000.0,12.9196407,0.1212601,273,4
100.0,0.0102256,0.0182154,298,4
200.0,0.021249,0.026154,298,4
500.0,0.0527909,0.0412487,298,4
1000.0,0.1048385,0.058963,298,4
2000.0,0.2110704,0.0754655,298,4
5000.0,0.5439741,0.1174578,298,4
10000.0,1.112354,0.1782498,298,4
20000.0,2.4360219,0.2613852,298,4
50000.0,5.7009857,0.3034569,298,4
100000.0,7.969549299999999,0.2540436,298,4
1000000.0,11.7065932,0.165199,298,4
100.0,0.0051737,0.0128628,323,4
200.0,0.0099822,0.0179599,323,4
500.0,0.0257179,0.0288088,323,4
1000.0,0.0503942,0.040305,323,4
2000.0,0.1021636,0.0574257,323,4
5000.0,0.2559295,0.0921206,323,4
10000.0,0.518862,0.1316393,323,4
20000.0,1.0456918,0.186215,323,4
50000.0,2.7410173,0.2968139,323,4
100000.0,4.9715745,0.3350439,323,4
1000000.0,10.3312993,0.2135602,323,4
100.0,16.8809539,0.07896799999999998,273,7
200.0,17.4926267,0.1047435,273,7
500.0,18.0658217,0.0420251,273,7
1000.0,18.3342639,0.0993483,273,7
2000.0,18.7350449,0.1005294,273,7
5000.0,19.056019,0.0235301,273,7
10000.0,19.1527684,0.0424602,273,7
20000.0,19.1919187,0.007490499999999998,273,7
50000.0,19.1969835,0.0116774,273,7
100000.0,19.2007476,0.0149434,273,7
1000000.0,19.2541759,0.025974,273,7
100.0,16.4023231,0.3065969,298,7
200.0,17.7100608,0.1027139,298,7
500.0,18.1516484,0.0329493,298,7
1000.0,18.5036571,0.1087137,298,7
2000.0,18.754687,0.0495375,298,7
5000.0,18.8781733,0.0347531,298,7
10000.0,18.991695,0.0116585,298,7
20000.0,19.0209946,0.0235789,298,7
50000.0,19.1432542,0.0209694,298,7
100000.0,19.1901279,0.005059,298,7
1000000.0,19.2065203,0.0186266,298,7
100.0,16.3864697,0.1660531,323,7
200.0,17.1017925,0.07591649999999998,323,7
500.0,17.5629125,0.095569,323,7
1000.0,17.9242407,0.1032678,323,7
2000.0,18.2891591,0.0733974,323,7
5000.0,18.3854603,0.008439399999999998,323,7
10000.0,18.5206573,0.0538827,323,7
20000.0,18.7435502,0.0458841,323,7
50000.0,18.9738358,0.0569964,323,7
100000.0,19.1083861,0.0262566,323,7
1000000.0,19.1595118,0.0151958,323,7
100.0,17.1139108,0.1636652,273,3
200.0,17.9994579,0.1416508,273,3
500.0,18.5370336,0.1925109,273,3
1000.0,18.8441889,0.0126161,273,3
2000.0,18.9704719,0.0773615,273,3
5000.0,19.0942848,0.0050749,273,3
10000.0,19.1262977,0.0054953,273,3
20000.0,19.1324132,0.0112425,273,3
50000.0,19.1834133,0.0149639,273,3
100000.0,19.1977651,0.0144301,273,3
1000000.0,19.2905509,0.0379637,273,3
100.0,16.8883824,0.1885544,298,3
200.0,17.4998813,0.079282,298,3
500.0,18.255994,0.1216525,298,3
1000.0,18.7766781,0.1421222,298,3
2000.0,19.0398189,0.036442,298,3
5000.0,19.1251444,0.0016766,298,3
10000.0,19.1255064,0.0033272,298,3
20000.0,19.1496195,0.0138635,298,3
50000.0,19.1585988,0.0059859,298,3
100000.0,19.1899262,0.0095086,298,3
1000000.0,19.2196035,0.0268543,298,3
100.0,16.7224242,0.1365845,323,3
200.0,17.3123343,0.0548621,323,3
500.0,18.00357,0.0685086,323,3
1000.0,18.4278422,0.0491362,323,3
2000.0,18.7164706,0.0701573,323,3
5000.0,18.9062957,0.0684204,323,3
10000.0,19.1276286,0.0079512,323,3
20000.0,19.125347,0.0028019,323,3
50000.0,19.1257178,0.0042075,323,3
100000.0,19.1568009,0.007151,323,3
1000000.0,19.2050786,0.023103,323,3
