Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0019604,0.008608299999999998,273,5
200.0,0.0038424,0.0119441,273,5
500.0,0.0092122,0.018477,273,5
1000.0,0.0186913,0.0261476,273,5
2000.0,0.0370951,0.037378,273,5
5000.0,0.0910723,0.0513961,273,5
10000.0,0.1818159,0.07287499999999998,273,5
20000.0,0.3443121,0.0938101,273,5
50000.0,0.7342425,0.1272582,273,5
100000.0,1.2274473,0.161447,273,5
100.0,0.0009111,0.0058811,298,5
200.0,0.0017775,0.008158399999999998,298,5
500.0,0.0045631,0.0130891,298,5
1000.0,0.0086072,0.0181239,298,5
2000.0,0.0174684,0.0253802,298,5
5000.0,0.0438427,0.0402421,298,5
10000.0,0.0865651,0.0480539,298,5
20000.0,0.1698479,0.0680956,298,5
50000.0,0.3974006,0.1009723,298,5
100000.0,0.6867251,0.1261699,298,5
100.0,0.000483,0.0034516,323,5
200.0,0.000946,0.0048628,323,5
500.0,0.0023525,0.0076231,323,5
1000.0,0.0046777,0.0108339,323,5
2000.0,0.0092483,0.0150829,323,5
5000.0,0.0233957,0.0241536,323,5
10000.0,0.0451011,0.0334386,323,5
20000.0,0.08851689999999998,0.0417056,323,5
50000.0,0.218993,0.0637846,323,5
100000.0,0.4046061,0.0835685,323,5
100.0,0.0028529,0.0103324,273,1
200.0,0.0057767,0.0147755,273,1
500.0,0.0141674,0.0230266,273,1
1000.0,0.0284654,0.0326647,273,1
2000.0,0.0557024,0.0443647,273,1
5000.0,0.1378459,0.0638665,273,1
10000.0,0.2632176,0.0841176,273,1
20000.0,0.4930837,0.1085962,273,1
50000.0,1.0071223,0.1435053,273,1
100000.0,1.5789097,0.1613629,273,1
100.0,0.0012248,0.0067136,298,1
200.0,0.0026326,0.009945,298,1
500.0,0.0064153,0.0154994,298,1
1000.0,0.012624,0.0218899,298,1
2000.0,0.0257246,0.0316307,298,1
5000.0,0.0640071,0.0485205,298,1
10000.0,0.125307,0.0607696,298,1
20000.0,0.2424361,0.0820579,298,1
50000.0,0.5425175,0.1154485,298,1
100000.0,0.9331749,0.1326195,298,1
100.0,0.0006373,0.0040559,323,1
200.0,0.001419,0.0059095,323,1
500.0,0.0032985,0.0090632,323,1
1000.0,0.006592,0.0126222,323,1
2000.0,0.0130496,0.0180345,323,1
5000.0,0.0328232,0.0285977,323,1
10000.0,0.0660074,0.0346523,323,1
20000.0,0.1286764,0.0500786,323,1
50000.0,0.3010673,0.0740524,323,1
100000.0,0.54138,0.0918822,323,1
100.0,0.0017289,0.008005099999999998,273,6
200.0,0.0036819,0.0118602,273,6
500.0,0.0088985,0.0183207,273,6
1000.0,0.0172667,0.0249878,273,6
2000.0,0.0358964,0.0366823,273,6
5000.0,0.0895861,0.0502818,273,6
10000.0,0.1728017,0.0702966,273,6
20000.0,0.3282577,0.0907871,273,6
50000.0,0.7122215,0.1230204,273,6
100000.0,1.1818108,0.152683,273,6
100.0,0.0008476999999999998,0.0056118,298,6
200.0,0.0016356,0.0078044,298,6
500.0,0.0043839,0.012839,298,6
1000.0,0.0083645,0.0177608,298,6
2000.0,0.0174646,0.025413,298,6
5000.0,0.0424325,0.0395812,298,6
10000.0,0.0837205,0.047554,298,6
20000.0,0.1644932,0.0653161,298,6
50000.0,0.3855438,0.0980702,298,6
100000.0,0.6769931,0.1289398,298,6
100.0,0.0004409,0.0041019,323,6
200.0,0.0008886999999999999,0.0057162,323,6
500.0,0.0022603,0.0091519,323,6
1000.0,0.0044175,0.0128329,323,6
2000.0,0.0090404,0.0184108,323,6
5000.0,0.0217962,0.0286824,323,6
10000.0,0.0437605,0.0401547,323,6
20000.0,0.0881297,0.0489484,323,6
50000.0,0.212787,0.07622969999999998,323,6
100000.0,0.3947853,0.1012313,323,6
100.0,0.0027745,0.01006,273,2
200.0,0.0053622,0.0142769,273,2
500.0,0.0132861,0.0221674,273,2
1000.0,0.0269793,0.0318498,273,2
2000.0,0.0540817,0.0441377,273,2
5000.0,0.1330152,0.0614136,273,2
10000.0,0.25449,0.082015,273,2
20000.0,0.4753875,0.1113257,273,2
50000.0,0.9698865,0.1404099,273,2
100000.0,1.534834,0.1589291,273,2
100.0,0.0011165,0.0064034,298,2
200.0,0.0025168,0.0096985,298,2
500.0,0.0062136,0.01521,298,2
1000.0,0.0125131,0.0212948,298,2
2000.0,0.0245857,0.0298524,298,2
5000.0,0.0622073,0.0481731,298,2
10000.0,0.1200045,0.058689,298,2
20000.0,0.2333061,0.0784707,298,2
50000.0,0.5284648,0.1178717,298,2
100000.0,0.9113537,0.137597,298,2
100.0,0.0006311,0.0048708,323,2
200.0,0.0012435,0.0068439,323,2
500.0,0.0032338,0.0109952,323,2
1000.0,0.0065908,0.0158843,323,2
2000.0,0.01267,0.0216315,323,2
5000.0,0.032573,0.0345604,323,2
10000.0,0.0643058,0.0489683,323,2
20000.0,0.1217782,0.0591822,323,2
50000.0,0.2931805,0.0904507,323,2
100000.0,0.5319674,0.1120978,323,2
100.0,0.0016189,0.0063177,273,8
200.0,0.0033068,0.0088716,273,8
500.0,0.0085363,0.0146543,273,8
1000.0,0.0170537,0.0205283,273,8
2000.0,0.0330996,0.0286616,273,8
5000.0,0.08457109999999998,0.0406292,273,8
10000.0,0.164898,0.0548399,273,8
20000.0,0.3105844,0.0725466,273,8
50000.0,0.6729482,0.1040409,273,8
100000.0,1.1584413,0.1232926,273,8
100.0,0.0007867,0.0044254,298,8
200.0,0.001541,0.006162,298,8
500.0,0.004018,0.009925,298,8
1000.0,0.0080459,0.0141601,298,8
2000.0,0.0164701,0.0203995,298,8
5000.0,0.0398858,0.0309447,298,8
10000.0,0.07961459999999998,0.0395735,298,8
20000.0,0.1557391,0.053764,298,8
50000.0,0.3644723,0.07694489999999998,298,8
100000.0,0.6350375,0.0973933,298,8
100.0,0.000463,0.0034001,323,8
200.0,0.0008388999999999998,0.0045744,323,8
500.0,0.0021583,0.0073505,323,8
1000.0,0.0043192,0.0103364,323,8
2000.0,0.008710499999999998,0.0146194,323,8
5000.0,0.0209835,0.0227456,323,8
10000.0,0.0420914,0.032441,323,8
20000.0,0.0842201,0.0445082,323,8
50000.0,0.2011215,0.0696408,323,8
100000.0,0.3797434,0.0915767,323,8
100.0,0.0025915,0.0080306,273,4
200.0,0.0051332,0.0112461,273,4
500.0,0.0127011,0.0178979,273,4
1000.0,0.0252329,0.0252701,273,4
2000.0,0.0507994,0.0349759,273,4
5000.0,0.1234038,0.0492151,273,4
10000.0,0.2419507,0.0680464,273,4
20000.0,0.4456313,0.0813652,273,4
50000.0,0.9320236,0.1153708,273,4
100000.0,1.5056623,0.1292079,273,4
100.0,0.0012597,0.005602,298,4
200.0,0.0024372,0.0077099,298,4
500.0,0.0059199,0.0121206,298,4
1000.0,0.0113974,0.0167279,298,4
2000.0,0.0229491,0.0235491,298,4
5000.0,0.0568822,0.0324989,298,4
10000.0,0.1138416,0.0458093,298,4
20000.0,0.218077,0.0640887,298,4
50000.0,0.4983445,0.0889412,298,4
100000.0,0.8748903999999998,0.1121366,298,4
100.0,0.0005776,0.0037968,323,4
200.0,0.0012547,0.005581,323,4
500.0,0.0029739,0.0085803,323,4
1000.0,0.0061589,0.0122867,323,4
2000.0,0.012024,0.0172457,323,4
5000.0,0.0301844,0.0270576,323,4
10000.0,0.0601025,0.0377497,323,4
20000.0,0.1186963,0.0542433,323,4
50000.0,0.2786797,0.0805484,323,4
100000.0,0.5086119,0.1032221,323,4
100.0,0.0016953,0.0065042,273,7
200.0,0.0035798,0.0093981,273,7
500.0,0.008966999999999998,0.0149419,273,7
1000.0,0.0177198,0.0209962,273,7
2000.0,0.0348621,0.0289619,273,7
5000.0,0.08566899999999998,0.0411036,273,7
10000.0,0.167705,0.0533133,273,7
20000.0,0.3208434,0.0729076,273,7
50000.0,0.6951427,0.1032693,273,7
100000.0,1.1702587,0.1204655,273,7
100.0,0.000807,0.0044648,298,7
200.0,0.001648,0.0063866,298,7
500.0,0.0042961,0.010373,298,7
1000.0,0.0084218,0.0145255,298,7
2000.0,0.0163407,0.0198647,298,7
5000.0,0.041362,0.0319553,298,7
10000.0,0.08049589999999998,0.0398739,298,7
20000.0,0.1606034,0.0534121,298,7
50000.0,0.3652733,0.07766389999999998,298,7
100000.0,0.6546368,0.101955,298,7
100.0,0.0004406,0.0033014,323,7
200.0,0.0008589,0.0046246,323,7
500.0,0.0021484,0.0072601,323,7
1000.0,0.0045607,0.0106039,323,7
2000.0,0.008481499999999998,0.0143833,323,7
5000.0,0.0214938,0.0230557,323,7
10000.0,0.0439286,0.0324925,323,7
20000.0,0.08461839999999998,0.0412696,323,7
50000.0,0.2025554,0.0599172,323,7
100000.0,0.3882523,0.0775634,323,7
100.0,0.0025268,0.0079427,273,3
200.0,0.0052477,0.0114936,273,3
500.0,0.0130247,0.0178418,273,3
1000.0,0.0267191,0.0257476,273,3
2000.0,0.0536498,0.0319016,273,3
5000.0,0.1281636,0.0484335,273,3
10000.0,0.2526752,0.0676498,273,3
20000.0,0.4547128,0.087046,273,3
50000.0,0.9589665,0.1186364,273,3
100000.0,1.541094,0.1251277,273,3
100.0,0.0012447,0.0055498,298,3
200.0,0.0023675,0.007755599999999999,298,3
500.0,0.006002,0.0122305,298,3
1000.0,0.0121634,0.0175795,298,3
2000.0,0.024165,0.0244401,298,3
5000.0,0.059749,0.0337194,298,3
10000.0,0.1167172,0.0472895,298,3
20000.0,0.2283805,0.0642242,298,3
50000.0,0.5128013,0.0868054,298,3
100000.0,0.8867572999999999,0.1107982,298,3
100.0,0.0007045,0.004173,323,3
200.0,0.0012099,0.0054676,323,3
500.0,0.0031118,0.008849799999999998,323,3
1000.0,0.0063381,0.0126197,323,3
2000.0,0.0121335,0.0171941,323,3
5000.0,0.0309985,0.0276885,323,3
10000.0,0.060914,0.0331173,323,3
20000.0,0.1189178,0.0464609,323,3
50000.0,0.2830132,0.0700544,323,3
100000.0,0.5195784,0.08800049999999998,323,3
