Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008689,0.007318,273,5
200.0,0.0018611,0.0106183,273,5
500.0,0.0044186,0.0163697,273,5
1000.0,0.0092008,0.0236928,273,5
2000.0,0.0183276,0.03365,273,5
5000.0,0.0458296,0.0531595,273,5
10000.0,0.0909601,0.0741417,273,5
20000.0,0.1802071,0.1034265,273,5
50000.0,0.4409705,0.1427058,273,5
100000.0,0.8519263999999999,0.1893328,273,5
100.0,0.0006224,0.006162,298,5
200.0,0.0012079,0.008675,298,5
500.0,0.0030505,0.013704,298,5
1000.0,0.0056634,0.0185549,298,5
2000.0,0.0114563,0.0263441,298,5
5000.0,0.0276578,0.0405507,298,5
10000.0,0.0562153,0.0584081,298,5
20000.0,0.1079012,0.0818224,298,5
50000.0,0.2741623,0.1143821,298,5
100000.0,0.5365232,0.1562636,298,5
100.0,0.0003636,0.0047196,323,5
200.0,0.0006471,0.0062816,323,5
500.0,0.0019104,0.0108222,323,5
1000.0,0.0037161,0.0152285,323,5
2000.0,0.0070254,0.0208988,323,5
5000.0,0.0182475,0.0336766,323,5
10000.0,0.0363224,0.0466981,323,5
20000.0,0.07326729999999998,0.0672323,323,5
50000.0,0.1824318,0.1023017,323,5
100000.0,0.3596809,0.1310656,323,5
100.0,0.000986,0.0078302,273,1
200.0,0.0021816,0.0116515,273,1
500.0,0.0054108,0.0182075,273,1
1000.0,0.0101313,0.0247866,273,1
2000.0,0.0207865,0.03575,273,1
5000.0,0.0528523,0.0570056,273,1
10000.0,0.1055505,0.0798117,273,1
20000.0,0.2121664,0.113742,273,1
50000.0,0.5108374,0.1471531,273,1
100000.0,0.9486479,0.1984871,273,1
100.0,0.0006594,0.0063405,298,1
200.0,0.001325,0.0090231,298,1
500.0,0.0030089,0.0139502,298,1
1000.0,0.0062797,0.0194797,298,1
2000.0,0.0125594,0.0276745,298,1
5000.0,0.0317683,0.0445996,298,1
10000.0,0.0617863,0.0610936,298,1
20000.0,0.1262904,0.0865988,298,1
50000.0,0.30659,0.1177103,298,1
100000.0,0.600676,0.1595375,298,1
100.0,0.0003759,0.0047984,323,1
200.0,0.0006532,0.0063111,323,1
500.0,0.0020152,0.0110637,323,1
1000.0,0.0042522,0.0162393,323,1
2000.0,0.007873599999999998,0.022035,323,1
5000.0,0.0207187,0.0358582,323,1
10000.0,0.041838,0.050803,323,1
20000.0,0.08341709999999998,0.0715651,323,1
50000.0,0.2007163,0.1103702,323,1
100000.0,0.3939573,0.1372069,323,1
100.0,0.0006779,0.0064278,273,6
200.0,0.0016577,0.0100465,273,6
500.0,0.0044063,0.0163498,273,6
1000.0,0.0084798,0.0229814,273,6
2000.0,0.0166452,0.0316608,273,6
5000.0,0.0403774,0.0495281,273,6
10000.0,0.0815868,0.0715019,273,6
20000.0,0.1628963,0.0990028,273,6
50000.0,0.3983409,0.1398134,273,6
100000.0,0.7696822,0.1821623,273,6
100.0,0.0004375,0.0052471,298,6
200.0,0.0009495,0.007590399999999998,298,6
500.0,0.0024774,0.0123842,298,6
1000.0,0.0051335,0.0176644,298,6
2000.0,0.0105257,0.0258703,298,6
5000.0,0.0254208,0.0395726,298,6
10000.0,0.0518892,0.0562264,298,6
20000.0,0.1047213,0.0797071,298,6
50000.0,0.2488463,0.1222367,298,6
100000.0,0.492004,0.1561956,298,6
100.0,0.0003944,0.0049143,323,6
200.0,0.0007334,0.0066825,323,6
500.0,0.0016947,0.0101905,323,6
1000.0,0.0031306,0.0138102,323,6
2000.0,0.0068405,0.0205391,323,6
5000.0,0.0168671,0.0321396,323,6
10000.0,0.034751,0.0461956,323,6
20000.0,0.0682357,0.0638608,323,6
50000.0,0.167041,0.0998244,323,6
100000.0,0.3300633,0.123141,323,6
100.0,0.0009059,0.007416599999999998,273,2
200.0,0.001744,0.0103303,273,2
500.0,0.004585,0.016635,273,2
1000.0,0.0095767,0.0243599,273,2
2000.0,0.0192273,0.0345687,273,2
5000.0,0.0468593,0.0540801,273,2
10000.0,0.0928336,0.07463019999999998,273,2
20000.0,0.187707,0.1071691,273,2
50000.0,0.4560271,0.1494345,273,2
100000.0,0.8632096,0.2016257,273,2
100.0,0.000567,0.0058837,298,2
200.0,0.0012818,0.008794899999999998,298,2
500.0,0.0025636,0.0124889,298,2
1000.0,0.0058668,0.0189881,298,2
2000.0,0.0112837,0.0261148,298,2
5000.0,0.0287506,0.0416779,298,2
