Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002918,0.0033523,273,5
200.0,0.0007756,0.0052959,273,5
500.0,0.0019539,0.0084469,273,5
1000.0,0.004074,0.0122463,273,5
2000.0,0.0077638,0.0168861,273,5
5000.0,0.0190438,0.0262203,273,5
10000.0,0.0375077,0.0371021,273,5
20000.0,0.07538549999999998,0.0525094,273,5
50000.0,0.1843288,0.0720455,273,5
100000.0,0.3656769,0.099517,273,5
100.0,0.0002179,0.0028287,298,5
200.0,0.0004802,0.0041838,298,5
500.0,0.0011893,0.0065827,298,5
1000.0,0.0023084,0.0091963,298,5
2000.0,0.0049124,0.0133229,298,5
5000.0,0.0119005,0.0208868,298,5
10000.0,0.023886,0.0299535,298,5
20000.0,0.0468536,0.0417803,298,5
50000.0,0.1179267,0.0654871,298,5
100000.0,0.2355395,0.082675,298,5
100.0,0.0001588,0.0024168,323,5
200.0,0.0003583,0.00362,323,5
500.0,0.0007387,0.0052234,323,5
1000.0,0.0017627,0.008045399999999998,323,5
2000.0,0.0035162,0.0113564,323,5
5000.0,0.0080814,0.0172423,323,5
10000.0,0.0165396,0.0247404,323,5
20000.0,0.0323996,0.0342746,323,5
50000.0,0.0792297,0.0540952,323,5
100000.0,0.1613577,0.0761777,323,5
100.0,0.0004284,0.0039549,273,1
200.0,0.000831,0.0055272,273,1
500.0,0.0018477,0.0083186,273,1
1000.0,0.0039484,0.0121534,273,1
2000.0,0.0078487,0.017028,273,1
5000.0,0.0200041,0.026718,273,1
10000.0,0.0395798,0.0381752,273,1
20000.0,0.0780995,0.0535343,273,1
50000.0,0.1941546,0.073755,273,1
100000.0,0.373799,0.1012733,273,1
100.0,0.0002807,0.0032077,298,1
200.0,0.0004839,0.0041996,298,1
500.0,0.0012041,0.0066419,298,1
1000.0,0.0024525,0.0095741,298,1
2000.0,0.0050306,0.0134725,298,1
5000.0,0.0126614,0.0213231,298,1
10000.0,0.0252652,0.0306888,298,1
20000.0,0.0490597,0.0426352,298,1
50000.0,0.1222703,0.0665516,298,1
100000.0,0.2431961,0.08486879999999998,298,1
100.0,0.0001551,0.0023886,323,1
200.0,0.000458,0.0041206,323,1
500.0,0.0008568999999999998,0.0055846,323,1
1000.0,0.0017655,0.0080681,323,1
2000.0,0.0035015,0.0112766,323,1
5000.0,0.0084249,0.0175071,323,1
10000.0,0.0168646,0.0249064,323,1
20000.0,0.0335889,0.0350007,323,1
50000.0,0.08475149999999998,0.0550918,323,1
100000.0,0.1664485,0.0675188,323,1
100.0,0.0004321,0.0040059,273,6
200.0,0.0008532,0.0055974,273,6
500.0,0.0019723,0.0084829,273,6
1000.0,0.0038191,0.011906,273,6
2000.0,0.007834,0.0169867,273,6
5000.0,0.0193785,0.0267705,273,6
10000.0,0.0397275,0.0384141,273,6
20000.0,0.07793329999999998,0.053057,273,6
50000.0,0.1953519,0.07383209999999998,273,6
100000.0,0.3831067,0.103104,273,6
100.0,0.0002585,0.0030794,298,6
200.0,0.0005577,0.0045345,298,6
500.0,0.001193,0.006613,298,6
1000.0,0.00229,0.0092379,298,6
2000.0,0.0048607,0.0135448,298,6
5000.0,0.0124841,0.0214146,298,6
10000.0,0.024994,0.0301328,298,6
20000.0,0.0492974,0.0426833,298,6
50000.0,0.1229056,0.0665006,298,6
100000.0,0.2409454,0.0851602,298,6
100.0,0.0001514,0.0023602,323,6
200.0,0.00034,0.0036038,323,6
500.0,0.00082,0.0055412,323,6
1000.0,0.0016444,0.0077424,323,6
2000.0,0.0032872,0.0110608,323,6
5000.0,0.008351,0.017651,323,6
10000.0,0.0169237,0.0247453,323,6
20000.0,0.0334264,0.0345413,323,6
50000.0,0.08335539999999998,0.0551369,323,6
100000.0,0.1653256,0.067384,323,6
100.0,0.0003841,0.0037833,273,2
200.0,0.0008568999999999998,0.0056575,273,2
500.0,0.0021644,0.0089993,273,2
1000.0,0.0040112,0.0121047,273,2
2000.0,0.008073999999999998,0.0170148,273,2
5000.0,0.0205101,0.0273306,273,2
10000.0,0.0409648,0.0391199,273,2
20000.0,0.0815455,0.0547441,273,2
50000.0,0.200385,0.075378,273,2
100000.0,0.3917238,0.1005574,273,2
100.0,0.0002401,0.0029681,298,2
200.0,0.0005134,0.0043242,298,2
500.0,0.0011524,0.0064427,298,2
1000.0,0.0026126,0.0099749,298,2
2000.0,0.0054073,0.0142364,298,2
5000.0,0.0128978,0.0217717,298,2
10000.0,0.0255887,0.0313716,298,2
20000.0,0.0506714,0.0427235,298,2
50000.0,0.1285751,0.0682257,298,2
100000.0,0.2468247,0.0842519,298,2
100.0,0.0001551,0.0023886,323,2
200.0,0.0003324,0.0034882,323,2
500.0,0.0009165000000000002,0.0057691,323,2
1000.0,0.0016842,0.007863,323,2
2000.0,0.0032651,0.0109931,323,2
5000.0,0.0085727,0.0178985,323,2
10000.0,0.01733,0.0249976,323,2
20000.0,0.0343128,0.0355185,323,2
50000.0,0.08511349999999998,0.0553577,323,2
100000.0,0.1688862,0.0688927,323,2
100.0,0.0003324,0.0034882,273,8
200.0,0.0007092,0.0051221,273,8
500.0,0.0018948,0.0082646,273,8
1000.0,0.0035347,0.0115591,273,8
2000.0,0.007353799999999998,0.0165534,273,8
5000.0,0.0183937,0.0260176,273,8
10000.0,0.0367247,0.0367253,273,8
20000.0,0.0729027,0.0520814,273,8
50000.0,0.1802881,0.0703146,273,8
