Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003353,0.0035181,273,5
200.0,0.0006445,0.0048856,273,5
500.0,0.001695,0.0080095,273,5
1000.0,0.0032931,0.0111248,273,5
2000.0,0.0064408,0.0155392,273,5
5000.0,0.0160145,0.0242075,273,5
10000.0,0.0326437,0.0345176,273,5
20000.0,0.0641884,0.0482554,273,5
50000.0,0.1588562,0.0662996,273,5
100000.0,0.318789,0.09282580000000001,273,5
100.0,0.0002272,0.0029006,298,5
200.0,0.0004656,0.0041721,298,5
500.0,0.0010877,0.006338,298,5
1000.0,0.0019818,0.0086058,298,5
2000.0,0.004094,0.0122094,298,5
5000.0,0.0106838,0.0197801,298,5
10000.0,0.0211552,0.0278365,298,5
20000.0,0.0420162,0.0391859,298,5
50000.0,0.1031276,0.061056,298,5
100000.0,0.2069763,0.0776208,298,5
100.0,0.0001838,0.0021284,323,5
200.0,0.0003154,0.0027809,323,5
500.0,0.0007202,0.0042841,323,5
1000.0,0.001433,0.005938,323,5
2000.0,0.0027641,0.008381899999999998,323,5
5000.0,0.0069015,0.013185,323,5
10000.0,0.0144611,0.0190049,323,5
20000.0,0.0284206,0.0265154,323,5
50000.0,0.0707236,0.042137,323,5
100000.0,0.142314,0.0532439,323,5
100.0,0.0004731,0.0042044,273,1
200.0,0.0011064,0.006411,273,1
500.0,0.002481,0.009611,273,1
1000.0,0.0047533,0.0132502,273,1
2000.0,0.0099164,0.0193256,273,1
5000.0,0.0247277,0.0303131,273,1
10000.0,0.049792,0.0426398,273,1
20000.0,0.0989182,0.060277,273,1
50000.0,0.2437928,0.0838166,273,1
100000.0,0.4755852,0.1168378,273,1
100.0,0.0002757,0.0031926,298,1
200.0,0.0005963,0.0047343,298,1
500.0,0.001531,0.0076171,298,1
1000.0,0.0031291,0.0108571,298,1
2000.0,0.0061465,0.0150846,298,1
5000.0,0.0156681,0.0241848,298,1
10000.0,0.0303899,0.0333037,298,1
20000.0,0.0610339,0.0482199,298,1
50000.0,0.1509961,0.0650642,298,1
100000.0,0.2950932,0.0931148,298,1
100.0,0.000154,0.0019494,323,1
200.0,0.0004371,0.0033031,323,1
500.0,0.001048,0.0051028,323,1
1000.0,0.0019247,0.0068776,323,1
2000.0,0.0038866,0.0098655,323,1
5000.0,0.0098047,0.0158072,323,1
10000.0,0.0202575,0.0223667,323,1
20000.0,0.0399935,0.0311236,323,1
50000.0,0.1004306,0.0488101,323,1
100000.0,0.1976621,0.0637355,323,1
100.0,0.0003055,0.0033594,273,6
200.0,0.0006929,0.005033,273,6
500.0,0.0016511,0.0078103,273,6
1000.0,0.0032558,0.0108582,273,6
2000.0,0.0067575,0.0158525,273,6
5000.0,0.0165882,0.0250726,273,6
10000.0,0.0331093,0.035203,273,6
20000.0,0.0668519,0.0497615,273,6
50000.0,0.1646228,0.0676626,273,6
100000.0,0.3232211,0.0936629,273,6
100.0,0.000231,0.0029241,298,6
200.0,0.0004547,0.0041577,298,6
500.0,0.0010095,0.0060944,298,6
1000.0,0.002225,0.0090149,298,6
2000.0,0.0043771,0.0126926,298,6
5000.0,0.0110265,0.0202666,298,6
10000.0,0.0219711,0.0288294,298,6
20000.0,0.0422472,0.0390649,298,6
50000.0,0.1072268,0.0627683,298,6
100000.0,0.2087214,0.0782693,298,6
100.0,0.0001639,0.0024656,323,6
200.0,0.0003502,0.0035947,323,6
500.0,0.0007711,0.0053299,323,6
1000.0,0.0013001,0.0069374,323,6
