Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0117781,0.0226537,273,5
200.0,0.0233573,0.0325514,273,5
500.0,0.058972,0.0448173,273,5
1000.0,0.1160315,0.0579056,273,5
2000.0,0.2248812,0.0769727,273,5
5000.0,0.4878265,0.1114916,273,5
10000.0,0.8463880999999999,0.1302254,273,5
20000.0,1.3405673,0.1642279,273,5
50000.0,2.3520762,0.2360158,273,5
100000.0,4.0451967,0.3282122,273,5
1000000.0,10.4565456,0.1890492,273,5
100.0,0.0047926,0.0146762,298,5
200.0,0.0087938,0.0201344,298,5
500.0,0.0221004,0.0316841,298,5
1000.0,0.0449691,0.0375125,298,5
2000.0,0.0887903,0.0557593,298,5
5000.0,0.2097953,0.07885649999999998,298,5
10000.0,0.3836096,0.1018121,298,5
20000.0,0.7154106,0.137138,298,5
50000.0,1.3594803,0.1760586,298,5
100000.0,2.1451576,0.229201,298,5
1000000.0,8.7407959,0.2411975,298,5
100.0,0.0020397,0.0078075,323,5
200.0,0.0039728,0.0108189,323,5
500.0,0.0102846,0.0173412,323,5
1000.0,0.0199512,0.0245061,323,5
2000.0,0.0388052,0.0288313,323,5
5000.0,0.0989121,0.0453645,323,5
10000.0,0.1900113,0.0620728,323,5
20000.0,0.3692656,0.08387459999999998,323,5
50000.0,0.7641168,0.1126691,323,5
100000.0,1.3272265,0.1463549,323,5
1000000.0,6.5542518,0.251851,323,5
100.0,0.0340684,0.0338766,273,1
200.0,0.0697057,0.0461186,273,1
500.0,0.1607341,0.0676875,273,1
1000.0,0.3052907,0.0928419,273,1
2000.0,0.5266155,0.1112899,273,1
5000.0,0.9318835,0.1254847,273,1
10000.0,1.3893705,0.1428138,273,1
20000.0,1.9734255,0.1880241,273,1
50000.0,3.4495833,0.2837451,273,1
100000.0,5.8727705,0.3779804,273,1
1000000.0,11.1369069,0.1792694,273,1
100.0,0.0111044,0.0223741,298,1
200.0,0.0227153,0.0317138,298,1
500.0,0.0586238,0.045552,298,1
1000.0,0.1098869,0.0563386,298,1
2000.0,0.2021467,0.0787114,298,1
5000.0,0.4420114,0.10272,298,1
10000.0,0.7525313,0.1198878,298,1
20000.0,1.1307495,0.1440381,298,1
50000.0,1.9869609,0.1923952,298,1
100000.0,3.0958017,0.2643456,298,1
1000000.0,9.669408700000002,0.208532,298,1
100.0,0.0046781,0.0118407,323,1
200.0,0.0092688,0.0166724,323,1
500.0,0.023086,0.0262515,323,1
1000.0,0.0434062,0.0311054,323,1
2000.0,0.0907437,0.0432421,323,1
5000.0,0.2151832,0.0646932,323,1
10000.0,0.3824582,0.08336259999999998,323,1
20000.0,0.6504022,0.09875030000000001,323,1
50000.0,1.2386256,0.1292306,323,1
100000.0,1.9286245,0.1635975,323,1
1000000.0,7.765296799999998,0.2295199,323,1
100.0,0.010485,0.0217177,273,6
200.0,0.0217477,0.0314369,273,6
500.0,0.0520995,0.04267,273,6
1000.0,0.1015732,0.0549832,273,6
2000.0,0.2027755,0.07734489999999998,273,6
5000.0,0.4390238,0.1065408,273,6
10000.0,0.7359767,0.1290768,273,6
20000.0,1.1729117,0.1521698,273,6
50000.0,2.171557,0.2197965,273,6
100000.0,3.6684385,0.3155392,273,6
1000000.0,10.2567426,0.2041822,273,6
100.0,0.0042591,0.013901,298,6
200.0,0.008517999999999998,0.0196728,298,6
500.0,0.0203461,0.0299947,298,6
1000.0,0.0420305,0.0433495,298,6
2000.0,0.0834415,0.0526127,298,6
5000.0,0.1922117,0.07605489999999998,298,6
10000.0,0.3678437,0.1008847,298,6
20000.0,0.6411368,0.1244818,298,6
50000.0,1.2381758,0.1699246,298,6
100000.0,2.0340156,0.222656,298,6
1000000.0,8.486943,0.2644118,298,6
100.0,0.001899,0.009292000000000002,323,6
200.0,0.0039381,0.0132525,323,6
500.0,0.009820400000000002,0.0209268,323,6
1000.0,0.0197673,0.0296366,323,6
2000.0,0.038427,0.0409718,323,6
5000.0,0.0958346,0.0576148,323,6
10000.0,0.1720239,0.0756001,323,6
20000.0,0.3365966,0.1025796,323,6
50000.0,0.7419455,0.1328493,323,6
100000.0,1.234259,0.1836776,323,6
1000000.0,6.3671029,0.3240286,323,6
100.0,0.0294566,0.0363582,273,2
200.0,0.0608257,0.0453764,273,2
500.0,0.1393816,0.0649357,273,2
1000.0,0.268184,0.08895599999999998,273,2
2000.0,0.464923,0.1026087,273,2
5000.0,0.8487443999999998,0.1172967,273,2
10000.0,1.2811418,0.1338168,273,2
20000.0,1.8164289,0.1754989,273,2
50000.0,3.155233,0.2691864,273,2
100000.0,5.3904091,0.3732681,273,2
1000000.0,11.1177277,0.1996222,273,2
100.0,0.0101956,0.0213248,298,2
200.0,0.0210966,0.0304541,298,2
500.0,0.0512133,0.0417887,298,2
1000.0,0.097928,0.0551232,298,2
2000.0,0.1883234,0.0753543,298,2
5000.0,0.4108256,0.1060614,298,2
10000.0,0.6942581,0.1213084,298,2
20000.0,1.0838702,0.1435849,298,2
50000.0,1.8687229,0.2004548,298,2
100000.0,2.9033323,0.260758,298,2
1000000.0,9.4641534,0.2256412,298,2
100.0,0.0039924,0.0131899,323,2
200.0,0.008482099999999998,0.0195313,323,2
500.0,0.0202466,0.0298914,323,2
1000.0,0.0410267,0.0429986,323,2
2000.0,0.0814069,0.0519965,323,2
5000.0,0.1917062,0.07335949999999998,323,2
10000.0,0.353728,0.0960677,323,2
20000.0,0.6271342,0.1206031,323,2
50000.0,1.1541713,0.1525393,323,2
100000.0,1.8152325,0.1929785,323,2
1000000.0,7.562546799999998,0.2853114,323,2
100.0,0.0114722,0.0184914,273,8
200.0,0.0227966,0.0258858,273,8
500.0,0.055477,0.0362951,273,8
1000.0,0.1092992,0.0498323,273,8
2000.0,0.2019869,0.0644831,273,8
5000.0,0.4623405,0.0910194,273,8
10000.0,0.7584842,0.1042038,273,8
20000.0,1.1806776,0.1297966,273,8
50000.0,2.1416758,0.1848101,273,8
100000.0,3.653833,0.2624716,273,8
1000000.0,10.2119546,0.1720916,273,8
100.0,0.0044219,0.0114849,298,8
200.0,0.008680999999999998,0.0163286,298,8
500.0,0.0220009,0.0254367,298,8
1000.0,0.042567,0.0303988,298,8
2000.0,0.0855801,0.0429322,298,8
5000.0,0.2027796,0.0608452,298,8
10000.0,0.3719496,0.07952529999999998,298,8
20000.0,0.6517539,0.103501,298,8
50000.0,1.2372223,0.139964,298,8
100000.0,2.0043305,0.1795448,298,8
1000000.0,8.4125065,0.2101727,298,8
100.0,0.0018628,0.0075042,323,8
200.0,0.0037949,0.0106077,323,8
500.0,0.0103237,0.0174355,323,8
1000.0,0.020536,0.0247705,323,8
2000.0,0.0405656,0.0348613,323,8
5000.0,0.0972788,0.0518784,323,8
10000.0,0.1928718,0.0748911,323,8
20000.0,0.353812,0.0984036,323,8
50000.0,0.7298731,0.1287885,323,8
100000.0,1.2506723,0.1617427,323,8
1000000.0,6.3058123,0.3195226,323,8
100.0,0.0300368,0.0252879,273,4
200.0,0.0594708,0.0358583,273,4
500.0,0.1429139,0.0532234,273,4
1000.0,0.2727219,0.0699563,273,4
2000.0,0.4739367,0.0822858,273,4
5000.0,0.839653,0.1013957,273,4
10000.0,1.2307608,0.1096432,273,4
20000.0,1.7913365,0.1372096,273,4
50000.0,3.113614,0.2147995,273,4
100000.0,5.3734263,0.3136701,273,4
1000000.0,10.9916017,0.1590648,273,4
100.0,0.0102303,0.0177509,298,4
200.0,0.0221938,0.025387,298,4
500.0,0.05077,0.034217,298,4
1000.0,0.100383,0.0473517,298,4
2000.0,0.1919887,0.0627947,298,4
5000.0,0.4180442,0.08613189999999998,298,4
10000.0,0.6952252,0.1031115,298,4
20000.0,1.0756641,0.1158366,298,4
50000.0,1.8490652,0.1629266,298,4
100000.0,2.8398072,0.2096277,298,4
1000000.0,9.403197,0.2009543,298,4
100.0,0.0042501,0.0112427,323,4
200.0,0.008934199999999998,0.0163255,323,4
500.0,0.0210996,0.0247204,323,4
1000.0,0.044267,0.0368947,323,4
2000.0,0.0849652,0.0499469,323,4
5000.0,0.1960247,0.07307379999999998,323,4
10000.0,0.3671727,0.0927086,323,4
20000.0,0.6170311,0.1098016,323,4
50000.0,1.1629578,0.1473997,323,4
100000.0,1.7711155,0.1821316,323,4
1000000.0,7.500536099999999,0.2882262,323,4
100.0,0.0143899,0.0175005,273,7
200.0,0.0295304,0.0245511,273,7
500.0,0.07224519999999998,0.0373448,273,7
1000.0,0.1460162,0.0523724,273,7
2000.0,0.262831,0.0657788,273,7
5000.0,0.572762,0.0936862,273,7
10000.0,0.9393273,0.1139666,273,7
20000.0,1.4981169,0.1444614,273,7
50000.0,2.8789221,0.2179249,273,7
100000.0,4.9670774,0.286144,273,7
1000000.0,10.7944829,0.1423734,273,7
100.0,0.0054377,0.0127119,298,7
200.0,0.0109979,0.0181724,298,7
500.0,0.0275531,0.0234394,298,7
1000.0,0.0533941,0.0325379,298,7
2000.0,0.1039918,0.0458686,298,7
5000.0,0.2432307,0.069023,298,7
10000.0,0.4480539,0.0870129,298,7
20000.0,0.7702645,0.107938,298,7
50000.0,1.5429654,0.1521128,298,7
100000.0,2.5334296,0.1984684,298,7
1000000.0,9.0493177,0.1896848,298,7
100.0,0.0024023,0.0084478,323,7
200.0,0.004874,0.0121677,323,7
500.0,0.0120871,0.0189345,323,7
1000.0,0.0233241,0.0218222,323,7
2000.0,0.0458917,0.0306757,323,7
5000.0,0.1143328,0.0487203,323,7
10000.0,0.2194978,0.0649,323,7
20000.0,0.4095923,0.08332299999999998,323,7
50000.0,0.8741189999999999,0.1211725,323,7
100000.0,1.4818238,0.1658083,323,7
1000000.0,7.0618003,0.2367486,323,7
100.0,0.0407132,0.0279085,273,3
200.0,0.0845734,0.0390051,273,3
500.0,0.19042,0.060357,273,3
1000.0,0.3311949,0.0692607,273,3
2000.0,0.5772773,0.0868467,273,3
5000.0,1.0130431,0.1115273,273,3
10000.0,1.4887364,0.1394941,273,3
20000.0,2.2334092,0.174271,273,3
50000.0,4.2229808,0.2631031,273,3
100000.0,7.0545563,0.2876931,273,3
1000000.0,11.5928677,0.1571627,273,3
100.0,0.0129522,0.0167014,298,3
200.0,0.0254251,0.0244294,298,3
500.0,0.0633321,0.0355547,298,3
1000.0,0.1279603,0.0506624,298,3
2000.0,0.2361998,0.061538,298,3
5000.0,0.5172542,0.08178829999999998,298,3
10000.0,0.8009581,0.0954928,298,3
20000.0,1.2583583,0.1239768,298,3
50000.0,2.2109744,0.1786485,298,3
100000.0,3.6191888,0.2472591,298,3
1000000.0,9.9961214,0.1979331,298,3
100.0,0.0050428,0.0123808,323,3
200.0,0.0102807,0.0175655,323,3
500.0,0.0272004,0.0246795,323,3
1000.0,0.0503437,0.0314361,323,3
2000.0,0.1009527,0.0458655,323,3
5000.0,0.2254871,0.0603219,323,3
10000.0,0.4120308,0.07989459999999998,323,3
20000.0,0.718281,0.0990783,323,3
50000.0,1.3204128,0.1425316,323,3
100000.0,2.1274024,0.1698295,323,3
1000000.0,8.1670327,0.2357714,323,3
