Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0491574,0.0440632,273,5
200.0,0.101299,0.0571939,273,5
500.0,0.2429386,0.0849091,273,5
1000.0,0.4860242,0.1195571,273,5
2000.0,0.9262513000000001,0.1631333,273,5
5000.0,2.0712245,0.2325976,273,5
10000.0,3.4991699,0.2534637,273,5
20000.0,5.0010129,0.2520646,273,5
50000.0,6.6675873,0.2031271,273,5
100000.0,7.5770766,0.1800856,273,5
1000000.0,9.647001800000002,0.1349794,273,5
100.0,0.018089,0.0269048,298,5
200.0,0.035295,0.0375591,298,5
500.0,0.0893102,0.0506424,298,5
1000.0,0.1775459,0.0725788,298,5
2000.0,0.3529751,0.1015223,298,5
5000.0,0.8376924,0.1537614,298,5
10000.0,1.5425161,0.2020213,298,5
20000.0,2.7131638,0.2377855,298,5
50000.0,4.6098471,0.2356294,298,5
100000.0,5.9284766,0.2230233,298,5
1000000.0,8.6473534,0.1492894,298,5
100.0,0.007505399999999998,0.0150571,323,5
200.0,0.0153225,0.0215282,323,5
500.0,0.0374193,0.0335245,323,5
1000.0,0.0739818,0.0402232,323,5
2000.0,0.1529312,0.0585286,323,5
5000.0,0.3651898,0.0907032,323,5
10000.0,0.6854572,0.121475,323,5
20000.0,1.3309173,0.1577995,323,5
50000.0,2.7515513,0.2093754,323,5
100000.0,4.1417694,0.2189739,323,5
1000000.0,7.7010283,0.1442766,323,5
100.0,0.0934557,0.0471413,273,1
200.0,0.1901897,0.0634478,273,1
500.0,0.488294,0.102707,273,1
1000.0,1.0148758,0.1558489,273,1
2000.0,1.9104425,0.2216015,273,1
5000.0,4.2452729,0.3379456,273,1
10000.0,6.2162342,0.2315464,273,1
20000.0,7.4915466,0.1835187,273,1
50000.0,8.361127299999998,0.1475891,273,1
100000.0,8.810774099999998,0.12522,273,1
1000000.0,10.2945999,0.1258234,273,1
100.0,0.0292947,0.026149,298,1
200.0,0.0654254,0.0380153,298,1
500.0,0.1504963,0.0600886,298,1
1000.0,0.3222375,0.0834228,298,1
2000.0,0.5835527,0.1104155,298,1
5000.0,1.4328869,0.1849131,298,1
10000.0,2.8065822,0.245357,298,1
20000.0,4.51177,0.2434967,298,1
50000.0,6.6834025,0.2139331,298,1
100000.0,7.8224562,0.1712472,298,1
1000000.0,9.4708947,0.1257133,298,1
100.0,0.0113795,0.0183613,323,1
200.0,0.0246316,0.0207775,323,1
500.0,0.0567507,0.0314186,323,1
1000.0,0.1159074,0.0443202,323,1
2000.0,0.2385064,0.06648,323,1
5000.0,0.5663881,0.0957272,323,1
10000.0,1.0773242,0.1341758,323,1
20000.0,2.0447585,0.1964254,323,1
50000.0,4.2041766,0.2204116,323,1
100000.0,5.8783107,0.2039649,323,1
1000000.0,8.7654518,0.1153082,323,1
100.0,0.1224773,0.059047,273,6
200.0,0.2392912,0.08221789999999998,273,6
500.0,0.5703981,0.1251866,273,6
1000.0,1.0315552,0.1677834,273,6
2000.0,1.875848,0.2095199,273,6
5000.0,3.4271841,0.2241812,273,6
10000.0,4.7590866,0.2316041,273,6
20000.0,5.9691778,0.2109445,273,6
50000.0,7.2043051,0.1691909,273,6
100000.0,8.0744117,0.1598593,273,6
1000000.0,10.0647687,0.158153,273,6
100.0,0.0388185,0.039323,298,6
200.0,0.0776411,0.0482898,298,6
500.0,0.1876629,0.0757376,298,6
1000.0,0.3704496,0.1050488,298,6
2000.0,0.7122727,0.1320257,298,6
5000.0,1.5308092,0.1933927,298,6
10000.0,2.5943677,0.2252201,298,6
20000.0,3.8830139,0.2363323,298,6
50000.0,5.5334082,0.2062963,298,6
100000.0,6.5536231,0.1839955,298,6
1000000.0,9.0304345,0.1530107,298,6
100.0,0.0147212,0.0243299,323,6
200.0,0.0297621,0.0343742,323,6
500.0,0.0738579,0.0477361,323,6
1000.0,0.1452797,0.0651744,323,6
2000.0,0.2874099,0.0884958,323,6
5000.0,0.682422,0.1325543,323,6
10000.0,1.2050996,0.1861868,323,6
20000.0,2.0916868,0.2259192,323,6
50000.0,3.7321948,0.2419343,323,6
100000.0,4.9958288,0.227884,323,6
1000000.0,8.0463822,0.1552514,323,6
100.0,1.132842,0.0929637,273,2
200.0,2.0080803,0.1488176,273,2
500.0,3.2080764,0.2507798,273,2
1000.0,4.3824358,0.200285,273,2
2000.0,5.5931856,0.2127717,273,2
5000.0,6.9720833,0.1898041,273,2
10000.0,7.7187092,0.1471116,273,2
20000.0,8.2388069,0.1254086,273,2
50000.0,8.7190641,0.1064977,273,2
100000.0,9.0553496,0.1121672,273,2
1000000.0,10.3999555,0.1516642,273,2
100.0,0.3266815,0.0950275,298,2
200.0,0.6101349,0.1073054,298,2
500.0,1.1253984,0.1824425,298,2
1000.0,2.0936783,0.1647375,298,2
2000.0,3.0586865,0.1981965,298,2
5000.0,4.7293475,0.2105951,298,2
10000.0,6.0370636,0.207496,298,2
20000.0,7.0299547,0.1868445,298,2
50000.0,7.9529134,0.1458137,298,2
100000.0,8.4085528,0.1224697,298,2
1000000.0,9.625827,0.1281253,298,2
100.0,0.0941952,0.0499112,323,2
200.0,0.1611829,0.0606557,323,2
500.0,0.4774694,0.0851848,323,2
1000.0,0.7823314999999998,0.1038268,323,2
2000.0,1.2869798,0.1521446,323,2
5000.0,2.4734691,0.2002753,323,2
10000.0,3.7175625,0.2034692,323,2
20000.0,5.0547035,0.2297922,323,2
50000.0,6.7134827,0.1982455,323,2
100000.0,7.535361499999999,0.1619116,323,2
1000000.0,9.0905594,0.1221351,323,2
100.0,0.0289192,0.0292061,273,8
200.0,0.0569365,0.0419312,273,8
500.0,0.142088,0.0585402,273,8
1000.0,0.2913039,0.0854724,273,8
2000.0,0.5683786,0.1135796,273,8
5000.0,1.3970287,0.1726466,273,8
10000.0,2.6583905,0.2281111,273,8
20000.0,4.3822787,0.2338842,273,8
50000.0,6.4196424,0.1950714,273,8
100000.0,7.4692277,0.1561256,273,8
1000000.0,9.3068278,0.1044799,273,8
100.0,0.0111967,0.0181917,298,8
200.0,0.0225493,0.0262742,298,8
500.0,0.056499,0.0408585,298,8
1000.0,0.1133037,0.0508187,298,8
2000.0,0.2242643,0.0713209,298,8
5000.0,0.5570592,0.1079411,298,8
10000.0,1.0751428,0.1582905,298,8
20000.0,2.0551414,0.2017403,298,8
50000.0,4.0705547,0.2328192,298,8
100000.0,5.6253744,0.2136237,298,8
1000000.0,8.5056057,0.1260592,298,8
100.0,0.0053662,0.0126913,323,8
200.0,0.0102649,0.0177971,323,8
500.0,0.0261057,0.0281854,323,8
1000.0,0.0527538,0.0397854,323,8
2000.0,0.1031616,0.0555399,323,8
5000.0,0.2526352,0.0857765,323,8
10000.0,0.5103819,0.1187178,323,8
20000.0,0.9613687,0.1644771,323,8
50000.0,2.20654,0.2299947,323,8
100000.0,3.6486711,0.2568108,323,8
1000000.0,7.601038199999999,0.1805791,323,8
100.0,0.0179651,0.0233871,273,4
200.0,0.0358134,0.0326207,273,4
500.0,0.089463,0.0511242,273,4
1000.0,0.1826683,0.0675963,273,4
2000.0,0.3566343,0.0913627,273,4
5000.0,0.8732008999999998,0.1452547,273,4
10000.0,1.7653639,0.1930886,273,4
20000.0,3.2755762,0.2405036,273,4
50000.0,5.6096407,0.2322366,273,4
100000.0,6.9620047,0.1796905,273,4
1000000.0,9.2014952,0.1243432,273,4
100.0,0.007403599999999998,0.0148255,298,4
200.0,0.0154753,0.0217038,298,4
500.0,0.0376321,0.0334402,298,4
1000.0,0.0759742,0.0470136,298,4
2000.0,0.1515619,0.0607474,298,4
