Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008934,0.0063345,273,5
200.0,0.0016651,0.008600699999999998,273,5
500.0,0.0041811,0.0138516,273,5
1000.0,0.0083531,0.0196557,273,5
2000.0,0.0171053,0.0279663,273,5
5000.0,0.0427316,0.0436516,273,5
10000.0,0.08354509999999998,0.0608483,273,5
20000.0,0.1637797,0.0723748,273,5
50000.0,0.3966838,0.114178,273,5
100000.0,0.7413383999999998,0.1437568,273,5
100.0,0.0004762,0.0047539,298,5
200.0,0.000975,0.0065775,298,5
500.0,0.0024533,0.010457,298,5
1000.0,0.004825,0.0147837,298,5
2000.0,0.0093599,0.0206022,298,5
5000.0,0.0234541,0.0324645,298,5
10000.0,0.046745,0.0458859,298,5
20000.0,0.0917349,0.0633412,298,5
50000.0,0.2251268,0.0889061,298,5
100000.0,0.4403909,0.1208777,298,5
100.0,0.000266,0.0028557,323,5
200.0,0.0006167,0.0042951,323,5
500.0,0.0014784,0.0066996,323,5
1000.0,0.0027269,0.0089919,323,5
2000.0,0.005593,0.0131214,323,5
5000.0,0.0141426,0.0206103,323,5
10000.0,0.0285867,0.0294529,323,5
20000.0,0.0554972,0.0407238,323,5
50000.0,0.1396001,0.056247,323,5
100000.0,0.2717326,0.0766105,323,5
100.0,0.0012879,0.0076413,273,1
200.0,0.0030791,0.0118505,273,1
500.0,0.0070471,0.0176946,273,1
1000.0,0.0146559,0.0257205,273,1
2000.0,0.0283018,0.0363352,273,1
5000.0,0.0714915,0.0574966,273,1
10000.0,0.1402848,0.0679045,273,1
20000.0,0.2744442,0.0941908,273,1
50000.0,0.640798,0.1421422,273,1
100000.0,1.1136341,0.1750065,273,1
100.0,0.0007664,0.0058803,298,1
200.0,0.0016651,0.0086484,298,1
500.0,0.0038591,0.0133649,298,1
1000.0,0.0074915,0.0184935,298,1
2000.0,0.0150541,0.0261538,298,1
5000.0,0.0377297,0.0409386,298,1
10000.0,0.075142,0.057743,298,1
20000.0,0.1454545,0.0685568,298,1
50000.0,0.3515612,0.1088553,298,1
100000.0,0.6684001,0.1405302,298,1
100.0,0.0003598,0.003306,323,1
200.0,0.0009372,0.0052918,323,1
500.0,0.0022765,0.0082479,323,1
1000.0,0.0045681,0.0117971,323,1
2000.0,0.0091694,0.0164622,323,1
5000.0,0.0220997,0.0259687,323,1
10000.0,0.0440815,0.0366975,323,1
20000.0,0.087634,0.0502313,323,1
50000.0,0.2140709,0.0720973,323,1
100000.0,0.4162537,0.0955536,323,1
100.0,0.0009523000000000001,0.0065964,273,6
200.0,0.0019273,0.0092819,273,6
500.0,0.0047888,0.0147677,273,6
1000.0,0.0095549,0.0207567,273,6
2000.0,0.0185021,0.0286856,273,6
5000.0,0.0463051,0.0461184,273,6
10000.0,0.0913359,0.0644025,273,6
20000.0,0.1835198,0.0771194,273,6
50000.0,0.4348713,0.1147718,273,6
100000.0,0.7881707,0.152489,273,6
100.0,0.0004762,0.0046223,298,6
200.0,0.0009841,0.0066384,298,6
500.0,0.0023762,0.0103065,298,6
1000.0,0.005147,0.0151097,298,6
2000.0,0.0103847,0.0218124,298,6
5000.0,0.0254267,0.0340781,298,6
10000.0,0.0524407,0.0483834,298,6
20000.0,0.1006232,0.0668696,298,6
50000.0,0.2490047,0.0939568,298,6
100000.0,0.4716853,0.125147,298,6
100.0,0.000322,0.0038612,323,6
200.0,0.0005532,0.0050602,323,6
500.0,0.0015146,0.008322899999999998,323,6
1000.0,0.0030429,0.0117554,323,6
2000.0,0.0059633,0.0164388,323,6
5000.0,0.0156996,0.0266648,323,6
10000.0,0.0304649,0.0370494,323,6
20000.0,0.0605127,0.0511888,323,6
50000.0,0.1498193,0.0706477,323,6
100000.0,0.2852904,0.0965772,323,6
100.0,0.0014829,0.0082667,273,2
200.0,0.0033467,0.0125471,273,2
500.0,0.0074598,0.0184116,273,2
1000.0,0.0153186,0.0264381,273,2
2000.0,0.0311043,0.0381368,273,2
5000.0,0.07636189999999998,0.0581976,273,2
10000.0,0.1520289,0.0702016,273,2
20000.0,0.2979924,0.0984777,273,2
50000.0,0.68668,0.1430663,273,2
100000.0,1.1933107,0.1812584,273,2
100.0,0.0007845,0.0059475,298,2
200.0,0.0017051,0.008721299999999998,298,2
500.0,0.0041584,0.0137167,298,2
1000.0,0.0084756,0.0196713,298,2
2000.0,0.016407,0.0271976,298,2
5000.0,0.0406456,0.0431153,298,2
10000.0,0.078915,0.0592607,298,2
20000.0,0.1585148,0.0729153,298,2
50000.0,0.3775514,0.1121762,298,2
100000.0,0.7087355,0.1463703,298,2
100.0,0.0004852,0.0046657,323,2
200.0,0.0009614,0.0065324,323,2
500.0,0.0021858,0.0100666,323,2
1000.0,0.0047071,0.014598,323,2
2000.0,0.00931,0.0205999,323,2
5000.0,0.0231029,0.0323355,323,2
10000.0,0.0472075,0.0454325,323,2
20000.0,0.0943606,0.0644595,323,2
50000.0,0.2242153,0.0893838,323,2
100000.0,0.4337651,0.1179743,323,2
100.0,0.0007467,0.0047504,273,8
200.0,0.001349,0.006315,273,8
500.0,0.0037579,0.0106737,273,8
1000.0,0.0075369,0.0150357,273,8
2000.0,0.0147866,0.0211772,273,8
5000.0,0.0363481,0.032751,273,8
10000.0,0.0727598,0.046928,273,8
20000.0,0.1478292,0.0599021,273,8
50000.0,0.3465926,0.0895407,273,8
100000.0,0.647047,0.1108183,273,8
100.0,0.0004172,0.0035269,298,8
200.0,0.0009009,0.0052461,298,8
500.0,0.0021404,0.0080549,298,8
1000.0,0.0042265,0.0113383,298,8
2000.0,0.008407599999999998,0.0159734,298,8
5000.0,0.0211686,0.0252818,298,8
10000.0,0.0417869,0.0350527,298,8
20000.0,0.0832957,0.0491686,298,8
50000.0,0.2030423,0.0659772,298,8
100000.0,0.3919988,0.0932197,298,8
100.0,0.0002177,0.002556,323,8
