Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0020485,0.0063122,273,5
200.0,0.0040819,0.0088331,273,5
500.0,0.0112217,0.0147891,273,5
1000.0,0.0196874,0.0186512,273,5
2000.0,0.0391214,0.0266996,273,5
5000.0,0.0900083,0.0398416,273,5
10000.0,0.1809196,0.0513261,273,5
20000.0,0.3128261,0.0669649,273,5
50000.0,0.5087057,0.0687077,273,5
100000.0,0.7008354,0.0604154,273,5
1000000.0,1.2261792,0.058872,273,5
100.0,0.0005913,0.0039241,298,5
200.0,0.0013938,0.0060664,298,5
500.0,0.0031994,0.008054999999999998,298,5
1000.0,0.0066443,0.0109572,298,5
2000.0,0.013579,0.0157333,298,5
5000.0,0.0328123,0.0243475,298,5
10000.0,0.0611265,0.0326034,298,5
20000.0,0.1153523,0.0416507,298,5
50000.0,0.2466562,0.0563907,298,5
100000.0,0.3971522,0.0685702,298,5
1000000.0,0.9851307,0.0771294,298,5
100.0,0.0002323,0.0024654,323,5
200.0,0.0004514,0.0034628,323,5
500.0,0.0011932,0.0055471,323,5
1000.0,0.0023283,0.0064402,323,5
2000.0,0.0042052,0.009424900000000002,323,5
5000.0,0.0124967,0.0147434,323,5
10000.0,0.0244918,0.0207384,323,5
20000.0,0.0485586,0.0290834,323,5
50000.0,0.1029537,0.041651,323,5
100000.0,0.215324,0.0522236,323,5
1000000.0,0.7276285999999998,0.0820024,323,5
100.0,0.0053799,0.0100175,273,1
200.0,0.0111214,0.0143582,273,1
500.0,0.0269573,0.0225744,273,1
1000.0,0.0490047,0.0288309,273,1
2000.0,0.0900558,0.0392064,273,1
5000.0,0.2200181,0.0547789,273,1
10000.0,0.3748423,0.0694881,273,1
20000.0,0.530932,0.0742252,273,1
50000.0,0.8031697,0.0745353,273,1
100000.0,0.9794598000000002,0.0580909,273,1
1000000.0,1.4794228,0.046991,273,1
100.0,0.0015231,0.0063007,298,1
200.0,0.0028694,0.007453999999999999,298,1
500.0,0.0082334,0.0125982,298,1
1000.0,0.0154691,0.0169539,298,1
2000.0,0.0282455,0.0224625,298,1
5000.0,0.0702073,0.0363194,298,1
10000.0,0.1365543,0.0484699,298,1
20000.0,0.2314182,0.0563245,298,1
50000.0,0.447595,0.07464769999999998,298,1
100000.0,0.6466774,0.0653246,298,1
1000000.0,1.2074558,0.0593814,298,1
100.0,0.0004989,0.0036332,323,1
200.0,0.0010638,0.0052448,323,1
500.0,0.0028905,0.0074271,323,1
1000.0,0.0052294,0.0102614,323,1
2000.0,0.0109339,0.0143793,323,1
5000.0,0.025252,0.0221425,323,1
10000.0,0.0473628,0.0295617,323,1
20000.0,0.0951878,0.0398142,323,1
50000.0,0.2150411,0.0648414,323,1
100000.0,0.3556046,0.0742299,323,1
1000000.0,0.9689182,0.07390349999999998,323,1
100.0,0.0015258,0.0063825,273,6
200.0,0.0033736,0.008100599999999998,273,6
500.0,0.0081886,0.0122455,273,6
1000.0,0.0153054,0.0175546,273,6
2000.0,0.0298373,0.0229817,273,6
5000.0,0.0788156,0.0387319,273,6
10000.0,0.1338971,0.0483155,273,6
20000.0,0.2457457,0.05144,273,6
50000.0,0.4285717,0.0718377,273,6
100000.0,0.6342903,0.0777396,273,6
1000000.0,1.2028103,0.0553061,273,6
100.0,0.0005464,0.0037954,298,6
200.0,0.0012117,0.0056981,298,6
500.0,0.0028087,0.0085733,298,6
1000.0,0.0053376,0.010353,298,6
2000.0,0.0102925,0.0138973,298,6
5000.0,0.0259014,0.0227433,298,6
10000.0,0.050937,0.0301804,298,6
20000.0,0.0914549,0.0395383,298,6
50000.0,0.2075652,0.0600955,298,6
100000.0,0.3431967,0.0625847,298,6
1000000.0,0.9780895,0.0595445,298,6
100.0,0.0001953,0.0022624,323,6
200.0,0.000462,0.0034614,323,6
500.0,0.0009926,0.005063,323,6
1000.0,0.0019323,0.0070853,323,6
2000.0,0.0043055,0.0091805,323,6
5000.0,0.0099308,0.0144628,323,6
10000.0,0.0207565,0.0202276,323,6
20000.0,0.0386674,0.0278454,323,6
50000.0,0.0910536,0.0406436,323,6
100000.0,0.1682881,0.0536443,323,6
1000000.0,0.7193418,0.07727789999999998,323,6
100.0,0.0042685,0.0105641,273,2
200.0,0.008415,0.0131109,273,2
500.0,0.0210178,0.0201958,273,2
1000.0,0.042854,0.0294896,273,2
2000.0,0.0831422,0.0392339,273,2
5000.0,0.1890129,0.060616,273,2
10000.0,0.3065253,0.0651155,273,2
20000.0,0.4750056,0.0746869,273,2
50000.0,0.7295444,0.0682608,273,2
100000.0,0.9124815,0.0693135,273,2
1000000.0,1.3480764,0.0557685,273,2
100.0,0.0012856,0.0058032,298,2
200.0,0.0026292,0.0083008,298,2
500.0,0.0063486,0.0111843,298,2
1000.0,0.012985,0.0159368,298,2
2000.0,0.0247795,0.0221633,298,2
5000.0,0.0607715,0.0328501,298,2
10000.0,0.1162529,0.0449715,298,2
20000.0,0.2141718,0.0586474,298,2
50000.0,0.4020561,0.0700002,298,2
100000.0,0.5885759,0.0663559,298,2
1000000.0,1.1745624,0.0616051,298,2
100.0,0.0004435,0.0034131,323,2
200.0,0.0010717,0.0053027,323,2
