Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008649,0.0051125,273,5
200.0,0.0016629,0.0069064,273,5
500.0,0.0040016,0.0109728,273,5
1000.0,0.0083087,0.0156588,273,5
2000.0,0.0158661,0.0214125,273,5
5000.0,0.0405096,0.0339086,273,5
10000.0,0.0829044,0.0415711,273,5
20000.0,0.1570618,0.0596755,273,5
50000.0,0.3704792,0.0855386,273,5
100000.0,0.6576729,0.1101075,273,5
100.0,0.0004252,0.0035173,298,5
200.0,0.0009033,0.0050989,298,5
500.0,0.0021638,0.0079638,298,5
1000.0,0.0045606,0.0113644,298,5
2000.0,0.0089086,0.0161552,298,5
5000.0,0.0228934,0.0260017,298,5
10000.0,0.0453878,0.0360649,298,5
20000.0,0.0888476,0.0428987,298,5
50000.0,0.2116019,0.0678058,298,5
100000.0,0.406399,0.0919143,298,5
100.0,0.0002912,0.0028977,323,5
200.0,0.0004718,0.0036996,323,5
500.0,0.0013746,0.0063786,323,5
1000.0,0.0027929,0.008895699999999998,323,5
2000.0,0.0052508,0.0125529,323,5
5000.0,0.0133702,0.0196428,323,5
10000.0,0.027322,0.0279645,323,5
20000.0,0.0547566,0.0397101,323,5
50000.0,0.1304885,0.052949,323,5
100000.0,0.2528523,0.0725827,323,5
100.0,0.0011125,0.0058056,273,1
200.0,0.0023153,0.0081533,273,1
500.0,0.005676,0.0129035,273,1
1000.0,0.0110229,0.0178966,273,1
2000.0,0.0226633,0.0259177,273,1
5000.0,0.0551381,0.0394687,273,1
10000.0,0.1099001,0.0497381,273,1
20000.0,0.2129163,0.0676585,273,1
50000.0,0.48235,0.0968426,273,1
100000.0,0.8658975,0.1249778,273,1
100.0,0.0006291,0.0043131,298,1
200.0,0.0011154,0.005739,298,1
500.0,0.0030637,0.0095322,298,1
1000.0,0.0062293,0.0135521,298,1
2000.0,0.0118326,0.0186481,298,1
5000.0,0.0301974,0.0291742,298,1
10000.0,0.059323,0.0412766,298,1
20000.0,0.1193653,0.0521729,298,1
50000.0,0.2856329,0.07787009999999998,298,1
100000.0,0.5175251,0.0973547,298,1
100.0,0.0003407,0.0031316,323,1
200.0,0.0007193,0.0045575,323,1
500.0,0.0018318,0.0073873,323,1
1000.0,0.0036403,0.0102541,323,1
2000.0,0.007239899999999999,0.0145088,323,1
5000.0,0.0180677,0.0228813,323,1
10000.0,0.0361617,0.0324883,323,1
20000.0,0.0717817,0.0443733,323,1
50000.0,0.1737783,0.0594685,323,1
100000.0,0.3267687,0.0813167,323,1
100.0,0.0008183,0.0048828,273,6
200.0,0.0014037,0.0064648,273,6
500.0,0.0035967,0.0102157,273,6
1000.0,0.0076534,0.0148935,273,6
2000.0,0.0151619,0.0209571,273,6
5000.0,0.0380896,0.033481,273,6
