Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004894,0.0043849,273,5
200.0,0.0009788,0.0062366,273,5
500.0,0.0025135,0.009972300000000002,273,5
1000.0,0.0053011,0.0144418,273,5
2000.0,0.0099444,0.0196179,273,5
5000.0,0.0248648,0.0311281,273,5
10000.0,0.0490652,0.0439999,273,5
20000.0,0.0963273,0.0524366,273,5
50000.0,0.2421258,0.08477379999999998,273,5
100000.0,0.4494581,0.1077763,273,5
100.0,0.0002819,0.0033101,298,5
200.0,0.0005755,0.0047442,298,5
500.0,0.0015073,0.0077136,298,5
1000.0,0.0029911,0.0108048,298,5
2000.0,0.0061037,0.0153837,298,5
5000.0,0.014897,0.0240427,298,5
10000.0,0.0304674,0.0340818,298,5
20000.0,0.0596858,0.0476647,298,5
50000.0,0.1466873,0.0647567,298,5
100000.0,0.2813473,0.0907049,298,5
100.0,0.0002153,0.0028955,323,5
200.0,0.0004267,0.0040652,323,5
500.0,0.0009553,0.0060911,323,5
1000.0,0.002028,0.008834299999999998,323,5
2000.0,0.00406,0.0125861,323,5
5000.0,0.009545,0.0193535,323,5
10000.0,0.0199044,0.0277594,323,5
20000.0,0.0389553,0.0392444,323,5
50000.0,0.0950431,0.0602489,323,5
100000.0,0.1912334,0.077224,323,5
100.0,0.000646,0.0050485,273,1
200.0,0.0011784,0.0067351,273,1
500.0,0.0030029,0.0109495,273,1
1000.0,0.0054303,0.0145473,273,1
2000.0,0.0111659,0.0208738,273,1
5000.0,0.0281418,0.0328898,273,1
10000.0,0.0567416,0.0467921,273,1
20000.0,0.108652,0.0550356,273,1
50000.0,0.2638429,0.0855379,273,1
100000.0,0.5050095,0.1182044,273,1
100.0,0.0003524,0.0037387,298,1
200.0,0.0006303,0.0049276,298,1
500.0,0.0016404,0.0080564,298,1
1000.0,0.0035197,0.0117595,298,1
2000.0,0.0065461,0.0160206,298,1
5000.0,0.0167136,0.0254589,298,1
10000.0,0.0329182,0.0356566,298,1
20000.0,0.0668974,0.0504068,298,1
50000.0,0.1668344,0.0705803,298,1
100000.0,0.3185109,0.0965123,298,1
100.0,0.0002192,0.0029216,323,1
200.0,0.0005285,0.0045519,323,1
500.0,0.0011354,0.0066394,323,1
1000.0,0.0023021,0.0094566,323,1
2000.0,0.0044302,0.0131467,323,1
5000.0,0.0110249,0.02089,323,1
10000.0,0.0217367,0.0291499,323,1
20000.0,0.0436182,0.0412868,323,1
50000.0,0.1078995,0.0646733,323,1
100000.0,0.2159964,0.0802712,323,1
100.0,0.0004346,0.0041019,273,6
200.0,0.0009205,0.0059837,273,6
500.0,0.0020241,0.0088785,273,6
1000.0,0.0050334,0.0138886,273,6
2000.0,0.0091927,0.0190304,273,6
5000.0,0.0235181,0.0306041,273,6
10000.0,0.0469069,0.0427349,273,6
20000.0,0.0913512,0.0583286,273,6
50000.0,0.2277182,0.078292,273,6
100000.0,0.4261828,0.1071741,273,6
100.0,0.0003093,0.00351,298,6
200.0,0.0005951,0.0048219,298,6
500.0,0.0014134,0.0074487,298,6
1000.0,0.002999,0.0108733,298,6
2000.0,0.0056182,0.01479,298,6
5000.0,0.0140004,0.0233441,298,6
10000.0,0.0286899,0.0332163,298,6
20000.0,0.0565459,0.0476695,298,6
50000.0,0.1395344,0.0621689,298,6
100000.0,0.2650331,0.0872382,298,6
100.0,0.0001644,0.0025918,323,6
200.0,0.0004111,0.0040289,323,6
500.0,0.0009827,0.006199,323,6
1000.0,0.0019595,0.0087147,323,6
2000.0,0.0036841,0.01207,323,6
5000.0,0.0092913,0.0192609,323,6
10000.0,0.0187377,0.0270551,323,6
20000.0,0.0377964,0.038228,323,6
50000.0,0.0930073,0.0599372,323,6
100000.0,0.1845229,0.0737334,323,6
100.0,0.0005246,0.0045692,273,2
200.0,0.0010218,0.0063394,273,2
500.0,0.0025696,0.0099298,273,2
1000.0,0.0054733,0.014388,273,2
2000.0,0.0105904,0.0204536,273,2
5000.0,0.0260198,0.0317946,273,2
10000.0,0.0523567,0.045289,273,2
20000.0,0.1035937,0.0629551,273,2
50000.0,0.2526849,0.08443939999999998,273,2
100000.0,0.4907651,0.1128236,273,2
100.0,0.0003445,0.0036565,298,2
200.0,0.0006068,0.0048679,298,2
500.0,0.0016209,0.008012699999999998,298,2
1000.0,0.0033161,0.0114229,298,2
2000.0,0.0061585,0.015491,298,2
5000.0,0.0159502,0.0249839,298,2
10000.0,0.0326442,0.0355085,298,2
20000.0,0.0640394,0.0501651,298,2
50000.0,0.1571213,0.0678764,298,2
100000.0,0.3068229,0.0921882,298,2
100.0,0.0002271,0.002973,323,2
200.0,0.0004502,0.0041743,323,2
500.0,0.0010258,0.0064229,323,2
1000.0,0.0018479,0.0085751,323,2
2000.0,0.00425,0.0128411,323,2
5000.0,0.01079,0.0204204,323,2
10000.0,0.020801,0.0284222,323,2
20000.0,0.0423223,0.0404913,323,2
50000.0,0.1043806,0.0636877,323,2
100000.0,0.2055431,0.07788309999999998,323,2
100.0,0.0003954,0.0039147,273,8
200.0,0.0008260999999999999,0.0057078,273,8
500.0,0.0023569,0.0095881,273,8
1000.0,0.0047451,0.0136587,273,8
2000.0,0.0091457,0.0186875,273,8
5000.0,0.0221713,0.0291249,273,8
10000.0,0.0432228,0.0409682,273,8
20000.0,0.0878237,0.058274,273,8
50000.0,0.2130679,0.0806413,273,8
100000.0,0.4095906,0.1073838,273,8
100.0,0.0002741,0.0032641,298,8
200.0,0.0004933,0.0044366,298,8
500.0,0.0013781,0.007445,298,8
1000.0,0.0027171,0.010268,298,8
2000.0,0.0057228,0.0150117,298,8
5000.0,0.0135502,0.0228125,298,8
10000.0,0.0274136,0.0324581,298,8
20000.0,0.0535469,0.0455853,298,8
50000.0,0.1320291,0.0611301,298,8
100000.0,0.2582678,0.0843784,298,8
100.0,0.0001762,0.0026204,323,8
200.0,0.0003484,0.003677,323,8
500.0,0.0008926,0.0058961,323,8
1000.0,0.0017814,0.0083631,323,8
2000.0,0.0035001,0.0116673,323,8
5000.0,0.0094119,0.0194107,323,8
10000.0,0.0178725,0.0266316,323,8
20000.0,0.0352869,0.0366843,323,8
50000.0,0.08853229999999998,0.0577239,323,8
100000.0,0.1754907,0.0802405,323,8
100.0,0.0005285,0.0045855,273,4
200.0,0.0010649,0.0064403,273,4
500.0,0.0025879,0.010007,273,4
1000.0,0.004933,0.013882,273,4
2000.0,0.0103515,0.0200357,273,4
5000.0,0.0255461,0.0316844,273,4
10000.0,0.0501643,0.044532,273,4
20000.0,0.0992558,0.0618507,273,4
50000.0,0.2397572,0.0860477,273,4
100000.0,0.4683289,0.1147563,273,4
100.0,0.0003563,0.0037993,298,4
200.0,0.0005716,0.0047285,298,4
500.0,0.0016021,0.007932,298,4
1000.0,0.0031947,0.0111523,298,4
2000.0,0.0065265,0.0159375,298,4
5000.0,0.0155312,0.0244727,298,4
10000.0,0.0310116,0.0347073,298,4
20000.0,0.0610866,0.0481701,298,4
50000.0,0.1530376,0.0663971,298,4
100000.0,0.2936251,0.0894299,298,4
100.0,0.0002114,0.0028692,323,4
200.0,0.0003954,0.0039537,323,4
500.0,0.0010962,0.0065297,323,4
1000.0,0.0020163,0.008914699999999998,323,4
2000.0,0.0042322,0.0128314,323,4
5000.0,0.0104807,0.0202088,323,4
10000.0,0.0204173,0.0279851,323,4
20000.0,0.0410147,0.0403376,323,4
50000.0,0.1018593,0.063239,323,4
100000.0,0.2001872,0.0872444,323,4
100.0,0.0004894,0.0043498,273,7
200.0,0.0010101,0.0063534,273,7
500.0,0.0023217,0.0094761,273,7
1000.0,0.0044671,0.013212,273,7
2000.0,0.0094941,0.0193112,273,7
5000.0,0.0229073,0.029913,273,7
10000.0,0.0460926,0.0423242,273,7
20000.0,0.0889786,0.0581197,273,7
50000.0,0.2152799,0.0797438,273,7
100000.0,0.4160231,0.1054925,273,7
100.0,0.0002975,0.0034001,298,7
200.0,0.0006303,0.0049894,298,7
500.0,0.0014917,0.007616699999999999,298,7
1000.0,0.0028032,0.0105544,298,7
2000.0,0.005668,0.0149813,298,7
5000.0,0.0139026,0.0230827,298,7
10000.0,0.0272531,0.0321693,298,7
20000.0,0.0563932,0.0470505,298,7
50000.0,0.1378274,0.0640725,298,7
100000.0,0.2644441,0.08555,298,7
100.0,0.000184,0.0026777,323,7
200.0,0.0003447,0.0036574,323,7
500.0,0.0010101,0.0062561,323,7
1000.0,0.0015817,0.0078466,323,7
2000.0,0.0037311,0.0121569,323,7
5000.0,0.009650700000000002,0.0194474,323,7
10000.0,0.0184402,0.0265293,323,7
20000.0,0.0370487,0.0379506,323,7
50000.0,0.0902453,0.0591198,323,7
100000.0,0.180318,0.07294689999999998,323,7
100.0,0.0005168,0.0045025,273,3
200.0,0.0010923,0.0065887,273,3
500.0,0.0026427,0.010175,273,3
1000.0,0.0053585,0.0144671,273,3
2000.0,0.0103946,0.0203589,273,3
5000.0,0.0260355,0.0323553,273,3
10000.0,0.0508278,0.0441249,273,3
20000.0,0.1015892,0.062222,273,3
50000.0,0.2425329,0.08663319999999998,273,3
100000.0,0.4717664,0.1110596,273,3
