Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.6247785,0.0568743,273,5
200.0,0.7742510999999999,0.0584621,273,5
500.0,0.9511632,0.0569588,273,5
1000.0,1.0913423,0.0617585,273,5
2000.0,1.193419,0.049783,273,5
5000.0,1.2653605,0.0324851,273,5
10000.0,1.3097847,0.0290062,273,5
20000.0,1.336419,0.0222505,273,5
50000.0,1.363538,0.0242149,273,5
100000.0,1.4038356,0.0309502,273,5
1000000.0,1.6802755,0.07287299999999998,273,5
100.0,0.3087822,0.05758,298,5
200.0,0.4409148,0.0600175,298,5
500.0,0.6105287,0.0578263,298,5
1000.0,0.7526985,0.0657567,298,5
2000.0,0.9030912,0.0593709,298,5
5000.0,1.0905416,0.0538189,298,5
10000.0,1.1891608,0.0441162,298,5
20000.0,1.2594047,0.0411945,298,5
50000.0,1.3132247,0.028248,298,5
100000.0,1.341919,0.027039,298,5
1000000.0,1.5184323,0.0425972,298,5
100.0,0.1141392,0.0445816,323,5
200.0,0.1922019,0.0524032,323,5
500.0,0.3646636,0.0597214,323,5
1000.0,0.4959061,0.0572923,323,5
2000.0,0.6304551,0.0608433,323,5
5000.0,0.8220296,0.0625993,323,5
10000.0,0.9679404,0.0582088,323,5
20000.0,1.0974302,0.0528593,323,5
50000.0,1.2182743,0.0416441,323,5
100000.0,1.2881979,0.0356427,323,5
1000000.0,1.3946136,0.0329747,323,5
100.0,0.6074207,0.058312,273,1
200.0,0.7548846,0.0689012,273,1
500.0,0.9764554,0.0570943,273,1
1000.0,1.0992189,0.0557061,273,1
2000.0,1.2133408,0.0411403,273,1
5000.0,1.2751545,0.0352656,273,1
10000.0,1.3180099,0.0303261,273,1
20000.0,1.3522833,0.0313785,273,1
50000.0,1.4183027,0.0496551,273,1
100000.0,1.4936972,0.0539112,273,1
1000000.0,1.8454975,0.0504371,273,1
100.0,0.280898,0.0583229,298,1
200.0,0.4317841,0.0611882,298,1
500.0,0.6158054,0.0659756,298,1
1000.0,0.773134,0.0638077,298,1
2000.0,0.9275983,0.0640531,298,1
5000.0,1.0977585,0.0565782,298,1
10000.0,1.2050035,0.0480392,298,1
20000.0,1.2675046,0.0347613,298,1
50000.0,1.330922,0.0311456,298,1
100000.0,1.3908053,0.0327618,298,1
1000000.0,1.5876948,0.0638934,298,1
100.0,0.0951222,0.0391745,323,1
200.0,0.1789693,0.0513253,323,1
500.0,0.3323555,0.0597827,323,1
1000.0,0.4749307,0.0636719,323,1
2000.0,0.616944,0.0655971,323,1
5000.0,0.8180674,0.0617626,323,1
10000.0,0.9730078,0.0641446,323,1
20000.0,1.1112661,0.0547203,323,1
50000.0,1.2360113,0.043896,323,1
100000.0,1.3065158,0.0368384,323,1
1000000.0,1.5026539,0.0489771,323,1
100.0,0.5479757,0.0664821,273,6
200.0,0.7282531,0.0724646,273,6
500.0,0.9513907,0.0609491,273,6
1000.0,1.0945616,0.0547652,273,6
2000.0,1.2064327,0.0457248,273,6
5000.0,1.3008375,0.0407932,273,6
10000.0,1.3330951,0.0325405,273,6
20000.0,1.372829,0.0314463,273,6
50000.0,1.4267158,0.0308303,273,6
100000.0,1.5170101,0.0580397,273,6
1000000.0,1.7847574,0.0276224,273,6
100.0,0.1957535,0.0533128,298,6
200.0,0.3303775,0.0655917,298,6
500.0,0.5466223,0.0689782,298,6
1000.0,0.7104472,0.0683922,298,6
2000.0,0.9076273,0.0594999,298,6
5000.0,1.1094559,0.0543628,298,6
10000.0,1.217117,0.0487445,298,6
20000.0,1.2817338,0.0380805,298,6
50000.0,1.3350217,0.0340553,298,6
100000.0,1.3822649,0.0297897,298,6
1000000.0,1.6277478,0.0574756,298,6
100.0,0.0613231,0.0319257,323,6
200.0,0.1193203,0.0436645,323,6
500.0,0.2413126,0.0566372,323,6
1000.0,0.3881664,0.0627233,323,6
2000.0,0.5584089,0.0689016,323,6
5000.0,0.7811055,0.0701126,323,6
10000.0,0.9570403,0.07271909999999998,323,6
20000.0,1.1074649,0.053834,323,6
50000.0,1.2389541,0.0424242,323,6
100000.0,1.3156284,0.0420839,323,6
