Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0539785,0.0390975,273,5
200.0,0.0950755,0.0501613,273,5
500.0,0.2347384,0.07466649999999998,273,5
1000.0,0.4025665,0.0928572,273,5
2000.0,0.5562456,0.0892946,273,5
5000.0,0.9785763,0.1025053,273,5
10000.0,1.2543564,0.1036345,273,5
20000.0,1.595226,0.1178027,273,5
50000.0,2.0876216,0.1041619,273,5
100000.0,2.3797356,0.0828138,273,5
1000000.0,2.7633882,0.0601366,273,5
100.0,0.0150123,0.0193568,298,5
200.0,0.0246861,0.0253355,298,5
500.0,0.0654731,0.0414299,298,5
1000.0,0.1353429,0.0548155,298,5
2000.0,0.236294,0.07351159999999998,298,5
5000.0,0.4412882,0.0899833,298,5
10000.0,0.7109189,0.0925221,298,5
20000.0,0.9894576,0.0987903,298,5
50000.0,1.3905743,0.1104501,298,5
100000.0,1.7701889,0.0995239,298,5
1000000.0,2.5429328,0.0804808,298,5
100.0,0.0048466,0.0118273,323,5
200.0,0.009204,0.0151688,323,5
500.0,0.022412,0.0230209,323,5
1000.0,0.042852,0.0326121,323,5
2000.0,0.0763395,0.0426069,323,5
5000.0,0.1936415,0.0658881,323,5
10000.0,0.3374887,0.0838648,323,5
20000.0,0.5472569,0.0925197,323,5
50000.0,0.912874,0.1154093,323,5
100000.0,1.249221,0.1043266,323,5
1000000.0,2.2585454,0.0919858,323,5
100.0,0.1894881,0.0620604,273,1
200.0,0.2782607,0.0626859,273,1
500.0,0.606376,0.1384405,273,1
1000.0,0.9120138,0.08772539999999998,273,1
2000.0,1.3153284,0.1055558,273,1
5000.0,1.817789,0.1086897,273,1
10000.0,2.2495981,0.1141088,273,1
20000.0,2.5897038,0.1140651,273,1
50000.0,3.0022367,0.0965298,273,1
100000.0,3.2250554,0.07655389999999998,273,1
1000000.0,3.60858,0.0741788,273,1
100.0,0.0268285,0.0233976,298,1
200.0,0.118177,0.0551033,298,1
500.0,0.1657763,0.0525118,298,1
1000.0,0.3251064,0.0853449,298,1
2000.0,0.5073022,0.0856697,298,1
5000.0,0.9385052,0.1312726,298,1
10000.0,1.3450099,0.1266095,298,1
20000.0,1.8393466,0.1221174,298,1
50000.0,2.3827474,0.1220841,298,1
100000.0,2.7550726,0.1040243,298,1
1000000.0,3.4041103,0.0626441,298,1
100.0,0.0078645,0.0136792,323,1
200.0,0.0271888,0.0208616,323,1
500.0,0.0568067,0.0359471,323,1
1000.0,0.087796,0.0446363,323,1
2000.0,0.1878265,0.0617476,323,1
5000.0,0.4018926,0.0883197,323,1
10000.0,0.6720162,0.0923478,323,1
20000.0,1.0102656,0.1002804,323,1
50000.0,1.5621258,0.1222769,323,1
100000.0,2.1155154,0.1172617,323,1
1000000.0,3.1347341,0.0908272,323,1
100.0,0.0055738,0.0147515,273,6
200.0,0.0107391,0.0200844,273,6
500.0,0.0263675,0.0316113,273,6
1000.0,0.0533819,0.0395778,273,6
2000.0,0.1050497,0.0533659,273,6
5000.0,0.2471668,0.0802173,273,6
10000.0,0.4525231,0.1039753,273,6
20000.0,0.7707458,0.1217946,273,6
50000.0,1.2599619,0.1162516,273,6
100000.0,1.6695795,0.1215181,273,6
1000000.0,2.5820816,0.1048153,273,6
100.0,0.0021502,0.0092022,298,6
200.0,0.0043429,0.0129151,298,6
500.0,0.0107314,0.0203778,298,6
1000.0,0.0207306,0.0280111,298,6
2000.0,0.042143,0.0401511,298,6
5000.0,0.1034475,0.0525411,298,6
10000.0,0.1908715,0.0695336,298,6
20000.0,0.3567239,0.0908701,298,6
50000.0,0.7102943,0.1068483,298,6
100000.0,1.0898806,0.1186216,298,6
1000000.0,2.1729284,0.1017326,298,6
100.0,0.0009182,0.0060687,323,6
200.0,0.0019758,0.008680099999999998,323,6
500.0,0.0048296,0.0136053,323,6
1000.0,0.0095265,0.0191146,323,6
2000.0,0.0190647,0.0271063,323,6
5000.0,0.0459549,0.0419059,323,6
10000.0,0.089857,0.0515463,323,6
20000.0,0.1745846,0.0686652,323,6
50000.0,0.3896658,0.0943858,323,6
100000.0,0.6488608,0.1069397,323,6
1000000.0,1.7787048,0.1139474,323,6
100.0,0.0310823,0.0255277,273,2
200.0,0.0391173,0.0240281,273,2
500.0,0.0998243,0.0335179,273,2
1000.0,0.237929,0.0536161,273,2
2000.0,0.520136,0.0637619,273,2
5000.0,0.7438907999999999,0.0982847,273,2
10000.0,1.1742824,0.1158404,273,2
20000.0,1.6481242,0.1313441,273,2
50000.0,2.3257079,0.1305491,273,2
100000.0,2.7549606,0.1167164,273,2
1000000.0,3.5463198,0.0576727,273,2
100.0,0.0062103,0.009761,298,2
200.0,0.0111188,0.0127346,298,2
500.0,0.0311792,0.0211905,298,2
1000.0,0.0526264,0.0281286,298,2
2000.0,0.1176819,0.0439649,298,2
5000.0,0.233956,0.0544478,298,2
10000.0,0.4226661,0.08076569999999998,298,2
20000.0,0.8376964,0.1130471,298,2
50000.0,1.4583581,0.1255491,298,2
100000.0,1.980026,0.1183158,298,2
