Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004287,0.0036641,273,5
200.0,0.0008635999999999998,0.0051452,273,5
500.0,0.0019807,0.007822199999999998,273,5
1000.0,0.0039458,0.0110894,273,5
2000.0,0.0080323,0.0156705,273,5
5000.0,0.0199729,0.0251277,273,5
10000.0,0.0386315,0.0312071,273,5
20000.0,0.078959,0.0423108,273,5
50000.0,0.1900828,0.0678203,273,5
100000.0,0.3682284,0.0912164,273,5
100.0,0.0001721,0.0023142,298,5
200.0,0.0003724,0.0034218,298,5
500.0,0.0008296,0.0051044,298,5
1000.0,0.0016834,0.0074117,298,5
2000.0,0.0036172,0.0107504,298,5
5000.0,0.0088772,0.0165756,298,5
10000.0,0.0173476,0.0232825,298,5
20000.0,0.0343572,0.029483,298,5
50000.0,0.08495429999999998,0.045704,298,5
100000.0,0.1721208,0.0610545,298,5
100.0,0.0001189,0.0019252,323,5
200.0,0.0001752,0.002335,323,5
500.0,0.0004756,0.0038538,323,5
1000.0,0.0008824,0.0052922,323,5
2000.0,0.0017554,0.007493599999999999,323,5
5000.0,0.0043485,0.0117691,323,5
10000.0,0.0090413,0.0167952,323,5
20000.0,0.0181987,0.0241069,323,5
50000.0,0.0430967,0.0331341,323,5
100000.0,0.0890784,0.0448684,323,5
100.0,0.0001909,0.0024364,273,1
200.0,0.0003663,0.0033946,273,1
500.0,0.0008761,0.0051999,273,1
1000.0,0.0018659,0.0076054,273,1
2000.0,0.0037236,0.010805,273,1
5000.0,0.0089898,0.0168494,273,1
10000.0,0.0179765,0.023375,273,1
20000.0,0.0366664,0.030203,273,1
50000.0,0.0916317,0.0465235,273,1
100000.0,0.1781144,0.0630153,273,1
100.0,9.39e-05,0.0017113,298,1
200.0,0.0001596,0.0022289,298,1
500.0,0.0004068,0.0035719,298,1
1000.0,0.0008073,0.0050391,298,1
2000.0,0.0017648,0.007432399999999999,298,1
5000.0,0.0045778,0.0120498,298,1
10000.0,0.0084673,0.0162463,298,1
20000.0,0.0171574,0.0233305,298,1
50000.0,0.0447707,0.0336649,298,1
100000.0,0.0874544,0.0474259,298,1
100.0,4.38e-05,0.00117,323,1
200.0,0.0001001,0.0017672,323,1
500.0,0.0002628,0.0028558,323,1
1000.0,0.0005007,0.0039262,323,1
2000.0,0.0008855,0.0052638,323,1
5000.0,0.0022905,0.0084103,323,1
10000.0,0.0049283,0.0123229,323,1
20000.0,0.0095687,0.0173681,323,1
50000.0,0.0230174,0.0265158,323,1
100000.0,0.0472521,0.034483,323,1
100.0,0.0002254,0.0026462,273,6
200.0,0.000485,0.0039157,273,6
500.0,0.0012235,0.0062559,273,6
1000.0,0.0023562,0.0086166,273,6
2000.0,0.0048375,0.0122833,273,6
5000.0,0.0119246,0.0193328,273,6
10000.0,0.0241752,0.0270965,273,6
20000.0,0.0463759,0.0324735,273,6
50000.0,0.120254,0.0532712,273,6
100000.0,0.2368222,0.07716209999999998,273,6
100.0,0.0001033,0.0017945,298,6
200.0,0.0002597,0.0028389,298,6
500.0,0.0006571,0.0045084,298,6
1000.0,0.0011421,0.0059012,298,6
2000.0,0.002206,0.008309999999999998,298,6
5000.0,0.0056605,0.0131709,298,6
10000.0,0.0112302,0.0188652,298,6
20000.0,0.0223228,0.0264968,298,6
50000.0,0.0548557,0.0358232,298,6
100000.0,0.1098272,0.0510645,298,6
100.0,6.88e-05,0.001466,323,6
200.0,0.0001377,0.002071,323,6
500.0,0.0003066,0.0030824,323,6
1000.0,0.0006008,0.0043167,323,6
2000.0,0.0011609,0.0060613,323,6
5000.0,0.0028787,0.0094047,323,6
10000.0,0.0060391,0.0137875,323,6
20000.0,0.0117184,0.0189367,323,6
50000.0,0.0291817,0.0262908,323,6
100000.0,0.0583759,0.0361856,323,6
100.0,9.700000000000001e-05,0.0017395,273,2
200.0,0.0002222,0.0026272,273,2
500.0,0.0005664,0.0041949,273,2
1000.0,0.0012016,0.0061576,273,2
2000.0,0.0022342,0.008331899999999998,273,2
5000.0,0.0058138,0.0134906,273,2
10000.0,0.0109267,0.018582,273,2
20000.0,0.022207,0.0227859,273,2
50000.0,0.0559509,0.03533,273,2
100000.0,0.1105219,0.0518306,273,2
100.0,5.95e-05,0.0013626,298,2
200.0,0.0001001,0.0017672,298,2
500.0,0.0002722,0.0029059,298,2
1000.0,0.0005945,0.0043402,298,2
2000.0,0.0011359,0.005952,298,2
5000.0,0.0029257,0.0094474,298,2
10000.0,0.0054321,0.0130397,298,2
20000.0,0.0114962,0.0190852,298,2
50000.0,0.0289502,0.0256356,298,2
100000.0,0.0549402,0.0372552,298,2
100.0,3.75e-05,0.0010833,323,2
200.0,7.82e-05,0.0015626,323,2
500.0,0.0001627,0.0022505,323,2
1000.0,0.0003223,0.0031593,323,2
2000.0,0.0006383,0.0044234,323,2
5000.0,0.0016396,0.0071391,323,2
10000.0,0.0031072,0.0097474,323,2
20000.0,0.0064396,0.0142174,323,2
50000.0,0.0160146,0.0223561,323,2
100000.0,0.0314628,0.0262268,323,2
100.0,0.0001627,0.0022505,273,8
200.0,0.0003692,0.0033789,273,8
500.0,0.0008229,0.0050849,273,8
1000.0,0.0019651,0.007919499999999998,273,8
2000.0,0.0038425,0.0110682,273,8
5000.0,0.0093184,0.0171019,273,8
10000.0,0.0187025,0.0244319,273,8
20000.0,0.0363254,0.029499,273,8
50000.0,0.0894132,0.0462247,273,8
100000.0,0.1827258,0.0663813,273,8
100.0,9.07e-05,0.0016826,298,8
200.0,0.0001565,0.002207,298,8
500.0,0.0004631,0.0037784,298,8
1000.0,0.0009419,0.0054731,298,8
2000.0,0.0016803,0.007285899999999999,298,8
5000.0,0.0043798,0.0117742,298,8
10000.0,0.008971,0.016696,298,8
20000.0,0.0177794,0.0233938,298,8
50000.0,0.043929,0.0334725,298,8
100000.0,0.0847133,0.0456824,298,8
100.0,6.26e-05,0.001398,323,8
200.0,9.700000000000001e-05,0.0017395,323,8
500.0,0.0002316,0.0026817,323,8
1000.0,0.0005257,0.0040458,323,8
2000.0,0.0009763,0.0055647,323,8
5000.0,0.0023468,0.008613499999999998,323,8
10000.0,0.0045966,0.0120101,323,8
20000.0,0.0093309,0.017118,323,8
50000.0,0.0241408,0.0273519,323,8
100000.0,0.0485812,0.0379902,323,8
100.0,8.449999999999998e-05,0.0016237,273,4
200.0,0.000122,0.0019503,273,4
500.0,0.0003598,0.0033362,273,4
1000.0,0.0008136,0.0049991,273,4
2000.0,0.0018211,0.0075236,273,4
