Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.6712608,0.122627,273,5
200.0,1.0446394,0.1277458,273,5
500.0,1.5068957,0.1381977,273,5
1000.0,1.8690274,0.1238034,273,5
2000.0,2.1785997,0.1094441,273,5
5000.0,2.4473167,0.0903707,273,5
10000.0,2.6632459,0.109583,273,5
20000.0,2.8783983,0.0927439,273,5
50000.0,3.1532965,0.086525,273,5
100000.0,3.2352189,0.0921894,273,5
1000000.0,3.7292805,0.1161897,273,5
100.0,0.2088148,0.0812149,298,5
200.0,0.3886834,0.1002688,298,5
500.0,0.7373870999999999,0.1276483,298,5
1000.0,1.1186725,0.1409586,298,5
2000.0,1.5218144,0.1483905,298,5
5000.0,1.9422158,0.1239272,298,5
10000.0,2.2113168,0.1095744,298,5
20000.0,2.456666,0.0996293,298,5
50000.0,2.6951589,0.1043286,298,5
100000.0,2.8886087,0.0938691,298,5
1000000.0,3.3865529,0.0800824,298,5
100.0,0.0653216,0.0381164,323,5
200.0,0.1255901,0.0528703,323,5
500.0,0.2807161,0.07758099999999998,323,5
1000.0,0.5051976,0.0973951,323,5
2000.0,0.8141644999999998,0.1175919,323,5
5000.0,1.3299693,0.1172646,323,5
10000.0,1.7143117,0.1165446,323,5
20000.0,2.0523245,0.09631,323,5
50000.0,2.3619935,0.08470179999999998,323,5
100000.0,2.5638407,0.0777183,323,5
1000000.0,3.1690959,0.0699469,323,5
100.0,0.9777742,0.1397254,273,1
200.0,1.3913289,0.1421095,273,1
500.0,1.8711809,0.1309732,273,1
1000.0,2.234893,0.109828,273,1
2000.0,2.4471024,0.1134453,273,1
5000.0,2.8013949,0.0997214,273,1
10000.0,2.9307088,0.1035589,273,1
20000.0,3.1755058,0.08723949999999998,273,1
50000.0,3.310141,0.07679289999999998,273,1
100000.0,3.5308532,0.07863199999999998,273,1
1000000.0,4.1922445,0.1364338,273,1
100.0,0.3338792,0.096486,298,1
200.0,0.5648431,0.1341307,298,1
500.0,1.0278547,0.1339335,298,1
1000.0,1.4286156,0.1462939,298,1
2000.0,1.7876812,0.129812,298,1
5000.0,2.2797157,0.1284598,298,1
10000.0,2.5051556,0.1038165,298,1
20000.0,2.6653332,0.0862065,298,1
50000.0,3.0114118,0.0849708,298,1
100000.0,3.1768738,0.08596299999999998,298,1
1000000.0,3.745568,0.1166741,298,1
100.0,0.1004073,0.0474521,323,1
200.0,0.205398,0.0677421,323,1
500.0,0.4389233,0.08959799999999998,323,1
1000.0,0.7230166,0.1039892,323,1
2000.0,1.0738004,0.1195148,323,1
5000.0,1.6396381,0.116617,323,1
10000.0,2.011626,0.1101961,323,1
20000.0,2.2815107,0.0960251,323,1
50000.0,2.6292328,0.0879231,323,1
100000.0,2.8267469,0.07315009999999998,323,1
1000000.0,3.4193241,0.08813809999999998,323,1
100.0,0.1458881,0.0681069,273,6
200.0,0.2712799,0.0892327,273,6
500.0,0.5565811,0.114762,273,6
1000.0,0.9046622,0.1384141,273,6
2000.0,1.299342,0.1525112,273,6
5000.0,1.8428937,0.1409757,273,6
10000.0,2.2281415,0.1305494,273,6
20000.0,2.504032,0.1118358,273,6
50000.0,2.8442379,0.0998553,273,6
100000.0,3.0814684,0.08875239999999998,273,6
1000000.0,3.6164988,0.08306679999999998,273,6
100.0,0.0420688,0.0379723,298,6
200.0,0.08353629999999998,0.0531699,298,6
500.0,0.1929766,0.08098669999999998,298,6
1000.0,0.3558886,0.104595,298,6
2000.0,0.6219928,0.1257069,298,6
5000.0,1.0896802,0.1468956,298,6
10000.0,1.5191653,0.1478604,298,6
20000.0,1.9262963,0.1440195,298,6
50000.0,2.3908052,0.127427,298,6
100000.0,2.6579972,0.1102772,298,6
1000000.0,3.2854242,0.0823937,298,6
100.0,0.0138709,0.026009,323,6
200.0,0.0282329,0.0373989,323,6
500.0,0.0702767,0.0510667,323,6
1000.0,0.1319592,0.0677353,323,6
2000.0,0.2534652,0.08797929999999998,323,6
5000.0,0.5547337,0.1234125,323,6
10000.0,0.9092893,0.1360239,323,6
20000.0,1.2948543,0.1531715,323,6
50000.0,1.869509,0.1550027,323,6
100000.0,2.2152604,0.123866,323,6
1000000.0,3.0317552,0.08776,323,6
100.0,0.2490438,0.08577569999999998,273,2
200.0,0.4473224,0.1092315,273,2
500.0,0.8540052999999999,0.1375338,273,2
1000.0,1.2531493,0.1604059,273,2
2000.0,1.7218625,0.1456111,273,2
5000.0,2.2835218,0.1438945,273,2
10000.0,2.6036675,0.1200398,273,2
