Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008264999999999999,0.0051804,273,5
200.0,0.0016628,0.0073659,273,5
500.0,0.0038905,0.0112485,273,5
1000.0,0.0080426,0.0163311,273,5
2000.0,0.0161304,0.0226421,273,5
5000.0,0.0407134,0.0356921,273,5
10000.0,0.0821308,0.0444898,273,5
20000.0,0.1565483,0.0604686,273,5
50000.0,0.376305,0.0861972,273,5
100000.0,0.6798128,0.1117066,273,5
100.0,0.0003616,0.0034585,298,5
200.0,0.0008264999999999999,0.0052005,298,5
500.0,0.0023053,0.008585,298,5
1000.0,0.004165,0.0115584,298,5
2000.0,0.0085021,0.0165773,298,5
5000.0,0.0211768,0.0256409,298,5
10000.0,0.0431694,0.0375834,298,5
20000.0,0.08257309999999998,0.044285,298,5
50000.0,0.2012524,0.0689613,298,5
100000.0,0.3931146,0.094164,298,5
100.0,0.0002282,0.0022252,323,5
200.0,0.0004994,0.0032829,323,5
500.0,0.001257,0.00521,323,5
1000.0,0.0025313,0.0074117,323,5
2000.0,0.0049205,0.0103259,323,5
5000.0,0.0124603,0.0164651,323,5
10000.0,0.0243936,0.022742,323,5
20000.0,0.049334,0.0328227,323,5
50000.0,0.1209372,0.0442695,323,5
100000.0,0.2306881,0.0621941,323,5
100.0,0.0011333,0.0059593,273,1
200.0,0.0024344,0.008860599999999998,273,1
500.0,0.0053951,0.0131853,273,1
1000.0,0.0114198,0.0194631,273,1
2000.0,0.0226071,0.0265678,273,1
5000.0,0.0576865,0.04324,273,1
10000.0,0.1134488,0.0522656,273,1
20000.0,0.2203115,0.0728375,273,1
50000.0,0.5194807,0.1064891,273,1
100000.0,0.9079173,0.1382249,273,1
100.0,0.0006231,0.0045118,298,1
200.0,0.0011946,0.0062465,298,1
500.0,0.0028122,0.0095512,298,1
1000.0,0.0059149,0.0140748,298,1
2000.0,0.0115844,0.0194059,298,1
5000.0,0.0297231,0.0310438,298,1
10000.0,0.0580352,0.0434483,298,1
20000.0,0.1160091,0.0540537,298,1
50000.0,0.2780365,0.0813008,298,1
100000.0,0.5281482,0.1064341,298,1
100.0,0.0003336,0.0026589,323,1
200.0,0.0006543,0.0037576,323,1
500.0,0.0016229,0.0059305,323,1
1000.0,0.0033621,0.0084906,323,1
2000.0,0.0067888,0.0118818,323,1
5000.0,0.016619,0.0188134,323,1
10000.0,0.0337202,0.0272891,323,1
20000.0,0.0664997,0.0332491,323,1
50000.0,0.163336,0.0514087,323,1
100000.0,0.3107702,0.0668071,323,1
100.0,0.0007264,0.0048958,273,6
200.0,0.0015691,0.0071497,273,6
500.0,0.0039454,0.0112711,273,6
1000.0,0.007455,0.0155709,273,6
2000.0,0.0152393,0.0220122,273,6
5000.0,0.0374493,0.0346887,273,6
10000.0,0.0751956,0.0488325,273,6
20000.0,0.1484346,0.0610857,273,6
50000.0,0.3582219,0.09119,273,6
100000.0,0.6383961,0.1162657,273,6
100.0,0.0004617,0.0038603,298,6
200.0,0.0008556,0.0052457,298,6
500.0,0.0020179,0.0080648,298,6
1000.0,0.0040229,0.0114185,298,6
2000.0,0.0085753,0.0167722,298,6
5000.0,0.0205601,0.0256041,298,6
10000.0,0.0398256,0.0357461,298,6
20000.0,0.0803066,0.0511765,298,6
50000.0,0.1920055,0.0665926,298,6
100000.0,0.3717162,0.0895428,298,6
100.0,0.0001937,0.0024934,323,6
200.0,0.000523,0.0041015,323,6
500.0,0.0012333,0.006239,323,6
1000.0,0.0025184,0.0089076,323,6
2000.0,0.0048688,0.0125569,323,6
5000.0,0.0120623,0.0197509,323,6
10000.0,0.0238921,0.0274835,323,6
20000.0,0.0469448,0.0386616,323,6
50000.0,0.1150006,0.0535445,323,6
100000.0,0.2258482,0.0732338,323,6
100.0,0.0009912,0.0056624,273,2
200.0,0.0023602,0.0088277,273,2
500.0,0.0052627,0.0130124,273,2
