Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0603656,0.0456603,273,5
200.0,0.1234945,0.0630062,273,5
500.0,0.2914269,0.0994852,273,5
1000.0,0.5686109,0.1334,273,5
2000.0,1.0082807,0.1623517,273,5
5000.0,1.9939375,0.1944512,273,5
10000.0,2.8041237,0.1940422,273,5
20000.0,3.5662101,0.1662101,273,5
50000.0,4.2547459,0.1173373,273,5
100000.0,4.5237473,0.0967948,273,5
1000000.0,4.9253344,0.045059,273,5
100.0,0.0192746,0.0294777,298,5
200.0,0.0394386,0.0422026,298,5
500.0,0.0962419,0.0563378,298,5
1000.0,0.186673,0.07685309999999998,298,5
2000.0,0.3607624,0.1067919,298,5
5000.0,0.8051762,0.1458632,298,5
10000.0,1.3585394,0.1795011,298,5
20000.0,2.1467182,0.1958395,298,5
50000.0,3.191992,0.188106,298,5
100000.0,3.805731,0.150567,298,5
1000000.0,4.7405102,0.0682243,298,5
100.0,0.007359499999999998,0.0181855,323,5
200.0,0.014448,0.0256125,323,5
500.0,0.0371088,0.0408796,323,5
1000.0,0.0739476,0.0567434,323,5
2000.0,0.1481554,0.0708556,323,5
5000.0,0.3488926,0.1063434,323,5
10000.0,0.6443682,0.1410047,323,5
20000.0,1.1026503,0.1563199,323,5
50000.0,2.0083383,0.1930464,323,5
100000.0,2.7848452,0.1804197,323,5
1000000.0,4.4422794,0.1088188,323,5
100.0,0.0878936,0.0560881,273,1
200.0,0.1730783,0.0743892,273,1
500.0,0.4184765,0.1116848,273,1
1000.0,0.8113647,0.141713,273,1
2000.0,1.4066528,0.1847907,273,1
5000.0,2.5680985,0.1964863,273,1
10000.0,3.4113931,0.1881811,273,1
20000.0,3.9736129,0.1504657,273,1
50000.0,4.4572578,0.1077836,273,1
100000.0,4.7254008,0.080738,273,1
1000000.0,5.0708237,0.07559739999999998,273,1
100.0,0.0280472,0.0354223,298,1
200.0,0.0552908,0.0502193,298,1
500.0,0.1333823,0.0697171,298,1
1000.0,0.2715099,0.0914237,298,1
2000.0,0.5124262,0.1240929,298,1
5000.0,1.0976031,0.1614196,298,1
10000.0,1.8325551,0.2037501,298,1
20000.0,2.6368498,0.1955899,298,1
50000.0,3.6310484,0.1667741,298,1
100000.0,4.1014292,0.1347595,298,1
1000000.0,4.8630943,0.0788525,298,1
100.0,0.0105109,0.0219712,323,1
200.0,0.0207194,0.0304992,323,1
500.0,0.0524644,0.0479857,323,1
1000.0,0.1015662,0.0592877,323,1
2000.0,0.1992472,0.0840597,323,1
5000.0,0.4699989,0.1159109,323,1
10000.0,0.8506551999999998,0.1494968,323,1
20000.0,1.4357269,0.1871375,323,1
50000.0,2.455439,0.1910339,323,1
100000.0,3.2151666,0.1818612,323,1
1000000.0,4.5986463,0.0889784,323,1
100.0,0.0452629,0.0451431,273,6
200.0,0.0899796,0.0541029,273,6
500.0,0.2210096,0.0877521,273,6
1000.0,0.4158188,0.1118435,273,6
2000.0,0.747499,0.1397452,273,6
5000.0,1.4517691,0.1701207,273,6
10000.0,2.1568096,0.1824551,273,6
20000.0,2.9066428,0.1663988,273,6
50000.0,3.6971927,0.1553795,273,6
100000.0,4.1670875,0.1295843,273,6
1000000.0,4.9940107,0.0750229,273,6
100.0,0.0157529,0.0268318,298,6
200.0,0.0317044,0.0376919,298,6
500.0,0.07647969999999998,0.0573851,298,6
1000.0,0.1501465,0.0739138,298,6
2000.0,0.2842558,0.0976375,298,6
5000.0,0.6468063,0.1344719,298,6
10000.0,1.0661785,0.162805,298,6
20000.0,1.694557,0.1862316,298,6
50000.0,2.6028444,0.1763349,298,6
100000.0,3.2618977,0.1571545,298,6
1000000.0,4.5757974,0.1068434,298,6
100.0,0.0062488,0.0166778,323,6
200.0,0.012335,0.0235717,323,6
500.0,0.0318669,0.0378035,323,6
1000.0,0.0606636,0.0516557,323,6
2000.0,0.1238453,0.0648207,323,6
5000.0,0.2830864,0.097463,323,6
10000.0,0.5300753,0.1256913,323,6
20000.0,0.8997189,0.1502004,323,6
50000.0,1.6630907,0.1807391,323,6
100000.0,2.3200372,0.1813469,323,6
1000000.0,4.129123,0.1293795,323,6
100.0,0.0645285,0.0534297,273,2
200.0,0.1284655,0.0679207,273,2
500.0,0.3072146,0.1014504,273,2
1000.0,0.574027,0.1338499,273,2
2000.0,0.9754764,0.158171,273,2
5000.0,1.8625783,0.180617,273,2
10000.0,2.605231,0.1892883,273,2
20000.0,3.3445939,0.1632408,273,2
50000.0,4.0352916,0.1329016,273,2
100000.0,4.4430439,0.1229845,273,2
1000000.0,5.1218447,0.0932501,273,2
100.0,0.0211815,0.0310375,298,2
200.0,0.0426172,0.0436149,298,2
500.0,0.1062833,0.0588301,298,2
1000.0,0.2043627,0.0814715,298,2
2000.0,0.3905797,0.1108065,298,2
5000.0,0.8388601999999998,0.140747,298,2
10000.0,1.3846396,0.1848011,298,2
20000.0,2.1003837,0.1893953,298,2
50000.0,3.0393428,0.1700937,298,2
100000.0,3.6539112,0.1572717,298,2
1000000.0,4.7373489,0.0857005,298,2
100.0,0.008664299999999998,0.0197876,323,2
200.0,0.0169493,0.0273177,323,2
500.0,0.0423192,0.0436386,323,2
1000.0,0.0844035,0.0617541,323,2
