Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0157054,0.0183205,273,5
200.0,0.0316914,0.0260122,273,5
500.0,0.075258,0.0367529,273,5
1000.0,0.1443067,0.0460143,273,5
2000.0,0.266332,0.0599571,273,5
5000.0,0.5117877,0.07483689999999998,273,5
10000.0,0.761356,0.0821998,273,5
20000.0,1.0282934,0.0781318,273,5
50000.0,1.3016971,0.0651639,273,5
100000.0,1.4316408,0.0495632,273,5
100.0,0.0060657,0.0117009,298,5
200.0,0.0119061,0.0162964,298,5
500.0,0.029308,0.0250068,298,5
1000.0,0.0582979,0.0316349,298,5
2000.0,0.1128653,0.0426036,298,5
5000.0,0.2482944,0.0609088,298,5
10000.0,0.4230971,0.0704637,298,5
20000.0,0.6521858,0.0812472,298,5
50000.0,1.0047164,0.08223329999999998,298,5
100000.0,1.2138257,0.0673326,298,5
100.0,0.0026292,0.0066622,323,5
200.0,0.0053014,0.0092804,323,5
500.0,0.0128178,0.0144587,323,5
1000.0,0.0264358,0.0209048,323,5
2000.0,0.0518495,0.0262978,323,5
5000.0,0.1228354,0.037954,323,5
10000.0,0.2246292,0.0493219,323,5
20000.0,0.3778567,0.0596088,323,5
50000.0,0.6843359,0.0666387,323,5
100000.0,0.9393626,0.0716838,323,5
100.0,0.0180005,0.019676,273,1
200.0,0.0366284,0.0279022,273,1
500.0,0.08660519999999998,0.0390484,273,1
1000.0,0.1667753,0.0520439,273,1
2000.0,0.2949663,0.0627243,273,1
5000.0,0.5700594,0.07759539999999998,273,1
10000.0,0.8181256999999998,0.0843575,273,1
20000.0,1.058387,0.0717568,273,1
50000.0,1.320156,0.0610055,273,1
100000.0,1.4431459,0.047407,273,1
100.0,0.0065505,0.0120392,298,1
200.0,0.0133375,0.0171644,298,1
500.0,0.0336839,0.0271076,298,1
1000.0,0.0643283,0.0328416,298,1
2000.0,0.1234589,0.0445043,298,1
5000.0,0.2734092,0.0607366,298,1
10000.0,0.4620751,0.0711559,298,1
20000.0,0.6937037,0.0769556,298,1
50000.0,1.0416492,0.0779867,298,1
100000.0,1.2504866,0.0660862,298,1
100.0,0.0029804,0.0070079,323,1
200.0,0.0059409,0.009943,323,1
500.0,0.0146385,0.0154406,323,1
1000.0,0.029335,0.0217609,323,1
2000.0,0.0572458,0.0271011,323,1
5000.0,0.1334569,0.0400152,323,1
10000.0,0.2451042,0.052179,323,1
20000.0,0.4065567,0.060664,323,1
50000.0,0.7200634,0.0702972,323,1
100000.0,0.9746827,0.0649088,323,1
100.0,0.0166729,0.0192984,273,6
200.0,0.0330764,0.0265401,273,6
500.0,0.0785228,0.0368062,273,6
1000.0,0.1492856,0.0480534,273,6
2000.0,0.2710105,0.0590267,273,6
5000.0,0.5216595,0.0714242,273,6
10000.0,0.7813656,0.08071069999999998,273,6
20000.0,1.0427928,0.0742892,273,6
50000.0,1.3011761,0.0634846,273,6
100000.0,1.4500098,0.0516122,273,6
100.0,0.0062004,0.0116406,298,6
200.0,0.0123788,0.0165853,298,6
500.0,0.0310729,0.0255958,298,6
1000.0,0.0609552,0.0315142,298,6
2000.0,0.1154405,0.0420757,298,6
5000.0,0.2641514,0.059626,298,6
10000.0,0.4299918,0.0714465,298,6
20000.0,0.6685186,0.0803517,298,6
50000.0,1.0087974,0.0774001,298,6
100000.0,1.2302968,0.0664282,298,6
100.0,0.0027324,0.007908999999999998,323,6
200.0,0.0055532,0.0110622,323,6
500.0,0.0132977,0.0170187,323,6
1000.0,0.0274591,0.0242097,323,6
2000.0,0.0526475,0.0292055,323,6
5000.0,0.124646,0.0441255,323,6
10000.0,0.2292351,0.0562446,323,6
20000.0,0.3928811,0.0691092,323,6
50000.0,0.6990632,0.0771917,323,6
100000.0,0.9415387,0.075117,323,6
100.0,0.0187029,0.0200684,273,2
200.0,0.0365952,0.02795,273,2
500.0,0.0896116,0.0371789,273,2
1000.0,0.1682074,0.0505919,273,2
2000.0,0.2962675,0.0620773,273,2
5000.0,0.5651035,0.0761305,273,2
10000.0,0.8303353999999998,0.0811292,273,2
20000.0,1.0743803,0.0717635,273,2
50000.0,1.3233776,0.0577812,273,2
100000.0,1.450905,0.0480613,273,2
100.0,0.0068322,0.0122597,298,2
200.0,0.0140333,0.0173663,298,2
500.0,0.0346492,0.027338,298,2
1000.0,0.0652825,0.0330801,298,2
2000.0,0.1253829,0.0457366,298,2
5000.0,0.2785054,0.0602048,298,2
10000.0,0.4631688,0.0701675,298,2
20000.0,0.7035264,0.077116,298,2
50000.0,1.0436344,0.0735649,298,2
100000.0,1.2463617,0.063956,298,2
100.0,0.0030527,0.0082739,323,2
200.0,0.0059553,0.0115185,323,2
500.0,0.0151311,0.0180751,323,2
1000.0,0.0300833,0.0256609,323,2
2000.0,0.0565308,0.0302057,323,2
5000.0,0.1356051,0.0477028,323,2
10000.0,0.2451483,0.0580041,323,2
20000.0,0.4179516,0.0717147,323,2
50000.0,0.7280742,0.0793852,323,2
100000.0,0.9783805,0.07915189999999998,323,2
100.0,0.0130017,0.0146436,273,8
200.0,0.0255064,0.020358,273,8
500.0,0.0627588,0.0290901,273,8
