Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004691,0.0032492,273,5
200.0,0.0009297000000000002,0.0045936,273,5
500.0,0.0023432,0.0071792,273,5
1000.0,0.0046909,0.0101556,273,5
2000.0,0.0096878,0.014576,273,5
5000.0,0.0239905,0.0228359,273,5
10000.0,0.0463302,0.0312837,273,5
20000.0,0.09040260000000001,0.0383486,273,5
50000.0,0.2035539,0.0540712,273,5
100000.0,0.3569976,0.0688776,273,5
100.0,0.000239,0.0023412,298,5
200.0,0.0004333,0.0030809,298,5
500.0,0.0013045,0.0053419,298,5
1000.0,0.0024973,0.0074522,298,5
2000.0,0.0050125,0.0105258,298,5
5000.0,0.0126073,0.0167316,298,5
10000.0,0.0246718,0.0231469,298,5
20000.0,0.0483942,0.027812,298,5
50000.0,0.1140341,0.0417902,298,5
100000.0,0.2122944,0.0553112,298,5
100.0,0.0001653,0.0015744,323,5
200.0,0.000319,0.0021561,323,5
500.0,0.0006969,0.0032356,323,5
1000.0,0.0013894,0.0045412,323,5
2000.0,0.0028205,0.0064212,323,5
5000.0,0.0071986,0.0103229,323,5
10000.0,0.0142498,0.0143459,323,5
20000.0,0.0285697,0.0204209,323,5
50000.0,0.0688665,0.0282869,323,5
100000.0,0.1307486,0.0369976,323,5
100.0,0.0002479,0.0023615,273,1
200.0,0.0005185,0.0034223,273,1
500.0,0.0012062,0.005214,273,1
1000.0,0.0025545,0.007564699999999998,273,1
2000.0,0.0054057,0.0109394,273,1
5000.0,0.0129781,0.0170416,273,1
10000.0,0.0268832,0.02428,273,1
20000.0,0.0517113,0.0290772,273,1
50000.0,0.1228852,0.0433317,273,1
100000.0,0.2241348,0.0586876,273,1
100.0,0.0001698,0.0019399,298,1
200.0,0.0002904,0.0025499,298,1
500.0,0.0007571999999999999,0.0041037,298,1
1000.0,0.0014385,0.0056797,298,1
2000.0,0.0027743,0.0079282,298,1
5000.0,0.0072731,0.0126751,298,1
10000.0,0.014745,0.0179892,298,1
20000.0,0.0290544,0.0252075,298,1
50000.0,0.0695366,0.0340977,298,1
100000.0,0.1311724,0.0452812,298,1
100.0,8.64e-05,0.0011308,323,1
200.0,0.0001906,0.0016872,323,1
500.0,0.0004602,0.0026281,323,1
1000.0,0.0008756,0.0036215,323,1
2000.0,0.0017274,0.0050882,323,1
5000.0,0.0045673,0.0082166,323,1
10000.0,0.0089008,0.0114584,323,1
20000.0,0.0178476,0.0160173,323,1
50000.0,0.0418619,0.0217075,323,1
100000.0,0.08394279999999998,0.0295258,323,1
100.0,0.0004045,0.0029953,273,6
200.0,0.0009297000000000002,0.0045609,273,6
500.0,0.002198,0.0069969,273,6
1000.0,0.0044094,0.0098039,273,6
2000.0,0.009078,0.0142372,273,6
5000.0,0.0215624,0.0218508,273,6
10000.0,0.042716,0.0304906,273,6
20000.0,0.083622,0.0371097,273,6
50000.0,0.1921806,0.0511583,273,6
100000.0,0.338107,0.0637947,273,6
100.0,0.0002345,0.0022769,298,6
200.0,0.0004693,0.0032806,298,6
500.0,0.0011705,0.0051159,298,6
1000.0,0.0022449,0.007099,298,6
2000.0,0.0045725,0.0100245,298,6
5000.0,0.0112626,0.0157282,298,6
10000.0,0.0228669,0.0221754,298,6
