Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0051536,0.0210673,273,5
200.0,0.0098049,0.0289593,273,5
500.0,0.0245208,0.0460575,273,5
1000.0,0.0491283,0.0646017,273,5
2000.0,0.0977022,0.0911158,273,5
5000.0,0.247469,0.1470545,273,5
10000.0,0.4891347,0.1839866,273,5
20000.0,0.9934098,0.2539226,273,5
50000.0,2.3940038,0.3927318,273,5
100000.0,4.9055842,0.5760373,273,5
1000000.0,19.1282213,0.4363501,273,5
100.0,0.0022433,0.0139742,298,5
200.0,0.005041,0.0209697,298,5
500.0,0.0112167,0.0309315,298,5
1000.0,0.0247547,0.0466534,298,5
2000.0,0.0505401,0.0664306,298,5
5000.0,0.1230372,0.1030935,298,5
10000.0,0.2499115,0.1280413,298,5
20000.0,0.4953623,0.1882675,298,5
50000.0,1.2489261,0.2801879,298,5
100000.0,2.3178014,0.3823865,298,5
1000000.0,15.0978106,0.5362175,298,5
100.0,0.0013685,0.010801,323,5
200.0,0.0024438,0.0147549,323,5
500.0,0.0066867,0.0241034,323,5
1000.0,0.0141167,0.0352082,323,5
2000.0,0.027076,0.0483405,323,5
5000.0,0.0712152,0.07863359999999998,323,5
10000.0,0.1402477,0.1087909,323,5
20000.0,0.2840154,0.1343904,323,5
50000.0,0.6876373,0.2065274,323,5
100000.0,1.352578,0.2999132,323,5
1000000.0,10.5393994,0.6784305,323,5
100.0,0.0070072,0.0247052,273,1
200.0,0.0140404,0.0352498,273,1
500.0,0.035521,0.0552385,273,1
1000.0,0.0722026,0.0786681,273,1
2000.0,0.1446248,0.0959115,273,1
5000.0,0.3701716,0.1501953,273,1
10000.0,0.7438707,0.2110593,273,1
20000.0,1.4976762,0.2891578,273,1
50000.0,4.087225,0.5218671,273,1
100000.0,8.7651439,0.6790147,273,1
1000000.0,20.7304055,0.3417701,273,1
100.0,0.0035945,0.0179563,298,1
200.0,0.0064214,0.0235689,298,1
500.0,0.017904,0.0394859,298,1
1000.0,0.0350186,0.0544949,298,1
2000.0,0.068149,0.07669969999999998,298,1
5000.0,0.171256,0.0992939,298,1
10000.0,0.3424514,0.1521527,298,1
20000.0,0.691555,0.2096385,298,1
50000.0,1.7939935,0.3243086,298,1
100000.0,3.6684548,0.4865264,298,1
1000000.0,17.5138331,0.4528586,298,1
100.0,0.0020441,0.0134304,323,1
200.0,0.0037418,0.0180721,323,1
500.0,0.0092505,0.0281192,323,1
1000.0,0.0183451,0.0398752,323,1
2000.0,0.036986,0.0563841,323,1
5000.0,0.0956841,0.0922988,323,1
10000.0,0.1852964,0.1093465,323,1
20000.0,0.3799213,0.1550628,323,1
50000.0,0.9350656,0.2484355,323,1
100000.0,1.8419204,0.3244126,323,1
1000000.0,13.4173052,0.6084058,323,1
100.0,0.006219,0.022989,273,6
200.0,0.0133821,0.0339936,273,6
500.0,0.0329485,0.0535964,273,6
1000.0,0.0664773,0.07620399999999998,273,6
2000.0,0.1311011,0.1067591,273,6
5000.0,0.3270859,0.1514832,273,6
10000.0,0.6523442,0.2089104,273,6
20000.0,1.2936365,0.2966847,273,6
50000.0,3.1619883,0.4462271,273,6
100000.0,6.287229,0.6309521,273,6
1000000.0,19.5879687,0.3745408,273,6
100.0,0.0032394,0.0167509,298,6
200.0,0.006115,0.0228533,298,6
500.0,0.0151837,0.0363754,298,6
1000.0,0.0314241,0.0520973,298,6
2000.0,0.0630907,0.074006,298,6
5000.0,0.1559164,0.1165465,298,6
10000.0,0.3104037,0.1446386,298,6
20000.0,0.6208595,0.2054497,298,6
50000.0,1.5178337,0.3000042,298,6
100000.0,2.9609047,0.4362753,298,6
1000000.0,15.9208254,0.4670749,298,6
100.0,0.0016898,0.0125308,323,6
200.0,0.0037851,0.0180423,323,6
500.0,0.008522999999999998,0.0272691,323,6
1000.0,0.0165349,0.0377207,323,6
2000.0,0.03488,0.0557801,323,6
5000.0,0.0871698,0.0869681,323,6
10000.0,0.1723907,0.1225296,323,6
20000.0,0.3374624,0.1507371,323,6
50000.0,0.8408546999999998,0.230832,323,6
100000.0,1.6215363,0.3126457,323,6
1000000.0,11.7021233,0.6288887,323,6
100.0,0.0111561,0.0308442,273,2
200.0,0.0229617,0.0439459,273,2
500.0,0.0604056,0.0605152,273,2
1000.0,0.1243278,0.08743969999999998,273,2
2000.0,0.2483034,0.1167902,273,2
5000.0,0.6435787,0.1806155,273,2
10000.0,1.3408191,0.264167,273,2
20000.0,2.6503977,0.4377826,273,2
50000.0,6.9891955,0.5861893,273,2
100000.0,11.4509164,0.5980047,273,2
1000000.0,21.299425,0.3364167,273,2
100.0,0.0052229,0.0214387,298,2
200.0,0.010867,0.0311733,298,2
500.0,0.0267697,0.0477784,298,2
1000.0,0.052974,0.0574637,298,2
2000.0,0.1081134,0.081809,298,2
5000.0,0.2664377,0.1247889,298,2
10000.0,0.5537498,0.1711722,298,2
20000.0,1.1020049,0.2448946,298,2
50000.0,2.8722287,0.3899065,298,2
100000.0,5.6987224,0.5013868,298,2
1000000.0,18.1151607,0.4212997,298,2
100.0,0.002737,0.0152013,323,2
200.0,0.0053788,0.0214351,323,2
500.0,0.0139018,0.0351556,323,2
1000.0,0.0275177,0.0483471,323,2
2000.0,0.0525929,0.0673882,323,2
5000.0,0.1351461,0.0900307,323,2
10000.0,0.2865412,0.1304781,323,2
20000.0,0.5556473,0.1777048,323,2
50000.0,1.3752226,0.2720166,323,2
100000.0,2.8140865,0.4037267,323,2
1000000.0,14.6153904,0.5428361,323,2
100.0,0.0035945,0.0176614,273,8
200.0,0.0074836,0.025391,273,8
500.0,0.0181979,0.0395557,273,8
1000.0,0.0368993,0.0561609,273,8
2000.0,0.0747491,0.07997899999999998,273,8
5000.0,0.1828192,0.1240944,273,8
10000.0,0.3683495,0.1588252,273,8
20000.0,0.7343324,0.2218104,273,8
50000.0,1.798594,0.3322316,273,8
100000.0,3.554708,0.4829277,273,8
1000000.0,17.6644788,0.4253542,273,8
100.0,0.0020614,0.0133718,298,8
200.0,0.0042875,0.0191045,298,8
500.0,0.0097144,0.0288031,298,8
1000.0,0.0194365,0.0409247,298,8
2000.0,0.0376257,0.056949,298,8
5000.0,0.09739900000000001,0.091329,298,8
10000.0,0.1889949,0.126532,298,8
20000.0,0.380978,0.1598412,298,8
50000.0,0.946643,0.2448763,298,8
100000.0,1.8449175,0.3484327,298,8
1000000.0,13.4179996,0.5996148,298,8
100.0,0.0012213,0.0103581,323,8
200.0,0.0022866,0.013994,323,8
500.0,0.0054568,0.0217111,323,8
1000.0,0.011286,0.0312202,323,8
2000.0,0.0226066,0.0446283,323,8
5000.0,0.0539787,0.0685971,323,8
10000.0,0.1119851,0.0976533,323,8
20000.0,0.2227143,0.1390904,323,8
50000.0,0.5599082,0.2231541,323,8
100000.0,1.0905576,0.2973743,323,8
1000000.0,9.0190891,0.7910519,323,8
100.0,0.0039323,0.0185241,273,4
200.0,0.0071891,0.0246376,273,4
500.0,0.0186656,0.040724,273,4
1000.0,0.0380761,0.0566886,273,4
2000.0,0.0751822,0.0812144,273,4
5000.0,0.1889405,0.1276546,273,4
10000.0,0.3751401,0.1600423,273,4
20000.0,0.7593402,0.2281596,273,4
50000.0,1.8376338,0.3490219,273,4
100000.0,3.7554735,0.5334054,273,4
1000000.0,18.6277734,0.4302314,273,4
100.0,0.001689,0.0121631,298,4
200.0,0.0040103,0.0190074,298,4
500.0,0.0096143,0.0289714,298,4
1000.0,0.0204326,0.0420287,298,4
2000.0,0.0396612,0.0582341,298,4
5000.0,0.0991833,0.0927977,298,4
10000.0,0.1932997,0.1293681,298,4
20000.0,0.4026059,0.1642485,298,4
50000.0,0.9707082,0.2525059,298,4
100000.0,1.9185558,0.3545994,298,4
1000000.0,14.3776057,0.6279783,298,4
100.0,0.0011959,0.010181,323,4
200.0,0.0021827,0.0136855,323,4
500.0,0.0054682,0.0216967,323,4
1000.0,0.0113176,0.0312537,323,4
2000.0,0.0228578,0.0445086,323,4
5000.0,0.0579284,0.0704576,323,4
10000.0,0.1168096,0.0997198,323,4
20000.0,0.2311853,0.1417269,323,4
50000.0,0.5792407,0.2266851,323,4
100000.0,1.1432112,0.3055379,323,4
1000000.0,9.5560497,0.7744742999999998,323,4
100.0,0.0063749,0.0234315,273,7
200.0,0.0129144,0.0332392,273,7
500.0,0.0330005,0.0527174,273,7
1000.0,0.0660183,0.07663639999999998,273,7
2000.0,0.1312137,0.09045520000000001,273,7
5000.0,0.333123,0.1440342,273,7
10000.0,0.6623049,0.2075263,273,7
20000.0,1.292285,0.271224,273,7
50000.0,3.2655625,0.4553541,273,7
100000.0,6.594241,0.6406234,273,7
1000000.0,19.5116922,0.3902164,273,7
100.0,0.0030489,0.0161952,298,7
200.0,0.006115,0.0231468,298,7
500.0,0.015175,0.0361203,298,7
1000.0,0.0312855,0.0517475,298,7
2000.0,0.0619387,0.07318529999999998,298,7
5000.0,0.1524951,0.1144074,298,7
10000.0,0.3086281,0.1489233,298,7
20000.0,0.6165598,0.1999853,298,7
50000.0,1.5495801,0.3004615,298,7
100000.0,3.0296232,0.4461969,298,7
1000000.0,15.5973804,0.5312978,298,7
100.0,0.0017929,0.0123928,323,7
200.0,0.0036985,0.0177671,323,7
500.0,0.008141799999999998,0.0270268,323,7
1000.0,0.0172365,0.0390634,323,7
2000.0,0.0341092,0.0537799,323,7
5000.0,0.0856708,0.08613229999999998,323,7
10000.0,0.16573,0.1027297,323,7
20000.0,0.3332096,0.1515595,323,7
50000.0,0.8333184999999999,0.2260471,323,7
100000.0,1.6383273,0.3056816,323,7
