Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.4616196,0.1227519,273,5
200.0,0.7425914999999998,0.13292,273,5
500.0,1.0793282,0.1186856,273,5
1000.0,1.255613,0.0988498,273,5
2000.0,1.4596799,0.1021541,273,5
5000.0,1.7048512,0.1079516,273,5
10000.0,1.9627768,0.1043351,273,5
20000.0,2.174749,0.1024841,273,5
50000.0,2.3577426,0.08586779999999998,273,5
100000.0,2.5695083,0.0849323,273,5
1000000.0,2.7358961,0.0411571,273,5
100.0,0.1225615,0.0710251,298,5
200.0,0.2386709,0.0898274,298,5
500.0,0.5051804,0.1228911,298,5
1000.0,0.7944365,0.1339216,298,5
2000.0,1.0616694,0.1152804,298,5
5000.0,1.3313507,0.1100042,298,5
10000.0,1.5601371,0.1053126,298,5
20000.0,1.7455867,0.1037073,298,5
50000.0,2.0360048,0.1017798,298,5
100000.0,2.2868629,0.1117419,298,5
1000000.0,2.6734417,0.0524428,298,5
100.0,0.0338766,0.0297937,323,5
200.0,0.0681177,0.0431826,323,5
500.0,0.1596886,0.0633686,323,5
1000.0,0.3117598,0.0814873,323,5
2000.0,0.520771,0.103403,323,5
5000.0,0.8877452,0.1077808,323,5
10000.0,1.1597963,0.0931215,323,5
20000.0,1.3805788,0.0915532,323,5
50000.0,1.6462121,0.0896893,323,5
100000.0,1.8818223,0.0949877,323,5
1000000.0,2.4874997,0.0724751,323,5
100.0,0.6233814,0.136071,273,1
200.0,0.9188928,0.1345609,273,1
500.0,1.2511921,0.1179822,273,1
1000.0,1.5424362,0.117272,273,1
2000.0,1.7674007,0.1153155,273,1
5000.0,2.0800104,0.1129961,273,1
10000.0,2.2931728,0.1037689,273,1
20000.0,2.4713642,0.0833112,273,1
50000.0,2.5861846,0.0648901,273,1
100000.0,2.6819061,0.054978,273,1
1000000.0,2.7734229,0.0271416,273,1
100.0,0.1681365,0.083772,298,1
200.0,0.3016921,0.1057767,298,1
500.0,0.6342199,0.1225044,298,1
1000.0,0.9171302,0.1297745,298,1
2000.0,1.2248299,0.1206743,298,1
