Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.8363621999999998,0.1292629,273,5
200.0,1.3832521,0.1480158,273,5
500.0,2.0661835,0.1283972,273,5
1000.0,2.4362584,0.1025664,273,5
2000.0,2.6512691,0.07929369999999998,273,5
5000.0,2.8503742,0.0678285,273,5
10000.0,2.9535344,0.0668643,273,5
20000.0,3.157276,0.07887819999999998,273,5
50000.0,3.3467334,0.0931084,273,5
100000.0,3.5387327,0.07651539999999998,273,5
1000000.0,3.9730589,0.0750044,273,5
100.0,0.2232497,0.0765734,298,5
200.0,0.4399327,0.1101869,298,5
500.0,0.904288,0.1466847,298,5
1000.0,1.462276,0.1477115,298,5
2000.0,2.0071541,0.1423862,298,5
5000.0,2.4552483,0.1000463,298,5
10000.0,2.6707388,0.0873358,298,5
20000.0,2.8259328,0.0709332,298,5
50000.0,3.0057916,0.0806839,298,5
100000.0,3.1862221,0.09266170000000001,298,5
1000000.0,3.7382294,0.07793319999999998,298,5
100.0,0.0672169,0.0433553,323,5
200.0,0.1307609,0.0600074,323,5
500.0,0.3189026,0.09398,323,5
1000.0,0.5853626,0.1210869,323,5
2000.0,1.0286506,0.1396706,323,5
5000.0,1.7441868,0.1516812,323,5
10000.0,2.173767,0.1247352,323,5
20000.0,2.4948024,0.1012719,323,5
50000.0,2.7568795,0.0803504,323,5
100000.0,2.9033046,0.0731981,323,5
1000000.0,3.4830011,0.08668829999999998,323,5
100.0,0.4716589,0.1166336,273,1
200.0,0.8091268,0.1298842,273,1
500.0,1.5516902,0.1576442,273,1
1000.0,2.1002813,0.1338094,273,1
2000.0,2.4406523,0.1097138,273,1
5000.0,2.7440761,0.08404159999999998,273,1
10000.0,2.9135,0.0782564,273,1
20000.0,3.0756607,0.0817794,273,1
50000.0,3.3538515,0.08492039999999998,273,1
100000.0,3.5282121,0.0835009,273,1
1000000.0,3.9622421,0.0783677,273,1
100.0,0.1195516,0.0577977,298,1
200.0,0.2265243,0.0819518,298,1
500.0,0.5379694,0.1169009,298,1
1000.0,0.9295756,0.137775,298,1
2000.0,1.5028091,0.1441145,298,1
5000.0,2.1869763,0.1319084,298,1
10000.0,2.4902887,0.1116789,298,1
20000.0,2.7279322,0.08683119999999998,298,1
50000.0,2.9683363,0.07971259999999998,298,1
100000.0,3.1719552,0.07608239999999998,298,1
1000000.0,3.7249379,0.07292369999999998,298,1
100.0,0.0369312,0.0320893,323,1
200.0,0.0748661,0.0448025,323,1
500.0,0.189597,0.070444,323,1
1000.0,0.3535984,0.0970237,323,1
2000.0,0.6614184,0.1222324,323,1
5000.0,1.2314204,0.1534107,323,1
10000.0,1.8252618,0.1436789,323,1
20000.0,2.2611049,0.1291018,323,1
50000.0,2.6536266,0.0868802,323,1
100000.0,2.843003,0.077517,323,1
1000000.0,3.4416358,0.0822249,323,1
100.0,0.2071755,0.07378279999999998,273,6
200.0,0.4000656,0.1033242,273,6
500.0,0.8725678999999998,0.1321312,273,6
1000.0,1.4063812,0.1495488,273,6
2000.0,1.9715961,0.139873,273,6
5000.0,2.4845499,0.1142594,273,6
10000.0,2.7465768,0.0957232,273,6
20000.0,2.9902636,0.0809758,273,6
50000.0,3.2806909,0.08807099999999998,273,6
100000.0,3.4641078,0.07985059999999998,273,6
1000000.0,3.9737254,0.0633678,273,6
100.0,0.0554318,0.0414504,298,6
200.0,0.1088403,0.0546809,298,6
500.0,0.275081,0.08429499999999998,298,6
1000.0,0.5053821,0.1113713,298,6
2000.0,0.8949734999999999,0.1435019,298,6
5000.0,1.6323896,0.156659,298,6
10000.0,2.1262623,0.1266251,298,6
20000.0,2.5189592,0.1109121,298,6
50000.0,2.847604,0.086443,298,6
100000.0,3.0767899,0.0987237,298,6
1000000.0,3.7150054,0.08954629999999998,298,6
100.0,0.0183528,0.0260768,323,6
200.0,0.0375381,0.0325888,323,6
500.0,0.096133,0.0529455,323,6
1000.0,0.1841383,0.0706027,323,6
2000.0,0.3473014,0.0940733,323,6
5000.0,0.7767925,0.1215303,323,6
10000.0,1.2424172,0.154464,323,6
20000.0,1.7825612,0.141615,323,6
50000.0,2.3898529,0.1199154,323,6
100000.0,2.6974103,0.095936,323,6
1000000.0,3.3914656,0.0818459,323,6
100.0,0.1176811,0.0572032,273,2
200.0,0.2365002,0.08171209999999998,273,2
500.0,0.5419559,0.1182619,273,2
