Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0039667,0.0139877,273,5
200.0,0.0082412,0.0204643,273,5
500.0,0.0212413,0.0324222,273,5
1000.0,0.041242,0.0456558,273,5
2000.0,0.08041819999999998,0.0632676,273,5
5000.0,0.1973235,0.0883925,273,5
10000.0,0.3785458,0.1139725,273,5
20000.0,0.6889796,0.1474905,273,5
50000.0,1.3605491,0.1896985,273,5
100000.0,2.0713883,0.1971166,273,5
100.0,0.001837,0.0095587,298,5
200.0,0.0035326,0.0133426,298,5
500.0,0.0093161,0.0217605,298,5
1000.0,0.0182991,0.0302007,298,5
2000.0,0.0368304,0.0430414,298,5
5000.0,0.0917277,0.0673897,298,5
10000.0,0.1768796,0.0808349,298,5
20000.0,0.3343851,0.1105164,298,5
50000.0,0.7464729,0.155783,298,5
100000.0,1.2375627,0.1771943,298,5
100.0,0.0009437,0.0049319,323,5
200.0,0.0018496,0.0068236,323,5
500.0,0.0046252,0.0107974,323,5
1000.0,0.009550800000000002,0.0155474,323,5
2000.0,0.0184682,0.0216068,323,5
5000.0,0.0459224,0.0339413,323,5
10000.0,0.0925351,0.0433691,323,5
20000.0,0.1778289,0.058834,323,5
50000.0,0.4138419,0.08365939999999998,323,5
100000.0,0.7482535999999999,0.1122276,323,5
100.0,0.0049205,0.0156196,273,1
200.0,0.0097854,0.0224279,273,1
500.0,0.0246629,0.0352135,273,1
1000.0,0.0497195,0.0501368,273,1
2000.0,0.0964009,0.0687925,273,1
5000.0,0.2377925,0.0977244,273,1
10000.0,0.4471724,0.1249364,273,1
20000.0,0.8037779,0.16742,273,1
50000.0,1.5493807,0.2018466,273,1
100000.0,2.2867379,0.2095321,273,1
100.0,0.0023366,0.0108657,298,1
200.0,0.0042139,0.0146898,298,1
500.0,0.0114508,0.0241932,298,1
1000.0,0.0217813,0.0328738,298,1
2000.0,0.0434061,0.0460027,298,1
5000.0,0.1082944,0.0729265,298,1
10000.0,0.2102681,0.0908385,298,1
20000.0,0.396055,0.1176044,298,1
50000.0,0.8650462,0.1613001,298,1
100000.0,1.4329924,0.1953261,298,1
100.0,0.0010876,0.005235,323,1
200.0,0.0021524,0.0073317,323,1
500.0,0.0055008,0.0118804,323,1
1000.0,0.0111606,0.0170631,323,1
2000.0,0.0217334,0.0234066,323,1
5000.0,0.0540545,0.0368973,323,1
10000.0,0.1089836,0.0452966,323,1
20000.0,0.2064249,0.0602339,323,1
50000.0,0.4801681,0.089704,323,1
100000.0,0.8420685999999998,0.114481,323,1
100.0,0.0041302,0.0143936,273,6
200.0,0.007837399999999998,0.0196613,273,6
500.0,0.0197626,0.0316794,273,6
1000.0,0.0395303,0.0438373,273,6
2000.0,0.07835409999999998,0.0636243,273,6
5000.0,0.1878863,0.08433129999999998,273,6
10000.0,0.3676526,0.1168919,273,6
20000.0,0.6799743,0.1514802,273,6
50000.0,1.3014366,0.1845501,273,6
100000.0,2.0432111,0.209099,273,6
100.0,0.0018127,0.0094452,298,6
200.0,0.0035528,0.0134703,298,6
500.0,0.0088569,0.0213575,298,6
1000.0,0.0182537,0.0303249,298,6
2000.0,0.036361,0.0421622,298,6
5000.0,0.0868102,0.0655727,298,6
10000.0,0.1723679,0.0802972,298,6
20000.0,0.3276327,0.1055558,298,6
50000.0,0.7378002,0.1488219,298,6
100000.0,1.226957,0.1852794,298,6
100.0,0.0008781,0.0065988,323,6
200.0,0.0018622,0.0096467,323,6
500.0,0.0044814,0.0150145,323,6
1000.0,0.009432200000000002,0.0217514,323,6
2000.0,0.0179509,0.0300848,323,6
5000.0,0.0447586,0.0470423,323,6
10000.0,0.0889924,0.0671415,323,6
20000.0,0.1769933,0.0822283,323,6
50000.0,0.4197318,0.1253773,323,6
100000.0,0.7446110999999999,0.1500615,323,6
100.0,0.0050466,0.0159748,273,2
200.0,0.0095735,0.0220275,273,2
500.0,0.0236402,0.0340753,273,2
1000.0,0.0473223,0.0484692,273,2
2000.0,0.0944529,0.0682494,273,2
5000.0,0.2301418,0.0956749,273,2
10000.0,0.4331015,0.1234366,273,2
20000.0,0.7866227999999998,0.1498219,273,2
50000.0,1.5119381,0.1941179,273,2
100000.0,2.2625294,0.1957423,273,2
100.0,0.0021044,0.0104114,298,2
200.0,0.0043603,0.0146904,298,2
500.0,0.0106131,0.0230976,298,2
1000.0,0.0213624,0.0332127,298,2
2000.0,0.041872,0.0456071,298,2
5000.0,0.1058027,0.0719989,298,2
10000.0,0.2036781,0.0892745,298,2
20000.0,0.3871849,0.1220235,298,2
50000.0,0.8459113,0.1615868,298,2
100000.0,1.382819,0.1909841,298,2
100.0,0.0010553,0.0073261,323,2
200.0,0.00205,0.01014,323,2
500.0,0.0052939,0.0161726,323,2
1000.0,0.0107392,0.0232428,323,2
2000.0,0.0215138,0.0331994,323,2
5000.0,0.0529241,0.0514739,323,2
10000.0,0.103557,0.0713505,323,2
20000.0,0.2023348,0.0894631,323,2
50000.0,0.4805035,0.1332663,323,2
100000.0,0.8430333,0.1622383,323,2
100.0,0.0038228,0.009745,273,8
200.0,0.0080721,0.0142688,273,8
