Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.2074925,0.0611959,273,5
200.0,0.4049564,0.08045589999999998,273,5
500.0,0.9022595000000002,0.09762390000000001,273,5
1000.0,1.3801234,0.1290071,273,5
2000.0,2.2075781,0.1669765,273,5
5000.0,3.5783472,0.1900445,273,5
10000.0,4.7327984,0.1694836,273,5
20000.0,5.7070302,0.1424491,273,5
50000.0,6.563602,0.1194127,273,5
100000.0,7.1690152,0.114366,273,5
1000000.0,8.687767799999998,0.1024389,273,5
100.0,0.057855,0.0308147,298,5
200.0,0.110041,0.0402157,298,5
500.0,0.2729918,0.0584534,298,5
1000.0,0.518295,0.0943723,298,5
2000.0,0.9090149,0.1058194,298,5
5000.0,1.8113389,0.1400813,298,5
10000.0,2.7732021,0.1770914,298,5
20000.0,3.8987085,0.1764826,298,5
50000.0,5.2578147,0.1539381,298,5
100000.0,6.061103,0.123682,298,5
1000000.0,7.725863,0.1257336,298,5
100.0,0.0197022,0.0177749,323,5
200.0,0.0387613,0.0248514,323,5
500.0,0.0933788,0.0379415,323,5
1000.0,0.1813635,0.0547123,323,5
2000.0,0.3836082,0.0768703,323,5
5000.0,0.7743794,0.1152773,323,5
10000.0,1.4547533,0.1363219,323,5
20000.0,2.2976466,0.1685217,323,5
50000.0,3.7462857,0.1733696,323,5
100000.0,4.7973172,0.1567785,323,5
1000000.0,6.9888533,0.1095142,323,5
100.0,0.430586,0.07599019999999998,273,1
200.0,0.7207812,0.1010752,273,1
500.0,1.2858435,0.1023281,273,1
1000.0,1.7302206,0.0973579,273,1
2000.0,2.1974727,0.1199097,273,1
5000.0,3.2334873,0.1648662,273,1
10000.0,4.2865079,0.1637515,273,1
20000.0,5.4401839,0.1580213,273,1
50000.0,6.5340883,0.1246427,273,1
100000.0,7.1866503,0.1152308,273,1
1000000.0,8.809411799999998,0.1425161,273,1
100.0,0.1079251,0.0413479,298,1
200.0,0.2060594,0.0570871,298,1
500.0,0.4688963,0.0878054,298,1
1000.0,0.7328364,0.1070568,298,1
2000.0,1.2270773,0.1028867,298,1
5000.0,1.9778815,0.1197013,298,1
10000.0,2.6243066,0.1449946,298,1
20000.0,3.5726389,0.1670304,298,1
50000.0,5.003773,0.159554,298,1
100000.0,5.9477272,0.1390673,298,1
1000000.0,7.8755504,0.1258432,298,1
100.0,0.0333113,0.0246964,323,1
200.0,0.0684454,0.0332215,323,1
500.0,0.1572347,0.0565719,323,1
1000.0,0.3096899,0.0729993,323,1
2000.0,0.5472835,0.0863474,323,1
5000.0,1.0840857,0.0984278,323,1
10000.0,1.6068799,0.1227252,323,1
20000.0,2.2880578,0.1383103,323,1
50000.0,3.4554107,0.1587986,323,1
100000.0,4.5136802,0.1544939,323,1
1000000.0,6.9962759,0.1125679,323,1
100.0,0.0387506,0.0265952,273,6
200.0,0.0729105,0.0360064,273,6
500.0,0.1860449,0.0518567,273,6
1000.0,0.3576774,0.07470369999999998,273,6
2000.0,0.6526884,0.0901327,273,6
5000.0,1.4702861,0.1458139,273,6
10000.0,2.4686658,0.1715364,273,6
20000.0,3.7957125,0.2001542,273,6
50000.0,5.4730271,0.154026,273,6
100000.0,6.2650519,0.1322589,273,6
1000000.0,7.974560399999999,0.1294949,273,6
100.0,0.0133581,0.0160415,298,6
200.0,0.0247012,0.0201959,298,6
500.0,0.0618771,0.0328815,298,6
1000.0,0.1224116,0.045394,298,6
2000.0,0.239661,0.0612881,298,6
5000.0,0.5608891,0.0929998,298,6
10000.0,1.0458881,0.124488,298,6
20000.0,1.895049,0.1574114,298,6
50000.0,3.487208,0.2005584,298,6
100000.0,4.7730639,0.17468,298,6
1000000.0,7.1064381,0.1350628,298,6
100.0,0.0049883,0.0114972,323,6
200.0,0.010029,0.0164652,323,6
500.0,0.0257448,0.0226303,323,6
1000.0,0.0508276,0.0295967,323,6
2000.0,0.1034124,0.0417068,323,6
5000.0,0.2572291,0.0633463,323,6
10000.0,0.4781342,0.08304839999999998,323,6
20000.0,0.9183194,0.1135695,323,6
50000.0,1.9686641,0.1576892,323,6
100000.0,3.1581832,0.1853487,323,6
1000000.0,6.331717,0.1223553,323,6
100.0,0.508497,0.0705837,273,2
200.0,0.8510689999999999,0.07481,273,2
500.0,1.2954591,0.1070377,273,2
1000.0,1.5860054,0.0833508,273,2
2000.0,1.8849936,0.069723,273,2
5000.0,2.2550317,0.0995252,273,2
10000.0,2.7601484,0.1330764,273,2
20000.0,3.6083791,0.1696821,273,2
50000.0,5.1505307,0.1705912,273,2
100000.0,6.0715243,0.1452608,273,2
1000000.0,8.237984499999998,0.1353384,273,2
100.0,0.1180501,0.0452468,298,2
200.0,0.2770892,0.07274279999999998,298,2
500.0,0.5263346,0.0787309,298,2
1000.0,0.8107832,0.1284044,298,2
2000.0,1.2693286,0.1050199,298,2
5000.0,1.7272462,0.0843041,298,2
10000.0,2.0801162,0.0941553,298,2
20000.0,2.5245002,0.1204709,298,2
50000.0,3.5330805,0.1654144,298,2
100000.0,4.5734914,0.1720597,298,2
1000000.0,7.242028099999998,0.1186222,298,2
100.0,0.035684,0.0260967,323,2
200.0,0.0679089,0.0367356,323,2
500.0,0.184617,0.0540735,323,2
1000.0,0.3349365,0.0656245,323,2
2000.0,0.5126003,0.0671256,323,2
5000.0,1.0198395,0.1182695,323,2
10000.0,1.4190799,0.096991,323,2
20000.0,1.8789336,0.1016264,323,2
50000.0,2.5924477,0.1307958,323,2
100000.0,3.3305326,0.1649387,323,2
1000000.0,6.3581883,0.1322896,323,2
100.0,0.005394,0.0120918,273,8
200.0,0.0110735,0.0171678,273,8
500.0,0.0271406,0.0267564,273,8
1000.0,0.0553818,0.038666,273,8
2000.0,0.1093231,0.0543148,273,8
5000.0,0.276832,0.07665279999999998,273,8
10000.0,0.5471131,0.1070491,273,8
20000.0,1.1337769,0.1557293,273,8
50000.0,2.7875991,0.2185658,273,8
100000.0,4.3905982,0.1994489,273,8
1000000.0,7.0965924,0.1046816,273,8
100.0,0.0025355,0.0082684,298,8
200.0,0.0052498,0.0117437,298,8
500.0,0.0128911,0.0184121,298,8
1000.0,0.0257287,0.0262442,298,8
2000.0,0.0518605,0.0372361,298,8
5000.0,0.130584,0.0526808,298,8
10000.0,0.2644095,0.0745533,298,8
20000.0,0.5128132,0.1021614,298,8
50000.0,1.2915147,0.1634883,298,8
100000.0,2.4601912,0.2060094,298,8
1000000.0,6.2237311,0.1395918,298,8
100.0,0.0014252,0.0061876,323,8
200.0,0.0027811,0.008695299999999998,323,8
500.0,0.0067258,0.013342,323,8
1000.0,0.0138145,0.019318,323,8
2000.0,0.0285134,0.0275247,323,8
5000.0,0.0697959,0.0432762,323,8
10000.0,0.1401602,0.0619718,323,8
20000.0,0.2835394,0.08716309999999998,323,8
50000.0,0.6744263,0.1344379,323,8
100000.0,1.3139617,0.1797505,323,8
1000000.0,5.2210078,0.1943901,323,8
100.0,0.0032188,0.0093701,273,4
200.0,0.0063148,0.0128947,273,4
500.0,0.0156428,0.0204238,273,4
1000.0,0.0316777,0.0287736,273,4
2000.0,0.0622054,0.041364,273,4
5000.0,0.157391,0.0591441,273,4
10000.0,0.3136316,0.08190809999999998,273,4
20000.0,0.6504568,0.1157792,273,4
50000.0,1.7035632,0.1849503,273,4
100000.0,3.2040304,0.2308497,273,4
1000000.0,6.9227128,0.1271771,273,4
100.0,0.0015595,0.0064838,298,4
200.0,0.0030586,0.0089347,298,4
500.0,0.0078921,0.0145956,298,4
1000.0,0.0156828,0.0205514,298,4
2000.0,0.0319554,0.0293558,298,4
5000.0,0.07864609999999998,0.0463112,298,4
10000.0,0.1607405,0.059008,298,4
20000.0,0.3183093,0.0803986,298,4
50000.0,0.7876573,0.130989,298,4
100000.0,1.5741037,0.1834821,298,4
1000000.0,5.8717038,0.1517722,298,4
100.0,0.0008381,0.0047003,323,4
200.0,0.0016975,0.006686,323,4
500.0,0.0043984,0.0109213,323,4
1000.0,0.008900099999999998,0.0153719,323,4
2000.0,0.0176685,0.0217999,323,4
5000.0,0.0443661,0.0341069,323,4
10000.0,0.086661,0.0482763,323,4
20000.0,0.1758681,0.0691389,323,4
50000.0,0.4428304,0.1055563,323,4
100000.0,0.8438968999999998,0.146418,323,4
1000000.0,4.6656219,0.2337744,323,4
100.0,0.0187654,0.0222206,273,7
200.0,0.0376538,0.0273726,273,7
500.0,0.0924473,0.0434054,273,7
1000.0,0.1864366,0.061667,273,7
2000.0,0.3900091,0.0835274,273,7
5000.0,0.942077,0.1404394,273,7
10000.0,1.9288433,0.1843979,273,7
20000.0,3.4618565,0.1959825,273,7
50000.0,5.2806316,0.1611735,273,7
100000.0,6.1742214,0.1272028,273,7
1000000.0,7.7862589,0.1149041,273,7
100.0,0.007483799999999999,0.0140767,298,7
200.0,0.0148367,0.0199097,298,7
500.0,0.0369277,0.0310753,298,7
1000.0,0.0746213,0.0389191,298,7
2000.0,0.150041,0.052659,298,7
5000.0,0.3798492,0.0865375,298,7
10000.0,0.7320868,0.1212408,298,7
20000.0,1.4684872,0.1687892,298,7
50000.0,3.1656752,0.1991312,298,7
100000.0,4.5858594,0.184381,298,7
1000000.0,7.0204292,0.1094577,298,7
100.0,0.003491,0.009766,323,7
200.0,0.0067898,0.0134691,323,7
500.0,0.0173749,0.0214515,323,7
1000.0,0.0346751,0.0306556,323,7
2000.0,0.0695023,0.038154,323,7
5000.0,0.1736716,0.0582216,323,7
10000.0,0.3435916,0.08221549999999998,323,7
20000.0,0.6671507,0.1124516,323,7
50000.0,1.6254498,0.1705236,323,7
100000.0,2.862022,0.2026952,323,7
1000000.0,6.2214811,0.1272725,323,7
100.0,0.013158,0.0188526,273,3
200.0,0.0257981,0.0265435,273,3
500.0,0.0628459,0.034392,273,3
1000.0,0.1260307,0.0498609,273,3
2000.0,0.259321,0.0662177,273,3
5000.0,0.6213573,0.1026714,273,3
10000.0,1.2613407,0.1602206,273,3
20000.0,2.4176993,0.2105089,273,3
50000.0,4.5458542,0.1909044,273,3
100000.0,5.747515,0.1615229,273,3
1000000.0,7.6556581,0.1164887,273,3
100.0,0.0054207,0.0120562,298,3
