Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005952,0.003959,273,5
200.0,0.0012304,0.0057846,273,5
500.0,0.0036405,0.0100218,273,5
1000.0,0.0067772,0.013432,273,5
2000.0,0.0136253,0.0189542,273,5
5000.0,0.0346617,0.029948,273,5
10000.0,0.0674765,0.0426098,273,5
20000.0,0.1347823,0.052684,273,5
50000.0,0.3251615,0.08078939999999998,273,5
100000.0,0.6202085,0.1049944,273,5
100.0,0.0003897,0.0032235,298,5
200.0,0.0008059999999999999,0.0046295,298,5
500.0,0.0019804,0.0073913,298,5
1000.0,0.0039654,0.0102923,298,5
2000.0,0.007945499999999998,0.0143697,298,5
5000.0,0.0200892,0.0231099,298,5
10000.0,0.0401998,0.0328245,298,5
20000.0,0.0795989,0.0455719,298,5
50000.0,0.1948324,0.0627886,298,5
100000.0,0.3768527,0.0844043,298,5
100.0,0.0002482,0.0026169,323,5
200.0,0.0005124,0.0037204,323,5
500.0,0.0012864,0.0058521,323,5
1000.0,0.0026102,0.0083567,323,5
2000.0,0.0051458,0.0116346,323,5
5000.0,0.0126909,0.0186483,323,5
10000.0,0.0260517,0.0265038,323,5
20000.0,0.0495945,0.0359517,323,5
50000.0,0.1228867,0.0489043,323,5
100000.0,0.2473748,0.0711692,323,5
100.0,0.0005418,0.0037828,273,1
200.0,0.0011637,0.005592,273,1
500.0,0.0029065,0.008789,273,1
1000.0,0.0058744,0.0124631,273,1
2000.0,0.0113431,0.0173292,273,1
5000.0,0.0278105,0.0271478,273,1
10000.0,0.0567634,0.0336206,273,1
20000.0,0.1153176,0.0497637,273,1
50000.0,0.2778918,0.0720712,273,1
100000.0,0.5177559,0.09245900000000001,273,1
100.0,0.000339,0.0030123,298,1
200.0,0.0007073,0.0043528,298,1
500.0,0.0016254,0.0065371,298,1
1000.0,0.0033042,0.009476600000000002,298,1
2000.0,0.0065203,0.0131571,298,1
5000.0,0.0163607,0.020931,298,1
10000.0,0.0322785,0.0292865,298,1
20000.0,0.0659312,0.0353721,298,1
50000.0,0.1653658,0.0570339,298,1
100000.0,0.3206029,0.0757652,298,1
100.0,0.0002055,0.0024228,323,1
200.0,0.000411,0.0033081,323,1
500.0,0.0010115,0.0051521,323,1
1000.0,0.0021218,0.007443499999999999,323,1
2000.0,0.0041582,0.0105323,323,1
5000.0,0.010521,0.016552,323,1
10000.0,0.0204522,0.0231275,323,1
20000.0,0.0421132,0.0333693,323,1
50000.0,0.1037903,0.0464155,323,1
100000.0,0.2031022,0.0637156,323,1
100.0,0.0006592,0.0042107,273,6
200.0,0.0011049,0.0054231,273,6
500.0,0.0028932,0.008707899999999998,273,6
1000.0,0.0056822,0.0122299,273,6
2000.0,0.0111429,0.0172017,273,6
5000.0,0.0275863,0.0270484,273,6
10000.0,0.0553061,0.0375042,273,6
20000.0,0.1103853,0.0459942,273,6
50000.0,0.2694857,0.07314089999999998,273,6
100000.0,0.5154251,0.0959143,273,6
100.0,0.0003203,0.0029061,298,6
200.0,0.0005981,0.0039864,298,6
500.0,0.0017615,0.0068173,298,6
1000.0,0.0033522,0.009422,298,6
2000.0,0.0068699,0.0133806,298,6
5000.0,0.0168976,0.0212627,298,6
10000.0,0.0341226,0.0301667,298,6
20000.0,0.0660967,0.0422846,298,6
50000.0,0.1644023,0.0584584,298,6
100000.0,0.3217052,0.0815061,298,6
100.0,0.0002189,0.0024363,323,6
200.0,0.000411,0.0033296,323,6
500.0,0.0010836,0.005401,323,6
1000.0,0.0021699,0.007637599999999999,323,6
2000.0,0.0045666,0.0110311,323,6
5000.0,0.0110735,0.0172382,323,6
10000.0,0.0216212,0.0239796,323,6
20000.0,0.0427166,0.0335004,323,6
50000.0,0.1068356,0.0464401,323,6
100000.0,0.2106206,0.0676799,323,6
100.0,0.0005845,0.0039244,273,2
200.0,0.0010115,0.0051934,273,2
500.0,0.0026396,0.0084197,273,2
1000.0,0.0054527,0.0120483,273,2
2000.0,0.0107986,0.0168694,273,2
5000.0,0.0269965,0.0265741,273,2
10000.0,0.0545214,0.0312104,273,2
20000.0,0.1062081,0.042982,273,2
50000.0,0.2598228,0.0686263,273,2
100000.0,0.4879235,0.0880969,273,2
100.0,0.0003176,0.0028941,298,2
200.0,0.0006085,0.0040723,298,2
500.0,0.0017295,0.0068359,298,2
1000.0,0.003072,0.0090056,298,2
2000.0,0.0062405,0.0129155,298,2
5000.0,0.0156321,0.0204981,298,2
10000.0,0.0306263,0.0281058,298,2
20000.0,0.0613099,0.0402763,298,2
50000.0,0.1502862,0.0526728,298,2
100000.0,0.3020552,0.0752787,298,2
100.0,0.0002375,0.0025349,323,2
200.0,0.0004804,0.0036081,323,2
500.0,0.0010409,0.0052354,323,2
1000.0,0.0018523,0.0070707,323,2
2000.0,0.0039634,0.0103247,323,2
5000.0,0.0098191,0.0161588,323,2
10000.0,0.0197156,0.022972,323,2
20000.0,0.0386759,0.0322227,323,2
50000.0,0.0971687,0.0440818,323,2
100000.0,0.1897307,0.0610874,323,2
100.0,0.0004671,0.00352,273,8
200.0,0.0009768,0.0051242,273,8
500.0,0.0023193,0.007888,273,8
1000.0,0.0049483,0.0115238,273,8
2000.0,0.009336,0.01575,273,8
5000.0,0.0238071,0.0252119,273,8
10000.0,0.0469945,0.0348823,273,8
20000.0,0.0918548,0.0490782,273,8
50000.0,0.2297463,0.0720003,273,8
100000.0,0.4402415,0.0901747,273,8
100.0,0.000355,0.0030807,298,8
200.0,0.0005872,0.0039691,298,8
500.0,0.0014546,0.0061866,298,8
1000.0,0.0029385,0.008834899999999998,298,8
2000.0,0.0059037,0.0125603,298,8
5000.0,0.0145912,0.0198154,298,8
10000.0,0.0292144,0.0275362,298,8
20000.0,0.0584341,0.0388727,298,8
50000.0,0.1436725,0.053965,298,8
100000.0,0.279082,0.0732337,298,8
100.0,0.0002002,0.0023027,323,8
200.0,0.0004057,0.0032654,323,8
500.0,0.0009528,0.0050517,323,8
1000.0,0.0019804,0.0072943,323,8
2000.0,0.0038033,0.0100359,323,8
5000.0,0.0097577,0.0159722,323,8
10000.0,0.0195154,0.0228714,323,8
20000.0,0.0386812,0.03209,323,8
50000.0,0.0968537,0.0500697,323,8
100000.0,0.1867601,0.0700098,323,8
100.0,0.0003817,0.0031687,273,4
200.0,0.0007347,0.0044155,273,4
500.0,0.0016441,0.006527,273,4
1000.0,0.0035551,0.0096989,273,4
2000.0,0.0068165,0.0134504,273,4
5000.0,0.0175217,0.0215361,273,4
10000.0,0.0342934,0.0294473,273,4
20000.0,0.0681785,0.0425899,273,4
50000.0,0.1724447,0.0605258,273,4
100000.0,0.3319433,0.0793746,273,4
100.0,0.0001895,0.0022409,298,4
200.0,0.000427,0.0033489,298,4
500.0,0.0010703,0.0053441,298,4
1000.0,0.002322,0.0079098,298,4
2000.0,0.0045079,0.0108798,298,4
5000.0,0.0113084,0.017317,298,4
10000.0,0.0222435,0.0244495,298,4
20000.0,0.0440832,0.0339701,298,4
50000.0,0.1070039,0.0530101,298,4
100000.0,0.2136205,0.0684848,298,4
100.0,0.0001522,0.0020098,323,4
200.0,0.0002616,0.0026292,323,4
500.0,0.0007632999999999999,0.0045122,323,4
1000.0,0.0015693,0.0065235,323,4
2000.0,0.0029172,0.0089382,323,4
5000.0,0.0077587,0.0144023,323,4
10000.0,0.0149937,0.0201634,323,4
20000.0,0.0301806,0.0283776,323,4
50000.0,0.07448259999999998,0.0448074,323,4
100000.0,0.1470609,0.061465,323,4
100.0,0.0005632,0.0038727,273,7
200.0,0.0010281,0.0052325,273,7
500.0,0.0025622,0.008268799999999998,273,7
1000.0,0.0053593,0.0120097,273,7
2000.0,0.0108521,0.0168283,273,7
5000.0,0.027125,0.0270034,273,7
10000.0,0.0536353,0.0377476,273,7
20000.0,0.10726,0.0460187,273,7
50000.0,0.2609835,0.07246479999999998,273,7
100000.0,0.5019104,0.095826,273,7
100.0,0.0003336,0.0029892,298,7
200.0,0.0006752,0.004225,298,7
500.0,0.0017161,0.0067078,298,7
1000.0,0.0031761,0.0092239,298,7
2000.0,0.0067098,0.013525,298,7
5000.0,0.016334,0.0204842,298,7
10000.0,0.0327492,0.0295504,298,7
20000.0,0.0655209,0.0421753,298,7
50000.0,0.1579824,0.0567979,298,7
100000.0,0.3162805,0.0815201,298,7
100.0,0.0002429,0.0025344,323,7
200.0,0.0004751,0.0035491,323,7
500.0,0.0010948,0.005387,323,7
1000.0,0.0020978,0.0074741,323,7
2000.0,0.0042543,0.0106555,323,7
5000.0,0.0107906,0.0170905,323,7
10000.0,0.0212422,0.0236283,323,7
20000.0,0.0428795,0.0334508,323,7
50000.0,0.106163,0.0523211,323,7
100000.0,0.2085176,0.0673932,323,7
100.0,0.0003576,0.0030688,273,3
200.0,0.0008892,0.0047898,273,3
500.0,0.001959,0.007192,273,3
1000.0,0.0041449,0.0105612,273,3
2000.0,0.008151,0.0147864,273,3
5000.0,0.0201026,0.0229047,273,3
10000.0,0.0405495,0.0327122,273,3
20000.0,0.0815926,0.0468631,273,3
50000.0,0.1954279,0.0652226,273,3
100000.0,0.3823839,0.08375199999999998,273,3
100.0,0.0002082,0.002348,298,3
200.0,0.0004484,0.0034509,298,3
500.0,0.0013185,0.0059775,298,3
1000.0,0.0025248,0.008297499999999998,298,3
2000.0,0.0051004,0.0117125,298,3
5000.0,0.0124293,0.0181061,298,3
10000.0,0.0247386,0.0254904,298,3
20000.0,0.0500509,0.0362855,298,3
50000.0,0.1225451,0.050703,298,3
100000.0,0.2419275,0.0688833,298,3
100.0,0.0002002,0.0023027,323,3
200.0,0.000371,0.0031247,323,3
500.0,0.0008086999999999999,0.0046674,323,3
1000.0,0.0016654,0.006576,323,3
2000.0,0.0033362,0.009480400000000002,323,3
5000.0,0.0086581,0.0152707,323,3
10000.0,0.0168812,0.0213724,323,3
20000.0,0.0334394,0.0296499,323,3
50000.0,0.08227859999999998,0.0469944,323,3
100000.0,0.1632467,0.0580562,323,3
