Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1823337,0.0787269,273,5
200.0,0.3639147,0.1106304,273,5
500.0,0.8517044,0.1587129,273,5
1000.0,1.5459146,0.2106182,273,5
2000.0,2.7344769,0.2513285,273,5
5000.0,4.533308,0.2551583,273,5
10000.0,5.5052,0.2071811,273,5
20000.0,6.2191134,0.1735025,273,5
50000.0,6.9026717,0.1515239,273,5
100000.0,7.3722754,0.1443431,273,5
1000000.0,8.6401715,0.1353965,273,5
100.0,0.0531303,0.0442628,298,5
200.0,0.1025565,0.061101,298,5
500.0,0.2590315,0.0952194,298,5
1000.0,0.5012048,0.1271778,298,5
2000.0,0.9496903,0.1530476,298,5
5000.0,2.0939996,0.2336797,298,5
10000.0,3.3617984,0.2649579,298,5
20000.0,4.6097051,0.230527,298,5
50000.0,5.8703013,0.1851677,298,5
100000.0,6.4744353,0.1595179,298,5
1000000.0,7.991119999999999,0.1417702,298,5
100.0,0.0184067,0.0298414,323,5
200.0,0.036853,0.0426498,323,5
500.0,0.0887354,0.0591108,323,5
1000.0,0.1826699,0.0790892,323,5
2000.0,0.3654003,0.1124477,323,5
5000.0,0.8516648,0.1644071,323,5
10000.0,1.5400365,0.2054149,323,5
20000.0,2.6277629,0.2580518,323,5
50000.0,4.3253766,0.2342136,323,5
100000.0,5.36452,0.2068365,323,5
1000000.0,7.3424518,0.1374863,323,5
100.0,0.0828344,0.0552612,273,1
200.0,0.1689979,0.0790947,273,1
500.0,0.4048581,0.122231,273,1
1000.0,0.7918180999999999,0.1683678,273,1
2000.0,1.5703534,0.2093083,273,1
5000.0,3.2019562,0.2839741,273,1
10000.0,4.5124343,0.2466835,273,1
20000.0,5.5648816,0.1994852,273,1
50000.0,6.4629805,0.1680903,273,1
100000.0,6.9793441,0.1495206,273,1
1000000.0,8.388097099999998,0.1134664,273,1
100.0,0.0258793,0.0357813,298,1
200.0,0.0517052,0.0438033,298,1
500.0,0.1290499,0.0688086,298,1
1000.0,0.2548166,0.0947077,298,1
2000.0,0.5080782,0.1341914,298,1
5000.0,1.1525061,0.1880558,298,1
10000.0,2.1313059,0.245294,298,1
20000.0,3.4588396,0.2665156,298,1
50000.0,5.1474189,0.2332739,298,1
100000.0,5.9695077,0.1803038,298,1
1000000.0,7.6056799,0.1348224,298,1
100.0,0.0097704,0.0220892,323,1
200.0,0.0203578,0.0319664,323,1
500.0,0.04904,0.0494114,323,1
1000.0,0.0998032,0.0629388,323,1
2000.0,0.2001412,0.08372839999999998,323,1
5000.0,0.4871023,0.1266297,323,1
10000.0,0.9053548,0.173071,323,1
20000.0,1.6537845,0.2290533,323,1
50000.0,3.251947,0.2623163,323,1
100000.0,4.5311566,0.2288372,323,1
1000000.0,6.9430617,0.1444124,323,1
100.0,0.0711706,0.0595121,273,6
200.0,0.1477735,0.0746772,273,6
500.0,0.3729208,0.1189736,273,6
1000.0,0.7219851,0.1646529,273,6
2000.0,1.3401014,0.2084735,273,6
5000.0,2.9868684,0.2925737,273,6
10000.0,4.4866034,0.2797921,273,6
20000.0,5.7546805,0.2337619,273,6
50000.0,6.8610813,0.1724857,273,6
100000.0,7.409142199999998,0.1385091,273,6
1000000.0,8.600486699999998,0.1766159,273,6
100.0,0.0249236,0.0352392,298,6
200.0,0.0493419,0.0488892,298,6
500.0,0.1230282,0.0674978,298,6
1000.0,0.2435021,0.0955409,298,6
2000.0,0.4843134,0.1296496,298,6
5000.0,1.1567534,0.2027285,298,6
10000.0,2.0822267,0.2516921,298,6
20000.0,3.4277922,0.2753906,298,6
50000.0,5.214824,0.2486422,298,6
100000.0,6.1953281,0.2163273,298,6
1000000.0,7.95838,0.1359691,298,6
