Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0,0.0,273,5
200.0,3.7e-06,0.0003735,273,5
500.0,0.0,0.0,273,5
1000.0,0.0,0.0,273,5
2000.0,7.5e-06,0.0005281,273,5
5000.0,1.12e-05,0.0006468,273,5
10000.0,1.12e-05,0.0006468,273,5
20000.0,2.61e-05,0.0009878,273,5
50000.0,4.86e-05,0.0013458,273,5
100000.0,0.0001531,0.0023866,273,5
100.0,0.0,0.0,298,5
200.0,0.0,0.0,298,5
500.0,0.0,0.0,298,5
1000.0,0.0,0.0,298,5
2000.0,0.0,0.0,298,5
5000.0,7.5e-06,0.0005281,298,5
10000.0,3.7e-06,0.0003735,298,5
20000.0,2.24e-05,0.0009146,298,5
50000.0,2.62e-05,0.0009881,298,5
100000.0,0.0001046,0.0019736,298,5
100.0,0.0,0.0,323,5
200.0,0.0,0.0,323,5
500.0,3e-06,0.0002988,323,5
1000.0,0.0,0.0,323,5
2000.0,0.0,0.0,323,5
5000.0,3e-06,0.0002988,323,5
10000.0,9e-06,0.0005174,323,5
20000.0,2.39e-05,0.0008448,323,5
50000.0,2.39e-05,0.0008448,323,5
100000.0,5.08e-05,0.0012309,323,5
100.0,0.0,0.0,273,1
200.0,0.0,0.0,273,1
500.0,3.7e-06,0.0003735,273,1
1000.0,7.5e-06,0.0005281,273,1
2000.0,0.0,0.0,273,1
5000.0,3.73e-05,0.0011805,273,1
10000.0,2.24e-05,0.0009146,273,1
20000.0,9.34e-05,0.0018651,273,1
50000.0,0.0002801,0.0032654,273,1
100000.0,0.0003812,0.0037907,273,1
100.0,0.0,0.0,298,1
200.0,0.0,0.0,298,1
500.0,3.7e-06,0.0003735,298,1
1000.0,3.7e-06,0.0003735,298,1
2000.0,0.0,0.0,298,1
5000.0,3.7e-06,0.0003735,298,1
10000.0,4.11e-05,0.0012381,298,1
20000.0,3.73e-05,0.0011805,298,1
50000.0,0.0001419,0.002298,298,1
100000.0,0.0002577,0.0030917,298,1
100.0,0.0,0.0,323,1
200.0,0.0,0.0,323,1
500.0,0.0,0.0,323,1
1000.0,0.0,0.0,323,1
2000.0,0.0,0.0,323,1
5000.0,9e-06,0.0005174,323,1
10000.0,1.49e-05,0.000668,323,1
20000.0,3.29e-05,0.0009904,323,1
50000.0,9.56e-05,0.0016875,323,1
100000.0,0.0001882,0.0023641,323,1
100.0,0.0,0.0,273,6
200.0,0.0,0.0,273,6
500.0,0.0,0.0,273,6
1000.0,0.0,0.0,273,6
2000.0,0.0,0.0,273,6
5000.0,0.0,0.0,273,6
10000.0,0.0,0.0,273,6
20000.0,0.0,0.0,273,6
50000.0,7.5e-06,0.0005281,273,6
100000.0,3.73e-05,0.0011805,273,6
100.0,0.0,0.0,298,6
200.0,0.0,0.0,298,6
500.0,3.7e-06,0.0003735,298,6
1000.0,0.0,0.0,298,6
2000.0,0.0,0.0,298,6
5000.0,3.7e-06,0.0003735,298,6
10000.0,3.7e-06,0.0003735,298,6
20000.0,1.12e-05,0.0006468,298,6
50000.0,1.12e-05,0.0006468,298,6
100000.0,1.12e-05,0.0006468,298,6
100.0,0.0,0.0,323,6
200.0,0.0,0.0,323,6
500.0,0.0,0.0,323,6
1000.0,0.0,0.0,323,6
2000.0,0.0,0.0,323,6
5000.0,0.0,0.0,323,6
10000.0,3.7e-06,0.0003735,323,6
20000.0,0.0,0.0,323,6
50000.0,1.87e-05,0.0008348999999999999,323,6
100000.0,7.5e-06,0.0005281,323,6
100.0,0.0,0.0,273,2
200.0,0.0,0.0,273,2
500.0,0.0,0.0,273,2
1000.0,0.0,0.0,273,2
2000.0,1.12e-05,0.0006468,273,2
5000.0,7.5e-06,0.0005281,273,2
10000.0,1.87e-05,0.0008348999999999999,273,2
20000.0,1.87e-05,0.0008348999999999999,273,2
50000.0,5.6e-05,0.0014454,273,2
