Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005486,0.0043293,273,5
200.0,0.0011589,0.0063829,273,5
500.0,0.0033875,0.0108226,273,5
1000.0,0.0063498,0.0146311,273,5
2000.0,0.012415,0.0206397,273,5
5000.0,0.031293,0.0326868,273,5
10000.0,0.061458,0.0456542,273,5
20000.0,0.1249116,0.055513,273,5
50000.0,0.305115,0.0900375,273,5
100000.0,0.5874057,0.1214716,273,5
100.0,0.0003429,0.0034457,298,5
200.0,0.0007509,0.0050647,298,5
500.0,0.0017932,0.007890599999999998,298,5
1000.0,0.0038881,0.0116038,298,5
2000.0,0.007385199999999998,0.0156896,298,5
5000.0,0.0188566,0.0254332,298,5
10000.0,0.036724,0.0356584,298,5
20000.0,0.07337259999999998,0.0495765,298,5
50000.0,0.1801855,0.0681573,298,5
100000.0,0.3577119,0.09583050000000001,298,5
100.0,0.0002286,0.0022743,323,5
200.0,0.0004299,0.003122,323,5
500.0,0.0010514,0.0048855,323,5
1000.0,0.0023086,0.007278599999999999,323,5
2000.0,0.0048206,0.0104452,323,5
5000.0,0.0119933,0.016703,323,5
10000.0,0.0235775,0.023253,323,5
20000.0,0.0460853,0.0321287,323,5
50000.0,0.1154921,0.0454759,323,5
100000.0,0.2237588,0.0620853,323,5
100.0,0.0008537,0.0054944,273,1
200.0,0.0016526,0.0075021,273,1
500.0,0.0041349,0.0119489,273,1
1000.0,0.0083864,0.0169073,273,1
2000.0,0.0164471,0.0233798,273,1
5000.0,0.0413286,0.0377649,273,1
10000.0,0.0838924,0.0540908,273,1
20000.0,0.1600962,0.0657108,273,1
50000.0,0.3957995,0.0976566,273,1
100000.0,0.736199,0.1300789,273,1
100.0,0.0004217,0.0038713,298,1
200.0,0.0009772,0.0057462,298,1
500.0,0.0025509,0.0093812,298,1
1000.0,0.0049064,0.0130388,298,1
2000.0,0.0092847,0.0176388,298,1
5000.0,0.0236575,0.0287902,298,1
10000.0,0.046643,0.039682,298,1
20000.0,0.0926791,0.0559733,298,1
50000.0,0.2294744,0.0789026,298,1
100000.0,0.4418244,0.1041457,298,1
100.0,0.0002514,0.0023841,323,1
200.0,0.0005989,0.0037638,323,1
500.0,0.0014515,0.005893,323,1
1000.0,0.0029098,0.008199899999999998,323,1
2000.0,0.0056572,0.0114115,323,1
5000.0,0.0144619,0.0181827,323,1
10000.0,0.0287182,0.0254372,323,1
20000.0,0.0580055,0.0359508,323,1
50000.0,0.1450903,0.0506585,323,1
100000.0,0.2795975,0.0690833,323,1
100.0,0.0006929,0.0048247,273,6
200.0,0.0014229,0.007008,273,6
500.0,0.0033137,0.0106515,273,6
1000.0,0.0062298,0.0146545,273,6
2000.0,0.0127202,0.0210116,273,6
5000.0,0.0306553,0.0323071,273,6
10000.0,0.0618867,0.0459151,273,6
20000.0,0.1221207,0.055498,273,6
50000.0,0.2917881,0.0857326,273,6
100000.0,0.5623425,0.1176217,273,6
100.0,0.000312,0.0032558,298,6
200.0,0.0006686,0.0047902,298,6
500.0,0.0017452,0.007766399999999999,298,6
1000.0,0.0036001,0.0111615,298,6
2000.0,0.007333799999999999,0.0156875,298,6
5000.0,0.0181087,0.0248035,298,6
10000.0,0.0364703,0.0358163,298,6
20000.0,0.0709108,0.0492405,298,6
50000.0,0.1747364,0.06716,298,6
100000.0,0.3444679,0.095461,298,6
100.0,0.0001989,0.0026036,323,6
200.0,0.0004354,0.0038392,323,6
500.0,0.001224,0.0064167,323,6
1000.0,0.002376,0.0090646,323,6
2000.0,0.0044092,0.0121444,323,6
5000.0,0.011447,0.019929,323,6
10000.0,0.0229306,0.0278101,323,6
20000.0,0.045491,0.0392664,323,6
50000.0,0.1127915,0.0614707,323,6
100000.0,0.2204748,0.0779688,323,6
100.0,0.000768,0.0050737,273,2
200.0,0.0016252,0.0074452,273,2
500.0,0.0042721,0.0120673,273,2
1000.0,0.0078927,0.0163358,273,2
2000.0,0.0160459,0.0233845,273,2
5000.0,0.03996,0.0366013,273,2
10000.0,0.0782618,0.0513783,273,2
20000.0,0.1583373,0.0642746,273,2
50000.0,0.3843421,0.0996116,273,2
100000.0,0.7144348,0.1261218,273,2
100.0,0.0004389,0.0038541,298,2
200.0,0.0009154,0.0055483,298,2
500.0,0.0022903,0.0088839,298,2
1000.0,0.0045189,0.0124487,298,2
2000.0,0.0093979,0.0180376,298,2
5000.0,0.0225363,0.0278512,298,2
10000.0,0.0462135,0.0395291,298,2
20000.0,0.08954879999999998,0.0554897,298,2
50000.0,0.2229943,0.07703989999999998,298,2
100000.0,0.4258661,0.0997109,298,2
100.0,0.0002777,0.0031113,323,2
200.0,0.000552,0.0043424,323,2
500.0,0.0013989,0.0068517,323,2
1000.0,0.0028012,0.0098076,323,2
2000.0,0.0058801,0.0143302,323,2
5000.0,0.0143796,0.0220741,323,2
10000.0,0.0287119,0.0315229,323,2
20000.0,0.0565689,0.0430907,323,2
50000.0,0.1400353,0.0579625,323,2
100000.0,0.2774649,0.0866013,323,2
100.0,0.0006286,0.0037935,273,8
200.0,0.0011749,0.0051598,273,8
500.0,0.0029418,0.008277299999999998,273,8
1000.0,0.0059384,0.011599,273,8
2000.0,0.0119019,0.0164792,273,8
5000.0,0.0299296,0.0260402,273,8
10000.0,0.0589152,0.0369415,273,8
20000.0,0.1151012,0.0440962,273,8
50000.0,0.2808991,0.0720121,273,8
100000.0,0.533494,0.0923763,273,8
100.0,0.0003337,0.0027606,298,8
200.0,0.0007044,0.0040158,298,8
500.0,0.0017326,0.0063367,298,8
1000.0,0.0032869,0.008689499999999998,298,8
2000.0,0.0069144,0.0125403,298,8
5000.0,0.017054,0.019893,298,8
10000.0,0.0346108,0.0277509,298,8
20000.0,0.0688034,0.0396589,298,8
50000.0,0.1710541,0.0557028,298,8
100000.0,0.331923,0.07473649999999998,298,8
100.0,0.0002171,0.0022173,323,8
200.0,0.0004528,0.0032015,323,8
500.0,0.0010263,0.0048855,323,8
1000.0,0.0021737,0.0070546,323,8
2000.0,0.0044184,0.010066,323,8
5000.0,0.0108413,0.0154341,323,8
10000.0,0.0220575,0.0219548,323,8
20000.0,0.0430681,0.0310239,323,8
50000.0,0.1090874,0.0501353,323,8
100000.0,0.213057,0.0678325,323,8
100.0,0.0007885999999999999,0.0042707,273,4
200.0,0.0015635,0.0060181,273,4
500.0,0.0038241,0.0094053,273,4
1000.0,0.0078744,0.0132341,273,4
2000.0,0.015342,0.0186326,273,4
5000.0,0.037692,0.0295083,273,4
10000.0,0.07642409999999998,0.036407,273,4
20000.0,0.1517258,0.0529862,273,4
50000.0,0.3662894,0.0787253,273,4
100000.0,0.6790064,0.1071761,273,4
100.0,0.0004571,0.0032325,298,4
200.0,0.000858,0.0044044,298,4
500.0,0.0021006,0.0068821,298,4
1000.0,0.0042766,0.0099185,298,4
2000.0,0.0089441,0.0145497,298,4
5000.0,0.0222034,0.0223427,298,4
10000.0,0.0429378,0.0312048,298,4
20000.0,0.0877682,0.0385739,298,4
50000.0,0.2163325,0.0622737,298,4
100000.0,0.4145315,0.0826139,298,4
100.0,0.0002743,0.0025097,323,4
200.0,0.0005692,0.0036486,323,4
500.0,0.0013783,0.0056112,323,4
1000.0,0.0027909,0.0081133,323,4
2000.0,0.0053628,0.0112445,323,4
5000.0,0.0138516,0.0177579,323,4
10000.0,0.0273764,0.0249996,323,4
20000.0,0.0546545,0.0348619,323,4
50000.0,0.136777,0.0557772,323,4
100000.0,0.2658167,0.0760083,323,4
100.0,0.0012526,0.0053799,273,7
200.0,0.0024092,0.007459099999999998,273,7
500.0,0.0061327,0.0118267,273,7
1000.0,0.012132,0.0166812,273,7
2000.0,0.0245992,0.0238485,273,7
5000.0,0.0609404,0.0324638,273,7
10000.0,0.1200259,0.0439285,273,7
20000.0,0.2354803,0.0630697,273,7
50000.0,0.5391893,0.0909545,273,7
100000.0,1.0247587,0.1275297,273,7
100.0,0.0005966,0.003687,298,7
200.0,0.0012183,0.0052253,298,7
500.0,0.0031863,0.008581999999999998,298,7
1000.0,0.0065807,0.0122541,298,7
2000.0,0.0126791,0.0169116,298,7
5000.0,0.0316165,0.0267673,298,7
10000.0,0.0616101,0.0327231,298,7
20000.0,0.1265026,0.0474614,298,7
50000.0,0.302572,0.0714068,298,7
100000.0,0.5709479,0.0928802,298,7
100.0,0.0003817,0.0029821,323,7
200.0,0.000704,0.0040278,323,7
