Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0013585,0.004545,273,5
200.0,0.0026613,0.0063379,273,5
500.0,0.0067972,0.0100993,273,5
1000.0,0.0132697,0.0138955,273,5
2000.0,0.0272475,0.0203638,273,5
5000.0,0.0652337,0.0278615,273,5
10000.0,0.1265139,0.0378946,273,5
20000.0,0.2314343,0.0469451,273,5
50000.0,0.4716994,0.0644383,273,5
100000.0,0.7579352,0.0726768,273,5
100.0,0.0007184,0.0033144,298,5
200.0,0.0013088,0.0044514,298,5
500.0,0.0032804,0.0069863,298,5
1000.0,0.0065186,0.009842900000000002,298,5
2000.0,0.0127449,0.0137145,298,5
5000.0,0.0314895,0.0213174,298,5
10000.0,0.0614127,0.0261205,298,5
20000.0,0.1196896,0.0369036,298,5
50000.0,0.2709959,0.0505806,298,5
100000.0,0.452391,0.0620011,298,5
100.0,0.00036,0.0023396,323,5
200.0,0.0006552,0.0032236,323,5
500.0,0.0016899,0.0050497,323,5
1000.0,0.0034491,0.0072163,323,5
2000.0,0.006882,0.0101062,323,5
5000.0,0.0165615,0.0157956,323,5
10000.0,0.0334031,0.019668,323,5
20000.0,0.0658392,0.0268984,323,5
50000.0,0.1524047,0.0406286,323,5
100000.0,0.276139,0.0510522,323,5
100.0,0.0013314,0.0044319,273,1
200.0,0.0025303,0.0061323,273,1
500.0,0.0064297,0.0097406,273,1
1000.0,0.0131004,0.0139417,273,1
2000.0,0.0248452,0.0191037,273,1
5000.0,0.0629023,0.0260849,273,1
10000.0,0.1217967,0.034797,273,1
20000.0,0.2227212,0.047717,273,1
50000.0,0.4550929,0.0672344,273,1
100000.0,0.7419192999999998,0.069008,273,1
100.0,0.000625,0.0030711,298,1
200.0,0.0012124,0.0042765,298,1
500.0,0.0030288,0.0066724,298,1
1000.0,0.0061993,0.0096415,298,1
2000.0,0.012382,0.0135623,298,1
5000.0,0.0308487,0.0185376,298,1
10000.0,0.0597951,0.0254585,298,1
20000.0,0.1143052,0.0361077,298,1
50000.0,0.2610013,0.0463528,298,1
100000.0,0.4453889,0.0607819,298,1
100.0,0.0003419,0.0022834,323,1
200.0,0.0007052,0.0032802,323,1
500.0,0.001601,0.0048572,323,1
1000.0,0.0031629,0.006831,323,1
2000.0,0.0066842,0.0100115,323,1
5000.0,0.0166021,0.0157204,323,1
10000.0,0.0330446,0.0194499,323,1
20000.0,0.0640669,0.0262664,323,1
50000.0,0.1525493,0.0405135,323,1
100000.0,0.2786751,0.0499255,323,1
100.0,0.0014579,0.0047157,273,6
200.0,0.0027683,0.006475,273,6
500.0,0.0067927,0.0099382,273,6
1000.0,0.0138233,0.0142856,273,6
2000.0,0.0275081,0.0172915,273,6
5000.0,0.0663332,0.0274493,273,6
10000.0,0.1280697,0.0373762,273,6
20000.0,0.2371138,0.0484463,273,6
50000.0,0.481974,0.0648779,273,6
100000.0,0.7638935999999998,0.0716645,273,6
100.0,0.0006642,0.0031505,298,6
200.0,0.0013781,0.0045864,298,6
500.0,0.0033572,0.007135,298,6
1000.0,0.0065878,0.0099711,298,6
2000.0,0.0132133,0.0140406,298,6
5000.0,0.0321379,0.0196445,298,6
10000.0,0.0628345,0.0260913,298,6
20000.0,0.1234052,0.0367535,298,6
50000.0,0.2725623,0.0483688,298,6
100000.0,0.4651728,0.0646877,298,6
100.0,0.0003871,0.0024023,323,6
200.0,0.0006642,0.0031505,323,6
500.0,0.0017155,0.0050523,323,6
1000.0,0.0034957,0.007214199999999999,323,6
2000.0,0.0071351,0.010306,323,6
5000.0,0.0173326,0.0160618,323,6
10000.0,0.0344167,0.0195146,323,6
20000.0,0.068577,0.0268963,323,6
50000.0,0.1583288,0.0422872,323,6
100000.0,0.2803041,0.0521848,323,6
100.0,0.0013661,0.0045353,273,2
200.0,0.0026839,0.0062906,273,2
500.0,0.0065773,0.0099564,273,2
1000.0,0.0131546,0.0140513,273,2
2000.0,0.0263604,0.019889,273,2
5000.0,0.0649657,0.0269072,273,2
10000.0,0.1244896,0.0374677,273,2
20000.0,0.2304644,0.0476982,273,2
50000.0,0.4655233,0.0635238,273,2
100000.0,0.7644102,0.0720561,273,2
100.0,0.0006446,0.003122,298,2
200.0,0.0013164,0.0044771,298,2
500.0,0.0031885,0.0069034,298,2
1000.0,0.0063604,0.0098138,298,2
2000.0,0.012403,0.0134236,298,2
5000.0,0.0309782,0.0181098,298,2
10000.0,0.0622953,0.0274395,298,2
20000.0,0.1176564,0.0355606,298,2
50000.0,0.2612403,0.0497839,298,2
100000.0,0.4549932,0.0630481,298,2
100.0,0.0003298,0.002235,323,2
200.0,0.0006642,0.0031649,323,2
500.0,0.0016959,0.0050612,323,2
1000.0,0.0035306,0.0072965,323,2
2000.0,0.0069573,0.0101913,323,2
5000.0,0.0169199,0.0159833,323,2
10000.0,0.0334287,0.0197043,323,2
20000.0,0.0652789,0.0272385,323,2
50000.0,0.1567663,0.0412613,323,2
100000.0,0.2825945,0.0511536,323,2
100.0,0.0012621,0.0043438,273,8
200.0,0.0025891,0.0063177,273,8
500.0,0.0063484,0.0097077,273,8
1000.0,0.0129724,0.013857,273,8
2000.0,0.0257444,0.0195054,273,8
5000.0,0.0609789,0.0268298,273,8
10000.0,0.1172557,0.0371242,273,8
20000.0,0.2216302,0.0457654,273,8
50000.0,0.4564315,0.064385,273,8
100000.0,0.7379763,0.0699031,273,8
100.0,0.0006266,0.0030892,298,8
200.0,0.0012516,0.0042917,298,8
500.0,0.0032171,0.0069605,298,8
1000.0,0.0060547,0.0094994,298,8
2000.0,0.0123353,0.0135673,298,8
5000.0,0.0306167,0.0185678,298,8
10000.0,0.0595406,0.0253425,298,8
20000.0,0.1142389,0.0357778,298,8
50000.0,0.2566974,0.0498844,298,8
100000.0,0.4376435,0.0639989,298,8
100.0,0.0002967,0.0021253,323,8
200.0,0.0006691,0.0031539,323,8
500.0,0.0016552,0.0050275,323,8
1000.0,0.0032472,0.0069072,323,8
2000.0,0.0065833,0.0099067,323,8
5000.0,0.0163958,0.0154447,323,8
10000.0,0.032525,0.0218304,323,8
20000.0,0.0629128,0.0297931,323,8
50000.0,0.151329,0.0447473,323,8
100000.0,0.2728997,0.0559383,323,8
100.0,0.0012426,0.0042837,273,4
200.0,0.0025815,0.006225,273,4
500.0,0.0061119,0.0095865,273,4
1000.0,0.0123142,0.0136995,273,4
2000.0,0.0243889,0.0190606,273,4
5000.0,0.0591399,0.0257418,273,4
10000.0,0.1148022,0.035482,273,4
20000.0,0.2178178,0.0456687,273,4
50000.0,0.4451114,0.0644292,273,4
100000.0,0.72158,0.07455309999999998,273,4
100.0,0.0005648,0.0029164,298,4
200.0,0.0011823,0.0041939,298,4
500.0,0.0028632,0.0065541,298,4
1000.0,0.0057926,0.0093293,298,4
2000.0,0.0118397,0.0133252,298,4
5000.0,0.0297146,0.0208216,298,4
10000.0,0.0574124,0.0262196,298,4
20000.0,0.1104459,0.0349255,298,4
50000.0,0.2494248,0.0496508,298,4
100000.0,0.4438836,0.0616803,298,4
100.0,0.0002997,0.0021034,323,4
200.0,0.0006657,0.0031681,323,4
500.0,0.001598,0.0049185,323,4
1000.0,0.0031222,0.0068115,323,4
2000.0,0.0066074,0.0099456,323,4
5000.0,0.0154951,0.0153638,323,4
10000.0,0.0311002,0.0215377,323,4
20000.0,0.0629384,0.0303442,323,4
50000.0,0.1454062,0.0441809,323,4
100000.0,0.262533,0.0576644,323,4
100.0,0.0018541,0.0052897,273,7
200.0,0.003425,0.0071805,273,7
500.0,0.0086498,0.0113259,273,7
1000.0,0.0174275,0.0159438,273,7
2000.0,0.0345417,0.020616,273,7
5000.0,0.0846344,0.0302512,273,7
10000.0,0.1611098,0.0427584,273,7
20000.0,0.2920879,0.052827,273,7
50000.0,0.5989516,0.0673281,273,7
100000.0,0.9301418,0.0776444,273,7
100.0,0.0007576,0.003387,298,7
200.0,0.0016086,0.0049266,298,7
500.0,0.0039596,0.0076084,298,7
1000.0,0.007898199999999998,0.0108128,298,7
2000.0,0.015593,0.0154982,298,7
5000.0,0.0388478,0.0216305,298,7
10000.0,0.0774078,0.0293826,298,7
20000.0,0.1472184,0.0390997,298,7
50000.0,0.3214974,0.055956,298,7
100000.0,0.5498576,0.0700904,298,7
100.0,0.0003871,0.0023928,323,7
200.0,0.0008118,0.0034738,323,7
500.0,0.0020935,0.0055885,323,7
1000.0,0.0041268,0.0078914,323,7
2000.0,0.0082371,0.0110862,323,7
5000.0,0.0209533,0.017591,323,7
10000.0,0.0408434,0.021891,323,7
20000.0,0.080402,0.0298776,323,7
50000.0,0.1831142,0.0415966,323,7
100000.0,0.3317707,0.0539441,323,7
100.0,0.001714,0.005082,273,3
200.0,0.0035409,0.0073451,273,3
500.0,0.0087296,0.0115341,273,3
1000.0,0.0172257,0.0159569,273,3
2000.0,0.034001,0.0198304,273,3
5000.0,0.08186899999999998,0.0299729,273,3
10000.0,0.1559694,0.0411429,273,3
20000.0,0.2856758,0.0491593,273,3
50000.0,0.594833,0.0694629,273,3
100000.0,0.9256668,0.075547,273,3
100.0,0.0007983,0.0035255,298,3
200.0,0.0015905,0.0048723,298,3
500.0,0.0039521,0.0075959,298,3
1000.0,0.0077009,0.010803,298,3
2000.0,0.0155479,0.015228,298,3
5000.0,0.0377558,0.021063,298,3
10000.0,0.07519979999999998,0.0286727,298,3
20000.0,0.1475953,0.0378019,298,3
50000.0,0.3199099,0.055658,298,3
100000.0,0.5557595,0.0703547,298,3
100.0,0.0004097,0.0024684,323,3
200.0,0.0008796,0.0036269,323,3
500.0,0.0020092,0.0055052,323,3
1000.0,0.0039867,0.007783,323,3
2000.0,0.008344799999999998,0.0112708,323,3
5000.0,0.0205437,0.0174822,323,3
10000.0,0.0401747,0.0216568,323,3
20000.0,0.07742739999999998,0.0289534,323,3
50000.0,0.1804108,0.0435259,323,3
100000.0,0.3345191,0.0552414,323,3
