Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0013336,0.0104242,273,5
200.0,0.0029616,0.0155853,273,5
500.0,0.0073469,0.0247255,273,5
1000.0,0.0145873,0.0349516,273,5
2000.0,0.029911,0.0496667,273,5
5000.0,0.072994,0.07716449999999998,273,5
10000.0,0.1471825,0.1107357,273,5
20000.0,0.3004029,0.1386295,273,5
50000.0,0.7645309,0.2292423,273,5
100000.0,1.5423815,0.3126309,273,5
1000000.0,23.9069631,0.6313071,273,5
100.0,0.0009163000000000002,0.008839899999999998,298,5
200.0,0.001759,0.0119228,298,5
500.0,0.004467,0.0191204,298,5
1000.0,0.008590399999999998,0.0268337,298,5
2000.0,0.0171727,0.0381502,298,5
5000.0,0.0423794,0.0588304,298,5
10000.0,0.0853888,0.08356959999999998,298,5
20000.0,0.1724711,0.1193472,298,5
50000.0,0.4424148,0.1744521,298,5
100000.0,0.8837576999999999,0.2412987,298,5
1000000.0,13.5725168,1.0894927,298,5
100.0,0.00063,0.007244399999999998,323,5
200.0,0.0010063,0.0090915,323,5
500.0,0.0025035,0.0142326,323,5
1000.0,0.0052852,0.0207017,323,5
2000.0,0.011413,0.0311794,323,5
5000.0,0.0282175,0.0475606,323,5
10000.0,0.0540215,0.0670623,323,5
20000.0,0.1117982,0.0963309,323,5
50000.0,0.2841301,0.1339874,323,5
100000.0,0.5668449,0.1974697,323,5
1000000.0,6.708158,0.7322089,323,5
100.0,0.0011945,0.0099486,273,1
200.0,0.0026344,0.014535,273,1
500.0,0.0059969,0.022124,273,1
1000.0,0.0115766,0.0306203,273,1
2000.0,0.0234396,0.0444826,273,1
5000.0,0.0580876,0.0688255,273,1
10000.0,0.1193086,0.0992092,273,1
20000.0,0.2374801,0.140086,273,1
50000.0,0.6216272,0.2097675,273,1
100000.0,1.2624247,0.2860564,273,1
1000000.0,23.8783346,0.6697628,273,1
100.0,0.0006791,0.007422599999999999,298,1
200.0,0.0016117,0.0116025,298,1
500.0,0.0036753,0.0173756,298,1
1000.0,0.007216,0.0242451,298,1
2000.0,0.0138101,0.033763,298,1
5000.0,0.0348526,0.0531929,298,1
10000.0,0.0703023,0.07663889999999998,298,1
20000.0,0.1431245,0.1087843,298,1
50000.0,0.359251,0.1557029,298,1
100000.0,0.7408645,0.2241396,298,1
1000000.0,12.1685115,1.1334447,298,1
100.0,0.0004827,0.0062656,323,1
200.0,0.0010472,0.0092692,323,1
500.0,0.0022253,0.0135079,323,1
1000.0,0.0046797,0.0195889,323,1
2000.0,0.0090486,0.0272781,323,1
5000.0,0.0232269,0.0434845,323,1
10000.0,0.0467646,0.061999,323,1
20000.0,0.09492,0.0887266,323,1
50000.0,0.2381019,0.1387711,323,1
100000.0,0.481088,0.1770185,323,1
1000000.0,5.8094569,0.7149013,323,1
