Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004288,0.0040113,273,5
200.0,0.0009222,0.005917,273,5
500.0,0.0024933,0.0096742,273,5
1000.0,0.0045692,0.0132285,273,5
2000.0,0.0089639,0.0185689,273,5
5000.0,0.0230244,0.0294895,273,5
10000.0,0.0447434,0.0411224,273,5
20000.0,0.0890884,0.0580546,273,5
50000.0,0.2202904,0.0812139,273,5
100000.0,0.4196558,0.1057676,273,5
100.0,0.0002922,0.0033173,298,5
200.0,0.0005768,0.0046431,298,5
500.0,0.0013321,0.0071472,298,5
1000.0,0.0026375,0.0100026,298,5
2000.0,0.0057229,0.0145928,298,5
5000.0,0.0133851,0.0225893,298,5
10000.0,0.0273698,0.031925,298,5
20000.0,0.0546219,0.0452758,298,5
50000.0,0.1318584,0.070071,298,5
100000.0,0.2557131,0.0870549,298,5
100.0,0.0001556,0.002425,323,5
200.0,0.0003264,0.0035042,323,5
500.0,0.0009108,0.005833,323,5
1000.0,0.0019203,0.0085401,323,5
2000.0,0.003537,0.0115055,323,5
5000.0,0.0088652,0.0182569,323,5
10000.0,0.0178936,0.0257332,323,5
20000.0,0.0344402,0.0355384,323,5
50000.0,0.0874641,0.056792,323,5
100000.0,0.1704615,0.0698047,323,5
100.0,0.0005237,0.0044597,273,1
200.0,0.0011575,0.0065699,273,1
500.0,0.0029108,0.0104908,273,1
1000.0,0.0059278,0.0149508,273,1
2000.0,0.0117001,0.0211248,273,1
5000.0,0.0296278,0.0336628,273,1
10000.0,0.0588723,0.0470518,273,1
20000.0,0.1160114,0.0663142,273,1
50000.0,0.2798832,0.093735,273,1
100000.0,0.5324447,0.1204153,273,1
100.0,0.000315,0.0034431,298,1
200.0,0.0006452,0.0049059,298,1
500.0,0.0018899,0.008427999999999998,298,1
1000.0,0.0035825,0.0115414,298,1
2000.0,0.006888,0.0160812,298,1
5000.0,0.0176014,0.0259977,298,1
10000.0,0.0342919,0.0355177,298,1
20000.0,0.0684244,0.0510173,298,1
50000.0,0.1680137,0.0682969,298,1
100000.0,0.326794,0.0970543,298,1
100.0,0.0001973,0.0027295,323,1
200.0,0.0004023,0.0038865,323,1
500.0,0.0011022,0.006418,323,1
1000.0,0.0019393,0.0085946,323,1
2000.0,0.0043187,0.0127713,323,1
5000.0,0.0106451,0.0201751,323,1
10000.0,0.0217417,0.0288544,323,1
20000.0,0.0438706,0.0404035,323,1
50000.0,0.1073501,0.0627359,323,1
100000.0,0.2095882,0.07928019999999998,323,1
100.0,0.0003985,0.0038683,273,6
200.0,0.000926,0.0058798,273,6
500.0,0.0022201,0.0092709,273,6
1000.0,0.0044478,0.0130178,273,6
2000.0,0.0087969,0.018282,273,6
5000.0,0.0218442,0.0287543,273,6
10000.0,0.0433051,0.0401017,273,6
20000.0,0.0856539,0.0567576,273,6
50000.0,0.2093757,0.0780787,273,6
100000.0,0.4041292,0.1039625,273,6
100.0,0.0002316,0.003004,298,6
200.0,0.0005465,0.0045529,298,6
500.0,0.0012941,0.0071138,298,6
1000.0,0.0023415,0.0094261,298,6
2000.0,0.0052967,0.014154,298,6
5000.0,0.0132409,0.0223285,298,6
10000.0,0.026421,0.0315628,298,6
20000.0,0.0525232,0.0444512,298,6
50000.0,0.1285869,0.0684857,298,6
100000.0,0.249937,0.0860249,298,6
100.0,0.0001822,0.002623,323,6
200.0,0.0003302,0.003565,323,6
500.0,0.000926,0.0059042,323,6
1000.0,0.0016934,0.0081069,323,6
2000.0,0.0034155,0.0112643,323,6
5000.0,0.0090709,0.0186351,323,6
10000.0,0.0173357,0.025999,323,6
20000.0,0.0347549,0.0370654,323,6
50000.0,0.08514149999999998,0.0564607,323,6
100000.0,0.1662869,0.0681169,323,6
100.0,0.0005541,0.0045835,273,2
200.0,0.0009753,0.006053,273,2
500.0,0.0029108,0.0105456,273,2
1000.0,0.0055142,0.0144405,273,2
2000.0,0.0113396,0.0210383,273,2
5000.0,0.0280339,0.0323497,273,2
10000.0,0.0555681,0.0458009,273,2
20000.0,0.1106517,0.0647005,273,2
50000.0,0.2677178,0.08742949999999998,273,2
100000.0,0.5137323,0.1149237,273,2
100.0,0.0003491,0.0036233,298,2
200.0,0.0008273,0.0055678,298,2
500.0,0.0017078,0.008012399999999998,298,2
1000.0,0.0032296,0.0109766,298,2
2000.0,0.0065958,0.0156654,298,2
5000.0,0.0163604,0.024713,298,2
10000.0,0.0322881,0.0350653,298,2
20000.0,0.0666977,0.0502193,298,2
50000.0,0.1626892,0.067734,298,2
100000.0,0.3092344,0.0954024,298,2
100.0,0.0002239,0.0029064,323,2
200.0,0.0004402,0.0040636,323,2
500.0,0.0010285,0.006255,323,2
1000.0,0.0022201,0.009177200000000002,323,2
2000.0,0.0044098,0.012875,323,2
5000.0,0.0109525,0.020483,323,2
10000.0,0.021089,0.0281165,323,2
20000.0,0.0428952,0.040208,323,2
50000.0,0.1045152,0.062923,323,2
100000.0,0.2050987,0.0754254,323,2
100.0,0.0003947,0.00385,273,8
200.0,0.0007362,0.0052618,273,8
500.0,0.0023883,0.0097033,273,8
1000.0,0.0041138,0.0124051,273,8
2000.0,0.0085806,0.0181043,273,8
5000.0,0.0217146,0.0288061,273,8
