Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007154,0.0055746,273,5
200.0,0.0014086,0.0078598,273,5
500.0,0.0032412,0.0118662,273,5
1000.0,0.0063751,0.0168575,273,5
2000.0,0.0133665,0.0242614,273,5
5000.0,0.0329106,0.0382626,273,5
10000.0,0.0645583,0.0532818,273,5
20000.0,0.1259328,0.0633459,273,5
50000.0,0.2903267,0.0940757,273,5
100000.0,0.5290462,0.1229185,273,5
100.0,0.0003709,0.0040301,298,5
200.0,0.0007198,0.0056608,298,5
500.0,0.0016576,0.0086678,298,5
1000.0,0.0035414,0.0125494,298,5
2000.0,0.0071005,0.017912,298,5
5000.0,0.0172965,0.0274584,298,5
10000.0,0.0348094,0.0385028,298,5
20000.0,0.06976,0.0545668,298,5
50000.0,0.1687744,0.074161,298,5
100000.0,0.3125529,0.0999523,298,5
100.0,0.0002031,0.002988,323,5
200.0,0.0004283,0.0043279,323,5
500.0,0.0010024,0.0066066,323,5
1000.0,0.002018,0.0093892,323,5
2000.0,0.0042259,0.0134909,323,5
5000.0,0.0105978,0.0216957,323,5
10000.0,0.0209792,0.0304776,323,5
20000.0,0.0418039,0.0424064,323,5
50000.0,0.1001684,0.0647349,323,5
100000.0,0.1951982,0.08187769999999998,323,5
100.0,0.0008478,0.0060917,273,1
200.0,0.0017354,0.0087378,273,1
500.0,0.0044246,0.013961,273,1
1000.0,0.008782899999999998,0.0196963,273,1
2000.0,0.0165326,0.0271281,273,1
5000.0,0.0418746,0.0422259,273,1
10000.0,0.08116149999999998,0.0592263,273,1
20000.0,0.1583576,0.0718367,273,1
50000.0,0.3751754,0.1066923,273,1
100000.0,0.6678418,0.128812,273,1
100.0,0.0004151,0.0043516,298,1
200.0,0.000998,0.0065629,298,1
500.0,0.0020886,0.0095387,298,1
1000.0,0.004663,0.0142437,298,1
2000.0,0.0089242,0.0198981,298,1
5000.0,0.0220478,0.0313051,298,1
10000.0,0.0444578,0.0443108,298,1
20000.0,0.08664139999999998,0.0607846,298,1
50000.0,0.2060477,0.08293119999999998,298,1
100000.0,0.3948873,0.1095234,298,1
100.0,0.0001722,0.0027523,323,1
200.0,0.0006712,0.0054743,323,1
500.0,0.0012989,0.007590699999999998,323,1
1000.0,0.0026362,0.0106836,323,1
2000.0,0.0051179,0.0150698,323,1
5000.0,0.0131678,0.02384,323,1
10000.0,0.0260397,0.0342428,323,1
20000.0,0.051576,0.0474601,323,1
50000.0,0.125818,0.0639863,323,1
100000.0,0.2436125,0.0840555,323,1
100.0,0.0007113,0.0056633,273,6
200.0,0.0013033,0.0075513,273,6
500.0,0.0032986,0.0119078,273,6
1000.0,0.0070166,0.0175106,273,6
2000.0,0.0134239,0.0247512,273,6
5000.0,0.0339969,0.0385147,273,6
10000.0,0.0667087,0.0540652,273,6
20000.0,0.1291342,0.0640662,273,6
50000.0,0.3060099,0.0965959,273,6
100000.0,0.5392558,0.1222883,273,6
100.0,0.0003533,0.0039337,298,6
200.0,0.0008654999999999998,0.0061529,298,6
500.0,0.001859,0.0091276,298,6
1000.0,0.0035944,0.0125809,298,6
2000.0,0.007480299999999999,0.0182122,298,6
5000.0,0.0184313,0.0287728,298,6
10000.0,0.0361473,0.0397931,298,6
20000.0,0.0716279,0.0563054,298,6
50000.0,0.1691548,0.07402899999999998,298,6
100000.0,0.3234095,0.1010078,298,6
100.0,0.0001722,0.0027523,323,6
200.0,0.0003444,0.0038846,323,6
500.0,0.0010951,0.0070355,323,6
1000.0,0.0021725,0.0097126,323,6
2000.0,0.0041155,0.0133436,323,6
5000.0,0.0107303,0.0216395,323,6
10000.0,0.0217211,0.0309019,323,6
20000.0,0.0419496,0.0428874,323,6
50000.0,0.1040527,0.06679,323,6
100000.0,0.1961485,0.0790628,323,6
100.0,0.0009538,0.0064496,273,2
200.0,0.0018193,0.0089524,273,2
500.0,0.0047558,0.0143563,273,2
1000.0,0.009410000000000002,0.0203359,273,2
2000.0,0.0185417,0.0284185,273,2
5000.0,0.0461976,0.0450767,273,2
10000.0,0.0907746,0.0615264,273,2
20000.0,0.1826354,0.0745402,273,2
50000.0,0.4150319,0.1116322,273,2
100000.0,0.7420447999999998,0.1314672,273,2
100.0,0.0004769,0.0045641,298,2
200.0,0.0009096000000000002,0.0063032,298,2
500.0,0.0023724,0.0101698,298,2
1000.0,0.0050604,0.0149006,298,2
2000.0,0.0099354,0.021056,298,2
5000.0,0.0251874,0.0332751,298,2
10000.0,0.048953,0.0461315,298,2
20000.0,0.0957423,0.0543139,298,2
50000.0,0.2296676,0.0811096,298,2
100000.0,0.4381881,0.1088987,298,2
100.0,0.0002826,0.0035213,323,2
200.0,0.0005299,0.0048485,323,2
500.0,0.0013468,0.0076953,323,2
1000.0,0.0028584,0.011201,323,2
2000.0,0.0057405,0.0159273,323,2
5000.0,0.0142938,0.0251705,323,2
