Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,9.22e-05,0.0018415,273,5
200.0,0.0001991,0.0027025,273,5
500.0,0.0006453,0.0048635,273,5
1000.0,0.0010141,0.0060531,273,5
2000.0,0.002102,0.0088312,273,5
5000.0,0.0053877,0.0140787,273,5
10000.0,0.0109413,0.0173563,273,5
20000.0,0.0218752,0.023906,273,5
50000.0,0.05516,0.0384406,273,5
100000.0,0.102273,0.0507125,273,5
100.0,7.01e-05,0.0016059,298,5
200.0,8.11e-05,0.0017278,298,5
500.0,0.0002655,0.0031178,298,5
1000.0,0.0005642,0.0045264,298,5
2000.0,0.000963,0.006018,298,5
5000.0,0.002751,0.0100067,298,5
10000.0,0.0055822,0.0143617,298,5
20000.0,0.0098129,0.0190867,298,5
50000.0,0.0251978,0.0257293,298,5
100000.0,0.0491307,0.0365078,298,5
100.0,9.8e-06,0.0004916,323,5
200.0,5.65e-05,0.0011777,323,5
500.0,0.0001328,0.0018017,323,5
1000.0,0.0002876,0.0026664,323,5
2000.0,0.000563,0.0036775,323,5
5000.0,0.0014701,0.0060131,323,5
10000.0,0.0028174,0.0082079,323,5
20000.0,0.0057995,0.0120401,323,5
50000.0,0.0142639,0.0164563,323,5
100000.0,0.030461,0.0232156,323,5
100.0,0.0002397,0.0029634,273,1
200.0,0.000472,0.0042104,273,1
500.0,0.0012354,0.0067372,273,1
1000.0,0.0024154,0.0093589,273,1
2000.0,0.0050337,0.0133811,273,1
5000.0,0.0121361,0.0181837,273,1
10000.0,0.0243681,0.0264522,273,1
20000.0,0.0481018,0.0354436,273,1
50000.0,0.1212649,0.054362,273,1
100000.0,0.2246226,0.0723575,273,1
100.0,0.0001033,0.0019486,298,1
200.0,0.0002508,0.0030306,298,1
500.0,0.0005495,0.004498,298,1
1000.0,0.0012022,0.0066108,298,1
2000.0,0.0023232,0.0093022,298,1
5000.0,0.0058855,0.0146455,298,1
10000.0,0.0114981,0.0206963,298,1
20000.0,0.023472,0.0262813,298,1
50000.0,0.0575496,0.0399456,298,1
100000.0,0.1088412,0.0524707,298,1
100.0,6.39e-05,0.0012519,323,1
200.0,0.000118,0.0016992,323,1
500.0,0.000327,0.0028377,323,1
1000.0,0.0005851,0.0038113,323,1
2000.0,0.0012169,0.0054558,323,1
5000.0,0.0030485,0.008699699999999998,323,1
10000.0,0.006033,0.0121681,323,1
20000.0,0.0120537,0.0147927,323,1
50000.0,0.0306672,0.0227881,323,1
100000.0,0.0557156,0.0300053,323,1
100.0,7.739999999999998e-05,0.0016881,273,6
200.0,0.0001106,0.0020168,273,6
500.0,0.0003726,0.0036882,273,6
1000.0,0.0007375,0.005189,273,6
2000.0,0.0013829,0.0071215,273,6
5000.0,0.0033631,0.0110558,273,6
10000.0,0.0070066,0.0160784,273,6
20000.0,0.0141274,0.0225622,273,6
50000.0,0.0346861,0.0320757,273,6
100000.0,0.0692284,0.0434106,273,6
100.0,2.95e-05,0.0010426,298,6
200.0,7.38e-05,0.0016475,298,6
500.0,0.0002065,0.0027519,298,6
1000.0,0.0003356,0.0035018,298,6
2000.0,0.0006712,0.0049843,298,6
5000.0,0.0017184,0.007877099999999998,298,6
10000.0,0.0036471,0.0116333,298,6
20000.0,0.007143,0.0160394,298,6
50000.0,0.0190689,0.022596,298,6
100000.0,0.0349553,0.0320897,298,6
100.0,1.11e-05,0.0006386,323,6
200.0,1.48e-05,0.0007374,323,6
500.0,0.0001328,0.0022086,323,6
1000.0,0.0002213,0.0028479,323,6
2000.0,0.000354,0.0035958,323,6
5000.0,0.0009772,0.0059915,323,6
10000.0,0.002054,0.008788499999999998,323,6
20000.0,0.0041597,0.0124223,323,6
50000.0,0.0103808,0.0192839,323,6
100000.0,0.0211524,0.0237871,323,6
100.0,0.0001549,0.0023849,273,2
200.0,0.0003503,0.0035772,273,2
500.0,0.0008296999999999998,0.0055919,273,2
1000.0,0.0016611,0.0077368,273,2
2000.0,0.0034718,0.0112994,273,2
5000.0,0.0082161,0.0173735,273,2
10000.0,0.0166277,0.0244442,273,2
20000.0,0.0331299,0.0308681,273,2
50000.0,0.0796165,0.0470999,273,2
100000.0,0.1577299,0.0612745,273,2
100.0,0.0001033,0.0019486,298,2
200.0,0.000177,0.0025487,298,2
500.0,0.0004204,0.0039148,298,2
1000.0,0.0008076,0.005497,298,2
2000.0,0.0015968,0.0076669,298,2
5000.0,0.0040306,0.0122945,298,2
10000.0,0.008087,0.0173284,298,2
20000.0,0.0167272,0.0253148,298,2
50000.0,0.0418771,0.0347172,298,2
100000.0,0.0777838,0.0444982,298,2
100.0,5.16e-05,0.0013788,323,2
200.0,9.59e-05,0.0018779,323,2
500.0,0.0002581,0.0030745,323,2
1000.0,0.0004093,0.0038636,323,2
2000.0,0.0008149999999999999,0.0054462,323,2
5000.0,0.0022089,0.0090112,323,2
10000.0,0.0045026,0.0130478,323,2
20000.0,0.0091417,0.0181576,323,2
50000.0,0.0217056,0.0282377,323,2
100000.0,0.0447387,0.0358243,323,2
100.0,7.87e-05,0.0013885,273,8
200.0,0.0001033,0.0016275,273,8
500.0,0.0002901,0.0026774,273,8
1000.0,0.0006072,0.003863,273,8
2000.0,0.0011505,0.0053417,273,8
5000.0,0.0029762,0.0085804,273,8
10000.0,0.0060674,0.0121311,273,8
20000.0,0.0122652,0.0170574,273,8
50000.0,0.0301577,0.024246,273,8
100000.0,0.0624886,0.0345154,273,8
100.0,3.69e-05,0.0009514,298,8
200.0,8.36e-05,0.0014311,298,8
500.0,0.0001524,0.0019298,298,8
1000.0,0.0002975,0.0027103,298,8
2000.0,0.0006687,0.0040141,298,8
5000.0,0.001684,0.0065141,298,8
10000.0,0.0032107,0.0088961,298,8
20000.0,0.0064288,0.0123686,298,8
50000.0,0.0163462,0.017357,298,8
100000.0,0.0332517,0.0257952,298,8
100.0,2.7e-05,0.0008149,323,8
200.0,4.67e-05,0.0010706,323,8
500.0,8.6e-05,0.0014519,323,8
1000.0,0.0001598,0.0019756,323,8
2000.0,0.0004229,0.0032526,323,8
5000.0,0.001094,0.0051989,323,8
10000.0,0.0019741,0.0069297,323,8
20000.0,0.0037073,0.0095614,323,8
50000.0,0.0093199,0.0150906,323,8
100000.0,0.0193135,0.0218543,323,8
100.0,0.0001328,0.0018017,273,4
200.0,0.0002631,0.0025532,273,4
500.0,0.0007571999999999999,0.0043041,273,4
1000.0,0.00148,0.0060207,273,4
2000.0,0.0029403,0.0084627,273,4
5000.0,0.0076162,0.0135688,273,4
10000.0,0.0153431,0.0191695,273,4
20000.0,0.0306322,0.0242637,273,4
50000.0,0.0718798,0.0361168,273,4
100000.0,0.1376381,0.0485448,273,4
100.0,7.87e-05,0.0013885,298,4
200.0,0.0001229,0.001734,298,4
500.0,0.0003393,0.002889,298,4
1000.0,0.000799,0.0044418,298,4
2000.0,0.001625,0.0064076,298,4
5000.0,0.0038622,0.0097107,298,4
10000.0,0.0073409,0.0133264,298,4
20000.0,0.0152549,0.0196257,298,4
50000.0,0.0379657,0.0267137,298,4
100000.0,0.0721331,0.0348213,298,4
100.0,4.43e-05,0.0010421,323,4
200.0,8.6e-05,0.0014519,323,4
500.0,0.0002286,0.0023853,323,4
1000.0,0.0004917,0.0034768,323,4
2000.0,0.0008038999999999999,0.0044409,323,4
5000.0,0.002097,0.0072273,323,4
10000.0,0.0044301,0.0103526,323,4
20000.0,0.0084202,0.0142588,323,4
50000.0,0.0203583,0.0221553,323,4
100000.0,0.0428186,0.0323897,323,4
100.0,0.0001106,0.0016818,273,7
200.0,0.0001672,0.0020204,273,7
500.0,0.0005756,0.0037818,273,7
1000.0,0.0010203,0.0049645,273,7
2000.0,0.0020184,0.0069431,273,7
5000.0,0.0045801,0.0104474,273,7
10000.0,0.0100624,0.0137897,273,7
20000.0,0.0195028,0.0187632,273,7
50000.0,0.0487976,0.0286304,273,7
100000.0,0.0953161,0.042096,273,7
100.0,3.2e-05,0.0008859999999999999,298,7
200.0,8.849999999999998e-05,0.0014724,298,7
500.0,0.0002311,0.0023723,298,7
1000.0,0.0004966,0.0034761,298,7
2000.0,0.0010153,0.0050018,298,7
5000.0,0.0025076,0.0078283,298,7
10000.0,0.0052586,0.0114666,298,7
20000.0,0.0098583,0.0131245,298,7
50000.0,0.0250392,0.0208972,298,7
100000.0,0.0505922,0.0282997,298,7
100.0,1.97e-05,0.0006951,323,7
200.0,6.39e-05,0.0012519,323,7
500.0,0.000118,0.0016992,323,7
1000.0,0.0002876,0.0026889,323,7
2000.0,0.0005581,0.0037595,323,7
5000.0,0.0012882,0.0056413,323,7
10000.0,0.0027928,0.0084054,323,7
20000.0,0.0056126,0.011846,323,7
50000.0,0.0132756,0.015533,323,7
100000.0,0.0264995,0.0217965,323,7
100.0,0.0002237,0.0023345,273,3
200.0,0.0004966,0.0035107,273,3
500.0,0.001185,0.005368,273,3
1000.0,0.0022691,0.0074235,273,3
2000.0,0.0049882,0.011102,273,3
5000.0,0.0116653,0.014509,273,3
10000.0,0.0236305,0.0206188,273,3
20000.0,0.0466981,0.0288178,273,3
50000.0,0.1119819,0.0424526,273,3
100000.0,0.2017641,0.0546643,273,3
100.0,0.0001205,0.0017167,298,3
200.0,0.0001918,0.0021628,298,3
500.0,0.0005409,0.003689,298,3
1000.0,0.0010454,0.0050211,298,3
2000.0,0.0023293,0.007520299999999998,298,3
5000.0,0.0057527,0.0118323,298,3
10000.0,0.0112351,0.014277,298,3
20000.0,0.0216638,0.0195288,298,3
