Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.4530006,0.1607221,273,5
200.0,0.8206074,0.0759612,273,5
500.0,1.2836373,0.1495162,273,5
1000.0,2.1449645,0.1769877,273,5
2000.0,2.6461728,0.1225828,273,5
5000.0,2.945859,0.0798384,273,5
10000.0,3.1635208,0.061642,273,5
20000.0,3.2478777,0.0532433,273,5
50000.0,3.2996282,0.03628,273,5
100000.0,3.335254,0.015504,273,5
1000000.0,3.340776,0.007732499999999998,273,5
100.0,0.0776025,0.0553144,298,5
200.0,0.1667428,0.07846269999999998,298,5
500.0,0.3927202,0.1184297,298,5
1000.0,0.713602,0.1221231,298,5
2000.0,1.0659299,0.128692,298,5
5000.0,2.0073024,0.1418703,298,5
10000.0,2.3923415,0.102217,298,5
20000.0,2.873464,0.1192242,298,5
50000.0,3.1526687,0.0679172,298,5
100000.0,3.2689483,0.0402225,298,5
1000000.0,3.3356917,0.0150034,298,5
100.0,0.0182064,0.0262675,323,5
200.0,0.0311116,0.0317654,323,5
500.0,0.0896907,0.0616735,323,5
1000.0,0.1718059,0.0758322,323,5
2000.0,0.2920505,0.0715176,323,5
5000.0,0.6197656,0.1378837,323,5
10000.0,1.0882378,0.0940698,323,5
20000.0,1.9021808,0.0968741,323,5
50000.0,2.5313216,0.158636,323,5
100000.0,2.8638873,0.1193183,323,5
1000000.0,3.2633824,0.0519225,323,5
100.0,0.154291,0.0643489,273,1
200.0,0.3846486,0.0983801,273,1
500.0,0.6675557,0.1095217,273,1
1000.0,1.2103806,0.1768696,273,1
2000.0,1.8466038,0.1251552,273,1
5000.0,2.4604261,0.0844317,273,1
10000.0,2.9678951,0.1011667,273,1
20000.0,3.1805673,0.0831453,273,1
50000.0,3.286901,0.0326367,273,1
100000.0,3.2880785,0.0438618,273,1
1000000.0,3.3300295,0.0223161,273,1
100.0,0.0325878,0.0329515,298,1
200.0,0.051653,0.0400271,298,1
500.0,0.1658078,0.0688037,298,1
1000.0,0.2972868,0.1032356,298,1
2000.0,0.6052949,0.1086553,298,1
5000.0,1.027128,0.1047389,298,1
10000.0,1.7564629,0.1898504,298,1
20000.0,2.3441381,0.1305469,298,1
50000.0,2.8243592,0.1135885,298,1
100000.0,3.0318124,0.0971695,298,1
1000000.0,3.3087022,0.0371751,298,1
100.0,0.0054452,0.0140513,323,1
200.0,0.0116239,0.019973,323,1
500.0,0.0336137,0.0369619,323,1
1000.0,0.0632166,0.0444635,323,1
2000.0,0.1143465,0.0712633,323,1
5000.0,0.3048535,0.1277285,323,1
10000.0,0.7439867999999998,0.1302284,323,1
20000.0,0.997645,0.0950843,323,1
50000.0,1.7906428,0.1414662,323,1
100000.0,2.3940406,0.1381712,323,1
1000000.0,3.1760082,0.08590299999999998,323,1
100.0,0.0003249,0.0032332,273,6
200.0,0.0005806,0.0044281,273,6
500.0,0.0023861,0.0087503,273,6
1000.0,0.0036348,0.0105622,273,6
2000.0,0.007315999999999999,0.015978,273,6
5000.0,0.0190792,0.025807,273,6
10000.0,0.0470387,0.0400867,273,6
20000.0,0.08986239999999998,0.0528515,273,6
50000.0,0.2589049,0.1004336,273,6
100000.0,0.3484635,0.1003748,273,6
1000000.0,1.845602,0.1585586,273,6
100.0,0.0001207,0.002364,298,6
200.0,0.0002878,0.0036439,298,6
500.0,0.0005246,0.0049067,298,6
1000.0,0.0007519999999999998,0.0058971,298,6
2000.0,0.0018104,0.0074098,298,6
5000.0,0.0059698,0.0137428,298,6
10000.0,0.0119581,0.0204215,298,6
20000.0,0.0219201,0.0266625,298,6
50000.0,0.0536723,0.0384017,298,6
100000.0,0.1290792,0.07417569999999998,298,6
1000000.0,0.8640312,0.1556617,298,6
100.0,4.18e-05,0.001392,323,6
200.0,8.82e-05,0.0020215,323,6
500.0,0.0002089,0.003107,323,6
1000.0,0.0004642,0.0046189,323,6
2000.0,0.0007381,0.0058438,323,6
5000.0,0.0021086,0.0084022,323,6
10000.0,0.0037508,0.0108064,323,6
20000.0,0.0062158,0.0143299,323,6
50000.0,0.0208385,0.0263594,323,6
100000.0,0.0442581,0.03884,323,6
1000000.0,0.3445893,0.1173893,323,6
100.0,0.0001764,0.0028562,273,2
200.0,0.0001996,0.0030375,273,2
500.0,0.0007149,0.0050347,273,2
1000.0,0.0014437,0.0066693,273,2
2000.0,0.0030917,0.0099134,273,2
5000.0,0.0087504,0.0161739,273,2
10000.0,0.0151658,0.0224779,273,2
20000.0,0.0267944,0.0290884,273,2
50000.0,0.0856195,0.0481723,273,2
100000.0,0.1722835,0.0672849,273,2
1000000.0,0.9542647,0.1146583,273,2
100.0,3.71e-05,0.0013125,298,2
200.0,0.0001764,0.0028562,298,2
500.0,0.0003249,0.0038703,298,2
1000.0,0.0004828,0.0039367,298,2
2000.0,0.0009099,0.0056313,298,2
5000.0,0.0021307,0.0086402,298,2
10000.0,0.0059326,0.0136972,298,2
20000.0,0.0095349,0.0170618,298,2
50000.0,0.0280663,0.0300594,298,2
100000.0,0.0548143,0.0407188,298,2
1000000.0,0.4144665,0.1076427,298,2
100.0,1.39e-05,0.0008038999999999999,323,2
200.0,3.25e-05,0.0012278,323,2
500.0,8.36e-05,0.0019677,323,2
1000.0,0.0001718,0.0028939,323,2
2000.0,0.000441,0.004503,323,2
5000.0,0.0011188,0.0061356,323,2
10000.0,0.0020008,0.0081194,323,2
20000.0,0.0044704,0.0117668,323,2
50000.0,0.0097903,0.0174359,323,2
100000.0,0.0219619,0.0262273,323,2
1000000.0,0.1698863,0.0682998,323,2
100.0,4.64e-05,0.0014672,273,8
200.0,6.5e-05,0.0017357,273,8
500.0,0.0002043,0.0030725,273,8
1000.0,0.0004131,0.0043598,273,8
2000.0,0.0006963,0.0057185,273,8
5000.0,0.0020472,0.0099297,273,8
10000.0,0.003412,0.0109605,273,8
20000.0,0.0079009,0.0164414,273,8
50000.0,0.0189028,0.0256819,273,8
100000.0,0.0382651,0.0359366,273,8
1000000.0,0.3759243,0.1180212,273,8
100.0,1.86e-05,0.0009282,298,8
200.0,3.71e-05,0.0013125,298,8
500.0,6.5e-05,0.0017357,298,8
1000.0,0.0001532,0.0026623,298,8
2000.0,0.0003296,0.0038976,298,8
5000.0,0.0008587999999999998,0.0063238,298,8
10000.0,0.0016294,0.0086931,298,8
20000.0,0.0032077,0.0105628,298,8
50000.0,0.0091774,0.0179127,298,8
100000.0,0.0176865,0.0242868,298,8
1000000.0,0.1629229,0.0678722,298,8
100.0,9.3e-06,0.0006564,323,8
200.0,9.3e-06,0.0006564,323,8
500.0,2.79e-05,0.0011367,323,8
1000.0,9.28e-05,0.0020739,323,8
2000.0,0.0001671,0.0027803,323,8
5000.0,0.0004131,0.004409,323,8
10000.0,0.0008819999999999999,0.0063377,323,8
20000.0,0.0016906,0.008867899999999998,323,8
50000.0,0.0041918,0.0139686,323,8
100000.0,0.008272299999999998,0.0196096,323,8
1000000.0,0.0815019,0.0628768,323,8
100.0,5.57e-05,0.0016071,273,4
200.0,6.96e-05,0.0017965,273,4
500.0,0.0001393,0.0025388,273,4
1000.0,0.0003899,0.0042872,273,4
2000.0,0.0006409,0.0054168,273,4
5000.0,0.0017547,0.008998,273,4
10000.0,0.0035791,0.0112284,273,4
20000.0,0.0065593,0.015576,273,4
50000.0,0.0178351,0.024637,273,4
100000.0,0.0307309,0.0318766,273,4
1000000.0,0.3336387,0.1008654,273,4
100.0,1.39e-05,0.0008038999999999999,298,4
200.0,2.32e-05,0.0010378,298,4
500.0,1.86e-05,0.0009282,298,4
1000.0,0.0001207,0.002364,298,4
2000.0,0.0002971,0.0037596,298,4
5000.0,0.0007705999999999999,0.0060033,298,4
10000.0,0.0015133,0.0084758,298,4
20000.0,0.0027528,0.0113123,298,4
50000.0,0.0074785,0.016569,298,4
100000.0,0.0162242,0.0236006,298,4
1000000.0,0.1419684,0.0719564,298,4
100.0,2.32e-05,0.0010378,323,4
200.0,0.0,0.0,323,4
500.0,6.0474686842368974e-05,1.6761731596512833e-05,323,4
1000.0,7.90822827938671e-05,1.9163926383625653e-05,323,4
2000.0,0.00014010452716297787,2.5540839999364885e-05,323,4
5000.0,0.0004186709189297525,4.971118987239128e-05,323,4
10000.0,0.0007028593602727364,6.499820689695667e-05,323,4
20000.0,0.001390917827437619,0.00010470303063156284,323,4
50000.0,0.003744779015933461,0.00022447852209443568,323,4
100000.0,0.006802357920144826,0.0004036068268628533,323,4
1000000.0,0.0746738901262215,0.0036523673556861824,323,4
100.0,1.9654669,0.1209322,273,7
200.0,2.5619719,0.1376878,273,7
500.0,2.9174024,0.0705783,273,7
1000.0,3.1381562,0.08250939999999998,273,7
2000.0,3.287991,0.0349383,273,7
5000.0,3.2602165,0.0497456,273,7
10000.0,3.3144594,0.0222011,273,7
20000.0,3.3298698,0.0191285,273,7
50000.0,3.3313061,0.0178784,273,7
100000.0,3.3395379,0.0101583,273,7
1000000.0,3.3423358,0.0,273,7
100.0,0.4776281,0.1214294,298,7
200.0,0.9875065,0.1206207,298,7
500.0,1.6304397,0.1514278,298,7
1000.0,2.20619,0.1053778,298,7
2000.0,2.8219474,0.1089059,298,7
5000.0,2.9856158,0.08403929999999998,298,7
10000.0,3.2026987,0.0559354,298,7
20000.0,3.2596965,0.0600436,298,7
50000.0,3.3078321,0.0281212,298,7
100000.0,3.3176814,0.0233261,298,7
1000000.0,3.3367531,0.0131662,298,7
100.0,0.0918957,0.0606884,323,7
200.0,0.1518117,0.0708714,323,7
500.0,0.3872653,0.1532077,323,7
1000.0,0.7071176,0.1400403,323,7
2000.0,1.2333181,0.1273723,323,7
5000.0,2.0110881,0.1033538,323,7
10000.0,2.6177614,0.1626085,323,7
20000.0,2.7701946,0.0816366,323,7
50000.0,3.0310478,0.0779276,323,7
100000.0,3.2710832,0.0547395,323,7
1000000.0,3.3378706,0.0123681,323,7
100.0,1.0597225,0.0882637,273,3
200.0,1.7705281,0.1775342,273,3
500.0,2.0841692,0.327767,273,3
1000.0,2.7229452,0.200625,273,3
2000.0,3.0442266,0.0692718,273,3
5000.0,3.25604,0.0551616,273,3
10000.0,3.2557182,0.050193,273,3
20000.0,3.2601329,0.0486037,273,3
50000.0,3.3357212,0.0142928,273,3
100000.0,3.3380929,0.0126301,273,3
1000000.0,3.3415698,0.0148552,273,3
100.0,0.191782,0.0695236,298,3
200.0,0.3301764,0.1464375,298,3
500.0,0.7613929,0.1703423,298,3
1000.0,1.1966669,0.0975371,298,3
2000.0,2.0095084,0.1128928,298,3
5000.0,2.7922403,0.1055435,298,3
10000.0,2.9302722,0.069857,298,3
