Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,1.3299306,0.1239751,273,5
200.0,1.9326929,0.1173305,273,5
500.0,2.4261561,0.110027,273,5
1000.0,2.7403773,0.1044192,273,5
2000.0,2.9937181,0.0742545,273,5
5000.0,3.2422526,0.0593203,273,5
10000.0,3.3576671,0.0701148,273,5
20000.0,3.4555172,0.0678809,273,5
50000.0,3.5460454,0.0415071,273,5
100000.0,3.6937329,0.07319499999999998,273,5
1000000.0,3.8454944,0.0461377,273,5
100.0,0.3878258,0.0768226,298,5
200.0,0.7029089,0.1106616,298,5
500.0,1.2411398,0.129001,298,5
1000.0,1.8151573,0.1288058,298,5
2000.0,2.309646,0.1055464,298,5
5000.0,2.7430674,0.0872459,298,5
10000.0,2.9859621,0.074989,298,5
20000.0,3.1519193,0.0721944,298,5
50000.0,3.3181782,0.0594286,298,5
100000.0,3.4640081,0.0481493,298,5
1000000.0,3.7285801,0.0373352,298,5
100.0,0.0967946,0.0403783,323,5
200.0,0.1980558,0.0491153,323,5
500.0,0.4578356,0.0825903,323,5
1000.0,0.7616708,0.1113342,323,5
2000.0,1.2753528,0.1253891,323,5
5000.0,1.961931,0.1160036,323,5
10000.0,2.3754878,0.0952844,323,5
20000.0,2.7021905,0.098036,323,5
50000.0,2.9856625,0.0604129,323,5
100000.0,3.1811723,0.0566078,323,5
1000000.0,3.5062829,0.0413757,323,5
100.0,1.6473019,0.1450269,273,1
200.0,2.142784,0.1215593,273,1
500.0,2.673589,0.1004982,273,1
1000.0,2.9294723,0.0811298,273,1
2000.0,3.1480924,0.0612038,273,1
5000.0,3.3002556,0.0719607,273,1
10000.0,3.4191409,0.0465175,273,1
20000.0,3.563764,0.0476323,273,1
50000.0,3.6025172,0.0284303,273,1
100000.0,3.6113934,0.026998,273,1
1000000.0,3.7068852,0.0383228,273,1
100.0,0.4452419,0.0872007,298,1
200.0,0.788649,0.1230181,298,1
500.0,1.5375078,0.1418453,298,1
1000.0,2.0513648,0.1330847,298,1
2000.0,2.5120655,0.1139636,298,1
5000.0,2.885791,0.0950435,298,1
10000.0,3.0799834,0.0650284,298,1
20000.0,3.233933,0.0659241,298,1
50000.0,3.4053555,0.0538755,298,1
100000.0,3.5542661,0.044463,298,1
1000000.0,3.6725838,0.0471731,298,1
100.0,0.1253052,0.0484192,323,1
200.0,0.2488583,0.0656946,323,1
500.0,0.5229983,0.07657279999999998,323,1
1000.0,0.8934195,0.1255585,323,1
2000.0,1.4223389,0.1212192,323,1
5000.0,2.1766509,0.1176906,323,1
10000.0,2.5423543,0.106751,323,1
20000.0,2.865205,0.0768668,323,1
50000.0,3.1456389,0.074507,323,1
100000.0,3.2918843,0.0568895,323,1
1000000.0,3.6453943,0.0314572,323,1
100.0,2.0050791,0.052341,273,6
200.0,2.068649,0.0480359,273,6
500.0,2.2221617,0.0663603,273,6
1000.0,2.3785012,0.0834691,273,6
2000.0,2.5226964,0.0915397,273,6
5000.0,2.775211,0.0813282,273,6
10000.0,2.9381379,0.096315,273,6
20000.0,3.1552369,0.0654034,273,6
50000.0,3.2742979,0.0444618,273,6
100000.0,3.4485913,0.0369591,273,6
1000000.0,3.5965645,0.0589819,273,6
100.0,1.6146332,0.0915611,298,6
200.0,1.7795699,0.0736924,298,6
500.0,1.9643812,0.0601016,298,6
1000.0,2.0790228,0.0584509,298,6
2000.0,2.1988547,0.0631171,298,6
5000.0,2.3992258,0.0675776,298,6
10000.0,2.5655176,0.07322249999999998,298,6
20000.0,2.7908491,0.0841726,298,6
50000.0,2.9909522,0.0609363,298,6
100000.0,3.2170225,0.0867253,298,6
1000000.0,3.5368349,0.0416262,298,6
100.0,0.7556056,0.1005155,323,6
200.0,1.065429,0.1072582,323,6
500.0,1.5337075,0.0819251,323,6
1000.0,1.7984251,0.0708044,323,6
2000.0,1.9445358,0.0740784,323,6
5000.0,2.1209501,0.0657466,323,6
10000.0,2.2347878,0.070164,323,6
20000.0,2.4501202,0.07831349999999998,323,6
50000.0,2.6738364,0.076583,323,6
100000.0,2.8922784,0.07373599999999998,323,6
1000000.0,3.5060091,0.0602908,323,6
100.0,2.0351789,0.0617525,273,2
200.0,2.1794244,0.0613092,273,2
500.0,2.409959,0.0737999,273,2
1000.0,2.554913,0.07607369999999998,273,2
2000.0,2.8095072,0.0658875,273,2
5000.0,3.0606074,0.08977939999999998,273,2
10000.0,3.2711111,0.0767746,273,2
20000.0,3.3402519,0.0684777,273,2
