Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002679,0.0046552,273,5
200.0,0.0005357,0.0065726,273,5
500.0,0.0014286,0.0107349,273,5
1000.0,0.0029546,0.0156715,273,5
2000.0,0.0057063,0.0212534,273,5
5000.0,0.0141887,0.0340187,273,5
10000.0,0.0287994,0.047892,273,5
20000.0,0.0577206,0.0683302,273,5
50000.0,0.145783,0.1105769,273,5
100000.0,0.2892578,0.1507456,273,5
100.0,0.0002597,0.0045844,298,5
200.0,0.0004223,0.0058395,298,5
500.0,0.001177,0.0097031,298,5
1000.0,0.0021808,0.0132751,298,5
2000.0,0.0041072,0.0179752,298,5
5000.0,0.0111179,0.0300242,298,5
10000.0,0.0210963,0.0413217,298,5
20000.0,0.0425904,0.058791,298,5
50000.0,0.1070401,0.0922686,298,5
100000.0,0.2137325,0.1312479,298,5
100.0,0.0002193,0.0042131,323,5
200.0,0.0003084,0.0049942,323,5
500.0,0.0010146,0.009018300000000002,323,5
1000.0,0.001673,0.0115324,323,5
2000.0,0.0034903,0.0169005,323,5
5000.0,0.0083525,0.0261153,323,5
10000.0,0.016981,0.0366651,323,5
20000.0,0.0344002,0.0532269,323,5
50000.0,0.08276999999999998,0.0814267,323,5
100000.0,0.1635026,0.1144912,323,5
100.0,0.000349,0.0053113,273,1
200.0,0.0005114,0.0064224,273,1
500.0,0.0014611,0.0109132,273,1
1000.0,0.0027598,0.0150646,273,1
2000.0,0.0058605,0.0218992,273,1
5000.0,0.0137422,0.0332541,273,1
10000.0,0.0278579,0.0474148,273,1
20000.0,0.0554235,0.0670132,273,1
50000.0,0.1403283,0.1060159,273,1
100000.0,0.2758918,0.1476444,273,1
100.0,0.0002516,0.0045124,298,1
200.0,0.0004708,0.0062698,298,1
500.0,0.0008036,0.008198699999999998,298,1
1000.0,0.0019968,0.0125736,298,1
2000.0,0.0042657,0.0184729,298,1
5000.0,0.0106902,0.0293065,298,1
10000.0,0.0203739,0.0412296,298,1
20000.0,0.0419491,0.0576667,298,1
50000.0,0.1043858,0.091813,298,1
100000.0,0.2086661,0.1303243,298,1
100.0,0.0002355,0.0043659,323,1
200.0,0.0002922,0.0048615,323,1
500.0,0.0009822,0.0088746,323,1
1000.0,0.0016802,0.0116138,323,1
2000.0,0.0033605,0.0166521,323,1
5000.0,0.0085798,0.0260921,323,1
10000.0,0.0160637,0.036313,323,1
20000.0,0.0327119,0.0508334,323,1
50000.0,0.0808783,0.0809058,323,1
100000.0,0.1619604,0.1148871,323,1
100.0,0.0001948,0.0039718,273,6
200.0,0.0005276,0.0066231,273,6
500.0,0.001275,0.0101581,273,6
1000.0,0.0030845,0.0158556,273,6
2000.0,0.0058524,0.0219764,273,6
5000.0,0.015528,0.0355214,273,6
10000.0,0.03078,0.050261,273,6
20000.0,0.0624529,0.0706711,273,6
50000.0,0.1523803,0.112909,273,6
