Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0055701,0.0142682,273,5
200.0,0.0111439,0.0201017,273,5
500.0,0.027919,0.0320903,273,5
1000.0,0.0560821,0.0454825,273,5
2000.0,0.1134335,0.0560323,273,5
5000.0,0.2901438,0.0904501,273,5
10000.0,0.5994773,0.1309109,273,5
20000.0,1.2535288,0.1931933,273,5
50000.0,3.4657152,0.3128001,273,5
100000.0,5.985761,0.2966176,273,5
1000000.0,10.2302113,0.1519583,273,5
100.0,0.0028612,0.0101717,298,5
200.0,0.0054323,0.0140056,298,5
500.0,0.0132798,0.0218216,298,5
1000.0,0.0264255,0.0309009,298,5
2000.0,0.0526951,0.0444377,298,5
5000.0,0.1354348,0.060003,298,5
10000.0,0.2744524,0.0909867,298,5
20000.0,0.5510225,0.1205206,298,5
50000.0,1.4192169,0.2092031,298,5
100000.0,2.8587683,0.2746487,298,5
1000000.0,8.7682894,0.2016245,298,5
100.0,0.0013599,0.0070031,323,5
200.0,0.002727,0.0098878,323,5
500.0,0.0071875,0.0160595,323,5
1000.0,0.0140341,0.0225954,323,5
2000.0,0.0292178,0.0327611,323,5
5000.0,0.0718384,0.0500099,323,5
10000.0,0.1458715,0.0645583,323,5
20000.0,0.2862455,0.0918121,323,5
50000.0,0.7154964,0.1335817,323,5
100000.0,1.4226173,0.2076442,323,5
1000000.0,7.1359591,0.2410605,323,5
100.0,0.0075646,0.0165025,273,1
200.0,0.0140486,0.0227141,273,1
500.0,0.0362965,0.0356918,273,1
1000.0,0.0732386,0.0519779,273,1
2000.0,0.1481743,0.0662162,273,1
5000.0,0.3829939,0.1049651,273,1
10000.0,0.8015373999999998,0.1466254,273,1
20000.0,1.7258523,0.2356743,273,1
50000.0,4.6215521,0.3220166,273,1
100000.0,7.1523579,0.286712,273,1
1000000.0,11.096394,0.1796684,273,1
100.0,0.0034016,0.0111538,298,1
200.0,0.0066943,0.0154844,298,1
500.0,0.0167793,0.024798,298,1
1000.0,0.0347444,0.0360227,298,1
2000.0,0.06711,0.0493253,298,1
5000.0,0.1715718,0.0708182,298,1
10000.0,0.3528514,0.0987116,298,1
20000.0,0.6978008,0.1430046,298,1
50000.0,1.8495098,0.2256799,298,1
100000.0,3.7155069,0.3002659,298,1
1000000.0,9.5933466,0.1913661,298,1
100.0,0.0017343,0.007889999999999998,323,1
200.0,0.003572,0.0112942,323,1
500.0,0.008743199999999998,0.0180072,323,1
1000.0,0.0169679,0.0246853,323,1
2000.0,0.0353387,0.0357735,323,1
5000.0,0.089174,0.0572814,323,1
10000.0,0.1749044,0.0724031,323,1
20000.0,0.3557128,0.1000658,323,1
50000.0,0.8898597999999999,0.1582406,323,1
100000.0,1.8170956,0.2289652,323,1
1000000.0,7.944366999999998,0.2301496,323,1
100.0,0.0075973,0.0166423,273,6
200.0,0.0155173,0.0236523,273,6
500.0,0.0389293,0.0375099,273,6
1000.0,0.0778441,0.0531425,273,6
2000.0,0.1560363,0.0687142,273,6
5000.0,0.3996902,0.1047194,273,6
10000.0,0.8182572999999999,0.1511529,273,6
20000.0,1.7732538,0.2256897,273,6
50000.0,4.6064514,0.3142697,273,6
100000.0,7.0791708,0.2766792,273,6
1000000.0,10.7188192,0.1443649,273,6
100.0,0.0035901,0.0115248,298,6
200.0,0.0070606,0.0160462,298,6
500.0,0.0173668,0.0251598,298,6
1000.0,0.0342077,0.0353547,298,6
2000.0,0.0690719,0.050228,298,6
5000.0,0.1797638,0.07352549999999998,298,6
10000.0,0.360277,0.103378,298,6
20000.0,0.7181848,0.1398103,298,6
50000.0,1.870273,0.2436468,298,6
100000.0,3.7317206,0.2945679,298,6
1000000.0,9.3798447,0.1820225,298,6
100.0,0.001893,0.008259499999999998,323,6
200.0,0.0038984,0.011848,323,6
500.0,0.0090306,0.0182131,323,6
1000.0,0.0175844,0.025539,323,6
2000.0,0.0368115,0.0373513,323,6
5000.0,0.092734,0.0578944,323,6
10000.0,0.1828099,0.0736725,323,6
20000.0,0.3607269,0.100642,323,6
50000.0,0.8834408999999999,0.1575049,323,6
100000.0,1.8309365,0.2326113,323,6
1000000.0,7.7711771,0.2238265,323,6
100.0,0.0130042,0.0217525,273,2
200.0,0.0267192,0.0311727,273,2
500.0,0.0653766,0.0426595,273,2
1000.0,0.1338718,0.059432,273,2
2000.0,0.2705505,0.08337799999999998,273,2
5000.0,0.7086373,0.1243192,273,2
10000.0,1.4307724,0.2030267,273,2
20000.0,3.1822062,0.2931391,273,2
50000.0,6.5671373,0.2785502,273,2
100000.0,8.461683199999998,0.236842,273,2
1000000.0,11.615937,0.1456448,273,2
100.0,0.0053743,0.0142234,298,2
200.0,0.0110279,0.0198368,298,2
500.0,0.0279812,0.0320035,298,2
1000.0,0.0571592,0.0392437,298,2
2000.0,0.1122549,0.0530244,298,2
5000.0,0.2834749,0.08493879999999998,298,2
10000.0,0.5790396,0.1220817,298,2
20000.0,1.1489376,0.1761299,298,2
50000.0,3.0076111,0.2786009,298,2
100000.0,5.3539665,0.3101682,298,2
1000000.0,10.2533864,0.1631257,298,2
