Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0013807,0.0063006,273,5
200.0,0.0030713,0.009118200000000002,273,5
500.0,0.007610699999999998,0.0148338,273,5
1000.0,0.0150523,0.0205139,273,5
2000.0,0.0312373,0.0294827,273,5
5000.0,0.0755234,0.0411941,273,5
10000.0,0.1491618,0.0551836,273,5
20000.0,0.2855218,0.0762303,273,5
50000.0,0.6145768,0.1026249,273,5
100000.0,1.017225,0.1250216,273,5
100.0,0.0007917999999999998,0.0046735,298,5
200.0,0.00133,0.0060808,298,5
500.0,0.0037993,0.0103788,298,5
1000.0,0.0076276,0.0146636,298,5
2000.0,0.014884,0.0205653,298,5
5000.0,0.0362923,0.0323444,298,5
10000.0,0.0722267,0.03899,298,5
20000.0,0.1412893,0.0546955,298,5
50000.0,0.3259965,0.0780836,298,5
100000.0,0.5967958,0.099743,298,5
100.0,0.0004565,0.0035572,323,5
200.0,0.0008030999999999998,0.0047391,323,5
500.0,0.0020485,0.007603399999999998,323,5
1000.0,0.0039251,0.0104558,323,5
2000.0,0.008005099999999998,0.0149203,323,5
5000.0,0.0205271,0.0241994,323,5
10000.0,0.0396285,0.0331324,323,5
20000.0,0.0782313,0.0410538,323,5
50000.0,0.1852879,0.0618386,323,5
100000.0,0.3557404,0.08394809999999998,323,5
100.0,0.002443,0.008262399999999998,273,1
200.0,0.0051283,0.0120365,273,1
500.0,0.0117386,0.0179771,273,1
1000.0,0.0245762,0.0260128,273,1
2000.0,0.0488086,0.0317714,273,1
5000.0,0.1197201,0.0491679,273,1
10000.0,0.2327778,0.066298,273,1
20000.0,0.4410825,0.08985849999999998,273,1
50000.0,0.8981734,0.123147,273,1
100000.0,1.4451634,0.1347312,273,1
100.0,0.0011243,0.005643,298,1
200.0,0.0021358,0.0077605,298,1
500.0,0.0057228,0.012697,298,1
1000.0,0.0113357,0.0179242,298,1
2000.0,0.0225869,0.0249307,298,1
5000.0,0.0560868,0.0338779,298,1
10000.0,0.1107703,0.0468127,298,1
20000.0,0.2171932,0.0665199,298,1
50000.0,0.4753791,0.0946919,298,1
100000.0,0.8426643,0.115302,298,1
100.0,0.0006875,0.0044556,323,1
200.0,0.0011756,0.0058008,323,1
500.0,0.0030234,0.0092078,323,1
1000.0,0.0056862,0.0125658,323,1
2000.0,0.011826,0.0183423,323,1
5000.0,0.0287154,0.02844,323,1
10000.0,0.0570476,0.0394219,323,1
20000.0,0.1124272,0.0497103,323,1
50000.0,0.2748041,0.07226299999999998,323,1
100000.0,0.486681,0.0939345,323,1
100.0,0.001747,0.0069909,273,6
200.0,0.0033644,0.0097341,273,6
500.0,0.0084842,0.0155419,273,6
1000.0,0.0164442,0.0214963,273,6
2000.0,0.0324292,0.029565,273,6
5000.0,0.0793978,0.0411716,273,6
10000.0,0.1577728,0.0567136,273,6
20000.0,0.2905186,0.0719822,273,6
50000.0,0.6334124,0.1010279,273,6
100000.0,1.0760628,0.12798,273,6
100.0,0.0007917999999999998,0.0047242,298,6
200.0,0.0015582,0.0065866,298,6
500.0,0.0040491,0.0107462,298,6
1000.0,0.0077121,0.0147813,298,6
2000.0,0.0154608,0.020977,298,6
5000.0,0.0395608,0.0326805,298,6
10000.0,0.07656319999999998,0.0414524,298,6
20000.0,0.148356,0.0545864,298,6
50000.0,0.3455572,0.08052819999999998,298,6
100000.0,0.6039692,0.0970086,298,6
100.0,0.0004452,0.0035363,323,6
200.0,0.0008256,0.0047853,323,6
500.0,0.0020879,0.007571699999999998,323,6
1000.0,0.0040913,0.0107191,323,6
2000.0,0.0082587,0.0152884,323,6
5000.0,0.0202425,0.0240697,323,6
10000.0,0.0401892,0.0333727,323,6
20000.0,0.0822127,0.0423491,323,6
50000.0,0.196674,0.0623135,323,6
100000.0,0.3667157,0.0829496,323,6
100.0,0.0031615,0.0093628,273,2
200.0,0.0060919,0.0131095,273,2
500.0,0.0155764,0.0209198,273,2
1000.0,0.0288084,0.0281053,273,2
2000.0,0.059623,0.0337173,273,2
5000.0,0.1468543,0.0535182,273,2
10000.0,0.27847,0.0711662,273,2
20000.0,0.5117003,0.0911886,273,2
50000.0,1.0039829,0.1193048,273,2
100000.0,1.5515963,0.1306729,273,2
100.0,0.0013046,0.0061058,298,2
200.0,0.0025923,0.008654399999999998,298,2
500.0,0.0068978,0.0138692,298,2
1000.0,0.0135842,0.0195193,298,2
2000.0,0.0269177,0.0274681,298,2
5000.0,0.0666561,0.0377915,298,2
10000.0,0.1289306,0.0493994,298,2
20000.0,0.2404946,0.0677813,298,2
50000.0,0.5274034,0.0911334,298,2
100000.0,0.9367717,0.1146808,298,2
100.0,0.000603,0.0040776,323,2
200.0,0.0013412,0.0061433,323,2
500.0,0.0033604,0.0099,323,2
1000.0,0.0067344,0.0138235,323,2
2000.0,0.0132799,0.0192345,323,2
5000.0,0.0330265,0.0301652,323,2
10000.0,0.0655741,0.0377032,323,2
20000.0,0.12846,0.0506793,323,2
50000.0,0.3052026,0.0774466,323,2
100000.0,0.5451217,0.095941,323,2
100.0,0.001375,0.0062002,273,8
200.0,0.0024683,0.008288399999999998,273,8
500.0,0.0065315,0.0135388,273,8
1000.0,0.0126826,0.0189042,273,8
2000.0,0.0262217,0.0269116,273,8
5000.0,0.063689,0.0358116,273,8
10000.0,0.1255304,0.0533408,273,8
20000.0,0.2418199,0.0701994,273,8
50000.0,0.5374734,0.1011147,273,8
100000.0,0.912477,0.1236882,273,8
100.0,0.0007044,0.0045237,298,8
200.0,0.0012201,0.0058447,298,8
500.0,0.0031164,0.0093354,298,8
1000.0,0.0065709,0.01359,298,8
2000.0,0.0126121,0.0188652,298,8
5000.0,0.0311837,0.0294464,298,8
10000.0,0.0615532,0.0413645,298,8
20000.0,0.123822,0.0520635,298,8
50000.0,0.2930827,0.0781768,298,8
100000.0,0.513826,0.0998477,298,8
100.0,0.0004227,0.003539,323,8
200.0,0.0007072,0.0044614,323,8
500.0,0.0018127,0.0071169,323,8
1000.0,0.003432,0.0099048,323,8
2000.0,0.0070958,0.0142077,323,8
5000.0,0.0171712,0.0218811,323,8
10000.0,0.0348524,0.0316612,323,8
20000.0,0.0673887,0.0430241,323,8
50000.0,0.1665403,0.0667158,323,8
100000.0,0.3170602,0.0903755,323,8
100.0,0.0018681,0.0073317,273,4
200.0,0.0033165,0.0095822,273,4
500.0,0.008456,0.0154754,273,4
1000.0,0.0173966,0.0219424,273,4
2000.0,0.0339761,0.0303484,273,4
5000.0,0.0843147,0.042324,273,4
10000.0,0.1637435,0.0581843,273,4
20000.0,0.3177191,0.0798904,273,4
50000.0,0.6710443,0.1110357,273,4
100000.0,1.1552864,0.1324998,273,4
100.0,0.0008425,0.0048809,298,4
200.0,0.001685,0.0068803,298,4
500.0,0.004004,0.0105771,298,4
1000.0,0.0082813,0.0151457,298,4
2000.0,0.0168274,0.0219297,298,4
5000.0,0.0413247,0.0343564,298,4
10000.0,0.0823705,0.0417942,298,4
20000.0,0.1611484,0.0582031,298,4
50000.0,0.3750026,0.0832493,298,4
100000.0,0.6624245,0.1022992,298,4
100.0,0.0004452,0.0035137,323,4
200.0,0.0009101,0.0051075,323,4
500.0,0.0022948,0.0079503,323,4
1000.0,0.0045703,0.0113653,323,4
2000.0,0.0089942,0.0160217,323,4
5000.0,0.0228376,0.0249681,323,4
10000.0,0.0451427,0.0352787,323,4
20000.0,0.08776639999999998,0.0493498,323,4
50000.0,0.215801,0.0744509,323,4
100000.0,0.3952731,0.0992331,323,4
100.0,0.0014709,0.0064792,273,7
200.0,0.0029304,0.0090336,273,7
500.0,0.0074247,0.0143197,273,7
1000.0,0.0146381,0.0203154,273,7
2000.0,0.028211,0.0278056,273,7
5000.0,0.0707618,0.0387764,273,7
10000.0,0.1401532,0.0526892,273,7
20000.0,0.2666946,0.07305259999999998,273,7
50000.0,0.5732297,0.0984206,273,7
100000.0,0.9864036,0.1264124,273,7
100.0,0.0006622,0.0043422,298,7
200.0,0.0013807,0.0062753,298,7
500.0,0.0035109,0.0098691,298,7
1000.0,0.0070612,0.0138212,298,7
2000.0,0.0136519,0.0196304,298,7
5000.0,0.0342832,0.0308092,298,7
10000.0,0.0684594,0.0382821,298,7
20000.0,0.1314158,0.0507846,298,7
50000.0,0.3079837,0.0774973,298,7
100000.0,0.5721509,0.1021443,298,7
100.0,0.0003522,0.0031306,323,7
200.0,0.0008143,0.0047372,323,7
500.0,0.0016765,0.0068881,323,7
