Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0137547,0.0342457,273,5
200.0,0.0284118,0.0400603,273,5
500.0,0.0662437,0.0635046,273,5
1000.0,0.1380196,0.0884895,273,5
2000.0,0.2705492,0.122844,273,5
5000.0,0.6868597,0.1980296,273,5
10000.0,1.3946425,0.2752203,273,5
20000.0,2.6509028,0.3892861,273,5
50000.0,6.46718,0.5195316,273,5
100000.0,9.4925402,0.4378287,273,5
1000000.0,14.4167398,0.2688703,273,5
100.0,0.0051275,0.0206751,298,5
200.0,0.0107946,0.0298896,298,5
500.0,0.0271604,0.047735,298,5
1000.0,0.0526913,0.0674784,298,5
2000.0,0.1119691,0.0831853,298,5
5000.0,0.2633354,0.1207259,298,5
10000.0,0.5729762,0.1802545,298,5
20000.0,1.1112484,0.2532498,298,5
50000.0,2.691473,0.3959568,298,5
100000.0,5.0324747,0.48284,298,5
1000000.0,12.2910995,0.3402879,298,5
100.0,0.0024569,0.0082131,323,5
200.0,0.0051668,0.0120654,323,5
500.0,0.0131897,0.0190669,323,5
1000.0,0.0249935,0.0267188,323,5
2000.0,0.0511171,0.033034,323,5
5000.0,0.1287964,0.0509826,323,5
10000.0,0.2529854,0.0657523,323,5
20000.0,0.5168158,0.0949922,323,5
50000.0,1.2694142,0.1597037,323,5
100000.0,2.5018438,0.2266767,323,5
1000000.0,10.2508674,0.2201689,323,5
100.0,0.0427232,0.0497994,273,1
200.0,0.08216579999999998,0.0675042,273,1
500.0,0.2237527,0.1078094,273,1
1000.0,0.4226861,0.1465283,273,1
2000.0,0.8176603999999998,0.2028184,273,1
5000.0,1.7959786,0.29106,273,1
10000.0,3.1152249,0.3630232,273,1
20000.0,5.0017043,0.431193,273,1
50000.0,8.5071607,0.4844376,273,1
100000.0,11.0837204,0.4342592,273,1
1000000.0,15.1040179,0.2190882,273,1
100.0,0.0148089,0.0294279,298,1
200.0,0.0303178,0.0427453,298,1
500.0,0.0717338,0.0649901,298,1
1000.0,0.1425736,0.08710099999999998,298,1
2000.0,0.3072088,0.1264825,298,1
5000.0,0.6749186,0.1905881,298,1
10000.0,1.3415398,0.2414938,298,1
20000.0,2.3084297,0.3265051,298,1
50000.0,4.5993674,0.4169212,298,1
100000.0,7.0813618,0.4801377,298,1
1000000.0,13.2981527,0.3055637,298,1
100.0,0.0059399,0.0129143,323,1
200.0,0.0123829,0.0163844,323,1
500.0,0.03027,0.0239019,323,1
1000.0,0.0617599,0.0335471,323,1
2000.0,0.1212204,0.0488794,323,1
5000.0,0.2963985,0.0718732,323,1
10000.0,0.5656157,0.0913365,323,1
20000.0,1.0726483,0.1273055,323,1
50000.0,2.4431611,0.1960869,323,1
100000.0,4.1342169,0.2445562,323,1
1000000.0,11.3470102,0.2155653,323,1
100.0,0.0134764,0.0275814,273,6
200.0,0.0272986,0.0375064,273,6
500.0,0.0701399,0.0565185,273,6
1000.0,0.1537562,0.08398949999999998,273,6
2000.0,0.2677746,0.107266,273,6
5000.0,0.6905446,0.1790242,273,6
10000.0,1.3162295,0.256989,273,6
20000.0,2.4704799,0.3694413,273,6
50000.0,6.1555643,0.5492403,273,6
100000.0,9.416341,0.4404038,273,6
1000000.0,14.1005015,0.2476564,273,6
100.0,0.0053383,0.0212836,298,6
200.0,0.0102886,0.0293251,298,6
500.0,0.0260336,0.0387982,298,6
1000.0,0.0510131,0.0545073,298,6
2000.0,0.0980373,0.0777762,298,6
5000.0,0.2590714,0.1140286,298,6
10000.0,0.5208499,0.1600683,298,6
20000.0,1.0224972,0.229662,298,6
50000.0,2.4545548,0.378272,298,6
100000.0,4.8445484,0.5050819,298,6
1000000.0,12.4428377,0.3546051,298,6
100.0,0.0021252,0.0132714,323,6
200.0,0.0052118,0.020757,323,6
500.0,0.0120006,0.03203,323,6
1000.0,0.0244819,0.0451656,323,6
2000.0,0.0473446,0.0638948,323,6
5000.0,0.1192977,0.0855849,323,6
10000.0,0.2347835,0.1160249,323,6
20000.0,0.492008,0.1664027,323,6
50000.0,1.211461,0.2461028,323,6
100000.0,2.3568961,0.3790936,323,6
1000000.0,10.2090455,0.4100852,323,6
100.0,0.1076175,0.0781734,273,2
200.0,0.227328,0.1183659,273,2
500.0,0.5160598,0.1701584,273,2
1000.0,0.9546866,0.2120324,273,2
2000.0,1.4702417,0.195711,273,2
5000.0,2.559012,0.2622453,273,2
10000.0,3.695041,0.3281976,273,2
20000.0,5.3521678,0.4198112,273,2
50000.0,8.738341699999998,0.4646485,273,2
100000.0,11.3076102,0.3563213,273,2
1000000.0,15.0010639,0.2444643,273,2
100.0,0.0329152,0.0435147,298,2
200.0,0.0624402,0.0603753,298,2
500.0,0.160798,0.0941803,298,2
1000.0,0.3076152,0.1329389,298,2
2000.0,0.6052758,0.1832888,298,2
5000.0,1.2761178,0.2587453,298,2
10000.0,1.9889803,0.2692047,298,2
20000.0,2.9715051,0.2906506,298,2
50000.0,5.0859737,0.404732,298,2
100000.0,7.4055136,0.4341858,298,2
1000000.0,13.4699864,0.3006134,298,2
100.0,0.0111994,0.0263011,323,2
200.0,0.0229639,0.0366034,323,2
500.0,0.0528094,0.0551415,323,2
1000.0,0.1172311,0.0820479,323,2
2000.0,0.2216141,0.1050537,323,2
5000.0,0.5114833,0.1550474,323,2
10000.0,0.9262309,0.2007001,323,2
20000.0,1.553287,0.2442517,323,2
50000.0,3.0710832,0.3163132,323,2
100000.0,4.6131964,0.3734839,323,2
1000000.0,11.4038112,0.32531,323,2
100.0,0.0049166,0.0118237,273,8
200.0,0.0099944,0.0166951,273,8
500.0,0.024808,0.0264855,273,8
1000.0,0.0480895,0.0366438,273,8
2000.0,0.1006769,0.0540023,273,8
5000.0,0.2475938,0.0833673,273,8
10000.0,0.4968452,0.1197026,273,8
