Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0303836,0.0306875,273,5
200.0,0.0583875,0.044984,273,5
500.0,0.1495653,0.0697095,273,5
1000.0,0.2919754,0.0955152,273,5
2000.0,0.5518041,0.1225911,273,5
5000.0,1.0874622,0.1609205,273,5
10000.0,1.7459409,0.1935012,273,5
20000.0,2.4750426,0.1800631,273,5
50000.0,3.4050746,0.1609911,273,5
100000.0,3.9195635,0.146746,273,5
1000000.0,5.2159323,0.1239099,273,5
100.0,0.0101354,0.0214022,298,5
200.0,0.0206756,0.0304369,298,5
500.0,0.0515213,0.0411919,298,5
1000.0,0.1007698,0.0576181,298,5
2000.0,0.1902013,0.07670169999999998,298,5
5000.0,0.4655016,0.1161522,298,5
10000.0,0.7885195,0.1390108,298,5
20000.0,1.3402789,0.1772791,298,5
50000.0,2.3091295,0.1784221,298,5
100000.0,3.0024295,0.1858921,298,5
1000000.0,4.6205746,0.1315328,298,5
100.0,0.0039618,0.0108486,323,5
200.0,0.0083224,0.0157927,323,5
500.0,0.0199348,0.024292,323,5
1000.0,0.0401816,0.0297746,323,5
2000.0,0.0815628,0.0420373,323,5
5000.0,0.1937321,0.061401,323,5
10000.0,0.3710664,0.086471,323,5
20000.0,0.6531194,0.1127954,323,5
50000.0,1.3441499,0.1368047,323,5
100000.0,2.0453355,0.1579201,323,5
1000000.0,4.0872553,0.1145022,323,5
100.0,0.0896031,0.0535868,273,1
200.0,0.1810916,0.07258059999999998,273,1
500.0,0.402233,0.1036834,273,1
1000.0,0.7218247,0.1298235,273,1
2000.0,1.2195424,0.1508438,273,1
5000.0,2.0869313,0.1699821,273,1
10000.0,2.7465428,0.1726133,273,1
20000.0,3.443113,0.1610679,273,1
50000.0,4.1210892,0.1410759,273,1
100000.0,4.5399894,0.1219452,273,1
1000000.0,5.705095,0.1349375,273,1
100.0,0.0268927,0.0287607,298,1
200.0,0.051932,0.0402612,298,1
500.0,0.1305587,0.0618553,298,1
1000.0,0.2549603,0.0901576,298,1
2000.0,0.4645097,0.1177618,298,1
5000.0,1.0000593,0.1540687,298,1
10000.0,1.5557102,0.1664234,298,1
20000.0,2.291,0.1812641,298,1
50000.0,3.2188015,0.1623558,298,1
100000.0,3.7813176,0.1496807,298,1
1000000.0,5.1446535,0.1302087,298,1
100.0,0.0090317,0.0163965,323,1
200.0,0.019446,0.0202471,323,1
500.0,0.0475833,0.0320943,323,1
1000.0,0.0925124,0.043193,323,1
2000.0,0.1882909,0.0613035,323,1
5000.0,0.4503269,0.0866774,323,1
10000.0,0.7578211999999999,0.1145611,323,1
20000.0,1.2714663,0.141815,323,1
50000.0,2.1908011,0.1486003,323,1
100000.0,2.9072067,0.1444224,323,1
1000000.0,4.6425698,0.1064281,323,1
100.0,0.0629086,0.0428148,273,6
200.0,0.1221868,0.0571648,273,6
500.0,0.3095306,0.09410180000000001,273,6
1000.0,0.5339057,0.1110447,273,6
2000.0,0.908742,0.1267582,273,6
5000.0,1.6293879,0.1485233,273,6
10000.0,2.2973585,0.1676218,273,6
20000.0,2.9110898,0.1687291,273,6
50000.0,3.7243623,0.1473497,273,6
100000.0,4.2970771,0.1538218,273,6
1000000.0,5.4834921,0.1016442,273,6
100.0,0.0175311,0.0247662,298,6
200.0,0.0378288,0.0331454,298,6
500.0,0.0899902,0.05157,298,6
1000.0,0.1659268,0.0694085,298,6
2000.0,0.3387814,0.0899906,298,6
5000.0,0.7191602,0.1209378,298,6
10000.0,1.1947915,0.1462405,298,6
20000.0,1.8555747,0.166611,298,6
50000.0,2.7099193,0.1681702,298,6
100000.0,3.34022,0.1700326,298,6
1000000.0,4.9531852,0.1195862,298,6
100.0,0.0062576,0.0166965,323,6
200.0,0.0116199,0.0228581,323,6
500.0,0.03239,0.031483,323,6
1000.0,0.0607402,0.0424937,323,6
2000.0,0.1196945,0.0585808,323,6
5000.0,0.3051569,0.0893853,323,6
10000.0,0.5400583,0.1146976,323,6
20000.0,0.9789095,0.1358261,323,6
50000.0,1.7122267,0.1692296,323,6
100000.0,2.3979403,0.1765444,323,6
1000000.0,4.3351928,0.1468343,323,6
100.0,0.5241336,0.1170969,273,2
200.0,0.8699999,0.1271372,273,2
500.0,1.5240613,0.1492326,273,2
1000.0,2.0712985,0.1459223,273,2
2000.0,2.5598814,0.1361359,273,2
5000.0,3.3311506,0.1472605,273,2
10000.0,3.8437539,0.1402365,273,2
20000.0,4.2541709,0.1299977,273,2
50000.0,4.6841857,0.1185566,273,2
100000.0,5.0454309,0.1192444,273,2
1000000.0,6.0714822,0.1048155,273,2
100.0,0.1480133,0.0698591,298,2
200.0,0.2644374,0.0817533,298,2
500.0,0.5864565,0.1259581,298,2
1000.0,0.9565622,0.1321658,298,2
2000.0,1.475218,0.1606197,298,2
5000.0,2.232134,0.1665209,298,2
10000.0,2.7936173,0.1591521,298,2
20000.0,3.3476745,0.1448234,298,2
50000.0,3.9976215,0.1250968,298,2
100000.0,4.4102018,0.1133671,298,2
1000000.0,5.6205539,0.115217,298,2
100.0,0.0428088,0.0360593,323,2
200.0,0.08361699999999998,0.0495072,323,2
500.0,0.1993874,0.0773007,323,2
1000.0,0.3762683,0.1032777,323,2
2000.0,0.6573711,0.1330883,323,2
5000.0,1.242143,0.1653741,323,2
10000.0,1.825458,0.1446476,323,2
20000.0,2.4145035,0.1565966,323,2
50000.0,3.2203375,0.1558976,323,2
100000.0,3.7630353,0.1376721,323,2
1000000.0,4.990832,0.1218004,323,2
100.0,0.0079775,0.0154108,273,8
200.0,0.016198,0.0220711,273,8
500.0,0.0401396,0.0344761,273,8
1000.0,0.0805671,0.0426792,273,8
2000.0,0.1597817,0.0598328,273,8
5000.0,0.386055,0.0934818,273,8
10000.0,0.715418,0.1175995,273,8
20000.0,1.3104559,0.1543979,273,8
50000.0,2.4352993,0.1749094,273,8
100000.0,3.2913967,0.1444136,273,8
1000000.0,4.8844281,0.0911054,273,8
100.0,0.0032526,0.009787100000000002,298,8
