Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000206,0.0030632,273,5
200.0,0.0004028,0.0042744,273,5
500.0,0.0008924999999999998,0.0064595,273,5
1000.0,0.001795,0.009071,273,5
2000.0,0.0037319,0.0129849,273,5
5000.0,0.0090848,0.0204113,273,5
10000.0,0.0183344,0.0289935,273,5
20000.0,0.0365177,0.04094,273,5
50000.0,0.0901432,0.0633455,273,5
100000.0,0.1779294,0.0891427,273,5
100.0,0.0001373,0.002503,298,5
200.0,0.0002838,0.0035925,298,5
500.0,0.000659,0.0054524,298,5
1000.0,0.001254,0.0076102,298,5
2000.0,0.0023799,0.0104462,298,5
5000.0,0.006261,0.0169948,298,5
10000.0,0.0122748,0.0236165,298,5
20000.0,0.0250518,0.0338029,298,5
50000.0,0.0615753,0.052417,298,5
100000.0,0.1204228,0.0738512,298,5
100.0,8.239999999999998e-05,0.00194,323,5
200.0,0.0001968,0.0029947,323,5
500.0,0.0004256,0.0044405,323,5
1000.0,0.000984,0.0066697,323,5
2000.0,0.0017849,0.0090243,323,5
5000.0,0.0047461,0.0147415,323,5
10000.0,0.008842199999999998,0.0200894,323,5
20000.0,0.0185861,0.0292188,323,5
50000.0,0.0453645,0.0457059,323,5
100000.0,0.08880219999999998,0.0629584,323,5
100.0,0.0003433,0.0039487,273,1
200.0,0.0006728,0.0055836,273,1
500.0,0.0014928,0.008206599999999998,273,1
1000.0,0.002865,0.0114767,273,1
2000.0,0.0060138,0.0165355,273,1
5000.0,0.0146043,0.0255017,273,1
10000.0,0.0301332,0.0373027,273,1
20000.0,0.0611496,0.0522977,273,1
50000.0,0.1485651,0.08189309999999998,273,1
100000.0,0.2935009,0.1022595,273,1
100.0,0.0002105,0.0030969,298,1
200.0,0.000389,0.0042511,298,1
500.0,0.0009886,0.0066848,298,1
1000.0,0.0020046,0.0094553,298,1
2000.0,0.0036477,0.0130053,298,1
5000.0,0.0096523,0.0207937,298,1
10000.0,0.0193321,0.0298639,298,1
20000.0,0.0390441,0.0424754,298,1
50000.0,0.0975987,0.0664452,298,1
100000.0,0.1899731,0.08151569999999998,298,1
100.0,0.0001236,0.0023749,323,1
200.0,0.0002197,0.0031632,323,1
500.0,0.000746,0.0058314,323,1
1000.0,0.001392,0.0079126,323,1
2000.0,0.0025264,0.010826,323,1
5000.0,0.0064944,0.0171834,323,1
10000.0,0.0137027,0.0248057,323,1
20000.0,0.0267739,0.0349985,323,1
50000.0,0.0664232,0.0547224,323,1
100000.0,0.1322033,0.0776884,323,1
100.0,0.0002197,0.0031632,273,6
200.0,0.0003112,0.0037612,273,6
500.0,0.0009657,0.006641,273,6
1000.0,0.0018993,0.0093098,273,6
2000.0,0.0040092,0.0135711,273,6
5000.0,0.0093091,0.0206018,273,6
10000.0,0.0187923,0.0291437,273,6
20000.0,0.0377855,0.0413981,273,6
50000.0,0.0932279,0.0650319,273,6
100000.0,0.1817692,0.0907738,273,6
100.0,0.0001007,0.0021443,298,6
200.0,0.0002838,0.0036504,298,6
500.0,0.0005721,0.0050849,298,6
1000.0,0.001135,0.0072053,298,6
2000.0,0.0026408,0.0109814,298,6
5000.0,0.0063067,0.0168042,298,6
10000.0,0.0124121,0.0238803,298,6
20000.0,0.0258127,0.0343683,298,6
50000.0,0.0635936,0.0539003,298,6
100000.0,0.1262078,0.07590249999999998,298,6
100.0,6.87e-05,0.0017712,323,6
200.0,0.0001739,0.0028159,323,6
500.0,0.000357,0.0040263,323,6
1000.0,0.0008832999999999998,0.0063627,323,6
2000.0,0.0019222,0.0094058,323,6
5000.0,0.0044852,0.0143125,323,6
10000.0,0.008888,0.0201109,323,6
20000.0,0.0183573,0.0291627,323,6
50000.0,0.0458543,0.045487,323,6
100000.0,0.0894465,0.0626804,323,6
100.0,0.0003158,0.0037886,273,2
200.0,0.0006957,0.0056368,273,2
500.0,0.0015241,0.008338099999999998,273,2
1000.0,0.0031488,0.01208,273,2
2000.0,0.0061832,0.016943,273,2
5000.0,0.0150483,0.0259662,273,2
10000.0,0.0305359,0.0374186,273,2
20000.0,0.0614334,0.0539769,273,2
50000.0,0.1510457,0.08196199999999998,273,2
100000.0,0.2987916,0.1057584,273,2
100.0,0.0001968,0.0029947,298,2
200.0,0.0004439,0.0044856,298,2
500.0,0.0009474,0.0065483,298,2
1000.0,0.0020641,0.0098443,298,2
2000.0,0.0038673,0.0131822,298,2
5000.0,0.0100734,0.0217891,298,2
10000.0,0.0193107,0.0294893,298,2
20000.0,0.0398908,0.0431746,298,2
50000.0,0.0970724,0.0673379,298,2
100000.0,0.1935772,0.08035359999999998,298,2
100.0,0.0001648,0.0027411,323,2
200.0,0.0003341,0.0038961,323,2
500.0,0.0005812,0.0051656,323,2
1000.0,0.0014646,0.008158399999999998,323,2
2000.0,0.002682,0.01117,323,2
5000.0,0.0070619,0.0178722,323,2
10000.0,0.0138812,0.0250473,323,2
20000.0,0.0270302,0.035297,323,2
50000.0,0.0668477,0.054654,323,2
100000.0,0.1337576,0.07842739999999998,323,2
100.0,0.0001876,0.0029245,273,8
200.0,0.0003388,0.0039234,273,8
500.0,0.0009657,0.0066093,273,8
1000.0,0.0019232,0.0094525,273,8
2000.0,0.0039909,0.0133587,273,8
5000.0,0.0095882,0.0210335,273,8
10000.0,0.0189477,0.0297453,273,8
20000.0,0.0369159,0.0411192,273,8
50000.0,0.0911775,0.0642364,273,8
100000.0,0.1785106,0.08805739999999998,273,8
100.0,0.000119,0.0023306,298,8
200.0,0.00027,0.0035051,298,8
500.0,0.0006362,0.0053972,298,8
1000.0,0.001222,0.0076292,298,8
2000.0,0.0024852,0.0107482,298,8
5000.0,0.0061557,0.0169283,298,8
10000.0,0.0131123,0.0243909,298,8
20000.0,0.02395,0.0328141,298,8
50000.0,0.0632183,0.0534382,298,8
100000.0,0.1235075,0.07558049999999998,298,8
100.0,0.0001236,0.0023749,323,8
200.0,0.0001556,0.0026641,323,8
500.0,0.0004119,0.0043705,323,8
1000.0,0.0009657,0.006641,323,8
2000.0,0.0017803,0.008990299999999998,323,8
5000.0,0.004666,0.0146285,323,8
10000.0,0.0091535,0.0205403,323,8
20000.0,0.01822,0.0291339,323,8
50000.0,0.0455246,0.0457162,323,8
100000.0,0.08981369999999998,0.0635092,323,8
100.0,0.0003661,0.0041282,273,4
200.0,0.0005858,0.0051853,273,4
500.0,0.0015935,0.008439699999999998,273,4
1000.0,0.002984,0.0117176,273,4
2000.0,0.0059452,0.0166045,273,4
5000.0,0.0146226,0.0262203,273,4
10000.0,0.0296709,0.037114,273,4
20000.0,0.0598065,0.0521867,273,4
50000.0,0.145425,0.0794932,273,4
100000.0,0.2898029,0.1013314,273,4
100.0,0.0002197,0.0031632,298,4
200.0,0.0003616,0.0041032,298,4
500.0,0.0009932,0.0067309,298,4
1000.0,0.0016751,0.0087869,298,4
2000.0,0.0039223,0.0134337,298,4
5000.0,0.0097942,0.0212216,298,4
10000.0,0.0200918,0.030223,298,4
20000.0,0.038353,0.0416898,298,4
50000.0,0.0984946,0.065604,298,4
100000.0,0.186497,0.0901962,298,4
100.0,6.41e-05,0.0017113,323,4
200.0,0.0002563,0.0034153,323,4
500.0,0.0006957,0.0056368,323,4
1000.0,0.0012821,0.007662399999999998,323,4
2000.0,0.0026179,0.0110534,323,4
5000.0,0.0069922,0.0179515,323,4
10000.0,0.0129155,0.0242507,323,4
20000.0,0.0269063,0.0354291,323,4
50000.0,0.0662527,0.0551994,323,4
100000.0,0.1323772,0.07729959999999998,323,4
100.0,0.0001785,0.0028526,273,7
200.0,0.0002746,0.0035345,273,7
500.0,0.0008696,0.0063481,273,7
1000.0,0.0019039,0.0093873,273,7
2000.0,0.0036019,0.0128562,273,7
5000.0,0.0089155,0.0202648,273,7
10000.0,0.0176521,0.0283981,273,7
20000.0,0.0362065,0.0405153,273,7
50000.0,0.0879921,0.0628364,273,7
100000.0,0.174863,0.08883739999999998,273,7
100.0,0.000119,0.0023306,298,7
200.0,0.0002517,0.0033848,298,7
500.0,0.0006865,0.0056379,298,7
1000.0,0.0012174,0.0074774,298,7
2000.0,0.0024211,0.0105862,298,7
5000.0,0.0059726,0.0165441,298,7
10000.0,0.012348,0.0236138,298,7
20000.0,0.0247876,0.033359,298,7
50000.0,0.0615021,0.0528766,298,7
100000.0,0.1205876,0.07308489999999998,298,7
100.0,5.49e-05,0.0015845,323,7
200.0,0.0002197,0.0031632,323,7
500.0,0.0005172,0.0048807,323,7
1000.0,0.0008742,0.0062645,323,7
2000.0,0.0018261,0.0090276,323,7
5000.0,0.0043937,0.0143116,323,7
10000.0,0.0088926,0.0202697,323,7
20000.0,0.0178355,0.0283326,323,7
50000.0,0.0443119,0.0447441,323,7
100000.0,0.0878091,0.0636177,323,7
100.0,0.0002746,0.0035932,273,3
200.0,0.000595,0.0051842,273,3
500.0,0.0014874,0.0081671,273,3
1000.0,0.0029611,0.0116247,273,3
2000.0,0.0060001,0.01661,273,3
5000.0,0.0151535,0.0260782,273,3
10000.0,0.0300096,0.0372028,273,3
20000.0,0.0596851,0.0522514,273,3
50000.0,0.1454117,0.0804359,273,3
100000.0,0.2875896,0.1006006,273,3
100.0,0.0001419,0.0025443,298,3
200.0,0.0003524,0.0040006,298,3
500.0,0.0009932,0.0066997,298,3
1000.0,0.0019771,0.0095053,298,3
2000.0,0.0038948,0.0133322,298,3
5000.0,0.0095745,0.0210348,298,3
10000.0,0.0185586,0.0290133,298,3
20000.0,0.0375246,0.0413444,298,3
50000.0,0.093713,0.0647527,298,3
100000.0,0.1879112,0.0917609,298,3
100.0,0.0001281,0.0024184,323,3
200.0,0.0003158,0.0037886,323,3
500.0,0.0006774,0.0056018,323,3
1000.0,0.0012906,0.0076863,323,3
2000.0,0.0027337,0.0110756,323,3
5000.0,0.006618,0.0174331,323,3
10000.0,0.0129888,0.0241249,323,3
20000.0,0.0264672,0.0349714,323,3
50000.0,0.0672367,0.0549025,323,3
100000.0,0.130574,0.07600379999999998,323,3
