Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0015842,0.010461,273,5
200.0,0.0030278,0.0145834,273,5
500.0,0.007590399999999998,0.0228384,273,5
1000.0,0.0148891,0.0323971,273,5
2000.0,0.0298338,0.0458364,273,5
5000.0,0.07454289999999998,0.0710185,273,5
10000.0,0.1461899,0.0984084,273,5
20000.0,0.2831227,0.1184151,273,5
50000.0,0.6503718,0.1770222,273,5
100000.0,1.1399771,0.213693,273,5
100.0,0.0006945,0.0069792,298,5
200.0,0.0016459,0.0107446,298,5
500.0,0.0039445,0.01643,298,5
1000.0,0.0079862,0.0230926,298,5
2000.0,0.0157989,0.0329953,298,5
5000.0,0.0407507,0.0534625,298,5
10000.0,0.0792583,0.0727004,298,5
20000.0,0.1568012,0.1026148,298,5
50000.0,0.3694339,0.135975,298,5
100000.0,0.6876399,0.1790688,298,5
100.0,0.0006111,0.0053243,323,5
200.0,0.0010417,0.0068971,323,5
500.0,0.0025371,0.0108771,323,5
1000.0,0.0048566,0.0147931,323,5
2000.0,0.0096576,0.0210784,323,5
5000.0,0.0236671,0.0330781,323,5
10000.0,0.0477415,0.0461214,323,5
20000.0,0.0935756,0.0655745,323,5
50000.0,0.2258787,0.0887248,323,5
100000.0,0.4393751,0.1188846,323,5
100.0,0.0023264,0.0127254,273,1
200.0,0.005264,0.0189746,273,1
500.0,0.0126113,0.0295141,273,1
1000.0,0.0245907,0.040903,273,1
2000.0,0.0504522,0.0590042,273,1
5000.0,0.1220437,0.0909855,273,1
10000.0,0.2351219,0.1264355,273,1
20000.0,0.4594323,0.1541763,273,1
50000.0,0.9881353,0.2119382,273,1
100000.0,1.6101441,0.2472933,273,1
100.0,0.0012709,0.0094622,298,1
200.0,0.0025764,0.0132355,298,1
500.0,0.0064168,0.021071,298,1
1000.0,0.0127641,0.0294156,298,1
2000.0,0.0257782,0.042197,298,1
5000.0,0.0646469,0.0671767,298,1
10000.0,0.1243146,0.0919896,298,1
20000.0,0.2416776,0.1241893,298,1
50000.0,0.562912,0.1688543,298,1
100000.0,1.01369,0.2037649,298,1
100.0,0.0006759,0.0055531,323,1
200.0,0.0015703,0.008507499999999998,323,1
500.0,0.003676,0.0129711,323,1
1000.0,0.0076529,0.0188615,323,1
2000.0,0.0148132,0.0264031,323,1
5000.0,0.0363386,0.0402873,323,1
10000.0,0.0726162,0.0576721,323,1
20000.0,0.1401134,0.0792275,323,1
50000.0,0.3386074,0.1089086,323,1
100000.0,0.6299689,0.136205,323,1
100.0,0.0014167,0.0099149,273,6
200.0,0.0030031,0.0143291,273,6
500.0,0.007465399999999999,0.022689,273,6
1000.0,0.0142225,0.0316459,273,6
2000.0,0.027556,0.0438085,273,6
5000.0,0.0700914,0.0687902,273,6
10000.0,0.1379602,0.0971692,273,6
20000.0,0.270118,0.1150131,273,6
50000.0,0.6230023,0.1677244,273,6
100000.0,1.1007907,0.2074477,273,6
100.0,0.0007504,0.0071797,298,6
200.0,0.001466,0.010127,298,6
500.0,0.0037292,0.0160202,298,6
1000.0,0.008264,0.0243396,298,6
2000.0,0.0150697,0.0322837,298,6
5000.0,0.038834,0.0513754,298,6
10000.0,0.0773277,0.07229739999999998,298,6
20000.0,0.1522664,0.1021276,298,6
50000.0,0.358242,0.1328254,298,6
100000.0,0.6621267,0.1748911,298,6
100.0,0.0004722,0.0057071,323,6
200.0,0.0009931,0.008361099999999998,323,6
500.0,0.0021956,0.0122698,323,6
1000.0,0.004632,0.0179018,323,6
2000.0,0.0094724,0.0259466,323,6
5000.0,0.0232712,0.039554,323,6
10000.0,0.0461952,0.0556219,323,6
20000.0,0.0907307,0.0798461,323,6
50000.0,0.2167397,0.1197762,323,6
100000.0,0.4159023,0.1449466,323,6
100.0,0.0023403,0.0127607,273,2
200.0,0.0044584,0.0177703,273,2
500.0,0.0121738,0.0290653,273,2
1000.0,0.0239101,0.0407402,273,2
2000.0,0.0459452,0.0569998,273,2
5000.0,0.1135852,0.0867156,273,2
10000.0,0.2226773,0.1189053,273,2
20000.0,0.4339794,0.1510677,273,2
50000.0,0.9655264,0.2007982,273,2
100000.0,1.5764531,0.2332135,273,2
100.0,0.0011186,0.0087976,298,2
200.0,0.0027375,0.0137612,298,2
500.0,0.0058751,0.0202518,298,2
1000.0,0.0119169,0.0289808,298,2
2000.0,0.0253685,0.0420278,298,2
5000.0,0.060508,0.0639931,298,2
10000.0,0.1209603,0.0908207,298,2
20000.0,0.2332539,0.1221978,298,2
50000.0,0.5458354,0.1698441,298,2
100000.0,0.9927316,0.2073749,298,2
100.0,0.0006806,0.006841,323,2
200.0,0.0013195,0.0096824,323,2
500.0,0.0034306,0.0155533,323,2
1000.0,0.0070557,0.0223823,323,2
2000.0,0.014403,0.0317774,323,2
5000.0,0.0345214,0.0488984,323,2
10000.0,0.0710151,0.0696706,323,2
20000.0,0.1375231,0.0963296,323,2
50000.0,0.3245956,0.1266604,323,2
100000.0,0.6124621,0.1631418,323,2
100.0,0.0013056,0.0077476,273,8
200.0,0.0027732,0.0113699,273,8
500.0,0.0071668,0.0184978,273,8
1000.0,0.0138613,0.0256588,273,8
2000.0,0.0284912,0.0359416,273,8
5000.0,0.0714132,0.0574381,273,8
10000.0,0.1384699,0.07745069999999998,273,8
20000.0,0.267347,0.09687150000000001,273,8
50000.0,0.6317754,0.1366765,273,8
100000.0,1.066499,0.1678178,273,8
100.0,0.0006806,0.0056102,298,8
200.0,0.0016343,0.008643299999999998,298,8
500.0,0.0040047,0.0135309,298,8
1000.0,0.007907499999999998,0.0189438,298,8
2000.0,0.0156577,0.027367,298,8
5000.0,0.037908,0.0419587,298,8
10000.0,0.0758346,0.0591037,298,8
20000.0,0.1507293,0.0816473,298,8
50000.0,0.3536262,0.1107632,298,8
100000.0,0.6572005,0.1449457,298,8
100.0,0.0004769,0.00472,323,8
200.0,0.0009398,0.0065618,323,8
500.0,0.0022732,0.0101947,323,8
1000.0,0.0046228,0.0146034,323,8
2000.0,0.0095373,0.0209305,323,8
5000.0,0.0225883,0.0325088,323,8
10000.0,0.0449545,0.0451523,323,8
20000.0,0.0911497,0.0648626,323,8
50000.0,0.2165128,0.0975761,323,8
100000.0,0.4113818,0.1280165,323,8
100.0,0.0023982,0.0105286,273,4
200.0,0.0047547,0.0149986,273,4
500.0,0.0121622,0.0236201,273,4
1000.0,0.0235097,0.0329048,273,4
2000.0,0.0466073,0.0468186,273,4
5000.0,0.1166038,0.0739921,273,4
10000.0,0.2222861,0.0866846,273,4
20000.0,0.431234,0.1190542,273,4
50000.0,0.9298552000000002,0.1557064,273,4
100000.0,1.5712424,0.1940135,273,4
100.0,0.0011945,0.007398,298,4
200.0,0.0024445,0.0106193,298,4
500.0,0.005977,0.0166433,298,4
1000.0,0.0120604,0.0238616,298,4
2000.0,0.0247643,0.0336533,298,4
5000.0,0.0613714,0.0533197,298,4
10000.0,0.1185344,0.0738719,298,4
20000.0,0.2343326,0.0877994,298,4
50000.0,0.5426015,0.1310947,298,4
100000.0,0.9588702,0.1658551,298,4
100.0,0.0007778,0.0059502,323,4
200.0,0.0014306,0.0080649,323,4
500.0,0.0032825,0.0123078,323,4
1000.0,0.0068322,0.017654,323,4
2000.0,0.0144936,0.0256395,323,4
5000.0,0.0350608,0.0405145,323,4
10000.0,0.0690474,0.0560544,323,4
20000.0,0.135868,0.07796949999999998,323,4
50000.0,0.3279313,0.1182858,323,4
100000.0,0.6172972,0.1568196,323,4
100.0,0.0018426,0.0091213,273,7
200.0,0.0036436,0.0130871,273,7
500.0,0.0087085,0.0202503,273,7
1000.0,0.0176114,0.0287152,273,7
2000.0,0.0360238,0.0404685,273,7
5000.0,0.08758939999999998,0.0626674,273,7
10000.0,0.1737945,0.0768529,273,7
20000.0,0.3278758,0.1044299,273,7
50000.0,0.7568412,0.1471293,273,7
100000.0,1.2926167,0.1872624,273,7
100.0,0.000931,0.006499,298,7
200.0,0.0017917,0.0091666,298,7
500.0,0.0043936,0.0141258,298,7
