Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0605843,0.0333677,273,5
200.0,0.118707,0.0452941,273,5
500.0,0.2831692,0.06665,273,5
1000.0,0.4958916,0.0877171,273,5
2000.0,0.867564,0.1118791,273,5
5000.0,1.6054744,0.1321861,273,5
10000.0,2.3783504,0.1526061,273,5
20000.0,3.3108981,0.1585054,273,5
50000.0,4.4839103,0.1439713,273,5
100000.0,5.214118,0.1275335,273,5
1000000.0,6.6410667,0.0906238,273,5
100.0,0.0212376,0.0228598,298,5
200.0,0.0412489,0.0317337,298,5
500.0,0.1030988,0.0430508,298,5
1000.0,0.2025811,0.0589992,298,5
2000.0,0.3775156,0.07807179999999998,298,5
5000.0,0.8013637999999998,0.1066827,298,5
10000.0,1.2995842,0.1245555,298,5
20000.0,2.0005451,0.1453502,298,5
50000.0,3.1552612,0.1540916,298,5
100000.0,4.0429379,0.1450896,298,5
1000000.0,6.0197249,0.1016122,298,5
100.0,0.0084489,0.0142554,323,5
200.0,0.0175207,0.020766,323,5
500.0,0.0443729,0.0330625,323,5
1000.0,0.08691119999999998,0.0412662,323,5
2000.0,0.1666743,0.0544453,323,5
5000.0,0.3795943,0.07763069999999998,323,5
10000.0,0.6741173,0.1046252,323,5
20000.0,1.1618948,0.1268342,323,5
50000.0,2.05828,0.1472047,323,5
100000.0,2.9212571,0.145914,323,5
1000000.0,5.3303473,0.1183541,323,5
100.0,0.1058708,0.0432079,273,1
200.0,0.2048013,0.0581147,273,1
500.0,0.4570211,0.0834796,273,1
1000.0,0.8184641,0.108646,273,1
2000.0,1.355485,0.1268326,273,1
5000.0,2.3643696,0.1539764,273,1
10000.0,3.3739268,0.1632672,273,1
20000.0,4.3511468,0.1537459,273,1
50000.0,5.3758985,0.1240816,273,1
100000.0,5.9019713,0.1110507,273,1
1000000.0,7.3579689,0.0929748,273,1
100.0,0.0363089,0.0293054,298,1
200.0,0.0715047,0.036657,298,1
500.0,0.174986,0.0547679,298,1
1000.0,0.3255989,0.073646,298,1
2000.0,0.5861763,0.0974765,298,1
5000.0,1.1912576,0.1290004,298,1
10000.0,1.8980182,0.1546389,298,1
20000.0,2.8027613,0.1576583,298,1
50000.0,4.0748116,0.152869,298,1
100000.0,4.892572,0.1363741,298,1
1000000.0,6.610185,0.0982446,298,1
100.0,0.0144093,0.0187288,323,1
200.0,0.0284435,0.0263507,323,1
500.0,0.0699159,0.036256,323,1
1000.0,0.1386158,0.0493909,323,1
2000.0,0.273034,0.0687674,323,1
5000.0,0.5858263,0.0956052,323,1
10000.0,1.0281134,0.1225788,323,1
20000.0,1.6851913,0.1436276,323,1
50000.0,2.8035141,0.1573719,323,1
100000.0,3.7396919,0.1507734,323,1
1000000.0,5.9744402,0.1045284,323,1
100.0,0.0646298,0.0348805,273,6
200.0,0.1247606,0.0469136,273,6
500.0,0.2928096,0.0726455,273,6
1000.0,0.5268188,0.08830109999999998,273,6
2000.0,0.9173371,0.1137904,273,6
5000.0,1.6843311,0.1395504,273,6
10000.0,2.4986439,0.1500843,273,6
20000.0,3.4591252,0.1589843,273,6
50000.0,4.674674,0.1314141,273,6
100000.0,5.3463843,0.112131,273,6
1000000.0,6.7531005,0.0919671,273,6
100.0,0.023226,0.0238964,298,6
200.0,0.0441351,0.0330381,298,6
500.0,0.1095814,0.04341,298,6
1000.0,0.210596,0.0599497,298,6
2000.0,0.3959158,0.08395179999999998,298,6
5000.0,0.8324332,0.1073766,298,6
10000.0,1.366871,0.1280389,298,6
20000.0,2.0984211,0.1551709,298,6
50000.0,3.2822362,0.1598803,298,6
100000.0,4.1772157,0.1398119,298,6
1000000.0,6.0916903,0.0995745,298,6
100.0,0.0091305,0.0148637,323,6
200.0,0.0180936,0.0208453,323,6
500.0,0.0455375,0.0329961,323,6
1000.0,0.0925606,0.0422901,323,6
2000.0,0.1775359,0.0578276,323,6
5000.0,0.4061134,0.0806046,323,6
10000.0,0.7104585,0.1044311,323,6
20000.0,1.2021427,0.1234024,323,6
50000.0,2.1495487,0.1508822,323,6
100000.0,3.0145145,0.158039,323,6
1000000.0,5.4590226,0.1097041,323,6
100.0,0.1092332,0.0430122,273,2
200.0,0.2132318,0.0614898,273,2
500.0,0.4867967,0.0858501,273,2
1000.0,0.8442827,0.1153412,273,2
2000.0,1.4176032,0.1285955,273,2
5000.0,2.4785445,0.1620545,273,2
10000.0,3.555172,0.1615219,273,2
20000.0,4.521749,0.1474258,273,2
50000.0,5.4960742,0.1103176,273,2
100000.0,6.0613873,0.1041109,273,2
1000000.0,7.4339701,0.0972951,273,2
100.0,0.0379296,0.0304696,298,2
200.0,0.07319889999999998,0.0372639,298,2
500.0,0.1776762,0.0570913,298,2
1000.0,0.3506364,0.0761738,298,2
2000.0,0.6129412,0.0909521,298,2
5000.0,1.2605598,0.1249006,298,2
10000.0,1.9883523,0.1536628,298,2
20000.0,2.9237384,0.1651493,298,2
50000.0,4.225986,0.1511541,298,2
100000.0,5.0211675,0.1335904,298,2
1000000.0,6.6811702,0.0968784,298,2
100.0,0.0153729,0.0194092,323,2
200.0,0.0300865,0.0269727,323,2
500.0,0.07274,0.0360174,323,2
1000.0,0.1451758,0.0514147,323,2
2000.0,0.2746669,0.0710124,323,2
5000.0,0.6132038,0.0997777,323,2
10000.0,1.0629872,0.1198086,323,2
20000.0,1.7468984,0.1367628,323,2
50000.0,2.926548,0.1646168,323,2
100000.0,3.8660375,0.1516527,323,2
1000000.0,6.0332343,0.1018529,323,2
100.0,0.0509619,0.0351745,273,8
200.0,0.0998084,0.0441972,273,8
500.0,0.2380651,0.0645933,273,8
1000.0,0.4432418,0.0826983,273,8
2000.0,0.7785073999999998,0.1106803,273,8
5000.0,1.5378278,0.1394842,273,8
10000.0,2.3524424,0.1568884,273,8
20000.0,3.3728542,0.1651165,273,8
50000.0,4.5582559,0.1334644,273,8
100000.0,5.2500985,0.1187094,273,8
1000000.0,6.637585,0.1057387,273,8
100.0,0.0180355,0.0208893,298,8
200.0,0.0356861,0.0294506,298,8
500.0,0.0900208,0.0418115,298,8
1000.0,0.1734855,0.0571441,298,8
2000.0,0.3320313,0.0721644,298,8
5000.0,0.7196823,0.1089938,298,8
10000.0,1.2421344,0.1274174,298,8
20000.0,1.9772763,0.1461198,298,8
50000.0,3.20061,0.1582413,298,8
100000.0,4.1069099,0.1521962,298,8
1000000.0,6.0137573,0.0923687,298,8
100.0,0.007916899999999998,0.0139438,323,8
200.0,0.0153165,0.019381,323,8
500.0,0.0382483,0.0306742,323,8
1000.0,0.0753246,0.0425543,323,8
2000.0,0.1485333,0.0587051,323,8
5000.0,0.3500121,0.0876006,323,8
10000.0,0.6156617,0.1129784,323,8
20000.0,1.1037505,0.1409896,323,8
50000.0,2.0515685,0.1666775,323,8
100000.0,2.9644711,0.1769127,323,8
1000000.0,5.39014,0.1266108,323,8
100.0,0.0889861,0.0402475,273,4
200.0,0.172365,0.056584,273,4
500.0,0.3946623,0.0809324,273,4
1000.0,0.7201223,0.1063196,273,4
2000.0,1.25676,0.1393845,273,4
5000.0,2.3408393,0.1630593,273,4
10000.0,3.3793871,0.1691688,273,4
20000.0,4.3995129,0.1516362,273,4
50000.0,5.3982269,0.1231743,273,4
100000.0,5.946178,0.1025737,273,4
