Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009433000000000001,0.0049896,273,5
200.0,0.0017919,0.0069174,273,5
500.0,0.0045514,0.0111057,273,5
1000.0,0.0092137,0.0157477,273,5
2000.0,0.0187193,0.0223938,273,5
5000.0,0.0449711,0.0309461,273,5
10000.0,0.089149,0.0405973,273,5
20000.0,0.1716675,0.0579047,273,5
50000.0,0.3699956,0.0738699,273,5
100000.0,0.6375385,0.0931788,273,5
100.0,0.0004027,0.0032967,298,5
200.0,0.0009135,0.0049732,298,5
500.0,0.0021054,0.0075402,298,5
1000.0,0.004119,0.0104738,298,5
2000.0,0.008392,0.0149824,298,5
5000.0,0.0208058,0.0239222,298,5
10000.0,0.0412521,0.0297948,298,5
20000.0,0.08004749999999998,0.0400776,298,5
50000.0,0.1924366,0.0613443,298,5
100000.0,0.3497553,0.071113,298,5
100.0,0.0001987,0.0019968,323,5
200.0,0.0004338,0.0029334,323,5
500.0,0.0010581,0.0045901,323,5
1000.0,0.0021487,0.0065861,323,5
2000.0,0.0043197,0.0094185,323,5
5000.0,0.0104191,0.0145385,323,5
10000.0,0.0221579,0.0184037,323,5
20000.0,0.042386,0.025686,323,5
50000.0,0.1017121,0.0398794,323,5
100000.0,0.1968839,0.0520013,323,5
100.0,0.0021487,0.0077291,273,1
200.0,0.0042839,0.0108103,273,1
500.0,0.0104353,0.0167925,273,1
1000.0,0.0206707,0.0232983,273,1
2000.0,0.0422413,0.0298271,273,1
5000.0,0.1008046,0.0443588,273,1
10000.0,0.1927955,0.0616522,273,1
20000.0,0.3511985,0.07460329999999998,273,1
50000.0,0.6947838,0.1009767,273,1
100000.0,1.0218356,0.1034395,273,1
100.0,0.0009243,0.0050151,298,1
200.0,0.0018217,0.0071333,298,1
500.0,0.0045947,0.011035,298,1
1000.0,0.0090353,0.0155295,298,1
2000.0,0.0180706,0.0225283,298,1
5000.0,0.0441846,0.0304744,298,1
10000.0,0.0853908,0.0415327,298,1
20000.0,0.1720033,0.0564426,298,1
50000.0,0.3795284,0.0808268,298,1
100000.0,0.6080709,0.0984227,298,1
100.0,0.0004155,0.0028867,323,1
200.0,0.0008838,0.004218,323,1
500.0,0.002246,0.0067146,323,1
1000.0,0.0043298,0.0093416,323,1
2000.0,0.008760999999999998,0.0132304,323,1
5000.0,0.0216775,0.0182299,323,1
10000.0,0.0445995,0.0256726,323,1
20000.0,0.0843381,0.0363487,323,1
50000.0,0.2012963,0.0494791,323,1
100000.0,0.3532726,0.0650675,323,1
100.0,0.0008514,0.004843,273,6
200.0,0.0016919,0.0068204,273,6
500.0,0.0038893,0.0105092,273,6
1000.0,0.0077596,0.0145265,273,6
2000.0,0.0159057,0.0209488,273,6
5000.0,0.0379629,0.0287751,273,6
10000.0,0.0791447,0.0410107,273,6
20000.0,0.1447589,0.0505868,273,6
50000.0,0.3333396,0.0737522,273,6
100000.0,0.5574379,0.0894243,273,6
100.0,0.0003541,0.0030968,298,6
200.0,0.0007297,0.0044304,298,6
500.0,0.0016865,0.0067896,298,6
1000.0,0.0036676,0.0099997,298,6
2000.0,0.0072569,0.0139135,298,6
5000.0,0.0187976,0.0225834,298,6
10000.0,0.0375007,0.0280826,298,6
20000.0,0.0728662,0.0384195,298,6
50000.0,0.1679443,0.0549665,298,6
100000.0,0.3148553,0.07273449999999998,298,6
100.0,0.0002162,0.0024077,323,6
200.0,0.0004162,0.00335,323,6
500.0,0.0010573,0.0053368,323,6
1000.0,0.0019892,0.0073315,323,6
2000.0,0.0039568,0.010326,323,6
5000.0,0.0095948,0.0160939,323,6
10000.0,0.0190922,0.0226999,323,6
20000.0,0.0369034,0.0275626,323,6
50000.0,0.090399,0.0432494,323,6
100000.0,0.177852,0.0586327,323,6
100.0,0.0017108,0.0067348,273,2
200.0,0.0037163,0.0098565,273,2
500.0,0.0091731,0.0156295,273,2
1000.0,0.0188841,0.0228366,273,2
2000.0,0.0361412,0.027267,273,2
5000.0,0.08574759999999998,0.0408246,273,2
10000.0,0.1699302,0.0559792,273,2
20000.0,0.3161181,0.0755566,273,2
50000.0,0.6203618,0.0892141,273,2
100000.0,0.9585776,0.1038738,273,2
100.0,0.0008406,0.0047994,298,2
200.0,0.0016,0.0066035,298,2
500.0,0.004046,0.0104848,298,2
1000.0,0.0078461,0.0145353,298,2
2000.0,0.0159652,0.0208686,298,2
5000.0,0.0398872,0.0290821,298,2
10000.0,0.07899069999999998,0.041087,298,2
20000.0,0.1476325,0.0522258,298,2
50000.0,0.3414389,0.0780755,298,2
100000.0,0.5863432,0.0921425,298,2
100.0,0.0003811,0.0031866,323,2
200.0,0.0008514,0.004858,323,2
500.0,0.002173,0.0075839,323,2
1000.0,0.003992,0.0104077,323,2
2000.0,0.0079272,0.0143952,323,2
5000.0,0.0193776,0.0225737,323,2
10000.0,0.0400548,0.028804,323,2
20000.0,0.07636669999999998,0.0390104,323,2
50000.0,0.1837846,0.0594441,323,2
100000.0,0.3457902,0.0767671,323,2
100.0,0.0008047,0.0040604,273,8
200.0,0.0014899,0.005555,273,8
500.0,0.0039001,0.0089233,273,8
1000.0,0.0075506,0.0123736,273,8
2000.0,0.015203,0.0173938,273,8
5000.0,0.0365176,0.0243041,273,8
10000.0,0.0764769,0.034312,273,8
20000.0,0.1442703,0.0461816,273,8
50000.0,0.3215533,0.0661539,273,8
100000.0,0.548412,0.0753355,273,8
100.0,0.0003791,0.0027757,298,8
200.0,0.000677,0.0036871,298,8
500.0,0.0016663,0.0057778,298,8
1000.0,0.0034785,0.0083567,298,8
2000.0,0.007263,0.0121881,298,8
5000.0,0.0179477,0.0188274,298,8
10000.0,0.0354955,0.0238134,298,8
20000.0,0.070925,0.0322139,298,8
50000.0,0.1623134,0.047579,298,8
100000.0,0.3055456,0.0619508,298,8
100.0,0.000152,0.0017489,323,8
200.0,0.0003689,0.0027097,323,8
500.0,0.0009466,0.0044281,323,8
1000.0,0.0019044,0.0063434,323,8
2000.0,0.003669,0.008624899999999998,323,8
5000.0,0.0093231,0.0136898,323,8
10000.0,0.0189754,0.0196073,323,8
20000.0,0.0367365,0.0269963,323,8
50000.0,0.0879767,0.0411061,323,8
100000.0,0.1720816,0.0578275,323,8
100.0,0.0018649,0.0060993,273,4
200.0,0.0035109,0.0084799,273,4
500.0,0.0087779,0.0132598,273,4
1000.0,0.0176098,0.0189247,273,4
2000.0,0.0346993,0.0235911,273,4
5000.0,0.0861158,0.0364056,273,4
10000.0,0.1643646,0.0472316,273,4
20000.0,0.3013543,0.062135,273,4
50000.0,0.6111176,0.08019909999999998,273,4
100000.0,0.9427125,0.08857199999999998,273,4
100.0,0.0007236999999999999,0.0037828,298,4
200.0,0.0015811,0.0056944,298,4
500.0,0.0038251,0.008824,298,4
1000.0,0.0078285,0.0124537,298,4
2000.0,0.0160118,0.0180643,298,4
5000.0,0.0381474,0.0248189,298,4
10000.0,0.0773103,0.0340797,298,4
20000.0,0.1435142,0.0455688,298,4
50000.0,0.3290275,0.062366,298,4
100000.0,0.5568181,0.07888349999999998,298,4
100.0,0.0004419,0.002974,323,4
200.0,0.0007519999999999998,0.0038951,323,4
500.0,0.0018102,0.0060719,323,4
1000.0,0.0038595,0.0088439,323,4
2000.0,0.007589099999999999,0.0124643,323,4
5000.0,0.0191349,0.0195917,323,4
10000.0,0.0388163,0.0279592,323,4
20000.0,0.0757068,0.0382265,323,4
50000.0,0.1785784,0.0563556,323,4
100000.0,0.3310414,0.07489719999999998,323,4
100.0,0.0009568,0.0043557,273,7
200.0,0.0016338,0.0057799,273,7
500.0,0.004494,0.0095024,273,7
1000.0,0.008728599999999998,0.0134702,273,7
2000.0,0.0169443,0.0182455,273,7
5000.0,0.0408292,0.024344,273,7
10000.0,0.083999,0.0362637,273,7
20000.0,0.160557,0.0489256,273,7
50000.0,0.3578227,0.0673505,273,7
100000.0,0.5995507,0.0833744,273,7
100.0,0.0003426,0.0026128,298,7
200.0,0.0008068,0.0040549,298,7
500.0,0.0019257,0.0062994,298,7
1000.0,0.0038555,0.0087475,298,7
2000.0,0.0077089,0.0123646,298,7
5000.0,0.0192713,0.0170034,298,7
10000.0,0.0382366,0.0242821,298,7
20000.0,0.07671229999999998,0.0332698,298,7
50000.0,0.1847317,0.0518949,298,7
100000.0,0.3379726,0.0677366,298,7
100.0,0.0002047,0.0020269,323,7
200.0,0.0004155,0.0029291,323,7
500.0,0.0010825,0.0046644,323,7
1000.0,0.0021619,0.0066271,323,7
2000.0,0.0040278,0.009034,323,7
5000.0,0.0101171,0.0140848,323,7
10000.0,0.0198794,0.0170584,323,7
20000.0,0.0401116,0.0245394,323,7
50000.0,0.09666060000000001,0.0372282,323,7
100000.0,0.1834859,0.0518414,323,7
100.0,0.0019652,0.0062596,273,3
200.0,0.0040967,0.0090852,273,3
500.0,0.0096732,0.0139217,273,3
1000.0,0.019768,0.0168306,273,3
2000.0,0.0390494,0.0241181,273,3
5000.0,0.0951048,0.0379734,273,3
10000.0,0.186117,0.0494807,273,3
20000.0,0.3267305,0.0603433,273,3
50000.0,0.6702619,0.07953929999999998,273,3
100000.0,0.992396,0.08758639999999998,273,3
100.0,0.0007946,0.0039444,298,3
200.0,0.0015933,0.0056184,298,3
500.0,0.004342,0.0095147,298,3
1000.0,0.0085684,0.0133421,298,3
2000.0,0.0167497,0.0182698,298,3
5000.0,0.0412204,0.0252283,298,3
10000.0,0.0826394,0.0365387,298,3
20000.0,0.1582408,0.0470284,298,3
50000.0,0.343197,0.0636072,298,3
100000.0,0.5918361,0.08371439999999998,298,3
100.0,0.0003487,0.0026511,323,3
200.0,0.0007986999999999998,0.0040158,323,3
500.0,0.0021021,0.0065354,323,3
1000.0,0.004194,0.0092202,323,3
2000.0,0.0083008,0.013005,323,3
5000.0,0.0202484,0.0204131,323,3
10000.0,0.0429061,0.0258528,323,3
20000.0,0.0799475,0.0340614,323,3
50000.0,0.1860299,0.0508238,323,3
100000.0,0.342497,0.0656497,323,3
