Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007919,0.0046532,273,5
200.0,0.001473,0.0063114,273,5
500.0,0.0040568,0.0103332,273,5
1000.0,0.008137999999999998,0.0147452,273,5
2000.0,0.0160192,0.0208306,273,5
5000.0,0.0398044,0.0291787,273,5
10000.0,0.0780123,0.0398992,273,5
20000.0,0.148377,0.0530948,273,5
50000.0,0.3456307,0.079058,273,5
100000.0,0.5673346,0.0880316,273,5
100.0,0.0003649,0.0031655,298,5
200.0,0.000749,0.0044694,298,5
500.0,0.0019379,0.0073004,298,5
1000.0,0.0036884,0.0099619,298,5
2000.0,0.007700099999999999,0.0143611,298,5
5000.0,0.0186976,0.0223008,298,5
10000.0,0.0370493,0.0273474,298,5
20000.0,0.0721662,0.0379476,298,5
50000.0,0.1738249,0.057521,298,5
100000.0,0.3170095,0.07231369999999998,298,5
100.0,0.0001926,0.0019663,323,5
200.0,0.0003649,0.002695,323,5
500.0,0.0011027,0.0047383,323,5
1000.0,0.0019906,0.0063895,323,5
2000.0,0.0038798,0.0088257,323,5
5000.0,0.0096205,0.0139552,323,5
10000.0,0.0193017,0.0198809,323,5
20000.0,0.0385913,0.025303,323,5
50000.0,0.0944761,0.0366452,323,5
100000.0,0.180205,0.0518968,323,5
100.0,0.001846,0.0070601,273,1
200.0,0.0037352,0.0100294,273,1
500.0,0.0092002,0.0160018,273,1
1000.0,0.0187274,0.022405,273,1
2000.0,0.0373115,0.0280731,273,1
5000.0,0.08871519999999998,0.041223,273,1
10000.0,0.1701411,0.0562576,273,1
20000.0,0.3180619,0.07626479999999998,273,1
50000.0,0.6216062,0.0932541,273,1
100000.0,0.9612691,0.1006209,273,1
100.0,0.000773,0.0046012,298,1
200.0,0.0016108,0.006623,298,1
500.0,0.0041893,0.0106193,298,1
1000.0,0.007992,0.0147061,298,1
2000.0,0.0162489,0.0208823,298,1
5000.0,0.0391494,0.0286326,298,1
10000.0,0.07757169999999998,0.0403243,298,1
20000.0,0.147801,0.0524237,298,1
50000.0,0.3315712,0.0738058,298,1
100000.0,0.5768325,0.0910048,298,1
100.0,0.0003568,0.0026808,323,1
200.0,0.0008777,0.0042339,323,1
500.0,0.0019075,0.0062428,323,1
1000.0,0.0041576,0.0091168,323,1
2000.0,0.007881199999999998,0.0125684,323,1
5000.0,0.019622,0.0197384,323,1
10000.0,0.0397041,0.0255759,323,1
20000.0,0.0772192,0.0335357,323,1
50000.0,0.1769459,0.0501244,323,1
100000.0,0.3312914,0.0644245,323,1
100.0,0.0006165,0.0040713,273,6
200.0,0.0013973,0.0061172,273,6
500.0,0.0035622,0.0097759,273,6
1000.0,0.006965,0.0137041,273,6
2000.0,0.014003,0.0193445,273,6
5000.0,0.0350466,0.0264569,273,6
10000.0,0.0689878,0.0368864,273,6
20000.0,0.1274565,0.0510096,273,6
50000.0,0.3008246,0.0705107,273,6
100000.0,0.5130522,0.08457879999999998,273,6
100.0,0.0003622,0.0031076,298,6
200.0,0.0006297,0.0042008,298,6
500.0,0.0015973,0.006487,298,6
1000.0,0.0033028,0.0094738,298,6
2000.0,0.0065623,0.0132696,298,6
5000.0,0.0166057,0.0211215,298,6
10000.0,0.0333817,0.0254903,298,6
20000.0,0.0631255,0.0352855,298,6
50000.0,0.1563889,0.0543148,298,6
100000.0,0.2854752,0.0693493,298,6
100.0,0.0001703,0.0021385,323,6
200.0,0.0003081,0.0029197,323,6
500.0,0.0008784,0.0048982,323,6
1000.0,0.0017487,0.0069284,323,6
2000.0,0.0037001,0.0100896,323,6
5000.0,0.0086758,0.0153263,323,6
10000.0,0.0172003,0.0215068,323,6
20000.0,0.0349991,0.0264748,323,6
50000.0,0.0831827,0.0400827,323,6
100000.0,0.1622545,0.0560405,323,6
100.0,0.0014278,0.0061772,273,2
200.0,0.0032217,0.0093701,273,2
500.0,0.0081758,0.0146746,273,2
1000.0,0.0160057,0.0207091,273,2
2000.0,0.0313271,0.0250687,273,2
5000.0,0.07789069999999998,0.0394074,273,2
10000.0,0.1520137,0.054598,273,2
20000.0,0.2830415,0.0684213,273,2
50000.0,0.567034,0.0900205,273,2
100000.0,0.8849019,0.1024625,273,2
100.0,0.0007054,0.0043764,298,2
200.0,0.0014216,0.0061888,298,2
500.0,0.003446,0.0094806,298,2
1000.0,0.006892,0.0135239,298,2
2000.0,0.0140894,0.0195263,298,2
5000.0,0.0353832,0.0262545,298,2
10000.0,0.068931,0.0368771,298,2
20000.0,0.1312403,0.0515855,298,2
50000.0,0.2968137,0.07240589999999998,298,2
100000.0,0.522271,0.0881826,298,2
100.0,0.0003973,0.0033414,323,2
200.0,0.0007487,0.0044684,323,2
500.0,0.0018135,0.0069749,323,2
1000.0,0.0037757,0.010047,323,2
2000.0,0.007591999999999998,0.0142298,323,2
5000.0,0.0179355,0.0217271,323,2
10000.0,0.0354574,0.0269256,323,2
20000.0,0.0692684,0.0376909,323,2
50000.0,0.1627196,0.0573935,323,2
100000.0,0.3129155,0.07520549999999998,323,2
100.0,0.0006588,0.0036286,273,8
200.0,0.0013257,0.0052125,273,8
500.0,0.0033507,0.0082134,273,8
1000.0,0.0065089,0.0116269,273,8
2000.0,0.0134901,0.0164306,273,8
5000.0,0.0326459,0.0225546,273,8
10000.0,0.0658472,0.0321754,273,8
20000.0,0.1266267,0.0421272,273,8
50000.0,0.2821618,0.0619898,273,8
100000.0,0.4893326,0.07341889999999998,273,8
100.0,0.0003101,0.0024881,298,8
200.0,0.0006689,0.0036774,298,8
500.0,0.0016926,0.0057808,298,8
1000.0,0.0031582,0.00803,298,8
2000.0,0.0061197,0.0111204,298,8
5000.0,0.0155395,0.0176218,298,8
10000.0,0.0321067,0.0225953,298,8
20000.0,0.0608302,0.0308877,298,8
50000.0,0.1505241,0.0458214,298,8
100000.0,0.277187,0.0629551,298,8
100.0,0.0001642,0.0018394,323,8
200.0,0.0003264,0.0025991,323,8
500.0,0.0008939,0.0042595,323,8
1000.0,0.0016926,0.0059074,323,8
2000.0,0.0033001,0.0081107,323,8
5000.0,0.0082401,0.0128257,323,8
10000.0,0.0163686,0.0181854,323,8
20000.0,0.0329723,0.025824,323,8
50000.0,0.0783582,0.0378998,323,8
100000.0,0.1571604,0.0552774,323,8
100.0,0.0015102,0.0054899,273,4
200.0,0.0030406,0.0079108,273,4
500.0,0.00779,0.0124267,273,4
1000.0,0.0152902,0.0176219,273,4
2000.0,0.0306139,0.0215949,273,4
5000.0,0.07499939999999998,0.0337235,273,4
10000.0,0.1454865,0.0460162,273,4
20000.0,0.2767188,0.0622328,273,4
50000.0,0.5588915,0.0823707,273,4
100000.0,0.8648230999999998,0.0920192,273,4
100.0,0.0007156,0.0038168,298,4
200.0,0.0014007,0.0052908,298,4
500.0,0.0035291,0.0084989,298,4
1000.0,0.0072569,0.0122639,298,4
2000.0,0.0134942,0.0162361,298,4
5000.0,0.034004,0.0234189,298,4
10000.0,0.0664168,0.0319701,298,4
20000.0,0.1335287,0.0455578,298,4
50000.0,0.2940046,0.0638657,298,4
100000.0,0.5029901,0.0751739,298,4
100.0,0.0003426,0.0026441,323,4
200.0,0.0006953,0.0037004,323,4
500.0,0.00181,0.0060038,323,4
1000.0,0.0034498,0.008353799999999998,323,4
2000.0,0.0069253,0.011712,323,4
5000.0,0.017303,0.018719,323,4
10000.0,0.0336675,0.0261178,323,4
20000.0,0.0683101,0.0370586,323,4
50000.0,0.1603217,0.0554608,323,4
100000.0,0.3038186,0.0717557,323,4
100.0,0.0007479999999999999,0.0038853,273,7
200.0,0.0014189,0.0054051,273,7
500.0,0.0034845,0.0084203,273,7
1000.0,0.007431199999999998,0.0122198,273,7
2000.0,0.0145413,0.0171908,273,7
5000.0,0.0359419,0.0241822,273,7
10000.0,0.0702527,0.0319815,273,7
20000.0,0.1356723,0.0428006,273,7
50000.0,0.3036495,0.0610782,273,7
100000.0,0.518827,0.07492179999999998,273,7
100.0,0.0003081,0.002513,298,7
200.0,0.0007297,0.0037979,298,7
500.0,0.0017473,0.0059573,298,7
1000.0,0.0034501,0.0084174,298,7
2000.0,0.0068819,0.0119139,298,7
5000.0,0.0168449,0.0184901,298,7
10000.0,0.0334486,0.0233932,298,7
20000.0,0.0658411,0.0311395,298,7
50000.0,0.1597315,0.0473651,298,7
100000.0,0.2929824,0.0632005,298,7
100.0,0.0001905,0.0019561,323,7
200.0,0.0003993,0.0028315,323,7
500.0,0.0009102,0.0043326,323,7
1000.0,0.0018507,0.0061002,323,7
2000.0,0.0034501,0.008338899999999998,323,7
5000.0,0.008838,0.0132971,323,7
10000.0,0.0179943,0.0191993,323,7
20000.0,0.0355122,0.0233315,323,7
50000.0,0.0879787,0.0357207,323,7
100000.0,0.1657732,0.0470372,323,7
100.0,0.0017149,0.0058344,273,3
200.0,0.0032616,0.008204299999999998,273,3
500.0,0.008684,0.0134288,273,3
1000.0,0.0167091,0.0185964,273,3
2000.0,0.0328324,0.0226408,273,3
5000.0,0.0843928,0.0351844,273,3
10000.0,0.1547502,0.0469813,273,3
20000.0,0.2824209,0.060953,273,3
50000.0,0.5855616,0.0846192,273,3
100000.0,0.905824,0.0872844,273,3
100.0,0.0007925999999999999,0.0040323,298,3
200.0,0.0014433,0.0054667,298,3
500.0,0.0037643,0.008676599999999998,298,3
1000.0,0.0073238,0.0120088,298,3
2000.0,0.0145766,0.0172121,298,3
5000.0,0.0363048,0.024292,298,3
10000.0,0.06995,0.0322057,298,3
20000.0,0.133689,0.0447346,298,3
50000.0,0.3057541,0.0643165,298,3
100000.0,0.5324885,0.0777794,298,3
100.0,0.0003851,0.002797,323,3
200.0,0.0007215999999999999,0.0037995,323,3
500.0,0.001794,0.0060224,323,3
1000.0,0.0037055,0.008652099999999998,323,3
2000.0,0.007269099999999999,0.012149,323,3
5000.0,0.0184929,0.0193604,323,3
10000.0,0.0371034,0.0246731,323,3
20000.0,0.0698385,0.0338091,323,3
50000.0,0.1650978,0.0483464,323,3
100000.0,0.3186263,0.0633296,323,3
