Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0432501,0.0308485,273,5
200.0,0.0848156,0.0446026,273,5
500.0,0.208123,0.0678053,273,5
1000.0,0.4100108,0.0927857,273,5
2000.0,0.7379124999999999,0.1244711,273,5
5000.0,1.6408345,0.1750673,273,5
10000.0,2.6960169,0.1926383,273,5
20000.0,3.9562656,0.1982606,273,5
50000.0,5.6632393,0.1893631,273,5
100000.0,6.794963,0.1773012,273,5
1000000.0,9.3190331,0.1322152,273,5
100.0,0.0148205,0.0210199,298,5
200.0,0.0297796,0.0299062,298,5
500.0,0.07444299999999998,0.0403786,298,5
1000.0,0.1464752,0.0588629,298,5
2000.0,0.2876437,0.0810011,298,5
5000.0,0.6598271,0.1111166,298,5
10000.0,1.2413294,0.1624641,298,5
20000.0,2.1229928,0.1776915,298,5
50000.0,3.6688644,0.2027151,298,5
100000.0,4.9301759,0.1936132,298,5
1000000.0,8.184911599999998,0.132392,298,5
100.0,0.006248,0.0113341,323,5
200.0,0.0125382,0.0158317,323,5
500.0,0.0311538,0.0249945,323,5
1000.0,0.0625326,0.0313524,323,5
2000.0,0.1252061,0.0432254,323,5
5000.0,0.3036063,0.0633524,323,5
10000.0,0.5591952,0.08817369999999998,323,5
20000.0,1.0662229,0.1192601,323,5
50000.0,2.178744,0.1463825,323,5
100000.0,3.3206698,0.1553451,323,5
1000000.0,7.0958168,0.1299681,323,5
100.0,0.0706038,0.0395848,273,1
200.0,0.1381067,0.0545593,273,1
500.0,0.3408792,0.0857089,273,1
1000.0,0.621948,0.1070453,273,1
2000.0,1.157934,0.1418115,273,1
5000.0,2.3672481,0.1873129,273,1
10000.0,3.606299,0.2062815,273,1
20000.0,5.0268995,0.2156666,273,1
50000.0,6.8026785,0.1984431,273,1
100000.0,7.8564131,0.1636328,273,1
1000000.0,10.0297013,0.1336668,273,1
100.0,0.0237737,0.0267803,298,1
200.0,0.0476468,0.037985,298,1
500.0,0.1176057,0.0503121,298,1
1000.0,0.2309332,0.0716533,298,1
2000.0,0.4456155,0.0970184,298,1
5000.0,0.9818975,0.1406571,298,1
10000.0,1.7728727,0.1781421,298,1
20000.0,2.8464537,0.1969126,298,1
50000.0,4.6367349,0.2092397,298,1
100000.0,6.0096525,0.2027491,298,1
1000000.0,8.940388,0.1420956,298,1
100.0,0.0097075,0.0139061,323,1
200.0,0.0195176,0.0197384,323,1
500.0,0.0474931,0.0270674,323,1
1000.0,0.0957952,0.0379664,323,1
2000.0,0.1887027,0.0524282,323,1
5000.0,0.4366218,0.07550179999999998,323,1
10000.0,0.8306373999999999,0.1070598,323,1
20000.0,1.4862124,0.1313662,323,1
50000.0,2.8873475,0.156113,323,1
100000.0,4.1698585,0.171074,323,1
1000000.0,7.8944244,0.1249306,323,1
100.0,0.0295898,0.0298988,273,6
200.0,0.0575462,0.0358119,273,6
500.0,0.1441845,0.0562396,273,6
1000.0,0.2811586,0.0762278,273,6
2000.0,0.5358403,0.1034806,273,6
5000.0,1.1484732,0.1475793,273,6
10000.0,2.0172006,0.183548,273,6
20000.0,3.1919639,0.2168065,273,6
50000.0,5.1181744,0.2173804,273,6
100000.0,6.4711767,0.1900221,273,6
1000000.0,9.2109772,0.1154927,273,6
100.0,0.0106317,0.0181396,298,6
200.0,0.0216401,0.025808,298,6
500.0,0.0538997,0.0345039,298,6
1000.0,0.1093456,0.0504055,298,6
