Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0108475,0.0166897,273,5
200.0,0.020583,0.0230502,273,5
500.0,0.0528356,0.0319929,273,5
1000.0,0.1072112,0.0449275,273,5
2000.0,0.210174,0.0635805,273,5
5000.0,0.5257022,0.0988076,273,5
10000.0,1.0615689,0.1476783,273,5
20000.0,2.0683572,0.1830787,273,5
50000.0,4.3070852,0.2285423,273,5
100000.0,6.1786478,0.2082742,273,5
1000000.0,10.3980461,0.151343,273,5
100.0,0.0047895,0.0111724,298,5
200.0,0.0090752,0.0151565,298,5
500.0,0.0230495,0.0243428,298,5
1000.0,0.0461252,0.0342149,298,5
2000.0,0.0933726,0.0438423,298,5
5000.0,0.2315133,0.0662092,298,5
10000.0,0.4543246,0.08821229999999998,298,5
20000.0,0.8794904999999998,0.1336135,298,5
50000.0,2.1024648,0.1856388,298,5
100000.0,3.6378376,0.2180313,298,5
1000000.0,8.7004544,0.1666594,298,5
100.0,0.0022377,0.006222,323,5
200.0,0.0046477,0.0089905,323,5
500.0,0.0114982,0.0141099,323,5
1000.0,0.023073,0.0200696,323,5
2000.0,0.04616,0.0240187,323,5
5000.0,0.1148553,0.0389482,323,5
10000.0,0.2302781,0.0552951,323,5
20000.0,0.4436221,0.0728399,323,5
50000.0,1.0782133,0.1147891,323,5
100000.0,2.0220533,0.1461701,323,5
1000000.0,7.1539253,0.1482405,323,5
100.0,0.0122595,0.017796,273,1
200.0,0.024748,0.0254075,273,1
500.0,0.0620883,0.0347042,273,1
1000.0,0.1254817,0.0462658,273,1
2000.0,0.2553067,0.0703206,273,1
5000.0,0.6202249,0.1043306,273,1
10000.0,1.2673613,0.1587573,273,1
20000.0,2.525532,0.204646,273,1
50000.0,5.1246308,0.2434474,273,1
100000.0,7.0922402,0.1998629,273,1
1000000.0,11.1380126,0.1411801,273,1
100.0,0.0053924,0.0118325,298,1
200.0,0.0107796,0.0168027,298,1
500.0,0.0268554,0.026298,298,1
1000.0,0.0533785,0.0315378,298,1
2000.0,0.1106069,0.0470116,298,1
5000.0,0.2684353,0.07270699999999998,298,1
10000.0,0.5199057,0.0984377,298,1
20000.0,1.0400049,0.1408679,298,1
50000.0,2.5088961,0.2073401,298,1
100000.0,4.2980759,0.2187466,298,1
1000000.0,9.4826049,0.1526724,298,1
100.0,0.0025944,0.0067317,323,1
200.0,0.0053489,0.0096836,323,1
500.0,0.0132365,0.0151737,323,1
1000.0,0.0268937,0.02153,323,1
2000.0,0.0517507,0.0259511,323,1
5000.0,0.128767,0.0417337,323,1
10000.0,0.2645568,0.057125,323,1
20000.0,0.5158517,0.08162519999999998,323,1
50000.0,1.2704487,0.1239403,323,1
100000.0,2.3669331,0.1639824,323,1
1000000.0,7.8712014,0.1457273,323,1
100.0,0.0072116,0.0136264,273,6
200.0,0.0145349,0.0194362,273,6
500.0,0.0361103,0.0308323,273,6
1000.0,0.0729958,0.0434494,273,6
2000.0,0.143058,0.0554266,273,6
5000.0,0.3684939,0.0874432,273,6
10000.0,0.7265762999999998,0.1238212,273,6
20000.0,1.4273675,0.1685842,273,6
50000.0,3.3266358,0.2410285,273,6
100000.0,5.3542999,0.2297658,273,6
1000000.0,10.0461236,0.1617448,273,6
100.0,0.0034009,0.0093934,298,6
200.0,0.0066322,0.0132301,298,6
500.0,0.0168297,0.020855,298,6
1000.0,0.0340706,0.0299313,298,6
2000.0,0.0695009,0.0426273,298,6
5000.0,0.1693388,0.0594896,298,6
10000.0,0.3390195,0.0831665,298,6
20000.0,0.6614799,0.1142355,298,6
50000.0,1.6092217,0.1808796,298,6
100000.0,2.9763222,0.2199303,298,6
1000000.0,8.3590655,0.1843413,298,6
100.0,0.0019471,0.0071114,323,6
200.0,0.0037507,0.0097677,323,6
500.0,0.009070000000000002,0.0153294,323,6
1000.0,0.0185994,0.0220794,323,6
2000.0,0.035802,0.0305088,323,6
5000.0,0.0922294,0.0491295,323,6
10000.0,0.1812642,0.0624187,323,6
20000.0,0.3573016,0.0823103,323,6
50000.0,0.8563851999999998,0.1310306,323,6
