Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0536996,0.0454475,273,5
200.0,0.1079551,0.057578,273,5
500.0,0.2515421,0.0809511,273,5
1000.0,0.4717644,0.1081589,273,5
2000.0,0.7896729999999998,0.1285362,273,5
5000.0,1.3442923,0.1393745,273,5
10000.0,1.7984288,0.1249037,273,5
20000.0,2.1037744,0.1064441,273,5
50000.0,2.363111,0.07841439999999998,273,5
100000.0,2.4899485,0.0661421,273,5
1000000.0,3.191091,0.1397017,273,5
100.0,0.01817,0.0266317,298,5
200.0,0.0357001,0.0375196,298,5
500.0,0.08963029999999998,0.0509147,298,5
1000.0,0.1689212,0.0674708,298,5
2000.0,0.3237832,0.0963538,298,5
5000.0,0.6752422,0.1202894,298,5
10000.0,1.0690261,0.1391403,298,5
20000.0,1.5249641,0.1313814,298,5
50000.0,2.0213541,0.1097152,298,5
100000.0,2.253593,0.0878749,298,5
1000000.0,2.7496459,0.08939189999999998,298,5
100.0,0.006918,0.0163723,323,5
200.0,0.0139652,0.0233422,323,5
500.0,0.0348131,0.036579,323,5
1000.0,0.0696458,0.0522108,323,5
2000.0,0.1351925,0.0634664,323,5
5000.0,0.3142186,0.0970325,323,5
10000.0,0.5744845,0.1182584,323,5
20000.0,0.9049493,0.1296998,323,5
50000.0,1.4930049,0.1337812,323,5
100000.0,1.9076898,0.1208832,323,5
1000000.0,2.5410725,0.0737139,323,5
100.0,0.0706872,0.0514009,273,1
200.0,0.1359638,0.0652527,273,1
500.0,0.3153354,0.0929243,273,1
1000.0,0.5723066,0.1172768,273,1
2000.0,0.9154222,0.1338391,273,1
5000.0,1.526421,0.1348533,273,1
10000.0,1.9167019,0.1220112,273,1
20000.0,2.2159226,0.09492080000000001,273,1
50000.0,2.4650981,0.0838367,273,1
100000.0,2.6437243,0.08390989999999998,273,1
1000000.0,3.7524726,0.1676457,273,1
100.0,0.02315,0.0294406,298,1
200.0,0.0440004,0.0412709,298,1
500.0,0.1110285,0.058192,298,1
1000.0,0.2189954,0.0802282,298,1
2000.0,0.3949755,0.1024031,298,1
5000.0,0.7984466,0.1277502,298,1
10000.0,1.2248302,0.1415849,298,1
20000.0,1.6655739,0.1316572,298,1
50000.0,2.1268573,0.1035771,298,1
100000.0,2.3622536,0.0919836,298,1
1000000.0,3.0316377,0.1391417,298,1
100.0,0.0085897,0.0182825,323,1
200.0,0.0172421,0.0259772,323,1
500.0,0.0436792,0.0407655,323,1
1000.0,0.0827653,0.0490765,323,1
2000.0,0.162657,0.0702333,323,1
5000.0,0.3770286,0.1017047,323,1
10000.0,0.6646323,0.122829,323,1
20000.0,1.0617219,0.1387488,323,1
50000.0,1.6528459,0.1346293,323,1
100000.0,2.0132497,0.1176588,323,1
1000000.0,2.7066995,0.092518,323,1
100.0,0.0519652,0.0446455,273,6
200.0,0.1038286,0.0571041,273,6
500.0,0.2513933,0.08291379999999998,273,6
1000.0,0.4490288,0.105467,273,6
2000.0,0.7555117,0.1289717,273,6
5000.0,1.329763,0.1425361,273,6
10000.0,1.752667,0.1330105,273,6
20000.0,2.0632648,0.1072551,273,6
50000.0,2.3279846,0.08009869999999998,273,6
100000.0,2.4421213,0.0622142,273,6
1000000.0,2.8443225,0.0853757,273,6
100.0,0.0172461,0.0259775,298,6
200.0,0.0339166,0.0358104,298,6
500.0,0.0831608,0.0484738,298,6
1000.0,0.1678523,0.0682638,298,6
2000.0,0.3142857,0.0929136,298,6
5000.0,0.6573071,0.1198721,298,6
10000.0,1.0507376,0.1325073,298,6
20000.0,1.5063223,0.1328895,298,6
50000.0,1.9859772,0.1141076,298,6
100000.0,2.2301618,0.0916415,298,6
1000000.0,2.6009472,0.060028,298,6
100.0,0.0067222,0.0161433,323,6
200.0,0.0135619,0.023116,323,6
500.0,0.0333136,0.0359566,323,6
1000.0,0.0673712,0.050416,323,6
2000.0,0.1315867,0.0644731,323,6
5000.0,0.3002377,0.0880161,323,6
10000.0,0.5419502,0.1127462,323,6
20000.0,0.881258,0.1302212,323,6
50000.0,1.4754485,0.1390768,323,6
100000.0,1.8784718,0.1173705,323,6
1000000.0,2.4877192,0.0639977,323,6
100.0,0.0685291,0.043956,273,2
