Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000844,0.0062664,273,5
200.0,0.0016797,0.0088804,273,5
500.0,0.0042615,0.013949,273,5
1000.0,0.0087798,0.019951,273,5
2000.0,0.0174908,0.0281395,273,5
5000.0,0.0440733,0.0449696,273,5
10000.0,0.0868898,0.0614577,273,5
20000.0,0.1721512,0.0782616,273,5
50000.0,0.4064904,0.1139313,273,5
100000.0,0.7607148,0.1504866,273,5
100.0,0.0005046,0.0049147,298,5
200.0,0.0009725,0.0067027,298,5
500.0,0.0024541,0.0105442,298,5
1000.0,0.0046789,0.0146067,298,5
2000.0,0.0092752,0.0205612,298,5
5000.0,0.0243486,0.0335224,298,5
10000.0,0.0475504,0.0465785,298,5
20000.0,0.0912155,0.0644355,298,5
50000.0,0.2249587,0.08843489999999998,298,5
100000.0,0.4314675,0.118277,298,5
100.0,0.0002431,0.0033306,323,5
200.0,0.0005688,0.0050763,323,5
500.0,0.0013807,0.0079444,323,5
1000.0,0.0028303,0.0113751,323,5
2000.0,0.0055367,0.0160046,323,5
5000.0,0.0137981,0.0251215,323,5
10000.0,0.0281238,0.0357271,323,5
20000.0,0.0545504,0.0496686,323,5
50000.0,0.1375044,0.0677004,323,5
100000.0,0.2701832,0.0920784,323,5
100.0,0.0009633,0.0066409,273,1
200.0,0.0020688,0.0097379,273,1
500.0,0.0051651,0.0152912,273,1
1000.0,0.0106292,0.0220494,273,1
2000.0,0.0204725,0.0305835,273,1
5000.0,0.0518027,0.0481669,273,1
10000.0,0.1029826,0.0681311,273,1
20000.0,0.2015732,0.08656329999999998,273,1
50000.0,0.4917472,0.1278924,273,1
100000.0,0.8865157999999999,0.1521932,273,1
100.0,0.0005505,0.0050367,298,1
200.0,0.0009592,0.0065955,298,1
500.0,0.0028073,0.0112787,298,1
1000.0,0.0053761,0.0158416,298,1
2000.0,0.0109587,0.0226043,298,1
5000.0,0.0280504,0.0360308,298,1
10000.0,0.0550229,0.0494413,298,1
20000.0,0.1089173,0.0700983,298,1
50000.0,0.2666878,0.0920864,298,1
100000.0,0.5073784,0.1272463,298,1
100.0,0.0003716,0.0041117,323,1
200.0,0.0005734,0.0050964,323,1
500.0,0.0014725,0.008189,323,1
1000.0,0.0031238,0.0119321,323,1
2000.0,0.0064725,0.0172973,323,1
5000.0,0.0163119,0.027582,323,1
10000.0,0.0323211,0.0383881,323,1
20000.0,0.0650779,0.0541049,323,1
50000.0,0.1590595,0.0736219,323,1
100000.0,0.3115777,0.1006737,323,1
100.0,0.0006609,0.0055045,273,6
200.0,0.0014862,0.0081994,273,6
500.0,0.0038532,0.0132904,273,6
1000.0,0.007568,0.0185979,273,6
2000.0,0.015,0.0261617,273,6
5000.0,0.0367844,0.0410353,273,6
10000.0,0.07403229999999998,0.0581377,273,6
20000.0,0.1458531,0.0689134,273,6
50000.0,0.3491831,0.1086119,273,6
100000.0,0.6603847,0.141637,273,6
100.0,0.0004908,0.0047195,298,6
200.0,0.000844,0.0062664,298,6
500.0,0.0019679,0.0094966,298,6
1000.0,0.0039266,0.0133322,298,6
2000.0,0.0079816,0.0192291,298,6
5000.0,0.0210917,0.0309483,298,6
10000.0,0.0406625,0.0434755,298,6
20000.0,0.0815733,0.0602534,298,6
50000.0,0.199986,0.08304219999999998,298,6
100000.0,0.3822519,0.1106405,298,6
100.0,0.0002616,0.0034542,323,6
200.0,0.0005505,0.0049947,323,6
500.0,0.0011743,0.007360099999999999,323,6
1000.0,0.0023716,0.0103823,323,6
2000.0,0.0049771,0.0149437,323,6
5000.0,0.012289,0.0236196,323,6
10000.0,0.0243348,0.0335229,323,6
20000.0,0.0491834,0.0470219,323,6
50000.0,0.1207338,0.07304059999999998,323,6
100000.0,0.2378484,0.0904691,323,6
100.0,0.001078,0.0070391,273,2
200.0,0.0018761,0.0092687,273,2
500.0,0.0049083,0.0151689,273,2
1000.0,0.0096697,0.0208785,273,2
2000.0,0.0192018,0.0294784,273,2
5000.0,0.0482385,0.0471504,273,2
10000.0,0.0985825,0.057132,273,2
20000.0,0.1919769,0.0825877,273,2
50000.0,0.4442695,0.120456,273,2
100000.0,0.8217225999999999,0.150779,273,2
100.0,0.0005321,0.0049118,298,2
200.0,0.0010367,0.0070004,298,2
500.0,0.002578,0.010994,298,2
1000.0,0.0048991,0.0149483,298,2
2000.0,0.0103991,0.02187,298,2
5000.0,0.0265367,0.0347183,298,2
10000.0,0.0506651,0.0476794,298,2
20000.0,0.1025182,0.0685457,298,2
50000.0,0.2519447,0.0956379,298,2
100000.0,0.4894185,0.1227686,298,2
100.0,0.0002661,0.0034833,323,2
200.0,0.0006058,0.0052767,323,2
500.0,0.0015734,0.0085232,323,2
1000.0,0.0031422,0.0119449,323,2
2000.0,0.0060917,0.0166763,323,2
5000.0,0.0155734,0.0264086,323,2
10000.0,0.0311972,0.0376136,323,2
20000.0,0.0610779,0.0525906,323,2
50000.0,0.1529769,0.0713238,323,2
100000.0,0.2896058,0.09630300000000001,323,2
100.0,0.000656,0.0055608,273,8
200.0,0.0013761,0.0079848,273,8
500.0,0.0034174,0.0125917,273,8
1000.0,0.0066055,0.0175073,273,8
2000.0,0.0132156,0.0245701,273,8
5000.0,0.0342464,0.0393821,273,8
10000.0,0.0673256,0.0552929,273,8
20000.0,0.1338852,0.07626389999999998,273,8
50000.0,0.3152933,0.1040613,273,8
100000.0,0.6006621,0.1348389,273,8
100.0,0.000367,0.0040864,298,8
200.0,0.0007705999999999999,0.0058955,298,8
500.0,0.0018807,0.0093017,298,8
1000.0,0.0037064,0.0129964,298,8
