Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002573,0.0025471,273,5
200.0,0.0004947,0.003534,273,5
500.0,0.0014716,0.0060495,273,5
1000.0,0.0026433,0.0081037,273,5
2000.0,0.0055839,0.0107546,273,5
5000.0,0.0136812,0.0162801,273,5
10000.0,0.0256135,0.0213436,273,5
20000.0,0.055052,0.0308439,273,5
50000.0,0.1362802,0.0484668,273,5
100000.0,0.27554,0.0751943,273,5
100.0,0.0001199,0.0017268,298,5
200.0,0.0002324,0.0023981,298,5
500.0,0.0006421,0.0040778,298,5
1000.0,0.0010343,0.0051254,298,5
2000.0,0.0020512,0.0071263,298,5
5000.0,0.0055064,0.0099316,298,5
10000.0,0.0104757,0.0144267,298,5
20000.0,0.0211763,0.0200669,298,5
50000.0,0.0516142,0.029892,298,5
100000.0,0.0997405,0.0428041,298,5
100.0,5.66e-05,0.0009695,323,5
200.0,8.83e-05,0.0012094,323,5
500.0,0.0002682,0.0021095,323,5
1000.0,0.0004697,0.0028071,323,5
2000.0,0.0010243,0.0041779,323,5
5000.0,0.0022968,0.0060853,323,5
10000.0,0.0047536,0.007885599999999998,323,5
20000.0,0.0098253,0.0109633,323,5
50000.0,0.0217076,0.0164112,323,5
100000.0,0.0464733,0.0250311,323,5
100.0,0.0010044,0.0050331,273,1
200.0,0.0017988,0.0067232,273,1
500.0,0.0043597,0.008882499999999998,273,1
1000.0,0.0095463,0.0132793,273,1
2000.0,0.0194539,0.0190967,273,1
5000.0,0.0454634,0.029124,273,1
10000.0,0.0924903,0.0412164,273,1
20000.0,0.1804641,0.0521634,273,1
50000.0,0.4406011,0.08490789999999998,273,1
100000.0,0.8408618,0.1258076,273,1
100.0,0.0003373,0.0028832,298,1
200.0,0.0005621,0.0037885,298,1
500.0,0.001589,0.0062687,298,1
1000.0,0.0031854,0.0090027,298,1
2000.0,0.0067706,0.0111999,298,1
5000.0,0.0167667,0.0182131,298,1
10000.0,0.0295409,0.0226035,298,1
20000.0,0.0615544,0.0332628,298,1
50000.0,0.1660628,0.0575975,298,1
100000.0,0.3125005,0.0731128,298,1
100.0,0.0001149,0.0014184,323,1
200.0,0.0002998,0.0022269,323,1
500.0,0.0006279,0.0032331,323,1
1000.0,0.0014091,0.0048343,323,1
2000.0,0.0028648,0.0068879,323,1
5000.0,0.0069255,0.0096203,323,1
10000.0,0.0137211,0.0128378,323,1
20000.0,0.0279153,0.0185807,323,1
50000.0,0.0662139,0.0289581,323,1
100000.0,0.13701,0.0411354,323,1
100.0,0.0032954,0.0077749,273,6
200.0,0.0053491,0.0099679,273,6
500.0,0.0131565,0.0154427,273,6
1000.0,0.0265579,0.0226427,273,6
2000.0,0.0578976,0.0303577,273,6
5000.0,0.1327918,0.0432564,273,6
10000.0,0.2371642,0.0612148,273,6
20000.0,0.4832757,0.0744173,273,6
50000.0,0.8110323,0.08393789999999998,273,6
100000.0,1.2468133,0.0717763,273,6
100.0,0.0009644,0.0048258,298,6
200.0,0.0014491,0.0051345,298,6
500.0,0.0035902,0.0081159,298,6
1000.0,0.0067706,0.0112299,298,6
2000.0,0.0172014,0.0178477,298,6
5000.0,0.0402515,0.0265733,298,6
10000.0,0.08605939999999998,0.041864,298,6
20000.0,0.1534509,0.0511971,298,6
50000.0,0.3603911,0.0694095,298,6
100000.0,0.5719607,0.0973627,298,6
100.0,0.0002373,0.0024492,323,6
200.0,0.0005546,0.0037978,323,6
500.0,0.0014491,0.005201,323,6
1000.0,0.0028831,0.0076225,323,6
2000.0,0.0058562,0.0103636,323,6
5000.0,0.0142683,0.0166308,323,6
10000.0,0.0266578,0.022663,323,6
20000.0,0.0529898,0.0310731,323,6
50000.0,0.1264434,0.0442681,323,6
100000.0,0.2386335,0.0608651,323,6
100.0,0.0080073,0.012048,273,2
200.0,0.0167842,0.0171667,273,2
500.0,0.0397169,0.0262014,273,2
1000.0,0.0811126,0.0328968,273,2
2000.0,0.1539431,0.0485992,273,2
5000.0,0.3361522,0.0696693,273,2
10000.0,0.5822331,0.0951448,273,2
20000.0,0.8625838,0.0996584,273,2
50000.0,1.3393436,0.0997138,273,2
100000.0,1.6531954,0.0805156,273,2
100.0,0.0019013,0.0059574,298,2
200.0,0.0051192,0.0100571,298,2
500.0,0.0100111,0.0135908,298,2
1000.0,0.0192776,0.0182565,298,2
2000.0,0.0390723,0.0270811,298,2
5000.0,0.0923179,0.0334886,298,2
10000.0,0.1916765,0.0615981,298,2
20000.0,0.3374625,0.0630029,298,2
50000.0,0.6644533,0.1065272,298,2
100000.0,1.0510886,0.1011765,298,2
100.0,0.0006321,0.003955,323,2
200.0,0.0013791,0.005878,323,2
500.0,0.0032404,0.007603399999999998,323,2
1000.0,0.0066157,0.0110405,323,2
2000.0,0.0129916,0.0151887,323,2
5000.0,0.0323666,0.0241736,323,2
10000.0,0.0640337,0.0337106,323,2
20000.0,0.1324496,0.0503698,323,2
50000.0,0.2952821,0.0711224,323,2
100000.0,0.5138717,0.0849975,323,2
100.0,0.0001116,0.0013588,273,8
200.0,0.0002299,0.0019431,273,8
500.0,0.000528,0.0029653,273,8
1000.0,0.0012175,0.0044555,273,8
2000.0,0.0023551,0.0063074,273,8
5000.0,0.0054798,0.0087004,273,8
10000.0,0.011371,0.0112436,273,8
20000.0,0.0218459,0.016312,273,8
50000.0,0.0538519,0.0242879,273,8
100000.0,0.1168956,0.0369799,273,8
100.0,4e-05,0.0008149999999999999,298,8
200.0,8.16e-05,0.0011631,298,8
500.0,0.0002498,0.0020382,298,8
1000.0,0.0004564,0.0027494,298,8
2000.0,0.0009927,0.0040747,298,8
5000.0,0.0021903,0.0059218,298,8
10000.0,0.0047819,0.0077789,298,8
20000.0,0.0095472,0.0111292,298,8
50000.0,0.0231933,0.0172828,298,8
100000.0,0.0470596,0.024643,298,8
100.0,2.33e-05,0.0006228,323,8
200.0,4.5e-05,0.0008643,323,8
500.0,0.0001066,0.0013282,323,8
1000.0,0.0002082,0.0018505,323,8
2000.0,0.0003966,0.002572,323,8
5000.0,0.0011432,0.0043217,323,8
10000.0,0.0023018,0.0061807,323,8
20000.0,0.0044954,0.008713,323,8
50000.0,0.0108463,0.0134464,323,8
100000.0,0.0228686,0.019393,323,8
100.0,0.0003681,0.0024823,273,4
200.0,0.0008543999999999998,0.0037344,273,4
500.0,0.0020154,0.005735,273,4
1000.0,0.0038758,0.0068815,273,4
2000.0,0.007931499999999998,0.0098694,273,4
5000.0,0.0181333,0.0149369,273,4
10000.0,0.038791,0.0235535,273,4
20000.0,0.0756277,0.0309973,273,4
50000.0,0.1843132,0.0443234,273,4
100000.0,0.3442329,0.0562641,273,4
100.0,0.0001366,0.0015021,298,4
200.0,0.0002881,0.0021844,298,4
500.0,0.0006879,0.0033641,298,4
1000.0,0.0014207,0.0048851,298,4
2000.0,0.0027532,0.0066826,298,4
5000.0,0.0069923,0.0098506,298,4
10000.0,0.0148387,0.0135664,298,4
20000.0,0.0288664,0.0189249,298,4
50000.0,0.0776376,0.0307388,298,4
100000.0,0.133767,0.0400521,298,4
100.0,6e-05,0.0009978,323,4
200.0,0.0001432,0.0015379,323,4
500.0,0.0002981,0.0022581,323,4
1000.0,0.0005946,0.0031349,323,4
2000.0,0.0013458,0.0047541,323,4
5000.0,0.0031346,0.007152,323,4
10000.0,0.0065041,0.0103617,323,4
20000.0,0.013378,0.0148366,323,4
50000.0,0.0318544,0.0221695,323,4
100000.0,0.0631109,0.0305118,323,4
100.0,1.732639,0.1433584,273,7
200.0,2.3714356,0.08921129999999998,273,7
500.0,3.0240746,0.0687638,273,7
1000.0,3.3076016,0.0603639,273,7
2000.0,3.4579714,0.0440922,273,7
5000.0,3.5424079,0.0234633,273,7
10000.0,3.56518,0.0199744,273,7
20000.0,3.5814633,0.0158873,273,7
50000.0,3.5921481,0.008456099999999998,273,7
100000.0,3.5945832,0.0062835,273,7
100.0,0.4230672,0.0677115,298,7
200.0,0.7233125,0.0863217,298,7
500.0,1.6155788,0.1271901,298,7
1000.0,2.1365697,0.0977849,298,7
2000.0,2.8051634,0.0904227,298,7
5000.0,3.2332179,0.0565031,298,7
10000.0,3.4024128,0.0542292,298,7
20000.0,3.5046646,0.0334683,298,7
50000.0,3.5556711,0.0215569,298,7
100000.0,3.572081,0.0179434,298,7
100.0,0.0854418,0.0300197,323,7
200.0,0.1629949,0.0450466,323,7
500.0,0.367858,0.0587114,323,7
1000.0,0.768111,0.1098258,323,7
2000.0,1.2927605,0.09613070000000001,323,7
5000.0,2.1931191,0.121532,323,7
10000.0,2.7527091,0.0940351,323,7
20000.0,3.1417561,0.060333,323,7
50000.0,3.4094761,0.0395533,323,7
100000.0,3.5050401,0.0356322,323,7
100.0,2.3824865,0.07420939999999998,273,3
200.0,2.9343181,0.077059,273,3
500.0,3.301023,0.0634568,273,3
1000.0,3.4398376,0.0439769,273,3
2000.0,3.5101458,0.0339314,273,3
5000.0,3.5682357,0.0187972,273,3
10000.0,3.5845103,0.0128937,273,3
20000.0,3.5889735,0.011085,273,3
50000.0,3.5949203,0.0055041,273,3
100000.0,3.5967368,0.0033608,273,3
100.0,0.6753195,0.1001363,298,3
200.0,1.1959722,0.1308658,298,3
500.0,2.1065677,0.1064046,298,3
1000.0,2.6711663,0.0979893,298,3
2000.0,3.114035,0.072484,298,3
5000.0,3.3650639,0.0579964,298,3
10000.0,3.4816111,0.038079,298,3
20000.0,3.5473394,0.0240466,298,3
50000.0,3.579368,0.0151363,298,3
100000.0,3.5841549,0.0126831,298,3
100.0,0.1426574,0.0368305,323,3
200.0,0.2817829,0.049374,323,3
500.0,0.6607024,0.08681609999999998,323,3
1000.0,1.2065735,0.0979624,323,3
2000.0,1.8813432,0.1037017,323,3
5000.0,2.6900812,0.1162447,323,3
10000.0,3.0881955,0.0778306,323,3
20000.0,3.3115336,0.0586818,323,3
50000.0,3.4868746,0.0398097,323,3
100000.0,3.5378015,0.0254951,323,3
