Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0059199,0.0185939,273,5
200.0,0.0118632,0.0266292,273,5
500.0,0.0295347,0.0412772,273,5
1000.0,0.0579183,0.0586291,273,5
2000.0,0.1197009,0.07319539999999998,273,5
5000.0,0.2971321,0.1113041,273,5
10000.0,0.6230354,0.1682044,273,5
20000.0,1.2587807,0.2301604,273,5
50000.0,3.6134797,0.3618598,273,5
100000.0,5.4486585,0.2578518,273,5
1000000.0,7.5215788,0.136525,273,5
100.0,0.0024607,0.0120278,298,5
200.0,0.0050037,0.0171364,298,5
500.0,0.012703,0.026997,298,5
1000.0,0.0253884,0.0387172,298,5
2000.0,0.0497726,0.052484,298,5
5000.0,0.1249277,0.0737933,298,5
10000.0,0.2595639,0.1078947,298,5
20000.0,0.5029058,0.1525257,298,5
50000.0,1.3135599,0.2345794,298,5
100000.0,2.6787529,0.3138919,298,5
1000000.0,6.7120888,0.1851568,298,5
100.0,0.0012497,0.0054473,323,5
200.0,0.0025195,0.0077257,323,5
500.0,0.0063004,0.0121265,323,5
1000.0,0.0126243,0.017073,323,5
2000.0,0.0249033,0.0240589,323,5
5000.0,0.0614678,0.0324642,323,5
10000.0,0.1253059,0.0482877,323,5
20000.0,0.2445796,0.0657807,323,5
50000.0,0.6106,0.1005368,323,5
100000.0,1.2580164,0.1508095,323,5
1000000.0,5.6080994,0.1391987,323,5
100.0,0.0095669,0.0237662,273,1
200.0,0.0191632,0.0339119,273,1
500.0,0.0478169,0.0523997,273,1
1000.0,0.0963033,0.0646031,273,1
2000.0,0.1879554,0.0873091,273,1
5000.0,0.47481,0.1350568,273,1
10000.0,0.9604835,0.2047169,273,1
20000.0,1.9785349,0.2867053,273,1
50000.0,4.6644053,0.3272574,273,1
100000.0,6.124362,0.2308143,273,1
1000000.0,7.7528223,0.1653466,273,1
100.0,0.0038232,0.0151176,298,1
200.0,0.0073822,0.0207055,298,1
500.0,0.0192865,0.0338877,298,1
1000.0,0.0387492,0.0484383,298,1
2000.0,0.0757744,0.0665306,298,1
5000.0,0.1816154,0.0933524,298,1
10000.0,0.3663087,0.1239862,298,1
20000.0,0.7713782999999999,0.1757269,298,1
50000.0,1.8634736,0.2942095,298,1
100000.0,3.5411272,0.349105,298,1
1000000.0,7.0740527,0.1492008,298,1
100.0,0.0017501,0.0064227,323,1
200.0,0.0035919,0.0091201,323,1
500.0,0.008470999999999998,0.0141256,323,1
1000.0,0.0176703,0.0204928,323,1
2000.0,0.0350117,0.0282769,323,1
5000.0,0.08851829999999998,0.0400747,323,1
10000.0,0.1776328,0.0553018,323,1
20000.0,0.354531,0.07467749999999998,323,1
50000.0,0.8547958,0.1228503,323,1
100000.0,1.6959842,0.1627395,323,1
1000000.0,6.0899175,0.1376002,323,1
100.0,0.0051799,0.0176011,273,6
200.0,0.0104772,0.0249561,273,6
500.0,0.0283425,0.0411058,273,6
1000.0,0.0537074,0.0555659,273,6
2000.0,0.1103982,0.0691417,273,6
5000.0,0.2716497,0.1102295,273,6
10000.0,0.5611973,0.1593506,273,6
20000.0,1.097022,0.220457,273,6
50000.0,2.7799028,0.3310679,273,6
100000.0,4.6551909,0.3020892,273,6
1000000.0,7.2857066,0.158827,273,6
100.0,0.0022845,0.0115064,298,6
200.0,0.0046396,0.0167721,298,6
500.0,0.0111758,0.0258341,298,6
1000.0,0.0227574,0.0363143,298,6
2000.0,0.0445692,0.0514261,298,6
5000.0,0.1145195,0.0705607,298,6
10000.0,0.2276818,0.1022661,298,6
20000.0,0.4722447,0.1467885,298,6
50000.0,1.1562739,0.22479,298,6
100000.0,2.2177861,0.301802,298,6
1000000.0,6.3803089,0.1997036,298,6
100.0,0.0010395,0.007788299999999998,323,6
200.0,0.0023903,0.0119558,323,6
500.0,0.0057495,0.018508,323,6
1000.0,0.0117575,0.0262721,323,6
2000.0,0.022522,0.0365489,323,6
5000.0,0.05719,0.0584849,323,6
10000.0,0.1150954,0.0821187,323,6
20000.0,0.2304867,0.1033828,323,6
50000.0,0.5798933,0.1647681,323,6
100000.0,1.1251119,0.210967,323,6
1000000.0,5.1983269,0.2391171,323,6
100.0,0.0091441,0.023378,273,2
200.0,0.0177243,0.0324296,273,2
500.0,0.0440818,0.0511378,273,2
1000.0,0.08660719999999998,0.060431,273,2
2000.0,0.1724139,0.0861585,273,2
5000.0,0.4348098,0.1335529,273,2
10000.0,0.8575334,0.1868743,273,2
20000.0,1.6056263,0.2605348,273,2
50000.0,3.6354464,0.3227701,273,2
100000.0,5.3826483,0.2828728,273,2
1000000.0,7.6956258,0.135838,273,2
100.0,0.0033299,0.0139825,298,2
200.0,0.0070944,0.0202769,298,2
500.0,0.0172897,0.0317205,298,2
1000.0,0.0350258,0.0452061,298,2
2000.0,0.0682134,0.0630731,298,2
5000.0,0.1696438,0.0898835,298,2
10000.0,0.3406031,0.1218007,298,2
20000.0,0.6868677,0.1690971,298,2
50000.0,1.5795617,0.2473991,298,2
100000.0,2.9016764,0.3124874,298,2
1000000.0,6.8110497,0.1845782,298,2
100.0,0.001615,0.0098173,323,2
200.0,0.0035061,0.0144257,323,2
500.0,0.008691799999999998,0.0228285,323,2
1000.0,0.0164323,0.0312816,323,2
2000.0,0.033446,0.0437744,323,2
5000.0,0.0800825,0.068393,323,2
10000.0,0.1637122,0.08399819999999998,323,2
20000.0,0.3254805,0.1203792,323,2
50000.0,0.8064314999999999,0.1814258,323,2
100000.0,1.4952816,0.2418475,323,2
1000000.0,5.696775,0.225838,323,2
100.0,0.0049966,0.0108991,273,8
200.0,0.0098406,0.0150203,273,8
500.0,0.024652,0.0239355,273,8
1000.0,0.0487683,0.0292601,273,8
2000.0,0.0997478,0.0420134,273,8
5000.0,0.2517372,0.0666835,273,8
10000.0,0.4816543,0.0883597,273,8
20000.0,0.9922011,0.1348144,273,8
50000.0,2.4532518,0.1916411,273,8
100000.0,4.1316182,0.1999015,273,8
1000000.0,6.9652025,0.1047581,273,8
100.0,0.0021636,0.0071027,298,8
200.0,0.004353,0.0101521,298,8
500.0,0.0107662,0.0158956,298,8
1000.0,0.0211658,0.0223552,298,8
2000.0,0.0427945,0.0313478,298,8
5000.0,0.1087985,0.043223,298,8
10000.0,0.2138102,0.0598197,298,8
20000.0,0.4241868,0.08140849999999998,298,8
50000.0,1.0722471,0.1406733,298,8
100000.0,2.0854558,0.1825836,298,8
1000000.0,6.0062675,0.1229942,298,8
100.0,0.0010454,0.0048894,323,8
200.0,0.0020532,0.0070067,323,8
500.0,0.0053913,0.0112325,323,8
1000.0,0.0107192,0.0158961,323,8
2000.0,0.0219293,0.0228445,323,8
5000.0,0.0543959,0.0359339,323,8
10000.0,0.1087186,0.0510723,323,8
20000.0,0.217954,0.0720179,323,8
50000.0,0.5288065,0.1072766,323,8
100000.0,1.0608442,0.1604794,323,8
1000000.0,4.9454364,0.195001,323,8
100.0,0.0079284,0.013629,273,4
200.0,0.0156289,0.0187826,273,4
500.0,0.0382465,0.0256266,273,4
1000.0,0.0783105,0.0367453,273,4
2000.0,0.1579521,0.0529008,273,4
5000.0,0.3826539,0.0784923,273,4
10000.0,0.7457388,0.1111814,273,4
20000.0,1.4656451,0.1487621,273,4
50000.0,3.1898758,0.2017426,273,4
100000.0,4.7988868,0.1724574,273,4
1000000.0,7.329207,0.0928149,273,4
100.0,0.0032677,0.0086744,298,4
200.0,0.0062112,0.0120723,298,4
500.0,0.0160104,0.0194608,298,4
1000.0,0.0323877,0.0275351,298,4
2000.0,0.061496,0.0340142,298,4
5000.0,0.1574188,0.0537762,298,4
10000.0,0.3207893,0.07345169999999998,298,4
20000.0,0.6019768,0.1048845,298,4
50000.0,1.4804801,0.1524351,298,4
100000.0,2.6831147,0.1948817,298,4
1000000.0,6.3758606,0.1161982,298,4
100.0,0.0015598,0.0060438,323,4
200.0,0.0030609,0.0085646,323,4
500.0,0.007601799999999998,0.013203,323,4
1000.0,0.0156923,0.0190871,323,4
2000.0,0.0304849,0.0266178,323,4
5000.0,0.07508109999999998,0.0420252,323,4
10000.0,0.1565285,0.0607407,323,4
20000.0,0.3063666,0.082707,323,4
50000.0,0.7278578,0.1376999,323,4
100000.0,1.3948633,0.170797,323,4
1000000.0,5.3271664,0.17898,323,4
100.0,0.0167119,0.0163449,273,7
200.0,0.0331489,0.0220271,273,7
500.0,0.086996,0.0347495,273,7
1000.0,0.1568733,0.0455894,273,7
2000.0,0.3250291,0.0661827,273,7
5000.0,0.7069526,0.1038444,273,7
10000.0,1.3339043,0.1178518,273,7
20000.0,2.3214252,0.1835977,273,7
50000.0,4.6252459,0.2196237,273,7
100000.0,6.118293,0.16018,273,7
1000000.0,7.6918584,0.0722704,273,7
100.0,0.0056403,0.0094873,298,7
200.0,0.0107356,0.0133582,298,7
500.0,0.0269565,0.0195258,298,7
1000.0,0.0545097,0.0281532,298,7
2000.0,0.1108869,0.0437578,298,7
5000.0,0.2685927,0.0602485,298,7
10000.0,0.4913376,0.07690339999999998,298,7
20000.0,0.9569737,0.1189845,298,7
50000.0,2.1041798,0.1626071,298,7
100000.0,3.6354885,0.2025057,298,7
1000000.0,7.0453561,0.0964211,298,7
100.0,0.0022223,0.007250099999999998,323,7
200.0,0.0046466,0.0106018,323,7
