Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0239573,0.0267366,273,5
200.0,0.0488851,0.0376031,273,5
500.0,0.1179929,0.0519086,273,5
1000.0,0.2203782,0.0661153,273,5
2000.0,0.4051774,0.08594449999999998,273,5
5000.0,0.8269756,0.1198878,273,5
10000.0,1.4074748,0.1519126,273,5
20000.0,2.2218688,0.1776559,273,5
50000.0,3.6027934,0.161156,273,5
100000.0,4.438785,0.1396033,273,5
1000000.0,5.6743058,0.0695342,273,5
100.0,0.0091744,0.0166426,298,5
200.0,0.0184061,0.0235479,298,5
500.0,0.046274,0.0367805,298,5
1000.0,0.08906559999999998,0.0443932,298,5
2000.0,0.1747348,0.0595268,298,5
5000.0,0.3915072,0.0873912,298,5
10000.0,0.6821728,0.1118731,298,5
20000.0,1.1506112,0.1394232,298,5
50000.0,2.1277203,0.1682118,298,5
100000.0,3.0343467,0.1650421,298,5
1000000.0,5.2147593,0.1218457,298,5
100.0,0.0039079,0.0108104,323,5
200.0,0.008385699999999998,0.0159047,323,5
500.0,0.0202293,0.0246579,323,5
1000.0,0.0409985,0.034553,323,5
2000.0,0.0804387,0.0416009,323,5
5000.0,0.1865417,0.0632444,323,5
10000.0,0.3590113,0.08525929999999998,323,5
20000.0,0.6177787,0.106023,323,5
50000.0,1.2441153,0.1369852,323,5
100000.0,1.9326958,0.1523593,323,5
1000000.0,4.4780026,0.1403438,323,5
100.0,0.0232585,0.0263021,273,1
200.0,0.046577,0.0367564,273,1
500.0,0.1118716,0.0508453,273,1
1000.0,0.2199493,0.0666156,273,1
2000.0,0.4108863,0.0932959,273,1
5000.0,0.8550664999999998,0.1230385,273,1
10000.0,1.5136936,0.1649751,273,1
20000.0,2.4831532,0.1704018,273,1
50000.0,3.9028501,0.1700707,273,1
100000.0,4.7274206,0.1407344,273,1
1000000.0,5.8135876,0.0775648,273,1
100.0,0.0088985,0.0162029,298,1
200.0,0.0175901,0.02253,298,1
500.0,0.0446245,0.0359105,298,1
1000.0,0.08771339999999998,0.0440224,298,1
2000.0,0.1703312,0.059835,298,1
5000.0,0.394999,0.0872672,298,1
10000.0,0.6932153,0.1145669,298,1
20000.0,1.2078474,0.147189,298,1
50000.0,2.2827272,0.1766369,298,1
100000.0,3.2720205,0.1769517,298,1
1000000.0,5.3952266,0.0952691,298,1
100.0,0.0040189,0.0109066,323,1
200.0,0.008151699999999998,0.0156395,323,1
500.0,0.0202113,0.0243276,323,1
1000.0,0.0398558,0.0345948,323,1
2000.0,0.07873389999999998,0.0484225,323,1
5000.0,0.1861369,0.062939,323,1
10000.0,0.3532943,0.08611789999999998,323,1
20000.0,0.6364008,0.1110766,323,1
50000.0,1.3076603,0.1494573,323,1
100000.0,2.0830103,0.1635427,323,1
1000000.0,4.7129391,0.1226502,323,1
100.0,0.0243892,0.0270342,273,6
200.0,0.0504759,0.0392089,273,6
500.0,0.1229295,0.0556046,273,6
1000.0,0.2393029,0.0736827,273,6
2000.0,0.4618404,0.0986892,273,6
5000.0,1.0504753,0.142901,273,6
10000.0,1.8552805,0.1731822,273,6
20000.0,2.8134576,0.1707714,273,6
50000.0,3.9675778,0.1534239,273,6
100000.0,4.7252109,0.109796,273,6
1000000.0,5.8358557,0.08876,273,6
100.0,0.0092884,0.0165902,298,6
200.0,0.0185651,0.023964,298,6
500.0,0.0467773,0.0371858,298,6
1000.0,0.0924161,0.045586,298,6
2000.0,0.1859718,0.0647972,298,6
5000.0,0.4374535,0.0998886,298,6
10000.0,0.7920813,0.1270461,298,6
20000.0,1.417143,0.1587657,298,6
