Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1254062,0.056492,273,5
200.0,0.2393208,0.0699633,273,5
500.0,0.5010432,0.0949865,273,5
1000.0,0.7779835,0.1041037,273,5
2000.0,1.123929,0.0998384,273,5
5000.0,1.5905092,0.1111669,273,5
10000.0,1.8515207,0.08947349999999998,273,5
20000.0,2.1982447,0.0859979,273,5
50000.0,2.4508389,0.0842783,273,5
100000.0,2.7025848,0.0558419,273,5
1000000.0,3.0478242,0.0300913,273,5
100.0,0.034063,0.0291182,298,5
200.0,0.0671484,0.0398294,298,5
500.0,0.1612575,0.0598829,298,5
1000.0,0.2983699,0.0771584,298,5
2000.0,0.5066804,0.0906969,298,5
5000.0,0.8692912,0.1036426,298,5
10000.0,1.2365315,0.1061025,298,5
20000.0,1.589416,0.1010952,298,5
50000.0,1.9565366,0.0940559,298,5
100000.0,2.2339403,0.07837199999999998,298,5
1000000.0,2.8603543,0.0701666,298,5
100.0,0.0114225,0.0155343,323,5
200.0,0.0227292,0.0195754,323,5
500.0,0.0547354,0.0290259,323,5
1000.0,0.1029749,0.0403319,323,5
2000.0,0.1991644,0.0534929,323,5
5000.0,0.4105213,0.0697564,323,5
10000.0,0.6576491,0.08500979999999998,323,5
20000.0,1.0036963,0.086887,323,5
50000.0,1.4535852,0.0838497,323,5
100000.0,1.7486447,0.07692369999999998,323,5
1000000.0,2.5809596,0.0617204,323,5
100.0,0.0186471,0.0214849,273,1
200.0,0.0341831,0.0281545,273,1
500.0,0.0872634,0.0428667,273,1
1000.0,0.1755173,0.0631835,273,1
2000.0,0.3486054,0.0857894,273,1
5000.0,0.734407,0.1151303,273,1
10000.0,1.3678764,0.1323912,273,1
20000.0,1.8922116,0.1289755,273,1
50000.0,2.6040833,0.108019,273,1
100000.0,2.8604618,0.0628708,273,1
1000000.0,3.1022537,0.0174167,273,1
100.0,0.0051148,0.0127645,298,1
200.0,0.0104861,0.0184232,298,1
500.0,0.0270776,0.0254567,298,1
1000.0,0.0529893,0.0352705,298,1
2000.0,0.1045336,0.0485779,298,1
5000.0,0.2632437,0.0769697,298,1
10000.0,0.4690257,0.0944687,298,1
20000.0,0.8453998,0.1123815,298,1
50000.0,1.5644245,0.1445891,298,1
100000.0,2.0870797,0.1208156,298,1
1000000.0,2.9773818,0.0613907,298,1
100.0,0.0020524,0.0066594,323,1
200.0,0.0038126,0.0090591,323,1
500.0,0.0093788,0.014386,323,1
1000.0,0.0190909,0.017396,323,1
2000.0,0.0396111,0.0245883,323,1
5000.0,0.0933005,0.0373287,323,1
10000.0,0.1839965,0.0527912,323,1
20000.0,0.3423227,0.0670038,323,1
50000.0,0.7273885,0.091473,323,1
100000.0,1.1895321,0.1031773,323,1
1000000.0,2.6470169,0.08868049999999998,323,1
100.0,0.4119691,0.08411209999999998,273,6
