Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008848,0.0059491,273,5
200.0,0.0017705,0.0083584,273,5
500.0,0.004518,0.0132237,273,5
1000.0,0.0089773,0.0188138,273,5
2000.0,0.0174496,0.0260774,273,5
5000.0,0.0430349,0.0406598,273,5
10000.0,0.08372849999999998,0.0498018,273,5
20000.0,0.1606759,0.0666448,273,5
50000.0,0.3667861,0.1015146,273,5
100000.0,0.6468993,0.1185641,273,5
100.0,0.0003915,0.0038955,298,5
200.0,0.0007908999999999999,0.0055357,298,5
500.0,0.002259,0.0094427,298,5
1000.0,0.0043928,0.0130092,298,5
2000.0,0.0086054,0.0181066,298,5
5000.0,0.0223161,0.0294207,298,5
10000.0,0.0434499,0.0402199,298,5
20000.0,0.0831099,0.0477437,298,5
50000.0,0.2036482,0.0750652,298,5
100000.0,0.3785608,0.0979636,298,5
100.0,0.0002506,0.0031708,323,5
200.0,0.0004502,0.0042108,323,5
500.0,0.0013233,0.007204,323,5
1000.0,0.0024078,0.009694800000000002,323,5
2000.0,0.004959,0.0139538,323,5
5000.0,0.012129,0.0215802,323,5
10000.0,0.0243911,0.0308641,323,5
20000.0,0.0491463,0.0435919,323,5
50000.0,0.119861,0.0600668,323,5
100000.0,0.219935,0.0767863,323,5
100.0,0.0010492,0.0063952,273,1
200.0,0.0020369,0.0088693,273,1
500.0,0.005352,0.0144495,273,1
1000.0,0.0107274,0.020714,273,1
2000.0,0.020707,0.0280898,273,1
5000.0,0.0521296,0.0445533,273,1
10000.0,0.1001014,0.0536023,273,1
20000.0,0.1956809,0.0745934,273,1
50000.0,0.4332756,0.1032043,273,1
100000.0,0.7459148,0.1201047,273,1
100.0,0.0005559,0.0046321,298,1
200.0,0.0011158,0.0065381,298,1
500.0,0.002721,0.0102893,298,1
1000.0,0.0052345,0.0142901,298,1
2000.0,0.0104455,0.0203818,298,1
5000.0,0.0261803,0.032193,298,1
10000.0,0.0513701,0.0447299,298,1
20000.0,0.1015187,0.0535275,298,1
50000.0,0.2376156,0.08028399999999998,298,1
100000.0,0.4429444,0.0998889,298,1
100.0,0.0002545,0.0031462,323,1
200.0,0.0005677,0.0047452,323,1
500.0,0.0015582,0.0077728,323,1
1000.0,0.0028385,0.0105522,323,1
2000.0,0.0056847,0.0151387,323,1
5000.0,0.0143724,0.0236382,323,1
10000.0,0.0295982,0.0339479,323,1
20000.0,0.0565811,0.0466012,323,1
50000.0,0.136461,0.0653499,323,1
100000.0,0.2632322,0.08737309999999998,323,1
100.0,0.0008809,0.0058062,273,6
200.0,0.001754,0.008323,273,6
500.0,0.0041265,0.0125094,273,6
1000.0,0.0084021,0.0179572,273,6
2000.0,0.0171129,0.0256026,273,6
5000.0,0.0424476,0.0408732,273,6
